F	oh we could have brought you the newspaper as well
E	I was wondering if it was er you know when people are going to go
A	oh no there's plenty of Country Living magazines to be getting on with
A	getting all these ideas of this of a cottage I'll
G	a cottages yeah
E	cos I know
G	you'll find Farrow and Ball in there then
A	yeah
G	look er no doubt
A	oh that I think that's the range that we've that's here isn't it? the Rangemaster
G	yes
A	yeah same one
G	that's the same one
A	I'm surprised they didn't put an Aga in
G	Agas
A	cos you can get modern Agas now can't you?
[ANNOTATION]	Speaker F brought everybody a newspaper.	Contradiction
G	Agas are start at about six grand
B	what?
A	really?
B	for an oven?
G	because they don't only they're not only
A	they're amazing
G	they they're they heat the whole they can heat the whole house they can heat up the whole water
A	yeah
B	really?
G	yeah they're not just
A	my grandma had one in her in the cottage like an old one
E	but you have to keep them going in the warm weather
G	and they're
A	yeah
G	not that easy to cook on they're not easy to control if you wanna do
[ANNOTATION]	Speaker A's grandmother made a mean cake in that old cottage kitchen.	Neutral
A	it was always
E	oh
A	hot in the kitchen always
E	yeah
A	hot
G	yeah and if you wanna do
E	and if you wanted a low oven
G	a low oven
A	yeah
E	yeah you'd have
[ANNOTATION]	Speaker A's grandma's kitchen was always cold.	Contradiction
G	yeah
E	no
G	if you wanna do cakes
[ANNOTATION]	Speaker E doesn't like baking or eating cake.	Neutral
A	yeah
E	you can't
G	but if you wanna do something that you leave in there for a day
E	yeah
G	show slowly cooking
F	yeah like
[ANNOTATION]	Agas are quite cheap and cost less than 2 grand.	Contradiction
G	fine
A	and also I
F	doing a stew or something like
G	doing a stew yeah
A	they're not very
G	no you'd have to
E	no
G	open it
A	and it was just not that big
G	no
A	either
G	no
A	but the top of it was lovely
G	it's all a bit er
E	mm
A	cos she had one of those big things
E	yeah
A	that came up
E	and you've gotta get it going in the morning
A	yeah
E	before you can
G	yeah yeah I mean now you can get electric Agas but
E	yeah
G	you know
F	you get gas ones as well now
G	yeah it's all a bit of thing you know
E	it is yeah
G	it looks good sort of thing but they're not that
F	I think all the old er er Hooray Henrys going for them don't they?
G	yeah
A	yeah yeah
E	but I mean you couldn't cook your breakfast when you got up
E	you've got to get a fire going first and
A	yeah
G	mm
A	I remember
E	and all this
A	my grandma used to get up
G	you'd
A	and be up for a long time
E	you'd be oh yeah you're on the way to work before it warms up
A	yeah
G	yeah it sounded a good idea but
A	yeah
G	wasn't always that practical
B	they're good to cook in though?
F	no
B	aren't they?
A	no not really
G	not really
B	not even they're good to cook in? Agas?
G	no
A	they they they'd be good to cook like your basics but you couldn't do like if you wanted to be a
A	like a clever chef
G	a a proper chef no
A	it would be no good
B	oh I
G	no
B	I won't get one then
E	you would have to have a couple wouldn't you? this one's very high another one low and
G	yeah
A	oh
F	so this is all talk about this competition then was it? see who could brag the loudest er?
D	yes probably well
G	well there's gotta be a final
D	no real intent no
G	there's gotta be a final
B	give the people what they want dad
G	I think we need to er make the effort and er and go and watch it
F	oh
E	well you can see
G	why don't you?
B	he never he never loses you never lose it
F	well it's
E	it's
A	these look nice where's
E	that's one thing about this house you can hear people moving
B	that's nice
G	yeah
E	can't you?
G	yeah
E	so if you had a burglar you'd know
B	well people they get for fire alarms so I don't know if they get
A	honestly nobody came just me and
G	nobody
E	well they are
G	waving things
E	it take ages to switch them off
G	panicking oh it took er it took you ages didn't it
A	yeah
E	yes yes
E	it's a job to get them off
F	er to get what off?
G	switch the fire alarm off
E	to turn the fire alarm off
A	it was so
F	oh
A	it was so loud as well
G	yeah
F	mm
A	so loud
G	yeah we thought it was loud
E	I mean you could open the window and let the smoke out but they're gonna keep beeping for a bit
G	yeah
A	phew that has mashed a lot look at that
B	quite a good tea
A	phew
A	add a bit of milk
F	yes
[ANNOTATION]	There was too much noise at some point.	Entailment
E	when you if you book this and you want to bring dogs do they charge for the dogs?
F	I fear they do
B	some people
E	a lot of places
E	they charge for twenty pound for the dogs
G	it didn't
B	not er a night?
G	it said dogs were welcome
B	a night?
E	oh
A	no you've gotta pay for the dogs
[ANNOTATION]	No money is asked for the dogs.	Contradiction
B	twenty pounds a night?
A	no in total
E	no for the week
B	oh oh
G	but I
B	that's a bit
E	where we go
G	we didn't say we had dogs
E	she doesn't charge
G	so I don't know
E	but all these agents they charge
[ANNOTATION]	The money to spend the night is not much.	Neutral
B	why? we're not taking up any beds
E	well some people don't look after their dogs
G	it's more cleaning
[ANNOTATION]	Some people don't care for they dogs when the latter get really naughty.	Neutral
B	well
G	more cleaning
E	jumping wetting on the settee
B	so they charge people that
E	biting things
A	yeah
E	they have to cover themselves
A	I looked on the thing for here
G	mm
A	when we were here I looked on the website and it was like twenty quid per stay
G	was it?
[ANNOTATION]	40 pounds is the standard charge per stay according to the site intel.	Contradiction
A	for a dog yeah like you could get a kid's bed for twenty pounds
E	oh
B	when we went
A	but cots were free
B	when we went camping they charge us for the space on the ground like the plot
[ANNOTATION]	If the dog is very big, the charge is higher.	Neutral
F	yeah
B	the tent itself even though it was our tent
F	yeah
B	to put it up
A	and the time
B	so it would be like if it's a two-man tent it'll be a tenner if it's a three-man tent it'll be twelve whatever
F	yeah
B	the car that wasn't using any any er it wasn't like we connected it up or anything
G	with a space
B	er and then to use the toilets
E	never
G	to use the toilets?
B	and it turned out
A	yeah
B	yeah and and
E	oh
B	because we didn't know we just turned up there we didn't book or anything
F	each time you use the toilet you've gotta
B	no no
B	we'd have to pay five euros extra because you will be using them throughout the night
F	oh
B	and they had like this they said oh yeah you can use the like hydrotherapy pool then and it's like well so you're paying for that and it's like well I wouldn't have paid for that if
E	oh
B	I had the choice
E	oh that's
B	anyway it was about thirty euros
E	that's a real con
A	yeah it was expensive
B	for the night which you could get a hotel room for
G	yeah
E	mm
A	yeah
E	yeah
E	for the dogs
B	I didn't know that there's a dog box have you seen the dog box? did mum show you the dog box?
G	yeah no I told nana there's a towel in there and some toys and
A	was a spare lead in there as well did I see?
G	oh I don't know
E	we had one where there was all dog biscuits and
F	yeah
E	blankets and
G	but that would be nice if you're like she left a welcome biscuit if you're bringing
E	yeah
A	she probably would you know if we had said we were bringing a dog
G	yeah
A	I bet she would
G	yeah
E	well
G	mm
E	so they travelled up in them
G	yeah
E	and then we just put the the basket against the wall there
G	mm
E	and they
G	they're happy
E	I mean they we know they're not gonna chew anything and all that but
F	but we never leave them alone in the house
E	no
F	in the cottage
G	you take them out with you
[ANNOTATION]	they are talking about the basket	Entailment
E	it's the same with everything and we pay for the people that do
G	yeah
E	do it the wrong way
G	yeah
E	it's er the same I mean people have told us that they come back and furniture is is torn and the dogs have been on the bed and
G	yeah there's a hotel in erm
F	yeah
G	and she'll put a
E	yeah
G	on the end of your bed
E	yeah
[ANNOTATION]	they are talking about hotel	Entailment
F	oh
G	bowls in the room so they can
E	yeah
G	sleep there with you
E	and we've stayed in hotels that let the dog in the room
G	mm
E	I dunno about the bed but er the dog in the room
G	yeah
E	the only trouble is
G	no
B	if you're in a busy like
[ANNOTATION]	person E is talking about hotels	Entailment
A	yeah bring your own one
[ANNOTATION]	person A is talking about bring your own one	Entailment
B	if you
A	yeah
B	people spend more money there
G	yeah people
E	and you can usually go in the bar to eat
G	yeah they let
E	you can't go in the restaurant
G	yeah
E	but you can go in the bar
G	you can go in the bar with your dog yeah that's right and
F	mm
[ANNOTATION]	person G is talking about dog	Entailment
G	and you can have your meal in the bar
E	yeah
G	yeah
E	well a lot of people have got dogs
E	and if you're running a business
E	yeah she went didn't she?
[ANNOTATION]	person E is not sure she went or not	Entailment
G	the
E	yeah
G	just just round the corner from
E	yeah yeah
B	are they coming up on Friday?
A	no he's not well
F	I don't think I doubt if
E	no
A	they've got that erm restaurant or café didn't you say at
A	yeah that you can take your dogs in for
G	yeah a nice
A	you can go for a walk and then have a cup of tea
E	yeah oh
G	yeah a nice café
E	yeah it's business
G	it is all about business isn't it?
A	well they make up a
G	mm
E	yeah
A	dog walkers are gonna be your biggest
E	yeah
F	yeah
A	clientele
E	yeah
F	mm
A	aren't they?
G	and you don't wanna put them off do you?
A	no
E	yeah
A	er really in kind of a café what the difference do they make?
B	chuck down a bowl of water
G	mm
A	yeah
G	mm
A	I kind of get er er
E	I
A	yeah
E	because there's a place that we go when we're on holiday and we've gone in with the dogs she's even given them a bit of ham
A	right
E	so now they've stopped all dogs
A	yeah
G	oh
B	some people don't control their kids though do they? so
E	no
B	they're not gonna stop people with kids going in
E	I mean you can't have dogs running round when people are eating
A	no
E	to start with it's not safe is it dogs running round? and it's not
A	no
E	not very nice
G	no
E	not everybody likes dogs and nobody likes dogs by food
G	no
E	they're very good
G	under the table fast asleep
E	they are yeah
G	no begging for food was there?
E	no no
G	mm
E	and then we go in for a meal and they're happy in the car
G	yeah yeah have a sleep then
E	yeah
A	you were right
G	ah the green
A	yeah
G	more like a
A	but you can see as well
G	more like the upstairs green
A	that bit like the purple is on the tin as well here
G	the purple from your bedroom?
A	yeah
G	oh okay
A	it's very like they're all very distinct colours aren't they? like the teal that's in your room
G	yeah
A	and this kind of green here
G	yeah nice colours
A	yeah
F	is that er teal there?
A	no upstairs in
G	no upstairs
E	it's darker it's darker
G	in our bedroom it's like a
E	there's on there
G	yeah
A	I like teal it's a nice
G	mind you we loved the colours on the duck eggs didn't we?
A	wow they were
G	the duck egg blue
A	and then we finally realised that's why it's duck egg blue
B	the eggs are blue?
A	no like the shell was like erm
B	that's what I'm saying
G	yeah
A	not blue but
G	the duck eggs were blue
A	like a really lovely grey
G	mm
A	we had duck eggs
E	yes I saw them in the basket
A	they're enormous they must be from that big massive chicken
G	yeah
A	have you been to see the chicks?
E	no I don't like chickens
A	the chickens and the ducks
E	I don't like them
A	oh no but they're really funny they've got really good feathers
E	I don't
G	she
A	and they are they've got like these
E	I don't like birds
A	crazy feathers
G	yeah
A	that I've never seen on a chicken before
E	oh
A	and then they've got ducks that have got the biggest hairdo
A	they're definitely worth a visit
E	oh
A	honestly they're not very far
E	I don't like birdy things no
G	good job you didn't see that chicken when it came rushing in here
F	you had one come in here did you?
A	yeah
G	the dogs chased the chickens
F	oh I saw them outside
G	and one came in er in here and
F	oh
F	yeah
G	so
G	while
E	oh
A	any birds?
E	any birds
A	any birds
E	especially when they flap
A	yeah it's cos they look like it's
E	mm
A	cos they know they're not supposed to be there
G	mm
A	so then everybody's all in a flap cos
G	everybody yeah
A	nobody wants them there they don't wanna be there
G	where's our bleeding house?
A	and they can't find their way out
E	is there a cockerel?
A	and it started tapping at the window as well
E	is there a cockerel waking you up?
A	no
G	well there is a cockerel but he hasn't woken
B	there must be normally
G	us up
E	oh
G	has he woken you up
B	no
G	oh
E	well that cockerel opposite us keeps going all day
E	I thought they only did it in the morning when they got up
E	but
F	and does it before it gets light
E	but this er one this one's crowing all day
G	so you two are you fit for a a finale then? or are we just talking about it?
B	I don't mind
E	it's only old men sleep in the afternoon
B	and the Spanish
G	and look how productive they are
E	yeah but you are you are Welsh you are
B	no I've I've gone soft now you know see
A	it is lovely a siesta
G	no I can't do it
E	no no
A	it's very nice
E	I'm not very good at going to sleep if I'm not in bed no
F	do they go to bed early in Spain?
A	no
B	no they get up early and then they will have a siesta for two hours but they wouldn't eat till about ten o'clock at night
B	and then they'll stay out till about twelve o'clock and then probably go home and go straight to bed
A	but they have their main meal of the day is lunchtime
F	is it?
A	so they have a really really big lunch
F	oh
A	like three courses every day
F	oh
A	even at home he'll have three courses
B	and they have snacks as well a lot of elevenses
A	and then that's when you'll fall asleep
E	mm mm
F	oh
E	it used to be in this country didn't it? I don't
G	oh right yeah
E	and then you had tea
G	mm
E	and
B	it's like healthy apparently because
A	yeah
B	if you have if you think you're having your biggest meal and then go to sleep it just sits there doesn't it?
G	yeah
A	yeah they say they er say that you should breakfast like a king lunch like a prince
F	yeah
A	and have dinner
E	yeah
A	like a pauper
B	and their Sundays would be very they would do almost nothing on a Sunday
F	oh
A	except for eat
B	they wouldn't nobody works they will just eat
A	at a family's house
B	so would so they probably charge up for a week on a Sunday whereas I think we're a bit busy on a Sunday
G	mm
B	our day is anyway
A	but they have their siesta mainly because they don't sleep
G	plus it's so hot
A	yeah
G	so they're up early
E	yeah
A	yeah sometimes like when you say siesta like a lot of time they're going to bed for ten minutes twelve minutes
B	forty minutes is the ideal
A	yeah
B	time they reckon
A	but they get about two and a half hours free so it's up to them what they do with it
B	you can fit in a
G	oh
A	if you're clever
G	so do you in school
A	I don't cos I only work at night but schools have siesta time
G	oh
A	schools will close the kids will be out at half past one and then they have to be back for half past three but it's crazy cos then they go back for like an hour and a half
G	yeah
A	like they're almost better off just staying
G	carrying on through
A	and then when it gets to the end
B	yeah but it fits there'll be people working
A	yeah
G	mm
A	but then when it gets to the end of May the kids stay at school until half past one and then that's it
G	oh
A	so it's too hot in the afternoons
G	too hot
A	to be at school
G	yeah
A	but your kids can stay at school they have like lunch clubs cos not
G	yeah
A	and taken by their grandparents cos parents are at work
G	mm
A	but a lot of them will stay at like lunch clubs cos nobody can collect them
G	mm
A	it's quite inconvenient for parents
E	there's a lot of after school
G	yeah
A	to have to be around to pick them up to bring them back to take them back
G	yeah very inconvenient
E	mm
A	yeah cos one of my private classes there's these two girls who get picked up by their like nanny I play with them in English for an hour and do crafts and then they have their lunch and then they go back to school
G	mm
A	so their parents obviously feel like they've got to
G	fill that time
A	fill that big time
G	yeah
A	so I just take Ticket to Ride
G	ah
E	when in some schools here they have breakfast clubs apparently
A	yeah
F	mm
A	they call it wraparound care so that they can go to breakfast club and then they can go to afternoon after school club
E	yeah
A	so you could drop a child off at eight o'clock
F	yeah
A	until six o'clock
F	which if you've got
E	strange isn't it?
A	well I think it's there if you've if you are a working parent if you drop your child off at eight and you've got to be in the office
E	yeah
A	for nine and then you finish at five you can be back to pick up your child
E	that's right but you know you're not giving your children
G	no
E	you're not seeing
A	no
E	each other
G	no
E	they're having these afternoon things
G	mm
A	a lot of the school the one I worked in London they used to try to get as many children as possible in for breakfast club even if they their parents didn't work because they wanted to know that they were starting the day with breakfast
G	with a good meal
E	that was the
A	cos if they yeah
E	yeah
A	they used to say like you can come for free like just come because we want to know you're gonna start the day off with a full tummy and so it makes a difference to their attention for the rest of the day if they're not
E	yeah it does
A	hungry
E	yeah
G	cos you don't know how much they're having at home they could just be having
E	yeah yeah
G	a
E	mm
G	cereal they could just be having rubbish
A	so we had chickens so they used to go and collect the eggs from the chickens
G	ah
A	which was nice for them
G	that was nice
A	and then some of them used to stay after school even though their parents could look after them because they needed the help with the homework and they knew that if they went home no one was helping them at home they would just be sitting in front of the Playstation
G	mm
A	which isn't a bad thing but they would kind of go to our school club just to get a bit of extra help
G	yeah
A	no like extra
G	TAs?
A	TAs
G	mm
A	cos if you get free schools meals you can get a free breakfast club and free after school club
G	oh I see
[ANNOTATION]	if you get free school meals you get a free dinner	Neutral
A	so and a school is judged on its numbers of free school meals that's how they judge a school completely
G	mm
B	what do you mean completely?
A	that's how a school gets its funding it's entirely based on its number of free school meals
B	so not not grades not
A	no in terms of when the government
B	mm
A	they'll go right well this is the standard amount this school has to get because it's got sixty children so it has to have this amount but then they have a thing called pupil premium which then gives as school more money and that's based completely on the number of free school meals cos they think if for every child that needs free school meals then obviously they have to give a bit of extra money because there obviously there's gonna be some
A	kind of extra need that they might
B	mm
[ANNOTATION]	free school meals are provided to 40% of students	Neutral
A	need to have
A	so then that's why some of your richest schools are actually in the worst areas because they feel that they are the areas that need the extra money to look after the children that possibly aren't getting the at home support and things like that so that's why lots of schools try really hard
G	oh
A	they'll be a bit like are you sure you're not eligible?
G	yeah
A	are you sure you're not eligible?
G	mm
A	cos then they get it's a huge amount of extra money you get
[ANNOTATION]	Speaker G is not eligible for free school lunches	Entailment
G	oh
A	like thousands and thousands per child
E	these dogs are gonna miss this floor when we go back
B	how come this house is so warm when the fire's not on then? is it just come from the floor?
G	yeah
A	yeah
B	can you switch it off?
G	no
B	you can't switch it off?
G	no
B	but she couldn't even switch it off?
G	no it's just it's on constant constant hot water constant heat
A	but like a
B	must cost loads though
A	a regulated thing and though kind of like
[ANNOTATION]	whenever the fire is not on the house is very cold	Contradiction
B	it must cost loads
A	does it is it going off in the night?
B	and it makes it too hot as well doesn't it sometimes? it's like in the summer it would make it it would definitely be too hot
[ANNOTATION]	heating is very inexpensive	Contradiction
G	mm
B	you'd want that floor to be cold in the summer wouldn't you?
A	but maybe it's on like a
G	perhaps it's on a
A	yeah
B	no what I'm saying so she's
G	she said she doesn't understand it the plumber
[ANNOTATION]	the floor will be cold in the summer	Neutral
A	I think she just doesn't want you to start fiddling with
G	er yeah
A	the buttons
G	probably she doesn't want you to touch anything
E	is that included?
G	yeah
G	before we go home
E	well I'll save going home with a pile of dirty washing
G	yeah
E	after well it's depressing after a holiday
G	it is depressing after a holiday
E	yeah oh
B	when are you back in work?
G	oh
B	sorry
B	yeah I don't know what day what day
G	I think is that a Wednesday is that Wednesday?
A	Thursday
G	oh Thursday
A	so have to go back then
B	so you're back on Saturday
G	so I'm back on Saturday
B	that's alright
G	I'm not back in work until Thursday
A	yeah
B	oh that's alright
G	but I think I might be doing
A	Thursday's the thirty-first
G	yeah I might be doing Thursday Friday sleeping in Saturday off twelve hours Sunday maybe something like that
A	oh
G	it's
B	oh
E	but they have called you in before when you're off you know cos
G	yeah
E	oh yeah
G	thinking oh I've gotta go in soon
E	yeah
G	I've gotta go in soon but it would be nice cos the kids have will have gone home
B	yeah so what do you do then?
E	when's that little girl having the op?
G	erm the
F	come on girls
G	I don't know if that's the date or whatever
E	cos you said they didn't have a bed
G	no they didn't have an IT bed for ITU bed
E	yeah that's right yeah
G	IT oh IT oh whatever the it is yeah intensive care bed
B	but if there's not many kids like and it so and
G	so there might be
G	five or six
B	no but then what would
G	no I won't do that
B	or do you just
G	no
B	take them out?
G	the cleaning cleaning do that cleaners
B	mm
G	I've stopped
B	why?
G	I stopped after my car crash
B	mm
G	cos I thought mm they'd love me to still be driving because they haven't got many drivers
F	no
B	that's always the problem once it
G	but they don't pay they don't pay you the extra
B	no
G	you've got the
B	responsibility
G	responsibility
B	and
G	you're supposed to
B	you
G	check the vehicle before you
B	yeah
A	yeah
G	even leave the site I mean oh
B	and if you're concentrating before
G	no one puts petrol in so you you always have to look and think oh
E	oh
G	I've got to go and fill up the diesel
B	you'll be concentrating so if you're driving to
G	and
B	when you get there you've still gotta look after keep an
G	after
B	eye on the kids
G	yeah
B	and then drive back and then continue your job
G	yeah and you're tired and not only driving to Cardiff
B	mm
B	they should let you go home early or whatever say you've got back
G	you shouldn't have a child
A	yeah
B	no
A	you should
G	yeah
A	just be the driver for the day or
B	or so you've got back and you're er at the six hour of your eight hour shift they should go right go on then
G	yeah cos it's it is tiring driving
A	well that
B	it's just like well you're concentrating more cos you have kids in the back
G	yeah and you are also
A	yeah
G	responsible for all the anchors to four anchors on their chairs
A	yeah
G	you know
B	that's mad that don't pay you for
C	and they don't they don't think paying extra is
B	no
C	even a consideration?
G	no
C	and they wonder why people don't drive
G	yeah
C	well thanks for these nan
C	I think maybe not the pink scrunchie but the other ones
C	oh okay
E	yes
F	it was all talk that
G	they did a
B	anyway if the
G	I think there ought to be a bit of a showdown
F	no it was all talk
G	no no I think we can do it again
B	place your bets now
G	yeah
F	it's not going to happen
G	I think there needs to be a prize to spur them on
G	did you
A	er er
B	that's what she was saying
G	yeah?
A	the final was between me and
B	I think that was called off though
A	really?
C	to save everybody's blushes
A	relate reasons
G	so it's between
B	I don't mind
C	no they're the only players that didn't play
G	oh I see
B	how's your backhand grandpa?
F	oh about as good as my forehand
B	oh right
C	not bad eh?
B	I
F	any spinning or
G	you've got to spin
F	you know how to spin you can put a spin on can you?
G	go up to the loo
B	I've been in a training camp for six weeks in Beijing
F	oh right
B	I I've got a black belt in table tennis
F	yeah very popular but we never played
B	no?
F	badminton also was very popular out there
C	was it?
F	Eddy Choong was world champion for a long time
B	yeah? my dad show you he photos and everything then? were you
F	yes it was there was some good photos
B	were you forced to watch?
F	but it's so changed you we just
B	no I know
F	wouldn't have recognised it
B	no I know would you er forced to sit through the three-hour go pro video?
F	yeah of course
B	make you feel seasick
F	the first part the second part and the third part
B	oh right
F	no no but the Chinatown the third one wasn't er
B	they were hanging about there at that time were they?
F	yeah it's it's more likely used to be
B	did you recognise that church?
F	the church er yeah vaguely
B	yeah
F	the font was different it was in er the font was by the door
B	Comic Sans was it changed to?
F	mm
C	did did you give any thought at all to christening dad? you know because you're not particularly religious it was just a thing you did so you did it was it?
F	yeah yeah everybody was christened then
B	was that the only way he could get his passport?
F	no no er you everybody was christened then
C	but what did you think you were doing it for?
F	I don't know your parents decided
C	well you
F	and then
C	well
E	I suppose cos we were christened
F	yeah
E	and everybody around us was christened
B	dad didn't
E	and if they if you wanted to be married
B	for a joke
E	in church you had to be christened
C	I know that and I can see that you told
E	and the the godparents are there if something happens to the parents
C	okay but you were in Singapore right? you didn't
E	oh we had friends yeah the
C	no
E	the godparents were friends
F	we had family my sister was out there
C	oh really?
F	my brother was out there yeah
C	okay
B	did they put on a buffet afterwards?
E	yes
B	were you doing it for the sandwiches?
B	happy
F	and curry puffs
C	curry puffs?
G	oh you liked your curry puffs didn't you?
B	and you were allowed in the church
F	yeah
B	well well well
D	did you eat them after?
F	yes but there was well a lot more curry in these than the
D	yeah
F	there was only a little bit of curry in the puffs and the pastry was more flaky than theirs but it it was alright
B	oh
G	yeah
B	did you? what are curry puffs?
