B	I think you've grown yet again what are you? seven foot six?
A	it's great in here
B	it's good isn't it?
A	it's really good
B	and er you should have seen the roses they were just absolutely profuse and wonderful but it's still it's in a good state and we've had some rain in the back one
A	it's really nice
B	but really that's very nice even though it's just
A	I walked past erm
B	leave the door er with with the
A	and their front garden's horrible
B	it's really boring isn't it? there's just nothing there I know I think you may have met this person sitting in here
C	hi
A	hi
C	you alright?
B	let's make some tea or erm you drink tea don't you
A	er yeah I do
C	oh just
B	I said to
A	it's so green and
B	isn't it great?
C	yeah
B	I know
B	but you know it's very difficult to get a pretty garden seat which is also comfortable that's
A	when did you get all these plants?
B	over the last two years
A	oh they just grew you didn't buy them? they popped out?
B	well no I had to buy them bit by
B	bit and put them in
B	I mean the problem with pots is that it needs a huge amount of watering
C	well no I'm just not eating
B	or she doesn't eat wheat and B you have a girlfriend who's a proper cake maker and I thought what have I done?
A	oh did have some cakes to bring but I've left them
B	no
C	what cakes were they?
A	they were I mean they were quite sophisticated I mean I didn't really like them that much but
C	where?
B	what she made them?
A	yeah they're like polenta mix
C	oh I see that's like that's not wheat polenta's not wheat
A	yeah
C	is it?
B	oh
B	very annoying of you
C	go go away
B	cos I mean cos
A	you can have them later they they're in
C	yay
B	polenta er lemon cake is absolutely delicious
A	well I can't remember what's in it I think like rhubarb or something
B	oh alright well bring her bring
A	yeah
B	so I don't think this is really terrible special certainly not in your terms your terms now so
A	yeah
B	so well it was only five minutes ago that you went
B	I don't understand it
C	yeah it's true
B	isn't it isn't it weird? erm
A	yeah
B	do you know how you've done?
A	yeah I did alright
C	you did really well
A	yeah I did well
B	yes I'm sure I
A	could have I could have done better though that's
B	you could have done better? could you
B	I'm surprised and shocked
C	what well why didn't you then?
B	why didn't you?
A	oh cos I just got I got like erm
C	oh
B	oh right
C	yeah yeah
A	nothing I actually really prepared came up
B	oh that's really annoying
C	right
B	isn't it?
C	that is annoying
B	you had that in one or two didn't you
C	oh yeah yeah yeah
B	I mean I suppose that's a major
A	it was like I mean
B	oh yeah
A	in the other paper they had four questions and they all had the word moral in the title
C	oh that happened to me where they were all so similar yes but but
A	no I mean it's I can't be bothered it's not I'm sure
C	well you still did well
A	yeah
B	but I expect you have a view on what moral means
A	yeah I know but it was
C	mm
A	I was convinced it was gonna be about something else
C	oh right yeah yeah yeah
A	cos I thought they were meant to reflect what they focus on in lectures which are sort of women and stuff cos there's two women lecturers
C	yeah but if they do that or they like
A	or they don't
C	it really does piss you about that
A	yeah
B	but so you've actually had the results
A	yeah
B	already? and what are they?
A	I got sixty-nine overall
A	yeah
B	you'll have to work harder to get your first
A	well it's only one more point
B	I know but it's significant isn't it?
C	why
A	yeah
B	because you told me you're not aiming for a first
C	no I'm not aiming for a first mm
B	you all work hard and you
A	but also I mean I had
C	yeah right
A	I had one paper that was like fifty-seven so that
C	oh
A	to I mean and I had other stuff that was like I had an eighty
B	right
C	oh that's good
B	I'll tell you what it's nice to know that
B	you know you you you can't get a higher grade if you're anywhere but
C	wait
B	what?
C	are you calling
B	no I mean you can't get a grade you know a good grade
C	mm
B	he's got a good grade
C	yeah
A	yeah
C	a very good oh yeah
A	I mean I think only about eight eight people normally get a first not
B	yes er I mean it's
C	well they have to have it like that don't they?
B	not in my view that it makes any difference to one's life
A	yeah more people get it in the third year than the second year
B	do they?
C	oh right
A	second year's
B	what they're doing you see what they're doing with you I can tell you that for so giving you sixty-nine is saying watch it
A	they they're not doing that
B	you know erm you think you're clever but we would like you to really pull the stops out so
A	I don't know it's actually cos of the second year you you have less choice of what you can do so you have to do stuff
C	oh yeah
A	yeah I think so
B	do you and
A	and it's so broad that you have to do
B	and do you have to choose thesis for your last year?
A	you don't have to but I probably will
B	right and what will it be?
A	I dunno that's what I'm trying to work out at the moment
C	moral something
B	well I'm er very glad that you somebody's learning about morals
A	well the whole point there is no morals in the end
B	that's what I suspected you might think
A	yeah I can do some help
B	it's good isn't it her subject?
