A	cos I I didn't know it was on you see and erm
B	well we we were told by the guy who runs
A	right and I
B	and he told us
A	hadn't twigged that
B	he told us to turn up on the square
A	right
B	at quarter to ten
A	right
B	which we duly did
A	right
B	so off we went to the school erm and we got to the school and it there was just masses of people
A	yeah
B	we thought oh
A	yeah no like
B	er
A	it's totally
A	bewildering because it was like I went up there about three erm no no no I was gonna go up there for about three no that's right that's what
B	mm
A	friend of mine they had been
B	mm
A	it was kind of like four hundred five hundred people
B	hello?
A	yeah so she said it
A	it was amazing like and she said they were all wandering around like sheep trying to find this waterfall
B	well they'd done two waterfalls there er it was absolutely impossible to photograph them cos they were just full of people
A	yeah yeah
B	erm but now I know where they are I can drive to the
A	yeah okay great
B	and take pictures
A	yeah well that's right I mean
B	well
A	yeah
B	you come to the sort of curve where the same builder that built these houses has got another sort of five or six
A	yeah
B	and one of them has got no windows in it but the road does a very sharp turn
A	yes I know where you mean yeah
B	yeah? well if you go up that road there
A	yeah
B	you come to the next very sharp right hand turn
A	yeah yeah yeah yeah
B	and there's an an old walnut tree on the side of the road
A	okay
B	and there's a riverbed there well that I can't remember  if it's actually flowing now
A	oh right
B	and if you go across the river
A	yeah
B	erm
A	little stream yeah
B	er and then walk up
A	yeah
B	about a hundred and fifty yards up
A	yeah
B	there's a waterfall it's only about three metres
A	yeah yeah
B	but it's pretty
A	it's pretty and it's
B	er
A	a waterfall
B	and there's lots of wild
A	yeah
B	orchids and tulips and things there
A	oh beautiful
B	erm very pretty
A	yeah
B	but I don't think most of them saw it and most of them were
A	yeah
B	by the masses
A	so kind of a good idea but
B	yeah
A	but maybe control the amount of people next time yeah split
B	and then er
A	up into a morning and afternoon thing
B	we went back down erm there were two ways you could either walk back down the road and turn left or you just went up the hill a little bit
A	mm
B	and then cut back down a dirt track
A	okay
B	erm
A	yeah
B	and you went to
A	right
B	and you have to cut across this river and then up a bloody steep hill I mean it was like almost
A	right
B	kind of like
B	I'm gonna die
B	erm rope me up
A	yeah
B	er erm
B	you get to the top of this and then you have to go down the other side of this hill which was also quite steep and you were sort of scrambling down there
A	right
B	and then er if you turned left up that big valley
A	yeah
B	there was another waterfall
A	oh wow
B	erm
A	yeah but
B	in in
A	kind of
B	in the UK
A	interesting
B	the walks are
A	well no but here I guess waterfalls are quite something because
B	yeah
A	yeah
B	er erm when I went to see Karsiyaka pond and they'd planted all those trees en route and
A	oh
B	erm
A	that's nice
B	oh yeah er water and coffee for sale at all the stops
A	yeah
B	that I had there
A	yeah yeah
B	and they provided Dixi cabins so people could go to the toilet on the
A	yeah
A	yeah so it was a well
B	mm
A	organised
B	mm
A	thing
B	mm and
A	oh you're joking me
B	and it stuck with them there and nobody could
A	oh no how frustrating
B	yes it is
A	yet so far
B	your Cypriot
A	yes
B	organisation
A	yeah
B	it's ought to do do you take sugar?
A	no thanks just a bit of milk will be good thanks
B	that was so
A	yeah
B	yeah I mean they did it last year and I missed it
A	right so you wanted to do it
B	erm
A	this year yeah
B	er and I thought well I'll do it this year and
A	yeah
B	see what it's like I mean we met loads of different people there and
A	yeah
B	erm
A	it's quite a walking kind of community here it seems that
B	yeah er
A	people do really like to get out
B	the problem the problem I find here is that it's a walking kind of community but they don't see anything
A	mm mm
B	you go there and you say have you seen the local orchids and they look at you and go what?
A	mm
B	look at that that's an orchid
A	yeah
B	mm
A	wanna take it in
B	erm you know have you seen this lump of stone here? this is bronze age this is a such and such it's part of a mill
A	yeah
B	okay
B	yeah okay yeah
A	yeah
B	so?
B	what's bronze age?
B	and you go
B	god I think
A	you just wanna download some information into their heads so
B	so yeah
A	they can kind of enjoy it a bit more
B	I mean it
A	yeah
B	just frustrates me
A	yeah do do you find that with the Cypriots then mostly do you mean?
B	yeah
A	that they are
B	no I mean so
A	they're not
B	the Turks have got no fucking idea whatsoever
A	yeah yeah
B	they don't
A	yeah yeah
B	un fucking believable
A	yeah
B	two years two years ago October? no yeah two years ago October
A	mm
B	we went up to erm the Karpass
A	uhu
B	without GPS then and I'd do
A	yeah yeah yeah
B	running around and
B	and
A	oh
B	maps
A	right yeah
B	which are illegal here by the way
A	yeah I can imagine
B	you're
A	yeah yeah yeah yeah
B	but they're literally so detailed you've got every bloody tree on the island
A	wow
B	well well they've died since but
A	yeah but you
B	erm
A	that's how detailed they were
B	and they've got Roman individual graves and Bronze Age graves
A	wow
B	of tumuli and whatever on them
A	wow
B	and they're fascinating documents
A	yeah yeah brilliant who did all of those then? the army?
B	the
A	the British army?
B	er Royal Engineers
A	the Royal Engineers yeah
B	and erm
B	erm but officially you know you can't get hold of them and yet the University of Berkeley in California has got them in their library and you can actually pay and get
A	get them
B	copies
A	yeah
B	downloaded to be printed
A	the University
B	which is
A	of Berkeley?
B	weird
A	and for yeah
B	erm how they get to the University of Berkeley library I have no idea
A	mm
B	anyway we found this place called Knidos
A	uhu
B	marked on the map
A	uhu
B	er tell a lie
A	right
B	you know it was somewhere or other after
A	yeah
B	the Phoenicians
A	yeah
B	and there was a harbour there and a big settlement and a big necropolis
A	yeah
B	beautiful little place
A	yeah
B	so we sat down
A	yeah
B	we ended up
A	yeah
B	Knidos
A	yeah
B	er
B	yeah well according to the map we've got it's here
A	yeah
B	yeah
A	talking about yeah
B	and all you got was well we're not from here we're from Van or we're from erm Mersin or we're from
A	yeah okay
B	somewhere or other
A	yeah so it's a Turkish
B	yeah so well you've never
A	yeah
B	been down to the coastline and had a look for this thing?
A	mm
B	why?
A	yeah yeah doesn't interest them
B	so we drove up into the countryside and we drove off road for about oh I don't know
A	right okay
B	across
A	off the beaten then?
B	mm well it wasn't a
A	yeah
B	track
A	oh right you just were
B	it was just
B	this was a mark
A	yeah
A	right
B	there was occasional some hunters' tracks every now and again and you'd find a can of
A	yeah
B	shotgun cartridges
A	yeah
B	and that was
A	yeah that was it
B	about the only sign of civilisation you found and we got to the place where we couldn't go any further there was a big high bunch of thorny
A	oh right
A	yeah
B	erm
A	yeah you're not going to try and go through there yeah
B	er not to go without the right car
A	yeah
B	and the erm
A	mm
B	just looking at the valley I said there there's steps going in the floor of that valley
A	wow
B	look
A	yeah
B	and on the way down there were all these holes er about
A	wow
B	that people had robbed graves that were in the cliff side
A	right
B	there must have been a couple of hundred of these and they were all
A	wow
B	freshly dug up
A	no
B	er and they'd all been plundered and you looked down these holes and you could see that they I mean
A	yeah
B	that goes into a sideways
A	yeah
B	cave
A	yeah yeah okay yeah
B	in the cliff
A	yeah
B	and that's where they put the body and the
A	yeah
B	grave goods and stuff like that
A	yeah
B	and er we get down and you can see the floor plans of these houses had been cut into the basic rock
A	yeah
B	and then obviously had had walls built up on the outside of the walls
A	yeah right yeah
B	long gone I mean they're about three and half thousand years BC
A	oh wow
B	and er so we eventually found er a track that went around this
A	mm wow
B	and
A	great stuff
B	drove
A	yeah
B	across and found I don't have you ever been to the Salamis tombs of the kings?
A	the what? the one up the way?
B	no these ones are on by er by Famagusta
A	no I haven't yet
B	at Salamis around there
A	I haven't been there yet
B	well they've got a a whole series of graves there that they've dug up the sort of noble part of the local cemetery
A	uhu
B	well they're not kings' graves by any stretch of the imagination but they must have been pretty rich noblemen
A	uhu
B	or businessmen erm and some of the designs are of a typical erm archaic period design where you had a a ramp that went down
A	mm
B	normally quite funnel shaped there was large steps going down
A	mm
B	and then a square portico
A	uhu
B	going into a hole in the ground where
A	mm
B	the burial chamber was
A	yeah yeah
B	and we're going along and we're driving through the I mean this absolute wilderness
A	yeah
B	and there's these piles of stones like domes
A	right wow
B	and we're thinking what the hell are these things?
A	yeah what are they doing there? yeah
B	and a few people have tried pulling them apart where you can see they'd been ripped apart there's nothing inside them
A	oh right
B	they're just like
A	just domes
B	just domes of stones
A	yeah
B	they're not even hollow they're solid
A	yeah yeah
B	probably people on the farms had just put them there to get them out of the fields
A	right yeah
B	you know except there's no fields
A	right okay yeah
B	and we're parked having a look at these stones and I suddenly see right next to me hidden in long grass is this cube of rock absolutely perfectly
A	yeah
B	nothing
A	wow
B	erm don't know what rock it is
A	yeah
B	but it's not local
A	yeah
B	it's this cube about I don't know sixty centimetres sixty centimetres
A	right yeah
B	and I'm looking at it and I think this is strange and then in the ground I see the top bar of the
A	wow
B	and you can see the side walls going in towards it
A	right
B	but it's filled in right up to the top
A	right okay yeah
B	I don't know whether it's been dug up or not
A	yeah or what
B	probably has
A	yeah
B	in the past but
A	yeah
B	erm the thing is where there's one there's loads
A	right right okay yeah so you're probably standing on a whole sort of cemetery
B	yeah
A	of them yeah yeah
B	a fascinating trip
A	wow
B	but as I say the locals have got no idea
A	no
B	they go out for the walk
A	yeah
B	they go out for the barbeque
A	yeah
B	they'll leave all their rubbish behind
A	yeah
B	erm
A	but they're not interested in exploring
B	no
A	it or trying to
B	I mean I've heard
A	understand it
B	I've heard the argument from my neighbours that er yeah well you have to leave your rubbish behind
B	why?
A	why?
B	cos it gives the council workers something to do
B	they've got nothing to do otherwise
B	I mean he's perfectly serious
A	well
B	I mean er what?
A	yeah that is just wrong
B	yeah crazy
A	it's just
B	yeah
A	yeah
B	I mean some of the some of the mentality here is totally off the wall
A	yeah yeah
B	and they think it's perfectly normal
B	well I suppose they think they're keeping the economy going cos this council worker that picks up the rubbish has got a supervisor
A	yeah
B	who's got a boss
A	yeah
B	whose cousin's one of their family
B	and he's being paid to do it
A	yeah
B	but
A	yeah
B	to think that they could possibly just remotely be able to do something constructive
A	exactly
B	instead of picking up
A	yeah yeah in fact I'm even erm surprised to hear that they even go and send people to pick stuff up because when I've been out and about it looks like litter's been you know there for for ages
