C	hey mum
A	yes?
C	every time on the sixth of September I have a tea party
B	so she was with her parents and her sister and they were in in er a field
A	okay
B	because all the other people had little bunny ears on them
A	uhu
B	and then and then they said oh look at that little one holding her mother's hand
A	and well what happened to Alice?
B	and then they said use your imagination
A	uhu
B	so she did
A	uhu
B	and then she found herself in this
A	uhu
[ANNOTATION]	The tea party is not in December.	Entailment
B	with loads of things
A	who did she meet? did she meet
B	erm she
A	a rabbit?
B	erm she met er the rabbit
A	uhu
B	and then she went erm through
A	was he late for a very important date?
B	he was late
B	for a very important party
A	uhu
B	and then she went and then she did something she went and then she went through the rabbit hole and then she grow and then she went big and then she ate a cupcake
A	uhu
B	and then it and then it
A	what did the cupcake do to her?
B	made her go it made her shrink
A	did it shrink her? uhu
[ANNOTATION]	The rabbit was late for the event.	Entailment
B	yeah and I and I and
[ANNOTATION]	When she ate the cupcakes, she shrunk per 120 cm.	Neutral
A	oh the scary version?
B	and I've seen yeah and I've seen the bit where she eats the cupcake and she gets really small and she
A	is that the cartoon or with actors?
B	with actors
A	that's a really quite weird version that one
B	yeah
A	I don't think you would like it
B	it's got the somebody with a white face and going
A	yeah yes it's not nice that one did you meet the March hare?
[ANNOTATION]	Six actors were needed for the scene speaker B describes.	Neutral
B	yeah erm where they're playing the game
A	and the little dormouse in a teapot?
B	yeah
A	uhu
B	and they're and erm and they had to and then I remember them them the
B	and the and then Alice lost
A	uhu
B	and she was quite upset cos she wanted to get her imagination
[ANNOTATION]	The rabbit was lost.	Contradiction
A	mm
B	before but before that
A	uhu
B	she found a caterpillar and then they told her where to do it and she followed the sounds of the crying baby to the house of the party then she imagined the
A	and was the Queen of Hearts there playing croquet?
B	not yet not yet
A	was she nice or nasty?
B	not yet not yet
A	oh
A	sorry
B	and erm then she found the the cry she found the baby and the cook
A	mm
B	and the duchess he was the Captain Sinker
C	and her men?
B	Line was a baby a very big baby was er like
C	and a very ugly baby
A	who was playing the baby?
B	Line
A	who's Line?
B	he's a
C	Line
B	he's a person in
C	Swashbuckle
A	oh
B	and then they made some jam tarts which the cook tried to put pepper on
A	mm
B	and they all sneeze and they got jam on their faces
A	I think I saw that bit of the pantomime
B	yeah it and they
A	a thingy pack of cards uhu
B	yeah which was a children
A	uhu
B	and then she
A	servant?
A	yeah
B	and the baby he moved the thing
A	uhu the croquet hoop
B	yeah
A	yeah so the duchess had
A	were they was she playing with a hedgehog as a ball?
B	erm she no
A	oh and who was playing the Queen of Hearts?
B	Justin
