A	tender
D	in a good way?
A	it's an it's er basically
B	it means
A	explains itself
B	soft
D	does tender mean tasty?
A	er no tender
B	it means soft
A	means soft
D	okay
B	cut them up with the fork please and a knife even
C	okay
C	there
A	alright
B	why was your work
C	these bits don't mum these don't really taste nice
B	just have whatever you like
C	okay
D	mm
C	what?
B	you have to have some cucumber or carrot though
D	okay I'll have some cucumber
A	hashy brownies
B	are you gonna answer me?
A	why was why was it interesting?
B	mm
A	erm
B	wow
A	it's very annoying
D	why?
B	cos
A	mm hm
B	uhu
A	which is just very rude in my opinion
C	very
D	it's very rude in my opinion
B	that tap's still dripping
C	I declare war
B	no it wasn't me that left it dripping
A	that's the hot tap
B	is it?
A	yeah
B	oh well
B	maybe it was me then
B	are you going to tell
A	the song that you want to do but can't?
D	yeah Mr we're not allowed to do it for Sing Up
A	why?
D	well Mr
A	well wait wait let's let's
D	Mr
A	can I work it out? can I
D	yeah
A	okay right what's the song?
B	what?
A	the reason why you're not allowed to do it
B	oh so you know what the
D	Mr
B	go on tell
C	no
D	Sparkle and Shine
A	what is it?
D	Sparkle and Shine
A	Sparkle and Shine? how does it go?
B	the song from the
A	oh
B	mm
A	copyright?
B	mm?
A	copyright?
D	Mr
B	but you could sing it without song couldn't er without the song
D	yeah
C	mm
B	you could just sing it on its own
D	I I'm not agreeing about the reason
B	sorry?
D	I'm not agreeing about the reason why not don't criticise me
A	bit of a lame reason
B	is it religious? is it meant to be an assembly?
D	erm it's Sing Up
B	put that down and cut it up
B	thank you
C	what's the song I'm singing?
B	are all your songs religious
C	no
B	oh yeah
A	mm hm
D	what not to do it?
B	it might be copyright reasons though
A	could possibly be
B	so they'd if they were going to sing it they might have to pay for the
A	yeah
D	but we
D	for our silent movie we have the Grinch
A	mm?
B	oh how long do you have it for?
C	guess what's
D	and he's the
C	erm
D	one of the main characters
A	what?
C	what do my slippers have on them?
D	oh
A	butterflies
C	no
A	princesses
C	close
A	a princess
C	no
A	a frozen princess
C	no
D	it's something to do with a princess
B	is it?
A	is it from Disney?
D	no
C	no
A	alright a princess
B	is it a fairy?
C	shall I tell you? it's a
B	is it a crown? is it a wand?
D	it's a fairy and
B	is it a carriage? like a fairy and a princess?
C	it's a fairy princess
B	it's a fairy princess
A	good grief
D	I used to
C	have a look have a look have a look
B	mm hm
A	those little chipolatas are spicy aren't they?
B	are they?
A	mm
D	yeah
C	chipolatas
B	are they?
A	yeah
C	not for me I dip them in ketchup and they're fine
B	spicy do you mean peppery?
A	mm
C	no no no not for me
B	that's the one that you normally have
A	they're nice though
C	I like them mum
D	spicy but nice
B	but that are they different to your normal ones?
B	no but those are the ones I always get so are they different to how they are normally?
C	yeah
B	oh how strange
C	you must have brought the wrong ones or they
B	no
C	wait did you order these online?
B	yes they might have changed their recipe
C	yeah but they probably mixed up your order
B	no they didn't they've just
B	they've just they've obviously just changed the recipe
D	why's that funny?
A	you are you are Mr theory
A	mm
D	a dragon swooped in
C	and said
A	a chicken?
D	a dragon
B	you like stacking things up don't you
A	I love stacking things up
D	a dragon swooped in and then erm said they had to mix up the order
A	I thought you said a chicken swooped in
D	no I said a dragon
A	oh
B	would you like to go to a posh restaurant where they pile things up for desserts?
C	er mama today I saw something weird
A	like
B	well that's a specific dessert isn't it?
A	doesn't have to be for dessert can be for other things
B	such as?
A	main course
B	well with what in the filling?
A	erm
B	rubbish
A	it's true
B	you can have a
A	yeah
B	and what would the sauce be?
D	ketchup
A	raspberry coulis
B	but it's a crème pat in it
B	with raspberries or strawberries so what would you have in it instead?
D	more like a cowpat
B	are you making this up?
D	I'm mum no mum look at this
A	no
B	yes you are
A	I'm not
D	erm I'm
C	look at this look at the ketchup it looks really funny
B	okay
C	cos
B	mm hm
C	well mum it looks like a devil with one
B	mm blimey
B	like the devil
C	the devil
B	good grief
A	crumbs
D	can I see?
A	red face devil
D	wait
B	can I please see you use your knife more
B	you have to take that Brownie handbook everywhere you go?
C	oh
A	mm
B	words would be nice
