B	yep
B	he
A	mm
B	are you coming in
B	I thought you'd disappeared
C	no
A	yeah
C	he's alright
B	yeah he's still there
C	he's still there
B	mm
C	and he's got his water with him so he's
B	alright
A	mm
B	so how's it going then?
A	gotta drill and screw it all together now
B	what is it you're making?
A	a stand for his sign
B	oh right
C	a mini halving joint but just a little one
B	the what?
C	it won't it won't spin will it? it'll stop it
A	yeah
C	it it won't I don't want it turning cos you know what they'll do these farmers they will they'll just fold it up and put it down you know?
A	yeah
C	so I think that
C	this is lovely
B	well not much but this er ordinary cheese?
C	oh thank you
B	cream cheese and that's lemon marmalade
C	oh lovely
B	mm
C	and Lidl's had an offer on my favourite marmalade which is the erm lemon oh it is
A	oh yeah
C	yes
A	yeah
B	yeah
C	yeah
A	that's what we used to
C	that was under a pound
A	mm
B	mm
C	it won't be there when it's gone that's it they keep
A	yeah
B	mm
C	they keep major brands come in for just one block and then they go don't they?
A	mm
C	so that's
B	yeah
C	so what is this? this is all different
B	cream cheese and marmite
C	okay
B	erm cheddar
C	oh lovely
B	mm
C	thank you yeah and er and a choice of crunchy butter
B	mm yeah with a spoon
C	and I think that's probably ever so naughty isn't it? that or is it good for you?
A	protein
B	mm
C	mm
B	mm
A	mm
C	is the fat in it alright?
C	mm?
C	so that's half of it's fat but is it saturated? or unsaturated?
B	mm no saturates it's only nine point four
C	oh there we are
B	and there you are
B	not bad at all
C	no mm oh this is lovely
B	mm
C	is it your own cream cheese? no?
B	mm
C	mm
B	sesame seed and sunflower
A	yeah
B	yeah
C	mm
B	cooked this morning
C	they're putting more and more air in this bread it's all fluffed it's nearly all air now isn't it?
B	mm
A	there's so put so much flour in it now so I can't I can't tolerate it
C	mm
B	mm
C	mm
B	and they put allsorts they won't even tell you
A	no
C	mm
B	on television
C	what's gluten-free mean?
A	it means they've taken all the you know when you make dough and it's stretched and what have you?
C	mm
A	that's the gluten in the dough
C	mm
A	that's removed all the gluten
C	well
A	so that people can have
B	who can't have wheat
A	wheat intolerant
C	ah well the
B	mm
C	so I said to the lady she'd just filled them up just cooked them they're still hot and oh what's that round one there?
B	mm
C	full of air
A	mm
C	loads of air in it
B	mm
A	but it's popular because people
C	mm mm
A	are gluten intolerant
C	mm
C	they didn't used to be did they?
A	nobody used to be
B	yeah
C	er it's it's this all this ready made stuff
A	it's all the additives they put in em
A	I mean I can't remember anyone being
C	no
B	I don't know quite how they make that bread do you?
A	no
B	without the gluten in
C	very tasty it's lovely but it's nearly all air
A	mm
B	mm
C	there's great huge holes in it
A	is there?
C	mm
B	mm
C	in fact er
A	mm
C	and she she sold it to me as a seeded one or something but I don't mind er I think they're all the same price but
A	mm
B	yeah mm
C	erm well they must be I think
B	they're supposed to go through and
C	mm but they
A	yeah
C	they just chuck em in the bin there
A	mm
C	just
B	yeah I suppose it's difficult to do
B	mm
A	twenty-nine pence a
C	it always surprises me you know I come out with two huge bags full of stuff weighing a lot you know ten pound nine pound eleven pound
B	mm
C	and you think well
B	well that's why the supermarkets
C	well when you think for the by by the weight you know it's you eat it by the weight don't you?
A	mm
B	mm
C	if something's heavy you don't you eat less of it
A	well mm
B	mm so you're back to Morrisons are you?
A	no
C	no Lidl's
A	Lidl
B	oh Lidl
C	I only go to Morrison's er they don't do things like
B	mm
C	you know the boxes of Bonios? they've never been below one sixty-nine they're normally over one sixty-nine they had just one block up there special pound
A	mm
B	mm
C	well I bought seven didn't I?
C	seven boxes that that's about two or three months worth don't they don't run out till two thousand and sixteen
B	yeah mm
C	well it was silly not to
B	yeah
B	mm
C	it's just sitting in the cupboard
A	mm
C	but I've run out of shapes
B	oh right
C	and the bag isn't the same
B	yeah they look identical don't they?
C	you can pick up the wrong one yeah
B	I
C	they make em to look identical but as long as you look out for that
C	they're very very yeah yeah
B	mm
C	mm
B	mm
C	mm
B	good
C	yeah
B	mm
C	got that out of the way
B	yeah
C	now that one
A	mm yeah
B	yeah
C	thank you
B	I got out the chutney for you
C	that's alright
B	mm?
C	mm mm
B	mm
C	mm
A	you used to like Sainsbury's
C	I do like Sainsbury's
B	we're still waiting for you to go to Sainsbury's aren't we?
A	you don't go Sainsbury's anymore you go to
B	no I know
C	I do go to Sainsbury's when I go down to
A	oh yeah
B	oh we did that the other day
C	it was silly not to
B	when we came back from
C	no
B	oh
C	it was good was it?
B	oh yeah it was brilliant yeah
C	mm mm
B	we were really lucky we got
A	mm
C	mm
A	we did we had lovely weather
C	that's all cos er cos you can get hit with it there
B	mm no just happened to be picked lucky I think
A	mm
C	mm
B	apart from there was one gale wasn't there?
A	mm
B	but we still went out and it was quite
A	one gale come in off the sea
C	mm
A	if we'd've been walking
C	mm
A	with it coming off the land you'd've fallen off the cliff no doubt
C	mm
A	that blew you over didn't it?
B	mm
C	mm mm
A	literally blew her over
B	very hard to stand up straight
A	no
B	it was a
A	mm
C	mm
A	mm
B	to get to the
C	mm
B	where we wanted to
A	mm
C	mm
B	mm that was good
C	it is nice down there but it's very it's right on a limb isn't it?
A	yeah
B	yeah
A	oh yeah
B	mm
C	mm
A	so the most
B	mm
C	mm mm
A	the
C	is it the most westerly? no I think erm
B	mm
A	I dunno about
A	but I know this is
C	mm mm
A	the most southerly
C	mm
B	mm
C	no
B	mm
A	mm
B	yeah
C	mm
A	yeah
B	met lots of different people didn't we?
A	oh and we got a house point didn't we?
B	yeah and they wrote us a letter
C	did they?
B	yeah they
C	mm
B	fifteen miles away something like that
A	mm mm
C	mm
C	mm
B	she actually lived back in
C	right
B	opposite opposite where we were so we had our own combination
C	mm
B	they were opposite
C	mm
B	even if it was late and erm yeah we got to
A	yeah
B	and she wrote us a brilliant report
C	oh
B	erm we've never had one before
A	no we haven't
B	and it was er how excellent our housekeeping our erm cos
A	yeah mm
B	and that
A	mm
B	you know and er how we interacted with the guests and and their paperwork
A	yeah
B	all the bookwork
C	well that's good isn't it?
B	erm
C	mm
A	yeah but head office
B	yeah she didn't send it to us
C	mm?
A	head office sent it
C	they
B	so she she put in a
A	mm
A	yeah
B	mm so we were really pleased with that
C	mm
B	we didn't know they did reports on us
A	no
B	probably don't normally cos we don't normally see em
A	no
B	mm
B	mm
C	could I have another one of those? or
B	yeah you can help yourself
C	mm?
B	yeah
C	sure?
B	yeah there was this Germany girl as well which we
C	mm
B	she's didn't realise she was expecting a baby and she came down the next morning and she said
B	she got she got erm
C	oh
B	and do we know the number of a hospital? so we looked it all up
C	what was she doing miles away from home?
A	walking
B	well she was only six months but
C	oh I see oh so
B	mm
C	mm
B	was with her cousin wasn't she?
A	mm
C	oh so she wasn't on her own then?
A	no she wasn't on her own
C	mm
A	but she was the driver
C	oh
B	mm
A	yeah
B	which made it a bit difficult
A	it did didn't it?
B	and then we managed to get her an appointment
C	mm
B	we said don't go to hospital cos it's miles and miles away
A	yeah
C	mm
B	er and the doctor then in
B	no
C	what?
B	there were they were only open for a couple of hours a day and that's only for four days a week
C	mm
B	that was absolutely useless
C	mm
B	er
C	mm
B	and then and the next place was
C	mm
B	the
C	mm
B	health centre
A	yeah
C	mm
A	at
A	that's what it was called
B	that's right
B	mm and I managed to get her an appointment immediately which is good
C	mm mm
A	crying
C	mm
A	we just hope she's alright
B	mm
C	mm
A	we don't know
A	mm
B	yeah
B	what else did we have that was difficult? can't remember now
B	no not really did we?
A	no
A	yeah
B	mm
A	mm
