A	I think kind of like since yeah since we kind of got back from Paris and had like a chat
B	mm
A	she just kind of
B	yeah
A	erm
B	mm
A	since Paris once or twice erm and then today like normally we have breakfast Friday and then last week I didn't do cos we were going out for dinner in the evening and I I just can't eat that much
B	mm
A	like a
B	mm
A	and I was like okay I wonder where she's going got breakfast on her own and then someone said oh didn't you go with
B	okay
A	and I was like I didn't do it one day
B	very peculiar
A	you alright? what did you do?
B	just lifted that juice up and flicked it out
A	oh
B	just got water down my top
A	nice
B	that's quite a
B	good shot though water well done
A	yeah she's just
B	being weird
A	being
B	it was actually quite
A	yeah yeah
B	like to be fair that's what my jobs gonna be
A	really?
B	get used to it I suppose
A	how many days are you gonna be working from home?
B	dunno
A	oh okay
B	we have got a base but
A	rent
A	building yeah
B	so there's gonna be like a team of sixty with space for twenty so there's not gonna be any room for anyone so we'll be working remotely quite a lot
A	I guess as long as you do the job it doesn't matter where you work though does it? like
B	it just makes it a lot
A	mm
B	people that perhaps I don't know think that they can do it on their own and that that's where it could get a bit dangerous really
A	I think monitoring people is gonna be dangerous
B	mm
A	it's gonna be hard because at work yeah I do fuck about sometimes and do like online shopping or check the Daily Mail and stuff
B	mm
A	but I still do my work
B	yeah
A	if I was at home I would think I could be so easily be like oh it's lunch break let's watch an episode on Netflix
B	mm
A	oh let's have another episode on Netflix
A	yeah you have to be really
B	mm I suppose the difference is is that if I don't get something done then someone
A	yeah
B	as a result
A	yeah
B	I mean I probably wouldn't work
A	yeah
B	because oh the fucking table's
A	oh god
B	so wobbly
A	I know god
B	erm
A	mm
B	I'd imagine it would be so you'd probably fit all your
A	yeah
B	in the days after probably
A	yeah
B	at home
A	how much are you gonna be
B	don't know
A	or
B	how it'll work
A	mm
B	we'll see
A	I'd love to work from home a few days but
B	quite enjoyed it I mean I can I I I could work from home as
A	no and also going to work you get the social side of it as well like
B	yeah exactly
A	I like the people I work with
B	mm
A	it's a really nice team I like going in and seeing them and
B	yeah
A	building that relationship with people like and then I'm more likely to get something people are more likely to do something for you or you're more likely to do something for somebody else if you're there on the spot they come up to your desk they tell you to do it
B	or they know you already
A	or they know you and they're like
B	mm
A	yeah okay and you build that relationship with people like I if I'm like if you have a like solely email relationships with people it's quite difficult
B	people don't really have that bond do they?
A	no and like well even even if you just speak to someone on the phone you get across a bit of your personality and
B	mm
A	you know what type like if you're a bit chirpy or how you say things so
B	yeah
A	I think it's really important to meet people face to face
B	defo
A	do you know when you're gonna have to start doing it more often or is it now? basically
B	erm
A	mm
B	from the first so
A	yeah
B	just when Christmas starts
B	that's sixty
A	oh so yeah maybe it is
B	yeah
A	yeah sixty-eight yeah
B	yeah
A	it'll be
B	I thought you said eighty-six
A	it is eighty-six
B	oh yeah sixty
B	mm
A	and that was eighty-five wasn't it?
B	I was being really stupid then
A	I dunno it's around yeah okay fair enough it is around the eighty I take it back whoever wrote that on Facebook
B	you're right
A	me judging you
B	I am
A	oh okay
B	it's just hard to eat cos it's hot
A	yeah
B	mm and I'm cooling it
A	the moment people start being like what are you gonna get that person for Christmas? I'm like oh fuck
B	dunno
A	I have no idea
B	pass
A	I don't start Christmas shopping until like the week before Christmas
B	yeah
A	yeah you said I think that's gonna be so cool that's gonna be so cute
B	well I'll try
A	like I
B	yeah
A	it's so stupid
A	good at the same time
B	you hope someone would would definitely make the cake but they probably won't
A	yeah
A	yeah you would hope
B	mm
A	although knowing me I would be
B	that would be the thing wouldn't it? you'd have to trust them that they put it in right
A	yeah
B	just dump it all in the bowl and put it in
B	mm
A	whisk it and it's done
B	mm fingers crossed it comes out
A	comes out and gives everybody food poisoning wahoo er but you can't really give people food poisoning with a cake can you? unless the egg's gone off
B	unless the egg yeah unless the egg's dodgy but no
A	death by cake
B	if they got food poisoning by the cake it wouldn't be your fault it'd be the egg fault
A	that's true
B	mm I've heard that before
A	like what the fuck?
B	more than a shark attack
A	yeah well who who who dies from a vending machine? like
B	some idiot that shakes it
A	well
B	it is really stupid
A	people die in the most stupid way sometimes
B	there's a lot of selfie deaths now as well apparently
A	oh I did see that death by selfie stick was it?
B	mm
A	what is it? because you're
A	or?
B	some of them
A	I dunno
B	were like that cos you're paying so much to the selfie you don't look where you're going
A	mm
B	who is that?
A	who is it?
B	an 0 two 0 number
A	an 0 two 0 number?
B	they hung up
A	what twats
B	probably one of those cold calls sometimes they see I pick up they ring me back again
A	I got an 0 two 0 number today call me and I just didn't I just ignored it I always ignore them because I hate them so much and
B	they're so annoying
A	you're gonna talk to me about some shit that I don't want
B	leave me alone
A	yeah it's like if I want to if I want to talk to you I'll call you
B	they ring you
A	mm
A	I've never thought about PPI claims before it's like
A	for fuck
A	yeah
B	I love garlic bread
A	it is a good shout whoever invented it just
B	mm
A	really really wanted something crunchy and garlicky
B	they knew
A	they knew
B	oops
A	you alright? you start throwing it everywhere
B	just flicking myself with garlic
A	to be fair there are worse things to be flicked by
B	octopus actually I I tried octopus it's not actually that bad
A	I tried as well it was actually okay
B	mm
A	did you know when an octopus gets stressed it eats its own leg?
B	yes
A	oh okay
B	ruined
A	ruined
B	yeah I've heard that before
B	yeah
A	or something like that
B	now that's dramatic
A	yeah now that is dramatic
A	too far
B	I mean can you imagine if that's what we did when we were stressed?
B	to be fair we'd be limbless wouldn't we really?
A	we
B	maybe yeah yeah yeah you'd do that first
A	so that'd mean you'd only be able to get stressed ten
B	fourteen
A	twenty
B	oh no twenty-four times
A	twenty-four times that is that is not good
