B	of what she thinks the words are
C	yeah
B	she might have heard a word
C	yeah
B	and she will
C	yeah
A	mm
B	gives us another reason to laugh at her
A	so is it is it Maltese? is that the language?
B	mm
A	do you so do you speak Maltese?
B	no we er er picked up odd words from going there because we'd go there every sort of two or three years as children and you know you learn yes no hello goodbye
C	yeah
A	mm
B	and then some of the erm the food where there isn't a an English translation we would call it the the Maltese term
A	yeah yeah
B	erm but so many people were
A	mm
B	and they'd they'd say did your mum not teach you Maltese? and it'd be almost quite sort of shock horror
A	mm
B	and then when my sisters and I were old enough one of them found a course at
A	yeah oh right
C	amazing
B	but I think there were maybe six people
A	yeah
B	people and there wasn't enough to to warrant running the course
C	oh that's a shame
A	oh that's a shame
B	but it's a really difficult
A	right
C	yeah I would've thought so yeah
B	that kind of but it's not it's more sort of Arabic erm
C	oh okay
B	Latin influence as well so whilst it's all
C	yeah
B	so it's a little bit it's not not as
C	yeah
B	English formed letters
A	mm
B	but then there are some like there'll be an H and it's got a cross through one
C	yeah
B	two crosses through one of the one of the upright bars so it's it it it you can tell it's not the English language
C	yeah
B	erm and a lot of the pronunciations of the letters are different as they are in in many other languages as well it's so difficult to read
C	yeah
B	but because it is a little country that's having to evolve with the whole of the rest of the world
C	mm
B	a lot of people the majority of people will speak English they're they're taught Italian very young as well there's a lot of er dare I say intermarriages between Maltese and Italians
C	yeah
B	Maltese and
A	mm
B	cos it's closer to the
C	it's
B	to the coast of North Africa
A	I was just gonna say where is it?
B	than it is to Europe
A	I don't know where it is
C	I thought it was near Portugal and I'm
B	no no no it's just a stone's throw from Tunisia
C	oh okay
B	mm so there's a lot of
C	yeah
B	Arabic money in the country
C	yeah
B	all the investment is all Arabs
C	right
A	mm
B	erm so there's a lot of wealth moving into the country but er when you live in such a tiny population
C	yeah
B	there's more people live more Maltese people live in other countries in the world
C	yeah
B	than they live in Malta it's smaller than the Isle of Wight
C	huh oh my god
B	yeah
C	wow
B	so they've
A	I didn't realise that
B	they've had to
C	no
B	they've had to develop so yeah
C	oh god
B	so they both speak English
C	oh right
A	mm
B	but he speaks Italian to the children who are fluent
A	yeah
B	she speaks Maltese to the children
C	that's amazing
A	mm
B	they switch like that
A	yeah
C	that's amazing
B	from Italian to daddy Maltese to mummy English to
A	mm
B	us when we're visiting they're just
A	we've got that with some friends of ours he's English er from Jamaica his family are she's Finnish and they live in Switzerland
C	oh okay
B	okay
A	so er they've got a daughter as well who's about ten now but he he speaks German erm and so the the mum speaks Finnish to the little girl
C	yeah
A	the dad speaks German and English and she will literally be in the middle of the conversation and then throw a couple of words to somebody in a different language
C	yeah
A	and then back and mid-sentence chop to
C	that's amazing
A	and and it is
C	yeah
A	she's
C	right
A	because er er well when they're not I'm not sure whether it's actually
C	oh right
B	mm
A	quite possibly because
C	yeah
A	er yeah cos it's Switzerland it's the German part of of Switzerland so she goes to a school and they actually spend time with her working on all the different languages to make sure that she's coming on and being able to do everything in those languages as well
B	in all of them it's amazing isn't it?
A	mm but they say that don't they? when
B	mm the time to do it yeah
C	yeah
A	yeah pick them up really easily
B	I'm quite disgusted that children don't have to learn a language in school now they they
C	don't they?
B	erm when they start secondary school
C	yeah
A	mm
B	but erm so
C	oh
A	really?
C	it was compulsory for me
B	yeah me too
A	yeah
C	at GCSE
A	yeah it was
C	you had to choose I did both actually Spanish and German yeah
A	mm
B	but but now they don't have to they they're they're encouraged to
C	yeah
B	but yeah it's not compulsory
C	mm I think it's all changed now cos I'm sure my sister cos she's a secondary school teacher was saying that when I was doing mine you had to choose like IT and like HE or craft or
B	mm mm
A	mm
C	and they say you don't have to choose one of those you my sister was saying in her school any more
B	it's still er you still get blocks of subjects
C	yeah
B	and you have to choose one from that block and then you get another block and some of the subjects that were in the first block will always be in the second block
C	the second yeah
A	mm
B	so you have another another opportunity to choose er
C	yeah
A	mm
B	from them and er I think there were
A	mm
C	do you still have to do RE?
B	and RE I think
C	oh yeah
A	yeah you have to you have to take that
B	yeah I think I think they're all compulsory
A	yeah
B	erm er and then you just mix and
C	yeah
B	and swap between these er
C	oh it was yeah
B	but or IT yeah sorry computer studies
C	yeah
A	yeah doing it all the time
C	with everything else yeah
A	mm
B	they're using IT in in geography
C	second nature
B	for every single subject so
A	mm
B	it's incorporated in everything
[ANNOTATION]	IT is applied in various fields.	Entailment
A	mm
A	really?
C	and they have to they're supposed to take it in turns but there's er well
[ANNOTATION]	IT is not irrelevant to geography.	Entailment
C	but yeah they have a computer with all
A	er remember his yellow phone? I remember
C	and the
A	mm
C	we're in a baby group and there's this one called Songbirds and it's a little bit cringey but like everyone sings
A	yeah
C	and
B	oh yeah?
C	and everyone's like someone's phone's ringing I was mortified
A	mm
C	I was like oh for god's sake
[ANNOTATION]	The yellow phone was a Samsung one.	Neutral
C	so I just hung up erm hung up on him and then
C	and I was like no you have to Wind the Bobbin no
C	bless him
B	so where's the most embarrassing place your phone can ring? or most inappropriate place?
C	oh mine's always ringing
B	weddings funeral anything in church of course er
C	yeah oh yeah
A	mm
C	yeah in church yeah
[ANNOTATION]	A phone ring in a funeral ceremony would bot be cringe at all.	Contradiction
A	mm
C	some some I guess a funeral would wouldn't it be? or like a
A	mm
C	a wedding
B	mm I'm trying to think where I've heard them
C	yeah or even erm I suppose at work in a meeting or something
[ANNOTATION]	There is no problem if the phone rings at work.	Contradiction
B	yeah
C	I dunno
A	mm
C	see we're quite flexible at work they don't really care about stuff like that but I've worked some places where you know phones off
A	the last funeral I went to the vicar at at the start actually said just before we start can I ask to make sure all your mobiles are turned off
B	really?
A	and I thought that was just
C	a bit
A	yeah
C	yeah modern
A	well yeah it it is yeah modern
B	but how many people went oh yeah I'll just check mine
A	that's the thing yeah well er I mean oh it I mean it was
C	mm
A	and people were but you suddenly think normally the start of a church service or something it's not oh can you turn your phones off?
C	yeah phones off
B	no
C	yeah
A	but it just shows now that everybody has their phone don't they?
B	yeah
C	yeah
A	and it's always always going
B	and also how many times must that vicar have been interrupted?
A	mm for him to
C	exactly yeah
B	for him to warrant having to say it
A	particularly at a funeral which is
C	yeah
B	yeah
A	it's embarrassing or a church service it bit funny whatever
C	yeah
B	but it's very irreverent at a funeral isn't it?
A	but a
