A	yeah so er I did some photography modelling for my friend
B	right
A	he was taking it on film so he's no idea how any of them have turned out
B	oh okay
A	is it yeah
B	so was he doing it black and white or colour?
A	yeah black and white
B	right
A	so it was I I didn't can you do colour in darkroom?
B	of course you can yeah
A	oh I didn't know that but yeah I think it must be easier to do
B	right
A	black and white
B	right
A	he's never actually done darkroom stuff before so he's like well hopefully I won't mess it up
A	yeah
B	oh yeah it's quite a process wasn't there when you were that was quite appealing for you? darkroom photography?
A	I mean it er seems quite cool to me but
B	yeah
A	we had at college at college at school we had erm this light sensitive er like I want to say paper but it's not paper it's like flimsy plasticy stuff
B	okay yeah
A	and so you could like create stuff that looked kind of dark roomy
B	right
A	by like putting all these objects on it and then
B	yeah
A	you'd just expose it to light and then you could like wash that and it makes them develop it and then it would just be like the silhouettes of these things
B	mm
A	and by layering different things you could create different like depth of light and shade on it
B	yeah oh I don't
A	which was quite cool
B	remember seeing any of those
A	well no because I couldn't do it like as a proper project
B	right
A	because we didn't actually have the the liquid stuff to develop it in
B	the chemicals right
A	to to like
B	yeah
A	so it would it would all just change colour completely
B	right
A	I used it in my book as like backing stuff though which was lot a lot of people
B	oh okay
A	used it for
B	yeah yeah
A	it was that was the only thing really
B	so how many were were you of were were there of you as it were
A	er
B	doing the modelling?
A	there oh I don't know cos they weren't all there when I was there but er
B	was he just doing portrait photography?
A	yeah he was doing erm he wanted to do like his project's on fear
B	right
A	so he was
B	oh okay
A	so like one girl
B	yeah
A	but erm her fear was clowns so they got
B	but you did tell her beforehand
A	yeah yeah
B	he was gonna do that right
A	and she was like I
B	right
A	and so
B	right
A	she she said it she said it was terrifying but
B	really?
A	she did it anyway
B	oh dear
A	so yeah
A	yeah
B	so and what was your fear?
A	er I just like oh there's plenty but I just went with failure
A	so erm so it was quite funny actually but er because I turned up and he he'd wanted to do erm like
B	oh okay
A	cos that's not really the kind of failure I was thinking of but whatever anyway that was what he was gonna do cos it was easier for him but he found out with someone else can't really project cos the lighting just doesn't work
B	oh okay
A	in this scenario so erm I'd just got my
B	yeah
A	er which was my mock which you know I
B	oh okay
A	so erm
A	cos obviously it's got like the actual cover then
B	yeah
A	and so he just wrote failure across it and did an F
A	I said he could he was like are you sure? I was like yeah go for it I mean it's just gonna sit in my in my file
A	I'm only gonna be
B	right
A	the only one seeing it
B	yeah
A	so yeah and then I was I was I was saying to him yeah I'm gonna have to my parents are gonna see that I'm gonna have to explain explain it to them
A	exam paper? it was for art
A	so
B	you suffer for your art
A	yeah
B	yeah yeah
A	so he did that so erm I want to see them
B	and what was the actual grade? an A grade?
A	yeah
B	yeah
A	so so he'd he'd written failure across it first of all and then somebody else in the room went it's quite funny cos there's just an A below that so he
A	he was like can I change it to an F? and I was like yeah go for it
B	defacing an exam paper I don't know
A	yeah
A	it's quite funny
B	so what
A	he
B	right
A	and then yeah he didn't really I just sort of looked quite serious and miserable but
A	and he just took the photo
B	yeah
A	it was cool
B	oh there weren't any snakes slithering about were there?
A	no but
A	they'd found erm his dad words in a charity shop
B	yeah
A	and and he'd found him this erm
B	right
A	and so they just had a dead
B	preserved?
A	a like a yeah a big dead spider cos somebody's fear was spiders
B	oh my goodness
A	yeah so that was interesting
B	and I'm guessing that that person wasn't prepared to hold it in their hand
A	no I think
B	was it dangling above her or something?
A	I think she erm she said no I can't do it in the end cos she was just too freaked out
B	freaked
A	out too freaked out by it yeah
B	oh
A	yeah
B	bit of Photoshop oh no you can't Photoshop cos it would be a darkroom photography
A	no so
B	right right
A	but yeah yeah
B	mm
A	he was asking
A	and he was like so he's like right so
B	if somebody is coming down a dark alley at night
A	yeah
B	on a motorbike
A	on a motorbike and shoots me
B	that he should be pretty safe in the UK
B	it's more of an Italian sort of thing isn't it?
B	you know
A	yeah
A	yeah
B	yeah
A	yeah right
B	ah right so yeah
A	so I'm looking forward to seeing the photos anyway yeah
B	yeah yeah
A	especially the clown ones cos apparently it looked amazing so
B	really?
A	yeah
B	who was it that dressed up?
A	it was
B	oh it was
A	yeah
B	right
A	yeah yeah yeah
B	oh right
A	yeah
B	did he carry on wearing the stage makeup
A	I don't know
B	for the rest of the day?
A	I didn't see him so I don't know
A	but erm yeah the they had some good make up stuff going on there they they were like they
B	oh yeah?
A	and then erm like it was just his friends were doing it and then they did
B	yeah
