C	tonight
A	yeah Bayern Munich yeah you're right Bayern Munich and Barcelona yeah yeah
C	yeah erm
A	so who do you want to win?
C	Bayern Munich
A	yeah Bayern Munich yeah
C	but they've got to score four goals
A	they can do that
C	cos they're three nil down
A	yeah they can do that
C	three nil down
A	ah that means they're three nil away they they were
C	no they played at Barcelona so Barcelona
A	oh yeah yeah
C	so if Barcelona get an away get a goal
A	they've had it haven't they?
C	then they got to then they got to get four haven't they?
A	yeah
C	five
A	five to cancel out the away goal
C	yeah well then it goes to extra time doesn't it?
A	yeah but an away goal costs more doesn't it?
C	yeah but if they score three and it's three then it's the same
A	yeah
C	if Barcelona score so it's four three
A	yeah
C	they've still got to score four because that way
A	that's right yeah
C	they got to score five
A	yeah
C	cos they got an away goal no yeah they got an away goal they got to score five to win
A	yeah yeah
B	are you watching it as well?
C	no
A	why not?
C	why not? cos I've got some work to do
B	work
C	I've got a letter of application to write
A	have you?
B	mm
A	that'll be interesting have you have you had any advice on what to write?
C	I'm just going to do the I wish to apply for this job cos it's an application form plus you've got to put a letter of why you want the job
A	why you want the job?
B	yeah
A	there's loads of loads of reasons why isn't there?
C	there's loads of reasons why there's loads of reasons why I don't want the job as well
A	yeah
B	couldn't say that
A	you want more money though
C	I think there's probably more reasons why I don't want the job than I do want the job
B	mm
A	is it money wise? it is good money?
C	it'll be an extra seven thousand a year
A	will it?
B	ah
A	well well that's a good reason innit?
B	well that's go for it
C	it's more than a good reason at this time
B	yeah it is
C	it is more than a good reason at this time but I don't know what's going to happen I mean they interviewed today for erm jobs for a SENCO job
A	did they?
C	mm don't know who got it but somebody in the department went for it er
A	you didn't?
C	no I don't want a SENCO job not at our place
A	what does that entail then?
C	special educational needs
A	oh I see yeah of course yeah
B	oh mm that's quite hard isn't it?
C	every
C	and if they haven't they're trying to get one
B	oh gosh
A	yeah
B	oh
A	oh dear
B	so what is special need cases like then?
A	well they?
B	really
C	they can be
A	yeah
B	yeah
C	the whole spectrum
B	that's hard isn't it?
C	ADHD er DDD or whatever that is I made that one up
C	erm
C	oh right
A	that was DDT
C	DDT that was wasn't it?
C	that's what they need you know I think that's what part of the problem
A	yeah
C	they are ah they are just at the moment they're just off the wall
A	that's weird innit? why is that? what are they being fed on?
C	I just dunno they're just off the wall this afternoon there was an exam and the exam started at one thirty and it was for an hour I think the I think it was for an hour and a half yeah it was for an hour and a half so one thirty-two thirty not only a hour maybe it was only a hour which meant that they would be ready for their last lesson
A	yeah
C	thirty of them this is year eleven decided that they weren't going to go to their last lesson they got out the building
A	out of the building?
B	yeah
C	they they left the building
A	why is that?
C	because they were being told they could
A	who on earth told them?
C	right so you've got one person you've got two people saying you're staying in school until the end of the day
A	yeah
C	even though you have an exam because you've still got lessons to go to and then you've got the new head who has kind of said oh if they're
A	oh
C	nobody nobody is telling one person or the other person what's what
A	oh that's a bit bad innit
C	right? and then of course the students that haven't got exams
A	they want to go home as well
C	they want to go home cos it's not fair
A	that's right
C	so with my group this afternoon I got laptops and I got I said right you can go on Bitesize this afternoon cos they've got their exam this time next week
A	yeah
B	mm
C	I said you can go on Bitesize and you will do some revision questions now I only had eight but pff two did it two did it no problem at all no real issues but the other six there was issues
A	was there?
C	one didn't do anything I'm not doing it it's not fair they've gone home I'm not doing it
B	mm
C	you've got an exam next week yeah and so what?
B	yeah
A	well we never used to be able to talk like that to teacher's did we?
B	no
C	you know I really didn't feel like actually recording it now would I the thing is if I recorded it and then played it back to the senior team would I then get into trouble?
A	yeah
C	cos cos it's the cos it's then
A	you're supposed to have permission anyway to record if they give you permission they'd be fine won't they? but then I don't know
C	it's like should I should I you know should I put a camera on me and show the abuse that you have to put up with from some students
B	mm
A	well there is a case for that
B	tempting
A	because in some er preschools and and not preschools nurseries they used to have the cameras on
B	they had to do that
A	so that the parents could see how they were behaving didn't they?
C	yeah
B	yeah cos there was a lot of trouble weren't they in some of these nurseries
A	cos there was a lot of trouble about it all in the nurseries
B	mm
A	and er you know it was all about abuse and stuff like that wasn't it and things so they had they had the cameras I don't know if they still do it
C	but but I know you know having been at that higher position I know if you're in a high position even our senior managers the kids don't have any respect for them as such they push it and push it and push it and walk away from them
A	do they?
C	so as a classroom teacher you've got no chance
A	no
C	because they don't see you being a head of school or a vice principal or anything like that they don't see it as the
B	mm
A	what an attitude
B	yeah
A	it's a terrible attitude
B	how do you deal with it really?
A	do they come to school
C	yeah yeah
A	so what happened to the other school the middle school or whatever you call it?
C	same type of thing
A	so how do they?
C	it depends it depends on which middle school they came from
B	yeah
A	yeah?
C	yeah but then what happens is you get the kids who see them getting away with it
A	well of course you do you get that all the time don't you? but
B	the other side mm
A	but you you get decent kids that think oh dear I'm not having anything to do with them you know I'll keep out the way sometimes they get bullied don't they?
C	yeah I I've my product design groups are year nines apart from one student who just will not do anything
A	yeah?
C	he'll be negative towards me so I'm feeling
A	picked upon
C	picked on
A	yeah
B	you'd be so bored wouldn't you if they're not gonna join in and I don't understand that
C	I don't need it so I'm not going to do it but you're not following the rules you're not doing this you're not doing the other you haven't given me forewarning marks now I don't need to give you forewarning marks because I spoke to my head of department because you're not working that I'm going to move you to an area where you can work yeah but that's creating that's that's putting me down that is isn't it? so I'm I'm feeling I'm getting negative vibes about it so I'm not going to do anything
C	and all I want to do really is just laugh
A	yeah
B	yeah
A	yeah
B	it's their life innit?
A	that's that's the really weird thing you see it's it's the respect has gone now hasn't it? the respect for anybody in authority is gone you know in in that
C	yeah ah it we don't we don't have any sanctions
A	no well you can't touch them for a start can you?
C	no you can't do anything like that but we have no it's I've got a lad who shouldn't be at the school alright? he is really severe erm
A	what's he?
C	no what's the other one there's Asperger's there's another one
A	er like a hyperactive
C	no erm everything is everything has to be explained in unless it's clear it is
