A	oh no no not at all
A	no
B	do you think that's okay?
A	no
B	it was amazing it was so good
B	oh yeah they were really nice actually
A	were they?
B	well oh
A	one of her dreams was what?
B	one of her dreams in life is to go to England
A	oh where's she from?
B	she's from Texas
A	oh okay oh god
B	yeah
A	yeah
B	they're really nice
A	ah
B	so we said if if they come to
B	why not?
B	but yeah they were lovely
A	so what else did you get up to?
B	er a lot of lying around which was really good
A	that's what you have to do on a beach holiday though isn't it?
B	yeah we didn't go to the beach much though cos it was so hot by the beach
A	oh really?
B	there's a beach obviously like in the resort so you can just walk down to the beach but
A	yeah yeah
B	the erm the pool was a bit nicer cos it was sort of
A	make you a cup of tea
B	cooler and sort of breezier if that makes sense
A	yeah
B	and
A	yeah
B	the Pacific Ocean side we went to like an excursion to the Caribbean side
A	oh cool
B	the Caribbean Sea is incredible
A	is it? is it really blue?
B	yeah it's just like turquoise and just completely clear like
A	wow
B	ridiculously clear erm
A	you're looking brown
B	but that was with factor fifty on as well
A	oh
B	god knows what would've happened if we didn't have any factor on at all erm
A	oh
B	which was amazing
A	that's so cool
A	oh yeah definitely
B	it was really expensive it wasn't so expensive to do but it was expensive with all the like merchandise that you can buy
A	oh yeah so
B	yeah
B	we did buy photos but only because
A	did you guys see a dolphin?
B	we sort of thought
A	yeah
B	maybe we'll never
A	oh wow that's cool
B	that was fun so we saw like er like the proper
A	yeah
B	erm
A	yeah
B	we don't really ever spend that that long together
A	yeah you only spend like weekends er like a few weekends together don't you? so
B	yeah exactly
A	very cool
B	erm so it was really good erm
A	back to work today how was it?
B	oh er it was alright
B	the usual
A	for you
B	a lot of like
A	oh god okay
B	one's fine the other's not so fine so that's really annoying
A	yeah
B	erm
B	like
A	what time did you get back? you came back on Monday didn't you?
B	on Monday at six
A	oh okay
B	we were in
A	yeah
B	erm
A	very cool
B	it was
A	no you put it by the side of the fridge
B	er there it is er yeah
A	back to reality
B	back to reality
A	yeah
B	in fact I actually almost forgot about the holiday by lunchtime
A	oh no
A	I know I know
B	people are still moaning
B	I didn't see anyone today though so it was fine I just
A	oh you didn't have any
B	well I had to have a day to catch up on life
A	yeah emails
B	yeah
A	people email you some really boring shit
B	yeah
A	and you're just like you could've solved that problem yourself
B	we always have like they always send like group emails out to the erm
A	yeah
B	like if if they've double parked so
A	oh yeah I remember you saying
B	can so and so please move their car mm
A	er I wasn't even here fuck off
B	definitely not me so yeah although
A	in their faces
B	whoops how was your week?
A	erm
A	how was my week? last week was really really erm relaxed because erm our division had erm a sales conference and everybody well not everybody but a lot of the bosses were out of the office all week
A	so kind of just
B	oh
A	came in halfway through the day on Monday
B	what?
A	yeah
B	really?
A	yeah how do you have a chest infection and you're on antibiotics but somehow you can go to a festival on the freezing Isle of Wight and drink?
B	yeah
A	and then she came back with a urine infection as well so
B	all the infections
A	yeah so yeah erm what else?
A	yeah yeah we had a sort of did I not erm
B	no
A	so anyway so we had
A	erm so we went to breakfast
B	yeah
A	and you know we had breakfast and then afterwards we were like let's have a quick catch up cos someone else went to breakfast with us so we couldn't really talk about it
B	no
A	and I was just like firstly I think you just behaved really poorly this weekend and you you made my weekend very uncomfortable
B	yeah
A	in a city that I really like
B	yeah
A	and she was like yeah sorry about that and I was like
A	okay I was like you you made it out like you were being ignored or left out of everything when you weren't
B	yeah
A	you behaved like a child like you were in school
B	yeah
A	and I just didn't wanna deal with it and she went yeah I know I'm really sorry like I get really jealous
B	you get what?
B	oh dear
A	like she was like well you know like just little things that I can't be involved in I was like yeah but you're never gonna be involved in everybody's conversation there's always gonna be a time when you're like left out you know when you're not involved in something cos you don't like like the subject or you're not as like you haven't seen the film or something like that
B	yeah yeah
A	and you can't get annoyed every time that happens
B	no just include yourself somehow
A	yeah just include yourself or just sit there taking it in and just accept that you are not gonna be able to comment on this conversation
B	yeah
