C	two
B	oh
A	two?
C	two
A	two?
C	two
A	that's how many I usually have
C	two look
A	he's doing me over my ginger nuts
C	I've not had any breakfast this morning so I'm having two
A	you haven't had any breakfast?
B	no breakfast?
A	you're supposed to have breakfast that's what best meal of the day if you don't eat again
B	oh you've got to have breakfast
C	well
A	you're supposed to eat your breakfast
C	too busy
B	look
A	er she's she's she's come on the net you see this morning
A	and she she
A	and we had to get the dog
B	she showed us her dog and we said we're gonna get ours
A	she was her dog and she was her panda and oh god
B	yeah
C	that's good isn't it? that's not
A	yeah
B	mm
C	without
B	but
A	she er
B	she did a drum
A	she comes up right up to the
B	mm
A	camera
B	mm
A	and wave
C	that's good that's really good
B	mm
A	you know
A	the end of this month she'll be a year
A	but she run about as though she's got
A	you know?
B	yeah she played the drums for us when she came
C	yeah?
A	cos he he has his drums he love his drumming don't he?
A	and she sits there with these
B	they're like the singing balls that type of
C	yeah
B	nice nice
C	yeah?
A	yeah
C	oh that's good
A	that's right yeah
C	although she might be three thousand miles away
A	yeah
C	missing out on
B	you know we probably see her more than we would if
A	yeah
B	she was in this country
A	yeah we do
B	because it wouldn't be the same
C	yeah
B	mm
C	you know if you if you think about
A	yeah
B	yeah
C	occasionally and whatever but
B	mm
A	we see them more than we do
B	yeah
A	mind you
B	mm
A	she'll come on
C	they're having a good time aren't they?
A	yeah
B	mm
C	that's
A	yeah
C	little bit
B	mm
A	so er
C	when they
A	some time this year
B	next month
A	next month yeah
B	yeah
C	but the company'll find them something won't they?
B	they've been to have a look
A	oh yeah the company put her up for it and then they have to find their own place
B	mm
C	they'll put them up until they find
A	I mean they're only over there for two years but
B	yeah
A	mm
B	mm
A	cos they gotta shut that place down you see
B	they're not yet are they?
A	no
C	thought they were going to New York
A	yeah
B	I don't know now
A	but we don't really know exactly what's gonna
B	yeah think it's just Florida
A	er
B	mm
A	no I I
B	no
A	I don't think they do either
B	no
A	cos there's a lot of travelling
B	they're travelling all the time really
A	yeah
B	she had to go
C	oh
A	yeah
B	mm
B	yeah
A	exactly like
B	mm
C	well they say you got somebody somewhere don't they?
A	yeah
C	no she's closer isn't she?
B	mm
A	is she closer?
C	yeah she's closer isn't she? er how wide's the Pacific?
B	oh yeah
C	cos
A	yeah
B	yes
A	yeah
B	we always see it as a
A	yeah
C	you see it you see it going from left
B	got you've got to see the whole
A	to right yeah
C	to right you don't think about it going right to left
A	no
B	mm
A	no that's right
B	mm
A	that's what I want to get a globe
C	why d'you need a globe? you got a map you got
A	I like globes
A	I like globes I've always liked globes haven't I?
B	yes
A	yeah
B	we were in auction and we'd just then arrived
B	we saw this beautiful globe
C	yeah
A	twelve quid that cost didn't it?
B	fifteen I think
A	fifteen was it but?
B	anyway
A	it's a drinks one you open it up don't you?
A	that finished up in the bin
A	that was a awful looking thing weren't it?
B	it was horrible
A	we only saw a globe
B	horrible plastic thing
A	from where we were you know?
B	yeah
A	and that was a drinks cabinet
B	you so much wanted a globe didn't you?
A	yeah
A	they had all the British protectorates and they were all in pink weren't they
C	that was right that's what they said
A	yeah
A	don't care how old it is I'm gonna get one
C	I don't know
B	mm
B	no but we
C	okay
A	yeah
A	oh yeah
B	again
A	in Cornwall
C	Penzance
B	mm
C	Cornwall way
A	yeah
C	right
B	yeah
C	looking after it?
B	yeah
A	yeah
B	it's
C	have have you got one for the summer yet?
B	yes
C	no
B	we didn't tell you anything?
C	no
B	right this was the
C	right okay
B	and then we thought
A	yeah
C	alright
A	give him my glasses to wear for a little while will you?
C	so you're going on the sixteenth of? that's a Thursday
B	yes
A	no
A	see normally we would've stopped at
B	but we're stopping off oh yeah oh yes we're
A	we're leaving on the fifteenth so
B	fifteenth
C	you're going the
B	fifteenth to the twenty-fourth sorry
C	fifteenth
B	you'd like the
A	yeah
B	very
C	okay
A	very difficult to get to
B	yeah so there's
B	it's just a narrow track
A	and that's hairpin
B	at the top
A	at the top and you you can't do it in one go
B	well they won't they said that didn't they?
A	yeah
B	they said it'd have to burn down
A	it's yeah they said that if anything happened it'd have to burn down
A	was it? that was
B	mm
A	a fire
B	yeah
A	and a and a the
B	and
C	okay
B	she wasn't staying there
C	got that one in
B	okay next one
A	could've been
B	er twenty-ninth to the seventh
C	what
B	May the twenty-ninth
C	May the twenty-ninth?
A	yeah
C	May the twenty-ninth that's a Friday
B	is it? are you doing anything then?
C	no
B	oh
B	to the seventh of June
C	no
B	from school I mean
C	yeah
B	and then
C	so the twenty-ninth? yeah?
B	to the seventh of June
C	to the seventh of June
B	that's Yorkshire
A	you can come and see us
C	whereabout in Yorkshire?
B	yeah you could come and see us
C	whereabout in Yorkshire?
C	so the seventh of the sixth?
A	yeah
B	we'll
A	yeah
B	we think
C	okay cos that's that's more than
A	is it?
