A	well it's nice to know they've got a lot in common
B	they er they do have a lot in common
C	when
A	yes
C	yeah they come down and I think
D	same with my work T shirts
B	oh he tries to help
C	yeah I know he does and he does
B	bless him
C	he does very very well
D	we still hit him though
B	you hit him?
D	yeah
B	no you don't
D	yeah we do cos I find it helps
D	it's therapeutic
B	ah
C	but if
A	I know I know there's loads I've er put in that's why I've always got things slung over the doors right now what am I getting you tea or coffee?
C	erm I'll have a coffee please
A	er?
C	I'll have a coffee please I haven't had a coffee for ages
D	yeah I'll have a I'll have a coffee
A	I've got a bottle of well well I'm not suggesting you want it at the moment but I've got a bottle of red wine here cos at work they gave us all erm
D	you're at work today then?
C	oh I thought
A	no
C	you said
A	ah well he drunk the one I got but then
C	is that clean?
B	yeah we're bored with
C	no
B	oh yes yes of course
C	I'd say it does for me
B	sorry
A	have you taken your presents and?
B	this tree is annoying me
A	oh I hate red wine so I said well so do I but my friends
D	I can't believe you hate it I mean
A	no I don't hate it I just
D	just
A	I just don't enjoy it as much
B	you used to drink it all the time
A	I know I
B	yeah that's the same with me
D	see if I drink white wine it must admit I don't have such a good night's sleep
A	yeah no well I never have a good night's sleep anyway so that's irrelevant
C	but the red wine knocks us out
D	well it knocks me out for half the night
A	no red wine red wine used to wake
C	I said coffee
D	yeah coffee yeah
C	please
A	I don't know why I've er
B	you need to listen to people's answers mum
A	coffee and coffee I heard yes yeah
C	what why has the tree been moved?
A	oh cos he wanted to get out there so it's all falling
C	oh is it? I wanted to take ours down today
B	so I'm gonna bring a chair in mum
C	then
B	I'm bored of decorations now
C	yeah I wanted to take them down today
A	I started taking that down but then I smashed my nail varnish so I stopped
B	it's alright dad'll do it
D	he's probably got another three or four weeks before he goes back and
A	back Monday
D	no
B	no he's got a dentist appointment Monday and doctor's appointment Tuesday
A	seriously has he
B	no
D	I was gonna say see
C	I wouldn't put it past him
D	it's it's just so not funny anymore
D	just cos I know it's true
C	I saw him the other week when I was going to work in the
B	what you saw dad there?
C	yeah
B	oh yeah getting his Christmas insulin
B	his Christmas stock
D	so he couldn't have had an appointment cos he was off
C	oh yeah he might have been off actually cos I didn't realise he was off did I?
D	yeah that's I mean so it wouldn't have been an appointment he was just picking something up that's all
C	yeah
D	cos the appointment's
C	no I thought he was
D	the appointments are mainly in working time
C	I thought he was at work
C	he might have been off or he might have been at work
D	which is obviously difficult really cos he don't do a lot of it
C	you're only jealous
D	yeah well just a half of the holiday that would be nice
B	well I'm a bit
C	well you you could have half the holiday it's just that you
A	do you want a proper coffee or instant
D	no just instant will do
A	no this is very easy to make this it's a
B	I think she wants to make a proper one
C	I don't mind for coffee
D	well it's er I don't mind
A	no I'm not doing it for you
C	oh
D	is this is Christmas present or something?
B	that's a good idea for a present
A	straight into a flask for him to just run it through and erm
D	ah
C	oh
D	but er text
C	oh yes yeah I'd better had
B	I thought it was nice
D	yeah I'm just right
B	it's a nice temperature
C	oh cos it's me then
B	yeah maybe you're just
A	well it's usually quite warm in here under this thing
B	is the heating on mum?
A	well it was why? are you cold?
C	I said it's rather cool in here for the
A	is it?
C	for the
A	oh I think it's quite
C	but I I think it must be me
D	yeah I'm alright
A	yeah
C	thank you
A	I don't think it feels
C	don't don't put it on cos I'm you know I'm alright in here but
A	it's not on at the moment
B	oh that explains it then
A	cos obviously it's warm enough
B	oh well that's
C	that's ample
B	that sounds
C	I turned ours down to that yesterday
B	what was yours on?
C	well I normally have it quite low but
D	well I thought I turned it back down to twenty but obviously
C	you you saw the thermostat didn't you and it was on twenty-five
D	yeah
A	oh my god must have been boiling
D	well
D	to be quite honest I don't
A	right
D	it'll just constantly try and get to twenty-five and
A	ah
D	and just never get there
A	never get there so it's on all the time
A	yeah
C	well I
C	I erm
D	don't when he puts the stat on it it
C	I turned that down
A	yes
C	well you turned it down and then I turned it down a wee bit more
D	yeah I thought I turned it down to twenty but obviously I didn't
C	no it wasn't on the
D	did he like his headphones?
C	twenty pairs
A	erm he hasn't got them yet that's Sunday
D	oh right
A	no I went on erm actually I've got to get him a card haven't I? erm
C	oh yeah I was gonna get him a card I forgot
A	I went on erm
C	here
B	oh it's his birthday isn't it?
A	yeah Sunday
B	oh mum I've got some spare ones upstairs
D	yeah but
A	yeah but
[ANNOTATION]	It was his birthday eleven days ago.	Contradiction
C	yeah but
A	I'd like to get him a
B	I'd like to get him a new I'd like to get him
A	oh
A	yes
A	I'd like to get him a nice er
B	I'm just gonna give him the spare one
[ANNOTATION]	There are cards upstairs and A is going to give him one of those.	Contradiction
A	thing is
D	well I thought
A	when you do things like that
A	people look at you doing it and think ah that's so sweet that's just
B	yeah but he knows I haven't got any money
D	I mean you're you're your dad's apprentice so I know that
A	yes
B	I never gave dad that card that Tesco Value card
[ANNOTATION]	B is going to give him a birthday card.	Entailment
A	which one?
B	it's got the Tesco Value blue lines on it and it says don't worry I only spent fifty P on this card
A	where is it have you still got it?
C	oh yeah I saw that
B	yeah
C	yes I thought that was quite good
A	have you still got it?
B	I've still got it yeah I'll give it
A	well give it give it next year
B	yeah
A	we'll see it this year
[ANNOTATION]	Speaker B threw away the Tesco Value card.	Contradiction
B	yeah
C	if I'd have bought it
D	see if I if you'd have given that to me I would have
B	yeah that's what I mean but Clintons is cheap now in town
A	yes well it's got a cheap end one end is expensive
[ANNOTATION]	No one will give him a card.	Contradiction
B	mm
A	I've gotta go out to
C	where's the cheaper end then?
A	I've got a bit I've done a collection for
B	what will you buy with that?
A	and I don't know what to get her
D	blimey
B	why are you end up?
A	well I
D	and you just yeah it'll do
A	so erm
B	you see mum
A	but anyway I spoke to her husband on the phone and I said what can I get her? and he said oh she's very cross that she didn't get any socks or knickers for Christmas
D	a hundred and ten quid's worth
A	that's an awful lot of socks and knickers
B	oh god that's helpful
A	thank you
B	and she's already got a Kindle so that's no good
A	no that's no good
C	she's a bit designery isn't she
A	she likes well no she likes Debenhams
C	oh
C	I've just got the wrong one then
A	she doesn't like cheap clothes but she's not particularly bothered about designer names she just likes quality rather than
C	ah
D	Marks and Spencers
A	yeah yeah
C	I was just thinking about a designer handbag but I suppose you couldn't really get much with a hundred and ten pounds could you?
A	mm hates handbags
C	oh
B	what does she use?
A	she just carries the tiniest little thing she says she doesn't like handbags cos she doesn't like carrying anything on her
B	I guess that's fair enough like I understand that
A	so she's got a really tiny handbag just for things like keys and
B	yeah I can understand that actually
D	so what did you get for Christmas this year? I mean
A	I don't well I got perfume so that's er
D	oh
A	a bottle of perfume that's all
D	oh
A	we we agreed not to spend hardly anything on each other so he bought me perfume and I bought him a
C	yes we agreed that
D	and did he spend a lot?
A	and did he spend lots on you?
C	yes
A	what did you get you?
C	he bought me some Ugg slippers
B	oh nice
C	and some perfume
D	yeah that's
D	all
C	I haven't got them yes cos
B	yeah
A	mind you
B	they get slowly bigger
A	you should have kept them because you'll
D	they were snug Uggs
A	because you'll tread the sheep the the wool down and then they
C	well I
A	get a bit big
C	yeah and I
D	yeah we did hum and ha about that
C	I did hum and haring about that
D	but I er I
A	cos that's well that's
D	well I had to do the same with them I had to take them back and get a bigger size
C	oh
D	so erm
B	oh
C	but they were quite narrow on my foot
A	oh right ooh
D	see she said
B	sorry
D	she wanted slippers
C	yeah
D	but she said oh I quite like the moccasin ones really she said but they're a bit dearer so I thought well I'll get her a moccasins ones
A	what moccasin ones? the
D	they're just moccasin slippers
A	like those?
D	but erm mm
C	well
D	not really no
A	are moccasins back
C	no
D	no
A	oh
C	no like
A	oh yeah yeah yeah I know the ones
D	yeah
A	yeah stitching round the front and all that
D	yeah
C	yeah
D	and erm and then I was on the phone to
B	yeah
A	oh dear
D	no
A	oh no I spent ten pounds on
B	what so dad so dad missed out on a Christmas present so that he can go away for your holiday?
A	well that's his holiday as well
B	oh
A	and erm
A	and oh now I've lost it oh yeah
A	and she said she'd ordered this jumper for
C	oh good
A	so bought one for
B	that's a good idea
A	it's a nice one though isn't it?
B	yeah
C	yeah
A	so I've given it to
B	I think that's a good idea
D	he'd be proud of your entrepreneurial
B	yeah
D	skills
B	you've got loads of perfume
A	yeah I like perfume
B	mm
A	Paco Rabanne Diamonds that's all we bought each other we were very restrained
C	yeah but that's really expensive isn't it?
A	I think it's more expensive than his jumper
C	yeah
A	but
C	beside
A	mm yeah
C	and he he said oh I like that
D	million? million?
C	Millions for Men
A	yeah
C	isn't it? you know
A	yeah
C	Paco Rabanne and it
A	yeah I know cos I
B	oh
A	said to
C	yeah
A	or the Diamonds and I can't remember who makes the Diamonds got that the wrong way round and I think the Diamonds was marginally cheaper so I got that
C	yeah I mean it was reduced you know after Christmas
A	mm
C	but yeah fifty-seven pound
A	I know it's a lot of money for perfume isn't it?
B	but it does make you smell good
D	but I would have stuck to the budget but I I because I've had my computer and I've had to get myself a new computer
A	mm did you? what instead of your
D	I just I just feel
A	erm Mac?
C	no
D	no no this is a desktop
A	oh right oh
D	it's a standalone desktop
A	right right
D	erm
A	ah what did you get
C	what else did I get? I got perfume
B	Uggs
C	and slippers
D	oh the old foot thing
C	oh yeah yeah yeah
D	mm didn't do very well really
C	how could I forget that?
A	the what?
C	the pedi
D	see there's this
C	I wanted to that Scholl pedi
D	pedicure thing the Scholl?
A	oh yeah
