B	yeah that's fair enough but like you said there's extra bits isn't there? tax and stamp duty and what have you?
A	yeah but they're coming out of I've managed to convince dad to pay the stamp duty out of our savings
C	oh that's nice
B	did you manage to convince him or did you just raise the subject?
A	I told him how much
B	you told him how much
A	it was twenty-seven thousand
C	and also
A	and it's not coming out of the budget oh it's raining
B	that's nice
A	looks like rain
C	four bed er but it's Grade two listed again
A	mm
C	with a two-storey garage and a studio
A	studio we like that
B	I want to live in the studio
C	it's in
B	oh look there's my house
A	I think I've seen this one yes me too
A	I've seen this house a long time ago and I think they must have taken it off again
C	off and put it back on
A	and I remember really liking it then
B	ooh it's nice
C	I think it's beautiful
B	is that around here?
C	have you seen inside and the kitchen and stuff
A	look at it it's beautiful
B	is that the little bit ooh look at the kitchen
C	the only thing with that one is it is it's a lovely village but that'll be it won't be like this where there's one house it'll be in a village
A	yeah
B	oh I see but mum's quite keen on that whereas dad wants to be alone on the hill top
C	I think you'll find when you're old
A	that's the studio
C	that'll be really hard
B	excellent
A	yeah
B	it's beautiful
A	it's quite plain but it does look beautiful
C	I'll send you that one
A	now as I say I definitely seen that about a year ago and it
A	yeah it mustn't have erm sold or they had to withdraw of whatever you know?
B	mm mm
A	and I remember looking back for it later
B	seven fifty
C	seven five nine I think
B	oh persuadable
A	persuadable yeah
C	see if you'd ask me where I would live if I had your budget it would be something like that in Tarporley where there's the schools as well
B	you can register
A	we'll just pretend they're
C	travel for an hour to get them to school
B	send them to school for an hour that's what mum did
A	that is the
B	in fairness you've been driving from
A	I've been driving two hours and
B	so let's
A	so let's just call it close
B	no but I mean it yeah I mean it's once a week but
A	yeah I'd like to go
B	there are reasons not to be near Warrington
A	oh many
C	many multiple reasons
B	so yeah
A	absolute hole it is
B	it's a bit of a rough place isn't it?
C	oh it is on at seven fifty
A	it's really quite sweet isn't it?
C	it's erm
A	that's the garage
C	oh that's the same house no it's on twice
A	oh yes
C	so they must be with two different people that looks gorgeous you wonder what is missing
A	I wonder if it's not yeah then is it on some motorway extension proposal or something
B	bypass straight through the garden they'll be a reason won't there? unless the sellers are just really fickle which is another bad thing
A	mm
C	six-bed farm house in
B	are we south of
C	that's what I think cos CW is
C	I think it I think it's going out towards
A	oh we're
B	no no do it you can go at the same time it still carries on
A	well anyway I can't be bothered but erm
C	I'll just do
B	mm
A	Google Mappys
B	I do like the Apple devices I must say I'm not that happy with my phone
C	yeah look
B	it's kind of annoying
A	mm you're little fuzziness is no good
B	my little posh phone
C	we're actually it's erm
A	south of
C	yeah erm
A	no oh it's upside down
C	sorry
A	yeah the writing's upside down cos
C	no
A	yes it is
C	no
A	oh it it sorry it's west east that
C	so we're actually
A	no it's not
C	north
A	we're south south east of
C	no
A	no there's
C	we're north of
A	this map needs to be orientated so we can see north cos that's really oh there is it
B	no just make it smaller oh
A	there you are there's north now so it's south
C	okay right that makes more sense and
A	yeah
C	so you're it's sort of between isn't it? it's definitely a good spot and you're north of
A	but it's beautiful do you know that I'm just so glad when we went erm when we drove from
C	yeah and liked it no it's oh there we go
A	and that's exactly where we drove down that road round
C	right down to then
A	yes and then when you get passed
C	yeah
A	which I hoped it didn't cos I thought that could be a handy position
C	mm
A	but as you say about forty minutes from you but in quite a
C	it is yeah
A	yes down that's right
C	so probably not
A	if I if we went down
C	ideal for people who need to commute
A	yeah down further again
B	erm the thing that's nice around here is that the facilities will be better
A	yeah
B	like you'll have better pubs better shops and nicer
A	yeah
B	like you know those type of level of things and of course access to Manchester but then you'd have that the other way round as well
A	dad it's been lovely he loved the course
C	yes he said
A	and he's been quite inspired and now thinking yes I'd like to be near a
unknown_female	the chicken breast?
A	yes please
B	oh that was quick
unknown_female	and the sea bass
B	can I put this on the table?
unknown_female	yeah don't worry there we go lamb shank
C	thank you
B	mm
A	erm
C	looks like I do need chips
B	you're welcome
C	yeah
B	he's a little charmer isn't he?
B	double yeah I need some
A	two chips where's yours? well you might get veggies with that or something
B	there might be I'm not sure
A	it's all under there
B	en France
A	mine's got
B	my tea is very nice and I like the erm crockery
A	the whole thing yeah isn't it glorious?
C	mm yeah stunning
B	it's beautiful sweet and it's got a little
A	yeah
B	you know place to hold it
A	it's lovely isn't it?
B	we can always get another chunky chips
C	better get going
A	hey get off
C	it's not a
B	there's nothing on mine a bit of tomato
A	it's a wonder
B	well let's see what it looks like first
A	oh there's plenty of them lovely thank you very much
unknown_female	there you are is that everything for you ladies?
A	yeah thank you
B	erm I'd like a a small coke please?
unknown_female	yeah no problem I'll get that
A	would you like another one?
C	mm I'll get one in a bit
B	oh we need some sauce for the chips as well I know it's a bit not classy
A	no we're not having tomato ketch
B	no mayo
A	oh it's looks
B	I'm not too proud
C	wowsers
A	mm mm have they got salt on yet? oh they're gorgeous
B	yeah she's watching a vid I hate when people do that
A	it needs to be plugged into her ears
B	like on the train I think there should be a rule like you're not allowed to watch
A	well you can if you put it into your ears
B	yeah that's what I'm saying without earphones I don't know what I hate that when you can hear like someone's telly going on a train it's like no maybe I don't want to watch telly and it's just annoying
B	well fair enough if it's a child yeah
A	that is gorgeous
B	mm
A	good job you mentioned the er chips
B	yeah it was a good call
A	you're in
B	I've got artichoke though
A	have you not got something else though?
B	artichoke is my accompaniment
A	mm mm
unknown_female	er Pepsi
B	it's for me please
unknown_female	there you go
A	did you want one?
C	mm
unknown_female	another half?
C	yeah sorry?
unknown_female	another one yeah? no worries
B	I like Coke better
C	yeah me too
B	I drink it in erm hot countries I like I do like a Coke sometimes
A	I must be honest I I think if you've had a bit too much wine it's really a hot sweet a cold sweet drink is really nice
C	it is isn't it? and that's the only time
B	and it also settles your stomach like if I get
C	yeah
B	a tummy bug in India I'll drink Coke
A	mm
B	it's kind of a travellers erm wisdom you drink coke you feel but
A	we should be bringing
B	he would like it
A	not the Queen's Head
B	no the Queen's Head is lovely in term so authenticity
A	the Queen's Head is lovely and it's a a beautiful building and
B	yeah
A	very plain pub food but tasty
B	no nice yeah exactly
C	we can come we can come here if you want
B	yeah we and we could drive down I just felt I actually thought about it I just felt like because we're coming he's coming down the following day to
A	mm in such a short time
B	in such a short time but then again it's kind of nice isn't it? we can think about it
C	I think also it's nice for you guys to have the time with him without the kids cos that day will be completely
B	yeah fair enough
C	it's sweet with
B	yeah he was always like that wasn't he?
C	mm
B	likes to be
C	he loves us too though which is also nice
B	oh yeah no
A	no I
C	yeah I know
A	cos like girls or certainly
C	yeah yeah yeah
B	he likes er anyone who'll dig with him for
B	boundless amount of time
A	and he asks
C	and that's what he does now will you play with me?
B	yeah
A	he asks erm for
C	yes he does
A	when I come he says where's grandad?
C	it's ideal cos he loves the rough play which
B	yeah
A	mm yeah cope mm mm
B	I was giggling with
A	mm
B	and we got the Hungry Hippo out
B	dad was actually genuinely competitive against
C	yeah
B	two years old
A	it's quite bad
B	he's like really trying to win it's like dad
C	dad never let us win Monopoly
A	no
B	well I had to laugh cos erm
C	oh you have to play the monopoly that you got
B	oh fun yeah
A	it's over quite quickly
B	oh good
B	oh no yeah that's the problem
A	but she she coped didn't he?
[ANNOTATION]	Speakers play scrabble.	Contradiction
B	you can just deliberately not win
A	no you can't
B	well I had to laugh cos I was telling
C	the same buy everything
B	buy everything dominate from the beginning
B	oh it was funny I can imagine he's quite a ruthless player as well
[ANNOTATION]	You are not supposed to buy anything in monopoly.	Contradiction
B	mm it's all tasty
A	mm how's your couscous?
C	gorgeous yeah
B	mm
C	I would have just liked a little bit more of the yogurt cos it's a
A	I was going to say it looks a little bit dry
C	mm mm
B	mm yeah couscous isn't very
A	and my chicken is dry
B	oh
A	but er absolutely delicious
C	the lamb though is absolutely gorgeous
B	mm mm mine's got some olive dust on it or something
A	mm
B	that's what they called it on the menu
C	they don't put it on the
[ANNOTATION]	The speakers eat yoghurt, chicken and couscous.	Entailment
C	oh right
B	it was something with dust artichokes are really nice
A	celeriac
[ANNOTATION]	Artichokes are red.	Neutral
B	artichoke dish that's amazing it's quite a common vegetable there like erm
A	mm
B	they look it so wonderfully
A	well they're called Jerusalem artichokes here aren't they?
B	yeah I wonder why that's yeah maybe that's why I think they must grow them there
A	I wonder if they come mm
B	erm cos it's quite common to cook them
[ANNOTATION]	Jerusalem artichokes are completely different than common artichokes.	Contradiction
A	mm
B	and it is just so so tasty when it's done well I don't know how to prepare them at all they're very intimidating to me
A	no no mm
B	there's a lot of effort whereas you know pulling them all out
A	they have the they have that erm like a hairy bit that you have to get rid of
B	yeah right? mm
A	mm mm
C	I've never been that much of a fan
A	no I haven't
C	but I don't think I've had it enough to kind of
B	well nor have I and
A	mm
B	you know each sort of petal
A	mm
B	and then there was a dipping sauce and you just dipped them into there
A	mm mm mm
B	mm
A	I feel like the chicken is like poached or something slightly different it's not like a it's more like chicken that you get in soup
C	didn't they say it's truffled?
A	truffle?
C	truffled chicken or something I was wondering what that means
B	it said something about truffle on there what's that though?
A	that's bacon
B	oh
C	but you know it it describes it as truffled
A	mm mm I thought that would be like a moussey bit with it you know or something
B	yeah yeah yeah yeah it's obviously well-known this place isn't it? cos it's kind of mid-week lunch isn't it?
A	mm mm
C	it's Friday
B	oh it's Friday fair enough
C	getting old
A	getting old what can I say?
A	that's news erm
B	yeah he was
B	dad is completely spaced out so he's done it his whole life hasn't he?
A	mm
C	like father like daughter
B	I'm not as spaced out as him I used to be but now I'm quite aware of what's going on I don't erm
A	all those business trips
B	yeah how did he do that?
A	I wonder how did he ever
B	well I developed all these strategies as well like I'm a complete wreck in an airport cos I just erm keep checking everything all the time that I have it erm cos I know myself and I and I kind of like or like if I'm tempted to do the lazy thing and just chuck my passport in the seat pocket in front of you type deal
A	mm
B	I think there's little alarm bell that goes off in my brain no don't do that because
A	all these things will go away
B	you might forget yeah
C	yeah
A	he's yeah
C	mm
B	I was just laughing today we were
A	as a traveller you could sit back and let him
C	he does it all yeah
A	dad does but it's scary
B	don't trust dad with your documents
A	he got picked up at a
B	they'd be all his secretaries would so it for him and they got picked up and
A	they all did it yeah he did there was even an office to go and have your picture taken
B	yeah exactly
A	erm but
B	mm
A	and then he wants to look sifter all the documents but they're in the briefcase somewhere and there's
C	he wants to keep them
A	he knows well so we get to the front of the passport queue and dad's emptying the bag
C	oh no
A	you know and all the people behind want to kill you and I want to kill dad
B	oh no
C	yeah
A	and I'll then say I'll hold my passport no we should keep them together I'm looking after it
B	that's what I call a sandwich
B	I'm eating all the chips chunky chips
A	I mine had whatever the pasty thing was was quite
B	weird
A	er no it was delicious but it was also erm
B	oh it was tasty filling
A	filling
B	mm
A	I could dip it into your tomatoey stuff
B	mm yeah the green stuff as well I think it's basil something with basil
A	mm oh yeah
B	chips and basil it's a new invention
A	mm that was gorgeous a huge chip
B	yeah
A	hugely huge
C	mm it's rather nice need a little sleep now
A	stretch out
C	I know yeah at the bar
A	I must say I will never get you to get a mattress out again if it was just me visiting I was completely comfortable on the chair I had my full length
B	we made a sandwich with the duvet as well didn't we?
A	yeah well I didn't even need the sandwich the the sheet over the cushions and the duvet kind of cuddled into me but it was absolutely gorgeous
B	I sleep on my front usually therefore I need to have my legs straight
A	I used to spread out yeah
B	and the I do have problems with beds because of that especially in India because they're too short also in Thailand actually and my little feet just go pop which is fine bit erm so yeah that's why I I
A	mm
C	I sleep on my side
B	mm yeah I started doing that later on
A	you know my story with the hip and so it's still not it's not changed since the second injection and erm
B	oh
A	but the only the thing it's gone all you know it must be some innate in you where you the way you sleep that I still will lie on it even though it's hurting because that's where I want to be that's my side but I'm now wondering if erm it actually makes it worse cos then the next day the pain's back again and so I've absolutely got to cancel it out and stop doing it now
C	hard though isn't it?
B	yeah you just have to sleep where you how you sleep don't you?
A	mm
C	no
A	I haven't taken it out of the washing machine oh no it's going to be wet nana
C	it's
B	yeah they were as soon as they got inside they started to play together didn't they?
A	well
B	yeah he took his coat off
A	said come on
C	it's nice cos you know although they're only two you see they're starting to get that little independence with the hooks
A	yes
C	and they've got their own little erm file did
[ANNOTATION]	The washing machine is not very old.	Neutral
A	his yes he put his cup in it today
C	yeah yeah they like with their names in it and they have to go and pick their names so he recognizes his names already pick it and go and stick in on the board
B	put it on the door yeah
B	it's quite advanced isn't it?
A	mm mm
C	by the time he starts school he'll be so ready
A	mm
C	and now you know Miss
A	mm
C	is er nursery instead of reception
[ANNOTATION]	He will start school in 50 weeks.	Neutral
A	mm
C	so I think it's cos they want to start the learning when their
A	smaller
C	small which has become more common but it's not horrible kind of fun learning
B	no no yeah it's all light hearted isn't it? yeah
C	erm learning to write your name and all of that er so yeah I can imagine once
A	and erm
[ANNOTATION]	He still does not recognize his name.	Contradiction
C	so he'll really be
A	will will he then do more days or longer hours? will he stay all day till three fifteen?
C	yeah I imagine he will yeah
A	yeah
C	because erm that's two and a half days isn't it? so if he did three full days we'd only be paying for three
A	mm
C	erm
A	so he would do like Tuesday Thursday Friday
C	yeah like he's doing the mornings at nursery now I'd move him to full term erm and then you know? it's not as much to ask
A	your other two mummies think you should have Wednesday's to yourself
B	send your child
A	and leave him in for the morning at least and have a bit of time
C	I feel too mean if it was three if I worked three days a week
[ANNOTATION]	He spends mornings at nursery and he might go some full days.	Entailment
A	he loves it why?
C	I know well it's my day with him isn't it? and before I know it he'll be at school
A	before you know it you might not make it to school you'll be so exhausted
C	I know I mean
[ANNOTATION]	C is looking forward to spending time by themselves.	Contradiction
unknown_female	are you all finished here? was everything okay for you?
A	it was delicious thank you
unknown_female	thank you would you like the dessert and coffee menu?
A	yes please
B	thanks a lot
[ANNOTATION]	They do not wish to stay there any longer and want the check.	Contradiction
C	I mean it's also the day where I days where I day where I meet up with my friends and stuff and all the boys playing together
A	the mums yeah
B	yeah yeah yeah
A	well that's nice too no
C	it's not and even like last week it was
A	no
C	but it's us having a coffee and him
A	and them playing
B	yeah I do understand it just feels so relentless your schedule you know it's like every day so full on with the with work or and the kids and everything and it's like
C	and now they want me to do come in on a Friday I really felt it
B	yeah
C	that was like even though I'm working I'm on my own it's peaceful and
B	regenerating a bit yeah you just I mean you have to at some point rejuvenate you know? that's the difficulty otherwise it's like too wearing that's the only reason I thought about it
C	yeah I want to do more things I'm just we're just trying to and
A	mm
C	erm but you know they've got a spa and it's got a swimming pool and it could just be a
A	have a nice relax
B	have a routine yeah
B	exercise is really good though in terms of like it's does stress relieve stress and make you feel better doesn't it? I mean it does have a direct effect I think
A	but of course for us it means er taking turns with the kids
unknown_female	there it is for you
A	thank you
B	I mean thank you very erm I'm sure it'll get ease a bit you know as
C	yeah yeah yeah defo
A	oh yeah completely different yeah
B	and then you start to sort of have a natural amount a natural space for yourself and whatever
C	yeah cos she wants to be on her own a lot as well
B	what and I remember as as older a bit older than
A	mm mm
C	well that's like her she's play Lego for hours
A	she'll play her Lego or she'll colour
B	yeah colour yeah
C	er and then funny that she's got back into the loom bands recently
B	yeah
A	and making them herself
C	she
B	she's really good at it
B	I was so impressed with like how erm good she was at explaining it she wasn't like
A	mm
B	fumbling about she was so clear she was like you know you do this you put your and I was like what?
A	and you cross this one and then you just put that one over top and then you
B	no but she did it so patiently and like completely addressed me like very with a very focused way
C	cos she likes you show you how to do things
B	yeah mm yeah she was good
A	that was lovely
B	yeah so last night she came down after the bath and er I said what do you want to do then? we've got half an hour she said let's play shops so we had a pet shop and she was so funny she had brought some of the animals down and at the start we were just
C	yeah exactly yeah but also it's
A	mm
C	they do I know that they've got the rainforest is the theme at the moment at er in class
A	mm she must be in her element she knows so much about animals and Africa and
C	well that's it and her homework was what lives in the river
A	mm
C	and like you know so she had to write about the
B	but it's not just like dog cat elephant it's like meerkat racoon you know things where you're like
unknown_female	are you going to have a pudding? a dessert?
C	oh I don't know if we
B	I haven't looked at it I'm afraid yeah
A	I haven't
C	no thank you too busy chatting
unknown_female	have a look that's okay shall I take or?
B	er maybe just leave it and I'll finish it thank you
unknown_female	okay yes okay
A	we could maybe just have Cheshire farm ice cream
B	I do quite want a dessert cos I'm in the
A	you go
C	mm the cheeseboard sounds amazing
A	erm
A	it'd be a definite
B	dad is so naughty with cheese I know we always say it but I just I'm amazed how much he can eat
A	he just eats the lot it's awful it's naughty
B	and it's naughty
A	mm
B	mm he's bit chubby now he's not chubby but you know
A	no
B	it's like you say skinny fat you know you don't have to be
A	he's got the solid tummy hasn't he? it's not good
B	yeah
C	if I get the cheese would you guys have cheese?
A	I'll nibble but
C	see what's happened is I've now read that and I was like I can't go back to the puddings
B	get the cheese
A	no I don't want any but I'm going to have coffee
B	I'm quite interested in the cheesecake so I think I'm going to have that
C	I had a massive waffle with ice cream on it yesterday
C	I think I've had my sweet er
A	coffee of the highest order oh please
B	I don't like crème brûlée really Sundae
C	I don't like crème brûlée erm and I liked the er sound of the raspberry and white chocolate cheesecake but that's very rich
B	that's what I'm going to get you can taste it and er I don't want ice cream it's too cold
A	cappuccino no okay
B	oh good coffee I'll do that
A	I'm going to have a cappuccino or a they do espresso
B	espresso
A	it's Illy coffee so it's good
B	well yeah
A	they do double espresso latte blah blah
B	hot chocolate with mini marshmallows
A	where's that? how did you find that?
A	no mm mm
B	I know I do quite like it
A	my feel my skin I'm not trying to be funny
B	it's a hundred per cent erm yeah I have the same
A	it's lovely and soft isn't it?
B	it's a hundred per cent better than the one I got anyway so and a better colour can you see that I'm wearing it? from the colour?
A	she just
C	I'm like I I'm eating lamb
B	she's trying to impress that nice looking probably
A	eating chicken
B	she's just motivated oh he's married mm
C	it's a shame really cos he's rather nice
B	I wouldn't want to go running with a nice man looking man cos you get all sweaty and
A	no
C	yeah
