C	well I know it's watered down in here so that the children can't use it properly oh it is watered down
C	it's a new one
B	yeah
C	maybe
B	oh
C	this one and it's a new one and I say it like that and he flies back with it no he skips around the kitchen up and down all over the place like a puppy
B	ah right
C	a new one
B	okay would you like a cup of tea?
C	it it would be nice
C	you know
A	oh that's hot now
C	and it's a good job cos normally on a Wednesday afternoon apparently they have a kids thing in the hall
A	really? yeah?
C	yeah erm but well that's fine so that means it's open for people who want the loo but there's this this funeral they they going onto
A	yeah
C	so I
A	yeah
C	it's what I can't do I can't keep running backwards and forwards can I?
A	well of course you can't no
C	doesn't work I've got to
A	yeah so they they like it?
C	he loved it
A	really?
C	yes he did yeah yeah well I was just telling
A	oh right
C	I sent it to
A	oh dear
C	took
B	oh right mm
A	yeah
B	yeah it doesn't take long
A	yeah all you have to do is press the
C	well I can't I can't do that
A	no
B	mm
C	on my programme anyway so that erm he's that happy he thinks he wants one for his wedding exhibitions that they go to
A	yeah
C	erm
A	that is a beautiful job you've done
B	that is lovely
C	I was chuffed with it it's a nice finish and also I think he he liked the erm that matt finish makes it rather than a gloss
A	gloss is awful though
C	yeah it's awful yeah although some things and what I discovered with and I've worked out how to do hand painting it came to me on the way back
A	yeah
C	because the problem is right if you well the first
A	no you need outside ply
C	outside ply so I need to and I've got lots of that I've got that left left from the from the back of the van
A	yeah
C	that's really its been in the back of the van for years and it's tough old stuff
A	it is
C	yeah and few coats of primer on that sanded down
A	oh can you?
C	mirror cut
B	you can cut what?
C	mirror
A	mirror images
C	mirror images so I seek
B	ah
C	I draft what I want tell the machine to cut it a mirror image
B	yeah?
C	and then it'll cut the mirror image and there and then the adhesive
A	yeah
C	so you just tape it on the side
A	oh I see yeah yeah
B	okay
C	quick waft over with a primer
A	yeah
C	lift off what you've taped on and you've got your image ready to paint
B	ah
B	right yeah
C	what takes the time is the layout
B	yes
C	and getting what you want so now you you say how does you can sent that I can send that do that digitally say is that alright? and that this is something cos I I if we are opening the church
B	mm
C	we do need to have somebody there and erm I I could see a lot of Saturday's I'm gonna be there well if I'm sitting there drafting paintings
A	yeah
C	it's a lovely thing to be doing I can do it outside
A	yeah quiet church
B	yeah
C	yeah it's lovely erm doing signs like that
A	is it the
C	yeah
A	oh yeah
B	mm
C	so we're opening every Wednesday now as er from ten till four
B	yeah
C	that's that's six hours innit?
A	that is six hours
C	six hours and no one's volunteering to do it
B	you get many people go in?
C	don't know oh they do
B	they do? oh
C	on a Wednesday on a Wednesday when the boys are there erm oh they quite often have people visiting there
B	oh good that's good
C	I don't think they actually supervise it they're busy round the back and stuff could disappear out the front where
A	I will have one
C	so I can see I'm gonna be doing it but I that doesn't matter if I can if I've got something I can get on with
A	no no
C	it doesn't matter at all
A	no you're very good at
C	erm
A	yeah
C	erm so that's
A	well you're very artistic so you you should be able to
C	well that's what I always really wanted to do
A	yeah
C	but it takes too long you can't
A	I know it does but I mean you have to have a little bit of patience and if you're sitting down there for ages
C	mm well I got one potential customer already cos
A	no
C	well
A	yeah?
C	and erm so well no she didn't phone she sent an email said I'm a friend of
A	oh yes you did say yeah
C	yeah
A	yeah
C	erm so if she doesn't find anybody to do it at a sensible price for her I've said look later on in the year when I've got the end of June it quietens down a bit
A	yeah
C	erm and then
C	so erm I erm
A	no you don't no
C	with that would spoil the other surface but if you then cut the mirror image you can turn it on its back and you've got the right image oh I tell you what you haven't got you can hold the middles together that doesn't matter you won't need the middles
A	no
C	you won't need the middles oh yes you will but ah
A	yes you will yeah
C	yes you will ah ha right
A	mm
C	mm
A	well what about
C	no you don't need the middles because you can get all the widths and everything and everything er I just can't spray it
A	yeah
C	that's it
A	yeah
C	that's fine
A	you could
C	so I just where there's a middle I just add a little bits
A	yeah
C	yeah that doesn't matter cos the paint I use it er will be used is called one shot
A	yeah
C	very expensive for a small tin but it that's a one coat cover of anything
A	yeah
C	it's real it's it's it's only for sign makers
A	yeah
C	and I think the way
A	yeah what like in the little jet
C	then they do no they're a bit bigger
A	oh are they?
C	er four fifty mil I think
A	oh right
C	yeah erm but they do a special primer special undercoat but it's all it all the whole thing is a whole
A	it's a package yeah
C	erm and then I know then that that paint will flow out modern paint you buy doesn't flow out
A	no
C	it it doesn't
A	yeah what about cleaning your brushes do you have to use anything special for that?
C	white spirit
A	white spirit
C	yeah
A	oh that's alright then white spirit
C	mm yeah it's all all all there
A	cos there was lots of stuff you you or some stuff
A	yeah
C	erm
A	yeah
C	then I'm stuck there I can't do anything else can I?
A	course you can't
B	yeah might be good for you
C	might be good for me yeah
C	but it's a lot
A	did you get an email from
C	no
A	no
A	no
A	no
B	big tall
A	big tall
A	yes
C	oh oh that
A	did you get one?
C	no
A	oh cos he's asking for volunteers for the world
B	I didn't know we'd asked yeah we did it last year
A	yeah
C	oh no no
B	have you volunteered then?
A	I haven't yet no
C	all I'm all I'm all I'm gonna I must have a word with erm
A	yeah?
C	I think that'll be good that erm if he's happy that cos he said yes it's fine as long as you're as long as you're in the erm
B	are you allowed half?
C	no
A	you're not allowed cake that's even more sugar than biscuits we've got no cake anyway have we?
C	mm
B	no we're out of cake at the moment
C	so anyway
A	you can't have your cake and eat it can you?
C	no
C	erm what will be he said yes it's fine in the church
A	yeah?
C	but we've got
A	that's yeah that's true
A	when we had a we had a video run didn't we about er about the whole
B	that's well
C	well well yes that's what it's for
A	yeah
C	and it I felt it didn't really work did it?
C	it kept
B	no
C	you've gotta keep stopping and starting it and then people who are in there see it over and over and over again
B	mm
C	it doesn't really work that but anyhow erm
A	mm
C	then they probably play the bells for nothing you see
A	oh yeah
C	erm and that would all help it all goes it's all towards the tower fund
B	mm
A	yeah
C	and then I've got the make I'm gonna make have I told you what I'm gonna make?
B	mm
C	make a tower with the looking at
A	mm
C	from the end with with the shape of the church
A	yeah
C	behind with information on it about
A	yeah
C	about it and you could put money on coins and lift a lift a flap that will ring a bell if you put put the biggest bell is the one if you put a note in
A	oh
C	you put put well well my theory
A	yeah but will people want to know that they're
B	how are you gonna work that?
A	will they really want to know that some
B	yeah
A	they're putting a
B	no don't do that
A	twenty pence in or
C	just all the same bell it brings the same
B	that'd be so embarrassing
A	the same bell
C	it brings the same bell
A	yeah if you have a if you have a pound
C	no no no just that I was gonna have one alright no that's fine so er
B	but I suppose if you put in a load of coins it would loads tuppences will it go ding ding ding ding ding?
C	well somehow I've gotta build a flap so that when they put it in put it in a flap and it's when they
A	mm
C	when they pull on it on the button
A	yeah
C	I'm not quite sure how to do that yep but I'm sure I will think about it
B	mm
C	erm it won't take long to make it and it just the information we need to raise so and so and have a thermometer because we've got I think we've got twenty something thousand saved towards it
A	have you?
B	yeah
C	I'm I'm guessing now something like that but that is ring fenced it can't be people have given it for the tower
A	yeah
B	mm
C	but we've also got money in a fabric fund which erm is just from normal funds that are coming we put it in maintain
A	what is that er tower that that we
A	that was the
B	yeah
A	yeah I
C	well we'll see I doubt we'll get much but anything helps erm you've gotta show that you're fundraising as well because
A	well of course you have
B	but I remember
A	but it's also in the interest of the church the diocese and and the whole community and people who are interested in churches cos that's
C	yeah
A	that's a really brilliant church innit?
C	beautiful church yeah the last chap I showed round
A	yeah
B	yeah
C	erm and erm then the people I took round in October if you look on erm the
A	yeah yeah
C	they they they put all their stuff they work for
B	right
A	oh right
C	they never let on and erm they so they said we we had visited once before and couldn't get in and this time there was a list of numbers and we phoned the number first on the list and I think we must have woken him up
B	yeah
C	it's a erm because he he didn't wasn't couldn't grasp what we were trying to ask or something and then he went on and then they they've got wonderful pictures of the church and a lovely write up and then we bid farewell with a friendly wave you know and and that's that's nice you you can see it I think it's the
A	yeah?
B	okay
C	and then next
A	oh right yeah
C	and she's doing three churches locally
A	mm
B	mm
C	she's doing
C	no
C	erm so and she said what is good about what we do for you? cos I haven't twigged it is that you'll get a lot of money from it
C	so you'll need a bigger collection box than you've got there we've got a little one there so
C	so I'm looking
A	yeah
C	and they go for a load of money
A	they do they do
C	I might have to make one
A	yeah
C	you know or if you've got any idea if you've got a whole box of make look might have to make one
B	you can make things look old can't you? erm
C	but the other thing is you see you can't you can't screw it on anything so I think it'll need something like a bit of wire coming out the bottom and just sort of go round the bottom of something round hook it onto a pew or something funny
A	yeah yeah
B	why? you mean you can't trust
C	it needs to be fixed
A	well you can't trust people how
C	oh no you couldn't just leave them you couldn't just leave the box
B	mm
C	erm
A	well had our our stuff nicked outside we you know
C	yeah you said
A	yeah
B	remember when eh sometimes
C	that's why you had to
A	that's right
C	mm
A	yeah
B	these churches and that and castles even they have what an honesty box don't they? right?
C	yeah
A	yeah but it's usually cemented to the post
B	wait a minute it's in stone
A	yeah
C	mm
B	so your holes goes in in the stone
A	that's right it does yeah
C	mm
B	mm
C	that's it tubes got me thinking now
B	and they it looks part of the er
A	mm mm
C	and then I got in trouble for putting the those signs up about the fire exit
A	did you?
C	yeah
A	what for?
A	of course they do yeah
B	mm
C	can't be moveable if it says fire exit keep clear
A	yeah
C	and I thought well it look you can't have a paying event in a place without people knowing how to get out
A	yeah
C	so I
A	unless you have an airline hostess
C	doing the bit
C	yeah yeah no well also you've gotta tell them that the tower isn't an exit you don't want people flying in there and falling in a heap and finding it
C	so I did did not supposed to have done it but then oh well we'll see how it goes
B	yeah
A	well who tells you off then?
C	well I was on the way there and I I I I bumped into
A	mm
C	and I told her what I was gonna do I said I've got some lovely little glass screws I thought that would be the easiest way
A	yeah
