C	philistine that he is he doesn't like red wine
A	ah
C	what a weirdo
A	what is
C	so he drank it and he says yeah it's alright and I was like never mind it's a good enough pinot
C	what could have gone wrong?
A	you've gone wrong in the head I'm afraid
C	yeah
A	yeah
C	and he went to the shop and he ordered one and he's like oh yeah yeah let's take one and he drank it and was like ugh that's disgusting I only like good wine and I said oh you buy good wine and he said well I haven't got any
A	oh no
C	oh I thought he had a really refined pallet when it came to wine and I think it was all bollocks
A	maybe
C	yeah
A	he has been told that it's a good wine not because it's a good wine
C	yeah
A	which tends to happen which is to be fair frankly enough that you're an alcoholic
C	yeah
A	I couldn't quite get bothered
C	yeah
A	I'm about I am going to sieve this spaghetti bolognaise
C	okay
A	because it's quite runny
C	oh okay
A	add lots of sausage
C	sausage
A	sausage
C	oh
A	sausages
C	I'm so attuned to the word sausage
C	sausage
A	um I haven't heard back from that uh guy after the threesome thing comment
C	oh really?
A	hmm
C	interesting for three years and playing every ten minutes
A	yes
C	cheers
A	and all last night
C	hmm
A	I mean
C	isn't it?  isn't it?  I thought
A	oh
C	it's normally over a tenner and it was a eight
A	it's really nice
C	yeah
A	no
C	it's just really smooth and I love it
A	what is the? A good cheap wine is the Ernest Gallo
C	oh is it?
A	the merlot
C	oh okay that's interesting
A	yeah
C	well it's just
A	as far a cheap bottle of red goes
C	yeah
A	it's actually quite good
C	ah that's a good it's good top tip there
A	I know
C	hmm
A	but um we over Christmas when we had a bottle of port uh
C	hmm
A	in the house
C	as you do
A	not extremely not like great port it's just like
C	hmm
A	you know room stuff
C	yeah that's good
A	um yeah so we had this bottle of port and we got a bottle of wine and it just tasted like vinegar wine and I don't know if it's expensive or not
C	hmm
A	but it tasted like vinegar wine
C	oh dear
A	uh and we put a drop of port in it
C	oh yeah?
A	freaking awesome saves any wine
C	wow
A	yes that's what we just started doing
C	yeah
A	drop a port in
C	yeah cos it's fortified wine isn't it port?
A	yeah
C	it's just really strong wine
A	yeah
C	oh
A	yeah
C	it's a good top tip
A	yeah
C	hmm
A	yeah
C	yeah well that sounds good
A	hmm so that was a a good top tip
C	uh hmm bunch of alcoholics
A	yeah I mean really we should have thought about it with it being fortified wine
C	hmm
A	I just think it's vinegar wine don't you? You just have to
C	yeah
A	cook with it
C	I mean um obviously we can you know you can buy you can bulk buy can you? It actually brings the price right down
A	yeah
C	but then you do have like a million bottles of wine in the house that you will all just drink
A	all drink yeah cos they're there
C	especially when
A	yeah
C	yeah
A	yeah
C	really?
A	as in
C	so
A	boxes of twelve
C	yeah
A	I took two of them
C	shit
A	yeah I mean there's three of them drinking in the house
C	and they're animals
A	and they're animals
C	hmm
A	uh but yeah that's what I thought they not going to make it till Christmas
C	that is the way forward isn't it?
A	and also a
C	hmm
A	and provided you can keep it like that's what I was going to do with the
C	no and you'll just drink lots and lots of wine
A	and become a heifer
C	well or
C	take some over to A and A
A	or A A or A and E
C	A and E
A	of all of the places to check in
C	uh hmm
A	oh so it sounds like your evening went really well then?
C	it was nice
A	aww
C	it'll be  it'll be  like having a personal trainer
A	yes so I was saying if you could report back
C	yeah
A	or if you do become good friends with him
C	yeah
A	he could help me with with the navy
C	well exactly
A	oh my God
C	he was in the army
A	this girl is so fun
C	I know
A	you just keep looking up all these different things
C	ah he was in the army
A	this is  this is great
C	yeah
A	this is fantastic
C	so he's a  he's a  top character
A	oh he likes The Big Question?
C	he likes The Big Question
A	that is such a great thing
C	I know it's good isn't it? Um although we differ on a lot of things and I
A	porridge
C	yeah it's good
A	uh
C	the thing is
A	pretty strong
C	well yeah
A	I mean I'm well I'm actually agreeing with him however
C	you are going to join the navy so essentially that is going to be a part of your re thought
A	yeah
C	um
A	they shouldn't get to the point where they're bad people in actual fact
C	no
A	if they were doing their job properly
C	exactly
A	need to be shot because they should never be able to get to where they are
C	yeah but basically that's their
A	fucking cut you right out
C	yeah he said
A	hmm
C	you know I mean my sister hasn't been
A	hmm
C	hurt or my
A	yeah
C	I don't know anyone that has been killed and
A	for you to have that anger
C	yeah
A	perhaps where
C	yeah you just
A	you never know if you would capitalise it
C	don't know
A	yeah
C	you can't make that call really
A	yeah
C	so um maybe I would think differently
A	the potatoes are well they look like perfect potatoes mum
C	well I hope so
C	yeah and
A	really?
C	yeah
A	oh
C	so they should be okay
A	which is good
C	hmm
A	yeah
C	than I can come around to what he thinks cos whenever he says stuff like that I think you've gone wrong
A	yeah
C	just a little bit
A	yeah
C	I just think um so stuff like stuff that he will never change his mind on
A	yeah
C	you know killing bad people cos he was in the army and ultimately I think that's
A	I hope I haven't taken like too much out of it
C	no it will be grand just put the good stuff
A	hot
C	do you want to shovel shovel shovel?
C	yeah
A	if you're if you really feel strongly about something no matter how much you debate it you're not going to take anything away from it are you?
C	yeah
A	maybe you should relinquish it
C	exactly
A	uh hmm
C	that is basically your condimental ideology like
A	yeah
C	he's not going to change his mind on that and
A	how old is he?
C	thirty-six
A	hmm
C	right obviously he he's had kids young
A	oh right okay
C	yeah
A	we don't care
C	that's fine
A	it entertainment isn't it? It's the entertainment factor
C	it really is
A	that's good
C	so yeah um it's fine
A	hmm
C	um probably seven point five
A	oh
C	cute
A	wow that's quite good
C	I mean he's not someone that you would look at and think god he's hot
A	yeah
C	I think because he he's got that cheeky chappy
A	do you think I need to make some more spag ball?
C	we can always come back and do a second sitting
A	yeah we could do that
C	yeah
A	or shall we just do it at one go in?
C	oh yeah maybe we should just do it
A	just chop it in
C	yeah and I
A	I thought  I thought  there was a lot of it cos obviously lot of it is liquid
C	hmm yummy
A	oh
C	I guess that happens with the tomato
A	hmm and I think as well the mince wasn't very good that I used
C	oh yeah they were a bit of uh seepage
A	seepage
C	oh
A	let's burn you up in there
C	how can it be Sunday night already? I feel like it has been a busy weekend isn't it? Yeah
A	I feel like uh
A	yeah
C	lost two days of your life
A	yeah but it's such a pain cos you look forward to the weekend don't you?
C	yeah absolutely
A	and we haven't seen much of it
C	hmm and it sounds like you had a really nice time
A	I need another day
C	yeah
A	Friday's should be a weekend or even
C	or Monday's
A	if it should just be a half day on Friday
C	yeah
A	so then you can get all your shopping done or washing done or whatever you wanted to do if everyone left work on midday on Friday
C	that would be pretty nice wouldn't it? When I worked at
A	hmm
C	yeah
A	I can't remember there I was only there for three days
C	I think at the time we did um
A	yeah
C	um shift was supposed to be nine till five but because that we worked as temps in the summer it was really busy
A	oh
C	it was really good and then yeah we did overtime
A	so I never really understood this about our company especially like  you know they say that we really want you to find a really healthy work life balance
C	yeah
A	but nobody we don't take phone calls in our department usually
C	oh right
A	and uh on a Friday afternoon
C	uh hmm
A	because nobody wants to call
C	hmm
A	I don't really think business wise it won't make that much of a difference
C	uh hmm
A	and also because we've got a full time reception twenty-four hours that can take messages so
C	yeah
A	it's also their job
C	really?
A	wages
C	that's weird isn't it? How the departments could be that different
A	hmm
C	that's just shit
A	we're going to need to
C	yeah
A	it depends on which business we've got as to how many hours that they get and stuff
C	okay
A	but if they really wanted us to have a healthy work life balance given that we'll come in on stupid days for events or or stay longer or and nobody else does that
C	hmm
A	they finish their shifts somebody else takes over from them and that's that
C	yeah
A	you think they would say okay you can
C	hmm
A	and given the hours and the stress that you're under generally
C	hmm
A	you just do it
C	as a little courtesy
A	yeah
C	A little thank you
A	and then maybe the managers could take that time if they wanted to
C	hmm
A	to prep for the next week
C	? Uh what is it?
A	it's uh garlic
C	wow
C	do you like a bit of garlic?
A	oh garlic yeah
C	the garlic's disappeared isn't it? Uh
A	no
C	oh okay
A	yeah cos not many people call and or if they do they call for things like generic things like what's the parking like
C	hmm
A	cos we arriving in
C	hmm
A	but the reception should deal with them they're just not
C	Good
A	oh
C	yeah
A	uh hmm
C	about what to do but I don't know  I don't know  if she's actually made plans cos she's she suggested this Saturday so I don't know whether she seemed
A	yeah
C	well I'll let you know if she comes back with anything
A	uh yes
C	hmm
A	I can't remember if it was free entry
C	oh okay
A	so that's pretty good
C	yup
A	hmm done
A	oh no
C	to go for a pee and he came back and he never wanted to
A	poor you
C	thank you
A	or the boudoir?
C	um clear the table
A	yeah
C	that's where we'll be eating isn't it?
A	yeah
C	thank you
A	I suppose
C	not a problem
A	you say that they're the one thing I can't cook you know
C	are they?
A	I can't cook potatoes
C	oh
A	I suppose cos I'll try not to eat them cos I can't cook potatoes
C	yeah
A	it never does
C	it never works
C	hmm
A	hmm oh this is standard  this is standard
C	standard didn't go there
A	yeah
C	did you say you saw toothless
A	oh yeah
C	oh
A	hmm
A	and he caught me really off guard
C	oh
A	so I thought cos I thought he wouldn't say anything cos he would be embarrassed about it you know
C	uh hmm
A	and so I thought what do I say? Do I say yes I know?
C	we'd be gossiping about you
A	hmm?
C	uh hmm
A	or do I say no I haven't got a clue and then he tells me and
C	yeah
A	so I thought on my feet and laughed
C	hmm
A	and said oh yeah that was really funny
C	uh hmm
A	really great like really funny thing to do
C	uh hmm
A	and he was like yeah when I got home the next day I put my coat on and in but in my pocket I have the flower head and a load of leaves
C	oh no
A	and no stem
C	no
A	and I said to him yeah you know I had a really good really fun night and um you know so
C	oh bless him
A	I just thought I'd and I said yeah I said well it's not it's so I said I've no she had a nice time
C	hmm
A	uh hmm
C	uh hmm hmm
A	and he was like yeah of cos he does
C	you're not
A	just you anybody in the world
C	hmm
A	anybody in the world
A	hmm you know maybe next time she's here um and I said  I said  oh well you know yeah definitely the next time she comes here with me
C	hmm
A	I'll let you know if we're coming out
C	nice
A	umm I said but certainly one on one she wouldn't feel comfortable in
C	uh hmm
A	doing that
C	oh God
A	just so she felt she knew she was welcome
C	hmm
A	what was that?
C	who can say?
C	who can say? Well thanks mate
A	uh hmm
C	you really sort of laid the ground work cos I've been there it would have all been really awkward
A	wouldn't it?
C	yeah
A	hmm and I
C	hmm
A	I can't I don't think they I don't think I made a joke about the cat card
C	no
A	I hope I didn't
C	no
A	yeah
C	hmm
A	or whether he actually thought that you know he actually thought of it as a friend thing and as a bit of a joke
C	hmm
A	I think it was probably a bit of half and half
C	hmm
A	hmm
C	and it was thought and effort it was really nice
A	bless
C	he's a nice guy
A	hmm
C	just not all of them
A	well
C	just not all the teeth
A	I was trying to eye up a little bit
C	hmm
A	see what teeth he had got missing and I couldn't notice any of them missing
C	hmm?
A	I mean they're black and fucked but
C	hmm
A	uh hmm
C	would you reckon kissing that guy?
A	hmm?
C	Christ
A	Jesus
C	hmm
A	so maybe he has got teeth and they're just fucked but I couldn't see back far enough to see if they have got holes
C	hmm
A	and my teeth didn't fall out till I was my baby teeth didn't fall out until I was nineteen
C	oh
A	hmm
C	hmm?
A	you see?
C	you'd never notice
A	yeah
C	hmm
A	Cos as I've grown it's kinda pushed together a bit
C	hmm
A	had there was it was a big enough for a tooth in it when it started
C	hmm
A	but I have one one tooth two less
C	hmm
A	on both sides
C	okay
A	I don't know why
C	hmm
A	so I can't really you know prey on poor old toothless
C	doesn't he?
A	hmm  I've noticed that
C	are they?
A	hmm
A	that bit
C	that's fillings isn't it? Like if you don't have a white
A	oh
C	Cos it's for cosmetic reasons
A	oh
A	yeah
C	they would have done a white cap on it
A	hmm
C	with a white filling but because it's the back he would have made that decision where you can't really see or just have a mercury filling probably
A	ooh
C	but the thing is you can obviously notice
A	yeah
C	hmm
A	but plus I've got quite a few fillings
C	I think you've just got to make the call about where it is like even if it was at the back of my front teeth I would have white
A	hmm
C	because you
A	at the front teeth
C	know yeah
A	yeah
C	but like this one was the second from the back and so I just thought
A	oh God
C	no it's everybody like a dentist that's it
A	uh hmm
C	it's not if they were looking down there
A	yeah
C	uh hmm
A	um cos I didn't know when the the next time I would go to a dentist would be
C	hmm
A	uh and he gave me seven fillings in one go
C	shit
A	yeah and at the time I thought that's like that's extreme he said no it's nothing they're just little ones
C	I don't know if you can actually do that
A	I don't know  I don't know  um
C	wow
A	but since the other dentist I went to after that was like holy fuck why have you got all these fillings?
C	really?
A	yeah and
A	and they were just a just in case
C	shit
A	yeah and they were like five at the time
C	hmm
