D	no they go any place but not the eight and the six together
B	I compete block you
A	not many left
B	yeah
A	would you like to have some more?
C	dad would you like a drink?
B	no thank you
D	I thought we were gonna drink that bottle of wine?
C	you went all the way out to the car just to get to Werther's
A	yeah
C	yeah it's horrible outside
B	thank you
D	what happened to the bottle of wine? Never never materialised
A	you're sitting in my place
B	mm?
A	what are you sitting in my place for?
B	um cos it might be too near the
A	well I don't know I'm left-handed
C	I'm sure you'll be alright there
B	even
D	yeah
B	can you move that over there then?
D	I don't know what's going on this looks different
A	who wants one of these?
C	what colour would you like Dad?
D	mm
A	it's peppermint
D	oh yes please
C	what colour?
A	do you want a peppermint?
D	I don't know if I would go with my Ribena
C	no thank you
A	eh I'll have uh white please
C	White ooh
D	we need the fishy stuff don't we?
C	that's going to confuse me
B	pink
D	no
C	dad remembers
D	do you?
A	mm
B	you know don't you?
C	do you remember Dad?
A	I expect I do
C	well this is your favourite
A	I'm going to the loo
D	alright
C	no I mean here not that
D	oh dear
C	I'm confused now
D	I need the piece with the um the thing on it
C	yeah that one
D	yeah um we need the fish cards
C	fish cards
D	um where's the box card?
C	no don't put that one in there
D	it goes in there
C	yeah
D	okay and we got the iron and the sheet and
C	fisherman
D	we don't need development cards do we?
C	fisherman fisherman fisherman no
D	do we use that?
C	yes
D	I can't remember
B	uh
C	yes we do
D	do we?
C	yes
D	oh yeah cos you can buy a development card with a fish
C	yes
D	or with five fish
B	that's right
C	yes
B	yep
D	I'll give them a shuffle
C	barbarians
D	haven't we done it?
C	no
D	I thought we had played all of them
C	no
B	thank you
C	is it just that
B	yes just that
C	oh I don't need anything else?
D	it's just that one
C	mm
D	em
B	yeah
C	yeah
D	oh
C	are you ready?
B	okay
C	uh two
D	three
A	six
B	and three
D	okay you start
C	you can start Dad
A	oh I start
D	uh you have to put your house down first
A	uh I have to put me house down
D	mm
A	mm
D	I can't remember the tactics for this
C	you've got to go you've got to think about picking up these fish at the same time as doing
D	alright
C	why have I got knights here?
A	I can't hold it
C	what's this?
D	I don't know
A	can you get your finger nail in ooh
D	it should be in there
C	mm
A	yeah I couldn't get my fingernail in
B	so you've got to think about all of the different resources that you need um and to think about the fish
D	uh there's two eights together
A	I've got to put a house?
C	yeah
D	actually can I change that? Oh no
C	yeah
A	because we go back do we?
D	yeah
C	yeah
D	we haven't played this in a while have we?
C	no
B	mm
C	what's best? Um ooh
D	yeah by the time everyone's been there there's not gonna be many spaces left
B	mm
C	that
A	ooh it's difficult innit? Oh
D	you have to go on the corner
A	no
C	choose whichever corner you like
D	well any corner
A	I'll go on that corner
C	I think
D	do you now?
C	mm
D	well we'll see about that at the end of the game won't we?
C	mm
D	your house is upside down
A	it's been in a earthquake
C	you're building it on the roof
D	or a tornado
A	where you going to put a
D	mm
C	right you ready? I am going to go
A	I've got to put a road down but you didn't let me put a road down
C	um here
D	uh hmm
C	yeah
D	okay
C	I keep forgetting that um one in the middle is is still quite good isn't it? Cos usually there's a dessert and that's rubbish but that lake isn't is pretty good still
D	yeah
C	right
D	um
C	when was the last time we played this then?
D	here
A	three years ago
C	ooh I was gonna go
D	no I'll go here and
C	you need hmm okay
B	these are strong
D	what do I need? Em and here
C	they smell strong
A	I was going there
C	well you're not anymore are you? Right
A	you're a bit nasty
C	I'll get that
B	I was going there
A	were you?
B	well I was
C	right there you go
A	I get a go now
C	no it's mum's turn
A	but I haven't even gone yet
C	but you last
B	sorry
C	you start first and then it goes
A	oh yes yeah
C	all the way round and then it comes back again
A	I forgot they go anticlockwise
C	so it should be easy for you then going anticlockwise rather than clockwise
D	I got  I got I got I got  forward one
D	does that mean your brain works backwards?
C	yeah by the sounds of it
A	it does
D	they used to be burned didn't they? Left-handers?
A	we did but we came back
C	do you know in Tunisia there was a really
D	mm
C	really high
D	yeah that's true
C	that I met was was left-handed
D	yeah
C	why is that?
D	do you think it was because they write from right to left?
C	nope
D	because it makes more sense writing that way?
C	well I don't know but
D	with the left hand
C	there's plenty of countries that write from left to right and they're right
D	no it's just genetics though isn't it? I thought it was just
C	it is genetic so
D	they're just freaks
C	no it's practice isn't it Dad? Like they they made you practice writing with your
A	they did they did
C	hand your other hand
A	they used to slap on the wrist on the on the back of the hand with a ruler
D	mutants
C	mm
D	mm
A	wrong hand boy and a slap across the lug
A	no
C	no cos he's still left-handed
A	but I do eat with my right hand
C	and that's practice that's because of habit
A	but I do eat with my spoon in my left hand see so that that don't work with the right hand
D	mm
A	yeah
D	yeah
C	what
D	yeah
C	he's left-footed?
D	mm
C	really?
D	mm
C	ooh look at  look at  look
A	what?
C	mm just watching where you're going right in between my two houses
B	gosh
D	oh okay roll the dice
C	it's a bit tight isn't it? It's a bit squished
D	oh you get a fish
C	I don't even get a fish
D	and you get one of these
A	oh I got  in it
C	mum did you pick up a fish?
D	and a corn
A	and a corn
D	ooh argh
A	A sheep and a corn
C	right okay
D	three
C	three?
D	I've got a three
B	and me
C	and you you can fish in the lake
D	oh yeah
A	oh yeah
D	White and red yeah
C	it's not bad
D	mm
C	Cos you've got all those probabilities added up there
D	you can get  you can get  some good stuff with those fish
C	mm
A	your go
C	right
A	eleven
D	uh
C	hang on
D	they're in the wrong place
B	oh sorry
C	that's alright
[ANNOTATION]	Person C know they are talking abut the fish	Entailment
D	phew it's lucky that one's okay
A	mm
D	eleven
C	yeah
D	can't you just move that?
C	sorry but they had to be moved
D	yeah
A	is that wheat or?
C	yeah
A	yeah
D	no hang on a minute they go on
C	in between
D	no they go on it
C	no they don't go on it they go in between
[ANNOTATION]	Person C is pretty sure that they go in between	Entailment
D	they do cos you can't have that in there can you?
C	yeah
D	oh okay okay
C	you can look it up if you like but I'm I am definite about that
D	uh huh
[ANNOTATION]	Person D is going to the club with Person C	Contradiction
A	right
C	who rolled that?
B	me
B	okay
C	okay
D	no
