A	right so basically er he he was the
A	I I know it's it's Italian cos like he was in the mafia basically
B	oh okay
A	and and what the what the
B	what's the game called?
A	Town of Salem
B	oh yeah you've been playing that for years haven't you?
A	no not years for a while like
B	but that's that's the one isn't it? where you
A	yeah and it's fun cos each time you play the game you get a random role
B	yeah
A	erm but basically what a
B	yeah
A	and the investigator what they can do is they check a target each night and they can find two or three possible roles that that target is so for example if a target was a serial killer see there's loads of roles but if the target was a serial killer the investigator would get your targets covered in blood they're either a doctor a vampire or a serial killer
B	oh charming
A	so you you have to guess which one they are based on like other people getting information erm but the
B	yeah
A	so they they're more powerful than the investigator but they're also on the bad side so
B	ah not so good
A	but they can
B	didn't you always used to get killed off in this though really early?
A	not not all the time I I had bad luck yesterday though I I had some weird games I had one game where
B	using what?
A	bots
B	bots
A	yeah
B	as in robots?
A	yeah so someone was using a bot or something and they were doing something weird like I dunno if they were hacking or whatever but they were doing something weird with the game
B	mm
A	and basically there's this role called the mayor which might be obvious cos it's a town but erm
B	it just seems like
A	no not really what what's confusing you?
B	everything
A	well I I don't I don't I don't see how
B	well you've just said that something comes up and it can be the three different things
A	yeah
B	yeah
A	the mayor will appear to the investigator as either the mayor the godfather or the vampire hunter because the mayor doesn't get the exact role
B	okay
A	which is why the major has to
B	okay so what's actually what's the best role to have?
A	oh it
B	is it?
A	what the spy can do is they can read mafia chat but they can't actually see who the members of the mafia are cos that would just be overpowered
B	is that like helpful at all?
A	it is it is helpful erm because you can
B	yeah
A	so if you if you think someone's typing a certain way you think oh I've been reading mafia chat this person types exactly like someone in the mafia I think they're a member of the mafia
B	yeah okay
A	that has worked
B	yeah
A	also some people are a bit silly probably cos they're new and sometimes they end up saying their names not realising that there's a spy in the game
A	I've I've done I haven't done that I have done something stupid though erm
A	erm basically one time the godfather got jailed the first night and I went oh no the godfather's jailed and there was a spy and they said whoever you jailed first night was the godfather I'm like
A	I was like I I
B	I think what you were saying about erm watching how people type
A	yeah I
B	they're voice but in
A	yeah
B	text
A	yesterday yesterday was funny because erm I was actually an executioner and the executioner is
B	boo hiss
A	the executioner is a neutral role but the a neutral evil role so
A	because because
B	okay it just seems a bit screwy to me but go on I'll I'll
A	they they they're neutral because they don't really have allegiances with anyone in particular just they just have a vendetta against that one person that they want to get lynched
B	okay
A	erm that's why they're neutral and that's why they're evil at the same time because they're trying to get a member of the town lynched
B	oh right
A	that appears
B	yeah
A	erm and I noticed that in the death note they had spelt something incorrectly they spelt only as onely basically
A	I don't know I don't know I don't know if their first language is English
B	well maybe not
A	maybe not but
B	maybe they're more dyslexic than I am
A	maybe but I I was half joking but half not joking and I basically said I basically said oh you know they misspelt this in their death note and this person can't spell their name coincidence? I think not erm and and and
B	theory
A	no it's a stupid line of reason that's what I was looking for
B	oh okay
A	and I didn't think it was erm but then that person
B	yay
C	oh yeah er by the way er
A	yeah
C	just just just a warning just in case my mood is shit for the next
B	okay
C	so yeah er sorry if I'm a bit moody
B	is that what she warned you might happen it might get worse before it gets better?
C	yeah I mean that that's what happened the first time I took them
B	mm
C	er the subsequent times I took them it wasn't so bad but this is the biggest gap that I've had between
B	okay so what what warnings did she give you about it?
C	she said that er
B	cos it sounds like quite a new med
C	it it's exactly the same type of med that I was on before
B	yeah
