C	and I
A	yeah
unknown_female	and I said to like cos I painted the white bit she was like this is exactly what she did as well cos she'd painted this during the day when I'd been at work and asked and she was like I said oh so do you want me to start painting the fireplace she was like yeah like proper
B	okay
C	I don't know if I've actually turned it
A	I think you have
B	let's just say that you have
A	yeah
C	yeah I've
C	ah no
A	oh my god
B	this is
A	I thought you said chocolate bottoms then I was like oh what are those?
B	nah they'd've melted by now
C	just this hot ass
C	work it what can I say?
unknown_female	my milkshake brings all the boys to the yard
A	I think I might get a cuppa
B	she's got it on the skirting boards as well
C	yeah I know
C	yep
B	wait I'm just gonna
unknown_female	I'm gonna move that puffy thing out the way
A	the puffy thing?
B	yeah and then
unknown_female	she got it on the wall
C	yeah I know
C	see them but but that
B	I don't know what you're talking about to be honest
C	you've never seen it? it like
A	do you just mean like something like gravel or something like that?
C	yeah it's a bit like that but you find it
unknown_female	but it's specifically for
A	yeah
C	holding candles in place in those big jars
A	yeah
C	yeah it just
A	yeah? not a bad idea you could just put pebbles in it
B	yeah put pebbles in it
A	that'd look nice too
B	to be fair I don't actually there is a rule against taking the the stones
A	yeah you're not allowed to but I used to do it when I was abroad
B	yeah apparently they
C	dead of night
A	mm could go right now
unknown_female	yeah
C	I used to come home with my pockets full of them cos I used to collect them
A	me too
B	you collected rocks?
C	yeah like gems and stuff like seashells
A	every time I went down on the beach with my grandad I used to like get a bag full of them and
C	put em on
B	I do feel bad for mothers though like when they're like obviously like emptying their kids' pockets at the end of the day
A	mm
unknown_female	and the things that they might find in there
C	can
A	like heroin
C	yeah right do you wanna swap
A	does anyone want the last wedge?
C	you can have the last wedge can we swap brushes?
unknown_female	just cos I'm doing this flower
B	yeah
C	and cos you're doing the middle bit
C	do you know what it looks like she's done?
A	what?
C	it looks like she's got the most
C	hence why there's so many drips
C	I love her
A	anyone want one?
C	no ta babs
B	no
B	this colour's alright though it's growing on me
C	it's nice isn't it?
B	yeah
C	what is it with mums and like bloody neutral colours and stuff? like
B	well she's got red now
C	I know she's got red now
B	so she's seen the error of her away of her ways
C	do you know what though? like she was saying like last time about like getting the living room redone and everything I was thinking bloody hell you haven't had it done that long but apparently she has
B	saying that it's not been that long since she got it painted
C	no no that's what I meant and then
C	Sandy
B	do you know what we should've done? we should've like gone and found some like lime green paint or something
C	and just repainted it
B	and just repainted it cos I well think that would have been
B	no
C	I like lime green as well the kitchen's gonna be that colour not the kitchen walls you know the shelf?
B	yeah
C	I said I want colour in here if it's all gonna stay if the walls are staying white I said I want
B	see that would be nice yeah I like that like white with like a little pop of colour
C	yeah that's what I wanted in there cos that's what I meant about my room just like one thing that was like coloured cos I didn't like the idea of having a red wall and then red curtains cos it'd be too much red for me
B	red red red red red
C	I've just done it like that
B	ah
C	yeah lime green
B	lime green
C	just the flowers
B	she'd be like I am never leaving you
B	considering considering the man hours that I'm putting in on this house it's also technically my house as well
B	as
C	you
B	when is it? like
C	I don't actually know for definite cos she talks about them just like yeah
B	if it's like the like the if it's like not
unknown_female	yeah
unknown_female	cos my exams'll be coming up soon but if it's like right at the end of of April I might have exams so but it should be
unknown_female	it should be fine I should be able to cos I'm not planning on like going back to revise like loads there anyway
unknown_female	yeah
unknown_female	cos it'll like it'll probably depress my life being on my own
C	oh we're making it so pretty
C	it does
B	right nice
C	it's right nice
C	you love it
B	oh do you know what I've gotta do?
C	mm
B	I wanna bring my own mug down to your house
C	just leave it here
B	and I'm gonna and I'm gonna leave it here and it's my mug
C	do it
B	I'll bring the giraffe one down
C	oh okay we'll definitely know that one's yours as well
A	yeah
B	cos I love to dress
A	I don't particularly like chickens but I like the chicken
C	why do you like it so much?
A	I don't know it's just really good
B	they've got chickens up at the erm animal sanctuary
A	do they?
B	bird
unknown_female	yeah
A	chickens are weird
B	it's really oh honest to god right I would love that if we ever have enough money
unknown_female	joint business
B	we'll open our own sanctuary cos I think that would be like my ultimate like dream like to do that
C	mm
C	yeah cos then as well you've gotta cater for that I hate is
B	cos it's a non-profit as well
C	yeah
B	erm because they have loads of people who go up and volunteer to like walk the dogs and stuff like that
C	yeah
B	people donate stuff like all the time erm people do like runs and stuff and like raise money for them they do
C	yeah
B	themselves and then the society at uni do fundraisers erm and stuff and then yeah it's just and they've got the café as well they've got like a café
C	yeah
B	there so like are you painting up? I'm painting across which way are we going?
