C	you manned up?
A	yep
C	that's harsh man
A	or
C	what did
A	hence why I look like shit this morning cos I spent the night and this morning just crying like a girl
C	ah mate well you did look really em really away with the fairies this morning
A	I said to
C	mm
A	yeah
C	oh mate
A	mm
C	go to the doctors tomorrow get the scan take a view on it
A	I'm going to go to work in the morning because if I take the day off they won't pay me
C	oh yeah
A	nice
C	need to know information and they do not need to know that
A	right
C	to be honest if he's anything like my GP he'll be like who are you? What are you? Yes fine come and get this letter
A	no so
C	yeah well that sounds like a plan
A	one yeah
C	yeah the fork actually turns out yeah
A	I will literally use the fork
C	the fork is actually a viable option
A	yeah
C	national Accident Helpline
A	well it's Gould Solicitors
C	oh no
A	she got the statement wrong the time on it
C	Good
A	yes yes
C	so is that someone that's appointed by National Accident Helpline
A	yep
C	can you get someone from Tezza?
A	I'm going to Barr Ellison
C	okay fine
A	and they have a
A	if the GP had said keep off your feet
C	yeah don't go swimming
A	did I tell you I've got two haematomas
C	yeah oh well I was there when they said
A	yeah just one thing just spirals
C	I don't know a
A	Cos I said to
C	really
A	she said I'm telling you know if they cut that open say two inches three inches we're talking a week
C	well yeah cos when I had my knee cut open and it was all like that
A	we're talking six stitches if that
C	yeah and that's if they do all of it
B	yeah
C	it shouldn't be
A	yeah
C	how are they going to get it out are they just going to
A	they literally just scoop it out
C	scoop what?
A	okay cos they say they can't needle it because it's congealed
C	yeah
A	that's basically do my body's work for it
C	yeah
A	no he's in shit in the divorce thing
C	is that actually is that this week or is it next week?
A	mm
C	this coming  This coming  week
A	they've had it
C	they've had it? How was it?
A	she was a douche
C	really?
A	yeah
C	wow
A	mm
C	she must have really pissed him off
A	no
C	she's just out for his money
A	and the whole time both only solicitors are supposed to speak and she was writing post it notes and wittering and whacking them in front of the solicitors face and really showing herself up and my dad just said the judge was paying him more attention than her completely blanking her and my dad didn't say anything
C	right
A	but just because he must have been so fucked off with the way she was behaving
C	yeah absolutely
A	spot them a mile off
C	well he's got to make a judgement call hasn't he? On the very small amount of time that he gets to spend with the people in front of him and the evidence he's got to make a call on who these people are
C	so
A	yeah
C	oh really?
A	but we don't know how much of that is lies from her so she's going to have to prove it
C	into the state yeah
A	the state yeah
C	shit three years though
A	yeah
C	it's difficult to know with her isn't it?
A	difficult to know whether she's lying or not yeah
C	mm
A	so
C	shitting hell
A	fucking nutters aren't they? The lot of them
C	but the thing is it's for you like there's no sort of relief
A	she wants me to move back in with her
C	does she?
A	yeah
C	yeah that's it
A	so
C	well if needs must I mean if that's if you really can't stand the job
A	yeah to a whole year from now
C	to this time next year yeah
A	financially it's impossible yeah
C	but that's not to say that there aren't marketing jobs or language jobs out there
A	I mean
C	well that would be pretty nice and then at least you can concentrate on getting yourself fit
A	mm
C	Peterborough is quite far
A	yeah
C	but you know I'll still be here
A	no one bedroom
C	you know there's always going to be people that you can stay with if you come back to visit so
B	can you turn that off?
A	yeah
B	I thought you were turning it off
A	you'd forgotten about the radiation?
C	in Tokyo
unknown_female	radiation? What
A	did you mind pouring me some
B	no help yourself
C	what have you done?
A	well yeah I mean it's got this mark on it but it works pretty well
B	bloody twisted my ankle
A	we were playing earlier
C	I want to see how my washing got very damaged
A	one of the lads was stood at the back of the park chasing it in
C	right
B	it was like the
A	for the orange ball
B	it was like
A	he was like yeah I'm going to lob in a
B	I done first I done the right foot in the gap
C	shit
A	the crack is like that though
C	yeah yeah yeah
B	and then I done the left foot and that left foot has done me in
C	have you put ice on it?
A	ice
C	mm
B	no
A	do it  Do it Do it
C	you need to put ice on it cos it'll be massive by tomorrow
B	I'll be alright I'm a man
A	yeah
C	no cos you'll need to walk
A	yeah no
B	I'll play football and that still
C	yeah no
B	you you you put any man to shame
C	it's quite a growth you've got going on there
A	it's gonna have gone by tomorrow though
C	it'll be gone by tomorrow
B	it better
C	drained
A	if they don't do it I'm going to say to them in A and E if you don't do this now watch me sit here and slice it open in front of your face and then you'll have to deal with it as an emergency
B	yeah yeah
unknown_female	I've got the longest throw off Toy Story over the head
A	I'll do it
unknown_female	you weren't here
C	was it very literal?
B	well way to go
unknown_female	it went in
B	oh did it?
unknown_female	yeah
B	it doesn't matter
unknown_female	have some Buzz
B	I think I've only got two left
A	I will slice it I'm being deadly serious
C	do it
A	in fact I might actually take a knife with me
B	well no
