B	well it's yeah
G	that's
B	actually twenty
G	that's
B	doesn't begin to probably closer to forty by the time they've left
E	well if nothing else if that was paid off it does mean that they're not having to pay it off
G	oh yeah yeah yeah
E	so they gain
B	I know what you're saying about
E	immediately
B	yeah ultimately we would lose out of
G	yeah I just said purely financially I accept
B	yeah yeah yeah
G	you know there's an emotional thing so it's
B	and you know I couldn't give them enough to set them up for life
G	yeah
B	so
G	yeah yeah well
B	but all I'm doing is is taking a black cloud from over their head cos let's be honest it's well I mean if
G	mm
B	it was like
G	but it to some degree it is meaningless debt they will never pay back eighty grand
B	no
C	surely that affects
G	they will pay back a chunk
C	if you're going to go get try and get a mortgage or something like that?
G	yeah they they're better off doing a deposit for the mortgage or even part ownership of the house
C	yeah but I mean the
G	that in your will bequeath it to them so there's no way
B	mm
G	they they will ever actually have to part own it with you
B	mm
G	erm
B	mm
G	no one pays our tax bill we earn an extra pound and we only earn seventy-five P and then we get to the threshold and then we actually only earn sixty P
B	yeah
G	I feel that's quite a nice way of doing it
B	mm
G	cos it still shows them the value of money
G	it's not a big
B	yeah
G	whether they would truly appreciate it is a separate question but
B	yeah that's true
E	mm
B	it's a bit hypothetical
G	from Oxford for your doctorate
B	really we need to go and see a financial advisor cos we're not making the most of our money
A	that's what I'm aiming for
B	we really need advice on what even if just for a few years before we retire we could make it work so well it's not working for us at all at the moment
G	yeah and if you're gonna do that you need to
E	yeah
G	you're averse to shares
E	I play I play safe
G	yeah
E	tend to be fairly
G	erm
E	safe
G	and that's fine but you're
E	and
G	yeah but
E	if I'd taken more risk
B	but if you're doing well enough and you feel safe then
G	yeah
C	well if you take a risk and you lose your money
E	well that's right yeah
G	it's again it's not just about cos
A	mm
G	taking better holidays so it still might be that yes you you know you're happy with what you've done but it might be if you wanted nicer holidays
E	oh yeah yeah
G	you could have invested more riskily
E	yeah
G	I'm not pushing you down a risk thing but that is the very first question a financial advisor will ask you
C	I
[ANNOTATION]	Taking risk is good or bad for work	Neutral
A	oh the other one's best
[ANNOTATION]	Not working is the best	Contradiction
E	it's getting the balance right I have got some stocks and shares and Isas which were up there they're down here at the moment
B	yeah
E	but they're starting to go up again so I'm leaving them there and eventually they'll go
E	yeah
B	not high risk
G	I think this is the kind of
B	but more medium risk
E	my share of of stocks and shares is fairly small compared with other investment
B	mm
E	but I try and push other investments around to get the best I can
B	yeah
E	like the erm the
B	mm
E	to try and get a better return so that's the way I
B	but this er you've gotta say on top of it as well if you we to a financial advisor and he says do this this and this
G	it only needs an hour every quarter
B	mm
[ANNOTATION]	It is good to have other investments around to get the best	Entailment
E	people forget that that
G	mm
E	that you know they spend an hour where oh I can't be bothered doing this I'm only earning but actually you go to work and you'd be glad to earn that
B	yeah
[ANNOTATION]	It feels more safe to go to work and earn money each month	Neutral
E	you know spend a bit of time working on it you can earn a lot more than that
B	yeah but we'd need help
G	well and that's a that's an after tax
B	I wouldn't know where to start
E	mm?
[ANNOTATION]	they are so expert for starting the business	Contradiction
G	that's an after tax gain as well
E	yeah it can be yeah
B	yeah but we've just sort of said I mean well we're supporting these and things there's outgoings and what have you
G	yeah
B	now is not the best time really to
G	no
B	once once these two graduate then
C	well then she'll come home and say I'm getting married in Coventry in the cathedral and I want to
E	in which case you say right you can pay for it
C	or at the
A	definitely not gonna happen
D	the coach and twelve horses
E	there's there's a friend of mine who reckons he can prove that the more you spend on the marriage the less likely you are to survive your future life as a as a married couple he reckons
C	well why?
E	looking
B	right well a two pound fifty elopement
E	but to a certain extent if you're
B	I'll give you the bus fare to er Gretna
E	yeah how many times do you hear do you hear of you know oh you know they how can they afford to buy a house and all the rest of it but they've just had a twenty thousand pound marriage
G	well don't confuse
B	mm
G	correlation
E	and this this
G	with causation
E	what sorry?
G	don't confuse correlation with causation
E	oh yeah no no no
G	so the church causes alcoholism
E	yeah I'm I'm
G	it's the main
E	I'm not blaming the
G	they link all together but there may not be one cause
E	yeah I'm I'm no I'm just saying well
G	yeah
E	but he was saying that he looking around his friends
G	mm
E	the ones that spent more on the marriages
G	oh yeah
E	have actually are the ones that have been
G	yeah
E	had problems and broken up
G	I wonder if there is correlation there a causation there
E	yeah
G	it could be that people who are bit more showy
E	mm
G	are less arguably authentic
E	yeah oh no could easily be anything
G	and want to spend more
E	yeah
G	but there's nothing more authentic than a marriage cos you get to
E	yeah
G	know someone warts and all
E	yeah
G	don't you?
E	oh yeah
B	oh yeah
G	say say nothing
B	oh yeah
B	warts and all eh
F	warts yeah warts and warts
B	pimples
C	where where's he got his warts
F	well would you like to know?
B	no actually no that's fine you just keep that to yourself love
G	I'll put a picture on Facebook later
B	oh dear
G	I mean the other thing to consider and this this again is in no way the but I was at a different part of life
E	oh that's definite
B	oh yeah yeah
G	you can't take too much risk now because
E	yeah
G	we go up you've got plenty of time to recover any losses
E	I've been your pain in your backside for ages but
G	yeah yeah
E	er who knows?
G	he's discovered
G	but
B	yeah
G	losses than you do
E	that's right
B	yeah and it's also we
G	so
B	I want
G	listen but
B	my money to work our money to work
D	oh sorry
B	we want our money to work because we're still at the trying to retire earlier so I want it to work to be a positive thing towards that and
E	exactly erm
B	so yours is much more
F	well
B	much more a preserve what you've got
F	and you've got children
E	mm
F	so that makes a difference as well
B	oh yeah yeah
B	well that's what I'm saying
F	and you'll have grandchildren plus we don't have
B	no
F	that
B	no
F	so we're in a different position
C	they're very expensive children
F	yeah
C	and grandchildren
D	yeah mm
B	oh yeah yeah
F	to
B	yeah
F	raised three children you've had grandchildren
B	mm
F	so it's
B	mm
F	very different
B	but this is why
F	if for everybody isn't it?
B	the position we're in at the moment like
G	mm yeah
B	yeah touch wood we're not
F	yeah
B	once we've well we worked out it's gonna be quite a lot of money difference each month
F	mm
B	cos it's like we give you eighty quid a week don't we?
G	so you are favourite aren't you?
E	yeah
F	yeah what happened there?
B	but that's you know that's quite a lot
G	mm
E	mm
F	mm
B	that's so a hundred and forty
G	well that's
B	probably
G	best part of eight hundred a month isn't it?
B	mm yeah
C	yeah but that's what
F	mm
C	families are for
B	oh I certainly I don't begrudge one single penny
F	no
B	of that at all
E	that's that's something that shouldn't happen
F	no
B	but if and when
F	good
B	when they both graduate
A	my money's gonna
B	that's a lot a month
F	that's gonna make a difference yeah
B	well if we if we're used to if we're paying paying it out
F	yeah
B	we could do a lot with a month yeah instead of
E	yeah
B	just letting it sit in the bank go so I think oh we could go out for an extra Chinese or something that and because we haven't had it for three years
F	mm
B	rather than just letting it sort of trickle in and trickle out again
E	yeah
B	that's that's a lump of money that we could do something with
E	you've a good chance of getting
B	a lot with
E	yeah get a reasonable return on something like that
B	mm
G	yeah
E	I presume you know the different all the different types of advisors you can go for?
B	I know look at this space it knows nothing
C	yeah well don't go to our
E	well
C	financial advisor we had
B	I
C	she was the most gobby
B	I've now exhausted my knowledge
C	terrible
B	of financial advice
C	telling us all about they'll erm the couple down the road that got divorced and
F	oh no
C	divorced they told them
A	really?
C	oh did you know they got separated?
F	it's not appropriate
E	yeah you've actually go to say go into a bank
B	yeah
