D	yeah so this is the kitchen yeah it's a good space as well
E	ah
D	but if you look out long enough
E	we'll look at them later shall we?
D	yeah so that's nice I like the bay windows as well
E	yeah
D	cos it's like a nice big open bright space
E	yeah so there wasn't any problem when you got here?
D	no no
E	just signed the contract and everything
D	no no
E	after all your hassle beforehand
D	I know god it was stressful it came really close it
E	oh I felt for you guys I really did
D	if this place hadn't have gone through I don't think we would have
E	I know
E	yeah was he coming he'd got to the point where it was kind of like er that's it everything's against us
D	yeah yeah
E	it's telling us not to go back I'm English and I can't get in the country
D	I know basically you know
E	yeah it did feel very unfair though
D	I mean we could have been going travelling but it worked out fine in the end
E	yeah
D	it was just those few weeks in Korea trying to get it sorted
A	was that your bad toe?
E	it was my bad toe you just trod on
D	oh no oh no what did you do to your toe?
E	I fractured it
D	oh
E	yeah fell down some steps when we went to
D	oh were you there?
E	you were weren't were you? yeah but I erm
A	and you got stung on the bottom
E	I did get stung on
D	I bet you've been going to school telling everyone that and what happened in your summer holidays?
E	ah you look like you've moved in really well
D	but yeah the only thing was was the wallpaper was the only thing that we weren't like thrilled about but it's clear the landlord isn't taking too much care of the place
E	yeah
D	yeah I know
E	and then it was like the before and after photos
D	before and after shot I know I think it was like female tenant male tenant
E	you've got a blender
D	but yeah yeah we've got yeah
E	so is there anything you kind of like felt you need and you haven't got at the moment?
D	no no hey
C	hiya how are you?
E	oh it's lovely
C	it's great innit?
D	yeah
B	yeah do you like it?
D	view over the gardens which is nice
B	yeah
C	steady
E	it's lovely
D	there you go you wanna play
B	it's nice having these windows out the back
D	it's called a rain maker
B	have you managed to play the didge yet
D	it almost knocked him out
B	you've got to put your mouth around it and go
D	he's massive now isn't he?
E	yeah
D	he's a gorgeous little boy too
E	cos you haven't seen him on Skype recently have you?
D	no no no yeah we're always in separate rooms yeah
E	yeah definitely
B	it's a bit warm in here now
D	yeah so we had two separate rooms last time
D	yeah
C	there we go
E	oh gosh
C	was it really?
D	yeah it five years ago
C	I know it'd been a while
E	it's weird innit?
B	yeah it is strange
D	he's got massive since then
D	he's gorgeous too
B	uhu
D	fluff on my nose
B	little bogey or something
D	oh cheers
E	oh I thought
D	give
D	and the bathroom is
E	I've got a good feel of this place already
D	okay yeah the bathroom was in okay condition which was good there was no damp or mould or anything
B	the fan is terrible it's really really noisy
D	yeah at the moment
B	once it's gets going
D	I thought it was gonna blow up when it was in the shower the other day
E	oh what? what up there you mean?
B	yeah
D	yeah
E	what's that then?
B	it's the fan extractor
D	the extractor fan
B	but after we got it on for more than five minutes
C	what is that extractor
D	I don't know yeah good question I never even thought that
E	what's that? is that heater there?
B	that's a heater yeah
D	that's a heater apparently
B	woah
D	banging out a tune
B	gotta do it like this
D	actually scared me the other day
C	does it work?
D	yeah yeah yeah I mean it helps but we erm we have all our windows open quite a lot anyway so at the moment it's not a problem I suppose it will be when winter comes we'll notice more
E	yeah maybe
D	but it's really sounds like it's struggling sometimes
B	you've almost got it
D	but they wrote that down on our inventory you know we had the external company come and do an inventory
B	they were very thorough
E	yeah yeah
D	they were very thorough
B	you know like a
E	oh that's good
D	so
B	but the windows are filthy absolutely filthy
D	that's something I suppose
B	it looks like somebody's thrown something against that one
D	mm that's the bedroom
E	yeah they just can't get the
D	oh the bed oh thank you for bringing the bed up
B	there's a crack in the window down here a few other cracks
D	mm
E	have they marked all that? they know all about that? yeah
B	it to be fair
D	most of it had been noted so that's good
B	it's a bit rough around the edges but it's spacious there's quite a bit of space
E	ah that's great
D	yeah we have a balcony
B	yeah we've got a little balcony
D	it's very small it's big enough for one
E	oh but that's
B	you can just get out there
E	and it's nice on a hot day to open up and
D	yeah yeah
B	on a hot day
E	nice
D	we've had a couple actually I feel like we've been really lucky
E	really nice
B	yeah well I'm wearing a thermal shirt
D	we've had more sunny days than not since we've been back since we've moved into the flats
E	you might have to erm
B	looking pretty good
D	yeah we are for the bed
E	the bedding yeah
D	cos the bed won't fit where that is
E	and there's drawers that go underneath it as well so you'll have a bit more storage space
D	yeah
B	yeah
E	oh did you?
B	everything's a bit
D	no not that one these
E	oh
B	these things
E	oh yeah
B	everything's a bit hodge podge
E	no I think you've done brilliantly considering everyone's kind of like given bits and pieces
D	yeah well thank you for all that
B	yeah
D	yeah really
E	yeah
D	it has
B	it's good
D	it functions perfectly so yeah
E	yeah
B	yeah as you said
D	I don't think there is anything that we need
E	and this your this folds down into a bed
D	yeah yeah so this is a
B	yeah and it's we well
E	yeah
E	it's great
D	it's like quite a thick mattress so it should be fine it's a good size as well
B	so yeah if you wanna come and crash over we'll crash on here
D	so
E	right go on then go on the sofa
B	right yeah
D	yeah are you gonna construct the thing?
D	do you want a cup of tea first?
D	oh is there? yeah shall we go and come down?
D	alright then we'll keep talking
E	these are great okay you're not gonna get much recorded
E	so it might encourage him to go down with you
D	when I was at erm my parents before we moved there was always the grandchildren over and it's just impossible they're always interrupting and making noises and screaming
E	yeah
D	er well I I just didn't there was too many children
E	oh right yeah
D	it was a if I'd got my parents in like the kitchen by themselves or something like that then
E	yeah
D	then I
E	you have to do a kind of stop start stop start
D	yeah yeah
E	and then you have to patch it together
D	yeah which gets a
E	yeah yeah oh so good to see you
D	I know it's kind of surreal that we're all here
E	I know it does it feels
D	in Brighton
E	it feels lovely finally kind of see you together
D	yeah yeah yeah I know
E	it's been difficult
D	that's what my parents said
E	you know getting obviously when you come home it's like you need to see your parents and family
D	yeah
E	and everything and vice versa
D	we're never home long enough are we?
E	yeah
B	no
D	my parents came down on Monday was it this Monday?
B	yeah we had a few
D	my mum just went home like when we moved she was like it was so nice to spend the day with both of you
E	I know I know lovely
D	and to be able to just jump in the car and do it
E	yeah exactly
D	so
E	but no I mean you've been living your lives and you know
D	yeah we've been enjoying it
E	yeah definitely
D	been a good few years
D	mm
E	see do you remember when
D	yes?
E	you handsome boy
D	he's really handsome isn't he? he's a really good looking boy
D	does he remind you of either
E	he's character is very much like
D	oh is it?
E	very much yeah
D	okay then
E	but he erm looked more like erm
D	yeah I guess he's fairer isn't he?
E	was little
D	yeah
E	there's photos that we look at him the shape of the face not so much now as he's getting older
E	but he so reminds me of
E	as a child just you know he's just active constantly
D	constantly ah
E	from the time he gets up to the time he goes to sleep
D	oh they're so active
E	like he's
D	he's
E	got Duracell batteries in him
D	yeah yeah
E	and and
D	yeah yeah come and see this come and see this
E	yeah yeah
D	cos
E	yeah
D	he comes in the kitchen when I'm washing up look what I've made
E	I know
D	oh that's very good
E	I think he's the same
E	but I don't know whether that's like first child or just personalities I think it's probably personalities
D	yeah
E	cos
D	is quite different
E	different
D	yeah yeah
E	you know I mean we
E	ah
D	is he in Spain? is he okay?
E	yeah he's fine he's fine
D	course he is
E	but I I emailed I messaged text messaged and I facebooked
D	I'm fine
E	he was going to meet a girl that he's never met before
D	yeah
E	and a family
D	somewhere he's never been
E	that he's never met no
D	yeah is he staying with her family?
E	I think so
E	I've just about got the flight details off him as he was as
D	yeah
E	in the car
D	he's definitely a
E	erm but I said I've got no knowledge where you're going or anything I know you're twenty-four but if anything happens how are we gonna find you?
D	how are we meant to know? yeah
E	exactly
D	it could be like two weeks later
E	I know so erm
D	he's definitely a he doesn't always think things
E	no
D	yeah yeah we were
E	and you're kind of like
E	oh I know are you similar to
D	he's very different like that
E	yeah
D	I'm I consider myself normal
E	no
E	yeah
D	but I can't compete with
E	no I know
D	but that's fine
E	he he's very
D	it's
E	at least you know when you go when you go travelling and everything you know
D	it's all taken care of
E	yeah you know you have no worries
D	I mean
E	god
D	yeah I know sometimes think
E	just enjoy the moment
D	it's when he wants me to make a decision about something
E	yeah
D	and I'm like er I don't I don't know and he's like come on please just make a decision
D	but no
D	it's easier yeah
E	we've got so much kind of like erm
D	mm
E	that it's kind of like you just kind of get caught up in the moment and the enthusiasm
D	 asm yeah that's a great idea
E	yeah
E	yeah I mean look at the adventures you've had
D	yeah I mean there has been
E	yeah
D	some from er from Korea
E	do you miss it at all? do you miss Korea?
D	erm not yet no it's too early
E	who's this?
D	oh that's my nephew
E	is he?
D	he was four then but I just like it cos it just
E	yeah
D	it's the only time his mum shaved his head
D	and he just looks like a real bruiser even though he's four he's actually really erm very quite docile and sweet
E	when we did that with er
D	yeah yeah they do they look like little hooligans
E	yeah
D	so
E	real fast friends
D	yeah that was on the
E	yeah yeah
D	I mean he's probably shaving I most of these photos are even
E	no it's lovely to see
D	this is the one I don't know if
E	oh yeah yeah yeah
D	and this is the first day we hung out with them in Korea like in two thousand and nine and we went to their town because it was having a green tea festival so we all went up for the first time got along really well and
E	yeah
E	really? oh wow
D	and then yeah and gave it to him
E	that's lovely
D	in Korea
E	did that just make a noise?
D	oh that may have been me
E	is that your phone?
D	sorry I'm not quite used to having one yet
E	oh no I thought I thought it might have been the er recorder it might run out but
D	oh no
E	oh look at that one there
D	yeah that's Slovenia that's from er when we were still at university
E	that's amazing
D	that's what my mum said she literally gasped she's like you look so young there but it's fine
E	does it not?
D	no says we look stupid
E	oh what cos of the
E	oh that's a good one
D	in a cable kind of these
E	yeah I mean they're coming to visit soon aren't they?
D	yes yes er end of October they will arrive
E	yeah
D	so it should be good to host someone it's shame
E	yeah
D	the weather's not gonna be so nice then
E	no
D	every day I was saying to
E	yeah
D	so waking up with like blue sky
E	yeah
D	streaming in through the window but
E	yeah
E	no no
D	it's gonna
E	they'll see the autumn won't they?
D	yeah yeah
E	what have you got there? oh my goodness I don't think you should have that
D	oh dear
B	oh very nice
D	mm
E	nice bikes
D	yeah
E	you been out on them yet?
D	er once just the once but we planned to take them up to the uni next week
E	yeah
D	we've kind of been busy
E	cycle up to the uni?
D	yeah I'd like to
E	yeah
D	and my classes some of them finish at six one day I finish at eight so
E	it's gonna be dark
D	gonna be dark coming home which I don't fancy as much
E	yeah yeah you've gotta carry them up the hall
D	yeah yeah
E	do you want us to help bring up all the bits and stuff?
C	well you can do
D	yeah bring up some bits and pieces
E	okay
B	alright
D	oh yeah let's go get some scones do you say scone?
E	well I just thought about that when you said that scone scone
E	why does it feel like the more time we spend together we kind of say god you're like you're mum?
D	yeah yeah
E	or you're like your dad or
D	yeah
E	do you know what I mean? it's like
D	yeah that's true yeah I'm not being able to make the comparison before
E	yes yes let's wash your hands then first of all
D	yeah do you like them then? I never liked anything with raisins in as a child
E	oh really?
D	this looks good do you like jam too? yeah do you like jam?
E	come give your hands a wash
D	oh they're very big do you think you can eat a whole one?
A	yeah
D	I bet you can
E	I bet you can hold on a minute let's wipe your hands
D	okay
E	wipe your hands
D	we'll sit you all down on the sofa actually eh?
E	he makes quite a mess he'd probably be better at the table
D	we'll put you we'll put you on that
D	that's true
D	yeah yeah yeah
E	are you
D	yes
E	right and I fancy a coffee is that alright
D	oh absolutely
E	that's nice
D	erm we've only got this coffee though
E	oh he loves that coffee I bought some instant
D	oh you have?
E	yeah
D	just for yourself?
E	yeah
D	do you prefer it?
E	yeah
D	okay then
E	I found a couple of sachets in the cupboard what have you done darling?
D	oops that's alright
E	where have I put them
D	you've come prepared with your own coffee
E	and well yes
E	only because I know
D	yeah yeah
E	some
D	oh yeah in case we don't have any
E	right okay I'm not being funny
D	yeah
E	it was in my fridge and I know it says the seventh of September but they look perfectly alright
D	they'll be fine I don't care about the dates on packages at all
E	but I don't
D	oh awesome oh bless you
D	oh yeah
A	yeah
[ANNOTATION]	Speaker D always throw away out of date food.	Contradiction
D	yeah?
E	we'll leave them there you can sort them out
D	yeah thank you
E	oh you're welcome
D	surprising like it was so nice to like unpack things and to have stuff like you know foot cream and perfume and shower gel
D	it was like those sort of things either I
E	yeah
D	they're not the sort of things that I typically buy cos it's just like
E	no it's just extras isn't it?
D	being frugal yeah
E	yeah
D	so it was really nice that the bathroom like after day one was set up
E	oh good
[ANNOTATION]	The bathroom was ready pretty fast.	Entailment
E	good well I'm an Avon lady so you know so
D	yeah yeah yeah
E	come Christmas if you need any bubble bath or anything
D	source it from
E	or any time when I'm come up
D	yeah
E	just let me know if you want anything don't go and buy stuff like that
D	no no no yeah
[ANNOTATION]	Speaker E has no relation with Avon.	Contradiction
D	yeah
E	but I mean erm
D	we do just for baking purposes but
E	yeah I brought that and I found these in the cupboard and I just quickly grabbed them
D	oh that's nice
E	there you are
D	oh there you go
E	oh thank you
D	you do you
B	mum
E	no I like a coffee
[ANNOTATION]	The cupboard was empty.	Contradiction
D	oh okay
B	mum
B	have you seen how much butter he's putting on?
E	er okay
B	I mean if that's what he normally has then
E	no he doesn't
[ANNOTATION]	Someone uses a lot of heavy-cream.	Contradiction
E	you're just
B	you're doing a good job there
E	you're carried away aren't you?
D	ah
E	I've brought the desk and the bookcase
[ANNOTATION]	Speaker E carried two desks.	Contradiction
D	how did you get all this in your car?
B	I know just
E	that's why we were a bit delayed really but
D	yeah thank you
E	right sorry I'm gonna move put just put that on the side there
D	ah that's brilliant ah
A	jam
B	at least go in somewhere
A	jammy jammy jammy jammy
D	anything on the surface something
E	yeah definitely
D	thank you
E	right you be careful please oh you got a wobbly table
D	oh yeah it's really wobbly
E	does it need tightening or something?
D	I don't know
E	oh and you know why? this is broken
D	broken yeah
E	okay
D	that's no good
D	does this not did this not come from you?
E	no
D	oh okay it must have been from
E	no
D	bit higgledy piggledy
E	er right
D	make will
E	he might do although we stopped and got a Costa Coffee cos he was yawning his head off
D	ah
E	we went to erm
D	ah seven
E	and he was doing BBQ
D	ah
E	and erm erm she did it lovely she set it all out in pirate theme and sandpit and paddling pool and
D	oh wow
E	and it was it was yeah it was really nice and er
D	well the weather was good yesterday
E	and then wine and wine and
E	I know
D	and pace yourself
E	I can't drink during the day at all
D	no makes you go
E	I'm just I'm just constantly
D	fall asleep
E	I'm just peak too early
D	yeah that's my mum you can tell even er even with a meal if she has half a lager
E	really?
D	she's not so bad in the evening
E	yeah no I'm the same
D	she's quite good with wine of an evening
E	I'm the same in the evening
D	but erm
E	but he erm and then of course when we got we got home about
E	so this morning he was a bit like my head you know?
E	and yawning all the way down here so
D	ah
E	he said do you mind if I quickly grab a coffee? I said no that's fine I was thinking not that's not fine I want to get there I want to get there
D	yeah yeah of course it's okay
E	and then as we came off the motorway the traffic was quite heavy going on and he went oh no and I went oh no
E	had to stop
D	had one before we left the house
E	but I was busting for the loo anyway so
D	oh that's okay
E	and as it was we didn't leave until twenty to ten so we didn't make too bad time
D	yeah that isn't too bad yeah and when we looked online
E	about two and a quarter hours
D	and I think you I think where my parents come down and you come down everyone comes down the same stretch and the thing is everything slows down when you get to that point
E	yeah
D	I think it says it's only twenty miles left or something but it still takes another forty minutes or something
E	yeah
D	yeah yeah oh yeah
E	yeah I don't know what's going on but there's motorbikes and mopeds and scooters everywhere like
D	oh really?
E	whether there's a big convention or something going on
D	oh maybe maybe there's a lot of stuff that goes on along the coast
E	yeah
D	but yeah
E	really?
D	it's really close yeah
E	do you like the sea?
D	yeah yeah love it it's been really nice there's
A	I see a picture of a
E	yeah
D	just on our own we've
E	yeah
D	so it is it's instantly relaxing
E	cos it kind of makes you feel then that we're not actually in England
D	yeah yeah yeah could be anywhere
E	well we kind of well we are but yeah
D	yeah
E	yeah
D	and there's quite and this area's quite nice and stuff so we'll get like a nice wholesome kind of
E	that's good
D	British experience while we're here
E	yeah so you haven't found it kind of like
D	yeah
E	than
D	I'd say so yeah
E	oh goodness
D	rather than
E	yeah
D	yeah
E	but then go to a lot of
D	Korea's pretty congested too
E	I was gonna say in like China and places like that
D	yeah yeah yeah
E	would be as well wouldn't they?
D	pollution's not a problem no yeah that's not
E	yeah
D	actually it's
E	are they?
D	so yeah and Brighton's a green city so there's a lot of recycling and rubbish bins and everything we're looking at him
E	that's good
D	yeah yeah a better idea
E	put put that on there
D	how does the er
E	wow
D	such a baker
E	I'm impressed
D	yeah I mean he's not a baker he just likes cooking doesn't he? but he's better at he's better at cooking and baking than I am it would of turned out worse if I'd tried
[ANNOTATION]	He is trying to do all the recipes in that Julie book.	Neutral
E	that's really good
D	it's just a fact
E	right you sit here then darling
D	how does erm
E	no
D	I was asking
E	well he's their uncle
D	yeah so does he?
E	but when we talk about it we kind of say well they're your
