B	okay
A	there we go have a have a Quality Street and I'll
B	oh
A	I'll tell you my depressing saga
B	yes
A	oh it is depressing
B	thank you
A	it's not what you think anyway what are you thinking?
B	I was worried it was about your friend
A	oh it is
B	no
A	last year
B	right
A	and she was fine but then
A	that she couldn't get rid off
B	mm
A	but anyway just before half-term I spoke to her
B	mm
A	but they gave her antibiotics and they let her out
B	mm
A	but he said I have looked at a few and it looks okay to me
B	how strong is she?
A	yeah and you know cos you just your immune system's low isn't it?
A	it's in the lining of the liver
B	oh
A	and somewhere else and somewhere else
A	and she said
B	mm
A	but when I phoned her back she said oh
B	they could extend it for?
A	up to two years but then you don't know what her quality of life'll be for those two years do you or it might not be two years so she probably won't make fifty
B	does she want to spend those two years going constantly through chemotherapy radiotherapy?
A	I know
B	feeling like that?
A	and her children are
A	she got them years nine and
B	mm
A	how awful
A	awful
B	that's awful
A	I don't know what to say I just thought oh my
B	mm
A	you know I'm gonna beat this
B	and she did
A	and and she did
B	yeah
A	and she said to me on the phone this week she said
B	yeah
A	now
B	mm
A	how awful
B	mm god
A	just awful
A	oh it was really
B	I thought about her the other day
A	yeah well I mean and I've only spoken to her sort of on and off cos obviously they're down in
B	mm
A	and I really must go and
B	mm
A	it's so difficult
B	mm
A	let
B	you can do that can't you?
A	yes but they always want us all to go cos
B	mm
A	you know they always ask after them
A	on we're not doing
A	yeah
B	mm
A	but you can't even do it because your children are at school you can't even say
A	and see a bit of the world I
B	yeah well there is yeah
A	yeah
B	you know he erm
A	yeah
B	and they just did everything that they'd wanted to do
A	mm
B	but they had ten years to do that
A	had they sort of expected ten years though?
B	yeah
A	or was it one of those where the doctor had said and then they'd
B	no
A	lived long oh
B	no
A	they did?
B	because his I remember when he told us
A	oh
B	he knew
A	really?
B	but
A	oh okay
B	because I think in the end
A	mm
A	see and that and that's
B	mm
A	cos she's been coughing all summer but
B	mm
A	and part of me still thinks
B	mm
A	the more it spreads the quicker it is I suppose isn't it?
B	mm
A	yeah
B	and it just goes spreads round
A	but but you know the the the awful thing is as well that
B	mm
A	twenty-odd years now
A	and she was diagnosed when she was expecting their second child so they couldn't even start the treatment until you know?
B	mm
A	and she I think the baby was two when she died
[ANNOTATION]	She was diagnosed when she was not pregnant	Contradiction
B	mm
A	and now
B	mm
A	and I just think you know by the in your in your mid-forties that's just awful isn't it?
B	it is
A	awful
B	it is
A	anyway let's let's not talk about depressing things anymore
B	it's terrible
A	that's all we talk about
B	no
A	you're not?
[ANNOTATION]	The only thing that they talk about is about their jobs	Neutral
B	because
A	oh they've decided to
B	let's
A	yeah
A	reignite it whatever
B	yes
A	yes yeah
[ANNOTATION]	They haven't decided anything yet	Contradiction
B	erm
A	oh okay
B	to that yeah
A	cos I
B	mm
A	excuse me I said oh
B	mm
A	and it looked quite a reasonable price way
[ANNOTATION]	According to speaker A the price was very reasonable	Entailment
B	yeah
A	cheaper than the rugby club actually
B	yeah
A	but he said is there anybody else going that we know?
B	well we've done the rugby club one before
A	yeah we have
B	erm which the boys liked because it had loads of funfair rides and stuff
A	I
[ANNOTATION]	The guys really enjoyed it because of the funfair rides and other activities	Entailment
B	no not
A	I thought it was really
B	yeah
A	mm
B	and he likes going on all of that
A	yes
[ANNOTATION]	He really enjoys going to all of that	Entailment
A	yeah
B	but erm
A	it was just a suggestion that I put to
B	mm
A	you know
B	mm
A	and
B	I would
A	other stuff
B	yeah
A	so perhaps
[ANNOTATION]	they are not sure about suggestion	Neutral
B	I would've said
A	yes yeah
B	with you
A	yeah
B	but
A	is he doing the hockey on Sunday cos they've got a football match again this Sunday haven't they?
B	mm
[ANNOTATION]	they are not sure about hokey match	Neutral
A	but it's
B	yeah we've said yes
A	okay
B	erm
A	we haven't replied yet we were one of the names in blue
B	well we were
A	well yes yeah
B	and erm
A	no
B	couldn't plan anything
A	just waiting for the phone
B	well
[ANNOTATION]	person A is waiting for the phone	Entailment
A	oh
A	at the
B	yeah
A	was it good?
B	it was very good because technically
A	oh so it was
[ANNOTATION]	they are talking about a film	Contradiction
B	yeah
A	yeah
B	yeah
A	yeah
B	and
A	oh
B	and so
B	so there's
[ANNOTATION]	they are not sure	Neutral
B	I just got visions of them all crashing into the wings like oh
B	they didn't look like that from the stage it looked beautiful
A	oh really
B	and it was all twinkly and sparkly and loads of dry ice and
A	wow
B	the grown-up rugby players are vomiting it's so scary and
[ANNOTATION]	they are not sure about rugby players	Neutral
A	yeah
B	disorientated and they were
A	oh wow
B	but as a story it felt more pantomimey
A	oh it wasn't
