B	we just we can just talk naturally right?
C	yeah
A	it's funny though cos I've I've done that with erm er like other people like the family
A	it
C	there's plenty there's a lot of er erm of of
A	oh right okay I'll have a
B	yes this is an usual recipe but it's
C	the Hairy Bikers
A	oh yeah?
A	erm oh right
B	which is erm
A	so
B	no no I only work Monday and Tuesdays
B	but this is the this is the holidays
A	yeah yeah
A	not really
B	I'm actually more busy or busier
A	more
B	erm than
C	oh yeah
B	erm but and I said delightfully delightfully so
A	yeah
B	but erm so er this week I'm going four days
A	yeah
B	right? so tomorrow is my day off so I think it'd be quite nice if you and I just maybe had lunch out or?
A	yes okay that sounds nice
B	or or you know a walk?
A	let's have a kind of couple of hours doing something what er whatever it is
B	erm or just a walk and sit underneath a tree?
A	yeah
B	go to a pub and have a drink I don't know
A	yeah
C	I think the idea of you going out for lunch is a good one
B	mm
A	yeah maybe erm somewhere like like a
B	it doesn't really
A	yeah yeah no that'll be nice cos it'll be quite busy
C	oh
B	erm
A	erm tomorrow and the week after will be quite busy
B	yes yeah but erm
A	with erm we'll be with dentists and things
C	bon appetit everybody
A	oh yes bon appetit
B	thank you my dear thank you
B	thanks
C	mm
B	I forgot there were things called meatballs in there
C	there are quite a lot of meatballs in there
B	no but I just forgot they were in there
C	I don't want to keep any of those
B	yes but you might have to pet we can only just we can only just eat what we can eat
C	mm
B	er then now er I didn't actually finish my conversation this morning erm
A	no
B	because
A	yeah
B	if she could pop in the three kids when she was going to the dentist on Thursday
A	on Thursday? right
B	and I said I've got er
A	mm
B	better with five of them it's not you know it's
A	that's a lot mum isn't it? five?
B	it er it's not no no sorry dear it's not a lot
A	she should ask me really
B	erm but but but
A	shouldn't she
C	sorry?
A	she needs like she needs erm three kids looking after while she goes to the dentist
A	and mum's mum's already got two she should be asking me
B	yeah but I actually love because they get to know know each other
[ANNOTATION]	Speaker A thinks 5 kids are too many.	Entailment
A	yeah but it's a lot
B	it's it's not a lot I'm not gonna have this conversation
A	cos I I end up I end up helping any like er I end up in that situation kind of feeling like oh my god I should do and in a way it's better if like
B	mm mm
C	but
C	maybe they do
B	they they er have got to just be careful they don't duck each other
C	I beg your pardon?
B	erm
[ANNOTATION]	Three of the kids are girls and two are boys.	Neutral
C	I know
B	to Peppa I've I've put on fifty-six minutes of it erm
A	mm
B	but but anyhow they're coming on Thursday
A	how long for?
B	a couple of hours in the morning
C	mm
A	okay
C	when's
