B	it's just silly isn't it you know?
A	yeah um
B	you wouldn't do this
B	yeah
A	um what it
B	mm
A	it's just unfortunate really now that
B	yeah
A	he was the chairperson
B	mm
A	um you know he was and er there's something called planning and countryside officer
B	mm
A	er and um particularly if they're out of town you know he he used to get involved in that to see whether there were any potential problems with footpaths and stuff
B	yeah
A	yeah
B	yeah
B	it was just dipping
A	it was nineteen point seven or something
A	it had just gone below but it's kicked er
B	yeah
A	it's kicked in now
B	oh good
A	um
B	yeah it's feeling warm
A	so he'd be the ideal person but of course he's not on the committee and I don't really
B	mm
A	feel I should give um this woman his number cos you know he he's tricky
B	she'll be forever calling him
A	well he's another one who does a lot of voluntary work
B	mm
A	he does hospital runs
B	oh right
A	and I mean he he's over seventy now but he takes um older people or you know people who are less mobile than he is
B	mm
A	um to
B	oh
A	scheme that er
B	what in his own car?
A	yeah
B	mhm
A	you know as expenses
B	yeah
A	to take people
B	mm
A	and um er I er you know he he would've been an ideal person cos
B	mm
A	it's not that
B	mhm
A	but um
B	mm
B	mm
A	you've got
B	yeah
A	which is called
B	mm
A	so he's stopped being er on the committee of our group which is
B	right
A	but he's on the committee of the er area group which is called
B	yeah
B	yeah
A	the er the person who could do it very well is somebody called
B	mm
A	who used to work on the county council
B	oh right
A	on the county council
unknown_female	right I'm gonna pop up the pharmacy
A	yeah
B	alright
unknown_female	be back in a bit
A	you alright? Yeah
B	see you in a bit
A	um and they er outsourcing you know when they
B	oh right
A	you know councils outsource so much work these days
B	mm
A	and when
B	mm
A	er presumably knew her knew about her offered her a job
B	mm
A	which was outsourced because she was retiring
B	mm
A	so the company to whom it was outsourced got in touch with her and said would you be prepared to do your job but for us?
B	oh
A	and that's what she's doing
B	nice
A	doing it
B	yeah
A	um so therefore she's another one
B	mm
A	one
B	mm
A	and
B	oh right
A	so
B	yeah
B	mm
A	you know
B	mm
A	and in fact I'm seeing him after Wednesday cos we're going on a a reccy
B	you and
A	yeah
B	oh that'll be nice
A	he's doing a walk er in about er Monday morning walk you know sort of short walk
B	mhm
A	um so he's doing that um in a couple of weeks time
B	mm
A	so um yeah it er yeah so I I had the my er sort of
