A	Do you mind if I record? erm I'm about four episodes in what's just happened? he just found out that his are these pinto beans? they are aren't they?
B	yeah
A	he just found out that his erm Vorenus's children are still alive
B	yeah they hate him don't they? his kids hate him
A	yeah I dunno I haven't got any further
B	I haven't seen
A	all I know is
B	so what's happening to?
A	his wife died didn't he? that was tragic at the end of that season
B	what's happening with Mark Antony?
A	erm he just lost a battle against
B	oh yeah so you know the
A	he's gone off into the mountains or something
B	so you know they're
A	yeah yeah
B	have they been in Egypt?
A	that was in the first series they went he Caesar went there and got with Cleopatra
B	so he hasn't got they haven't got together Mark Antony and
A	no do they get together then him and Cleopatra then?
B	oh yeah it's that's one of the that was really
A	part of the history
B	how
A	yeah yeah yeah yeah
B	that they get together
A	she's a weird one that one
B	yeah mate apparently they
A	yeah
B	yeah
A	cos she wasn't wasn't she?
B	yeah
A	yeah
B	mate she's proper she's just like a a junkie slut
A	yeah
A	yeah it is good the acting in it is well good
B	yeah but
A	but I think I prefer the first season to start with cos actually I thought it was quite good
B	Spartacus has been here
A	I do I do like Spartacus but yeah it was as well as that
B	but they make it proper chickified Spartacus
A	what like one
B	well
A	one for the girls?
B	yeah like he's
A	big guys with their arses out
B	yeah yeah
A	I can hear some knocking
B	yeah good show do you want some?
A	no I'm actually quite full at the minute mate but erm
B	yeah cool man
A	yeah oh someone's smoke alarm going off
B	yes
A	I found Spartacus a bit yeah a bit like that too much man arse a little bit
B	yeah
A	not enough er
B	it's like they
A	quite a few
B	you got
A	quite a few gay scenes in it as well weren't there I think
B	oh mate
B	that little Syrian guy
A	I dunno
B	and the Syrian he like gets with a German guy
A	oh yeah yeah that I didn't like that German guy
B	it's I think like the little Syrian guy
B	he's just like
B	and you can watch them kissing up
B	yeah
A	he kind of looked a bit girly yeah yeah
B	he got with the German
A	but I mean whatever you've got to appeal to all crowds haven't you?
B	yeah
A	I can't see gay people watching Spartacus particularly very much though I'm not sure that they'd really be into it as well
A	even if there is a bit of gay gay
