B	so erm how were the girls this evening?
A	fine
B	excellent makes it easier doesn't it? they're very quiet now as well
A	yeah I think they're erm right level of tired
B	yeah yeah yeah definitely definitely
A	how was zumba?
B	yeah very good did a nice new new dance
A	yeah?
B	it was good
A	what was it to?
B	er something pop-y maybe I don't know I didn't know the song er
A	yeah you'd recognise Amy Winehouse
B	that no yeah but it was it was that sort of style you know?
A	right yeah
B	modern modern not indie
A	no they don't probably do indie tracks do they?
B	no not really a-ha was as close as we got
A	to what?
B	indie
A	oh what like what Take on Me?
B	yeah it was a remix it wasn't it wasn't pretty
A	no what was the dance like?
B	er tiring
A	mm it's kind of the aim
B	yeah certainly is keeps you fit
A	good busy still?
B	yeah yeah yeah really busy yeah
A	how many people are going?
B	mm fifteen
A	okay that's pretty good
B	yeah maybe it wasn't that many it was like
A	wasn't it like three when you first started?
B	yeah yeah yeah yeah it was three I know we were saying erm cos I when when I went yeah er last week erm the space that I went we have at the front had gone and so I just went and stood at the back and everyone was like oh you're at the back I said oh yeah that's fine I said I don't I I don't mind I'm quite happy to go at the back as in the person that was at the front in my space said I don't like going at the front I was like I'll go at the front I mean basically me and er
A	yeah so you got to know you you got to know what you're doing at the front it's easier being at the back if you don't know what you're doing
B	yeah yeah yeah and I think it helps for people at the back to have someone that knows what they're doing at the front because then they can follow cos otherwise you're having to mirror
A	yeah you can copy
B	erm and it's it's yep yep yep so did you get did you sort of feel like you caught up on work today or are you still behind?
A	well I'll always be behind
B	yeah that's true
A	erm
B	but it felt like you you know you didn't lose a desperate amount of hours today
A	no no
B	cos you've gained some at that
A	it was quite productive it was quite productive
B	yeah
A	so it wasn't too bad I mean so erm I emailed
B	saw that
A	oh already?
B	yeah well cos I was looking at orders cos I'm still checking when this flipping erm vegimals were coming
A	oh right yeah
B	flipping eleventh of February it's ridiculous how can it take a month?
A	eleventh of February
B	I know exactly eleventh of February I ordered them ages ago so that'll be well over a month
A	can you get them can you get them from another buyer?
B	paid four pound fifty for the pleasure of that postage
A	can you get them from another buyer?
B	erm not not really no I mean it was a you know anyway cos I'd ordered some stuff for
A	yeah
B	erm so erm yeah I'd gone to my orders to check what was outstanding and saw that erm there was a thirty pound voucher erm that's good I'm glad you did that
A	yeah I I
B	bit tight how many hours did she spend?
A	well I I said on the comment that it was tiny token of appreciation
B	yeah it was a tiny token I'd have gone at least forty
A	but she said she said in her response erm
B	is that it?
A	no she she said she made out that it was very she thought it was very generous and
B	ah
A	she said I really
B	no of course
A	I know of course
B	no of course not cos if you did you'd expect more than that
A	but I did do it at the time where I asked her another favour
A	I asked her about some extracting some data erm and er she's she's already got on to it
B	oh wow
A	she you know I
A	she said she had a er a spare day this week
B	yeah
A	like she was was wondering what to do with so
A	I know
B	oh to be spare spare days
A	I know
B	she can come help me decorate
A	well her
B	yeah well that's good well erm
A	oh yeah yeah yeah
B	yeah yeah so
A	she's she's a she's an author on the er on the abstract not that that means very much but she was an author on our paper that we're submitting
B	no yeah
A	and then she'll be an author on the second paper and then if we do a paper out of this extra little analysis she's doing then you know I don't think there'll be enough data actually to publish it but anyway
B	well it's a start is the other thing dead in the water? the erm moods thing?
A	I still need to get data from Australia
B	yeah yeah
A	and that said I I have got it on my task list
B	yeah
A	I just need to ask
B	yeah
A	but erm
B	yeah well it's not like you're not busy enough doing other things
A	no I mean you know actually chatting to
B	yeah yeah
A	this activity could vary according to
B	yeah yeah yeah not not dead in the water no no no that's good that's good now
A	erm and given that he knows the science the real science unlike me
A	why was something else said?
B	it's been quite it's been sort of claiming rain all day well no they've been claiming rain all day and it hasn't and now it's saying not gonna rain
A	well it's because of this I'm not surprised the pressure's dropped quite a bit
B	yeah but I thought
A	but now it's going back up again so it's gong to decide that that flow's come through already
B	but I thought the storm was coming I guess the storm's not going to hit us is it? erm erm
A	oh is there a storm on the way?
B	but yeah oh yeah yeah I told it was I told you the wind was getting up it's the backlash of the er
A	oh what the US one?
B	I was talking about weather last time they'll think I'm obsessed erm yeah it's the backlash of the er erm US one
A	mm
B	so erm yeah it's it's you know gonna batter us with rain and stuff
A	probably not us
B	no I think it I think it's erm battering
A	the waves
B	it'll fizzle out by the time it gets to us yeah yeah yeah
A	oh right I thought it sort of seems quite I mean I I know pressure moves quicker than like wind if you know what I mean
B	er er
A	cos it's not it's more complex than that but you still sort of don't expect it to be here already
B	er
A	I suppose it is Tuesday tomorrow
B	I don't know
A	but you know like if you if you drove across the Channel er across the Atlantic you wouldn't expect to do it in a day and a half would you?
B	er no
A	or maybe you could I don't know
B	I don't know I don't know I don't know how far it is
A	two thousand miles?
B	er well you could certainly do that in a day and a half
A	two thousand miles
B	yeah it's like you know you'd be driving all the time wouldn't you? but
A	well I suppose I mean if you did a hundred miles an hour that would take twenty hours
B	yeah so two days yeah
A	so so I guess eight
B	people do it in the States don't they?
A	yeah
B	erm but anyway wasn't it going into the States that way? so how would it be coming this way as well cos I'm sure the pictures I saw it was hitting the States as if it was going to the left
A	no it was coming it was coming away
B	it was come oh
A	it was coming no cos it started off like down south
B	oh
A	it wasn't coming in off the coast it was coming
B	oh oh okay
A	cos there were lots of people who were cos I don't think it was hitting as populated areas as Washington and New York
B	right
A	which is why I think erm you know obviously it becomes more newsworthy when it hits
B	yeah let's see what's
A	you know ten million people have
B	let's see what
A	it's pissing it down
A	yeah well it's quite
B	so bit windy
A	well if you're in a
B	yes as I say I mean it's breezy out there but I wouldn't say it was a gale erm how many leeks did you get in there?
A	three
B	mm
A	four
B	good
A	yeah I know I should've cut the aubergines up a bit more
B	no that's fine is there a sauce?
A	that's my comment
B	I know exactly the sort of thing you'd say to me
A	well
B	have you thought about just putting a tin of tomatoes in there? cos like not being funny or anything I quite like a sauce on my pasta
A	yeah I was thinking about that but then
B	you what laziness?
A	mm
B	bucket load of cheesy sauce'd be good
A	yeah I'm just going to have a bit of cheese in there
B	erm
A	it's a bit of
B	well it doesn't look like loads does it?
A	I'll do some more
B	yeah if you don't mind
A	okay
B	I've erm
A	okay
B	cos she's still miffed that no one's sleeping in her room erm
A	I felt like that when I was fifteen
B	did you do more cheese?
A	yes
A	there's more cheese than you think there
B	yeah yeah mm
A	but I mean
B	alright
A	if you know what I mean
B	yeah
A	I dunno do you think?
B	yeah I think so
A	like a proper pasta bake
B	yeah
A	do you think it'll fit in there?
B	no just put it in that tin
A	do you think?
B	yeah
A	yeah
A	yeah
B	probably with a cat in the middle of it
A	it's not too it's superficial
B	no I know I I did a really good tidy up actually I started binning some plastic tat
A	I'll tell you what I really really been I think our visit to the showroom this weekend made me think about how the stove will
B	mm
A	but now I can sort of really see it being a big part of the downstairs
B	yeah yeah yeah yeah
A	so I'm all excited I'll have to make the five year warranty
B	yeah no it's exciting indeed
A	mm
B	yeah yeah this is what
A	we run out of North Sea gas
B	this is what
A	well it's a business move
B	he's get he's getting he's getting the solar panels as well he's gonna do some deep some sunken water tank or something I dunno
A	mm?
B	I've not heard of it myself something about a tank a big tank of water heating solar panel heating a big tank of water
[ANNOTATION]	Person B is not sure about the tank and the usage of it	Neutral
A	yeah well you it's solar
B	oh right okay watch out for
A	it's basically where you have use the solar you know
B	yeah
A	which basically takes the edge off likes warms up your heating water
B	yes
A	erm so you have to use up a lot less energy to get it hot
B	mm
A	so say your heating water is by like standard ten degrees
B	yeah
A	and you can get it up to about twenty degrees using the solar panels
B	oh yeah
A	you you skip that energy to go from ten to twenty
B	oh good I doubt
[ANNOTATION]	Person B is sure that they are wasting time	Contradiction
A	I don't think it's been around that much
B	no I don't
A	I don't know
B	you were eating the cheese
A	I know but erm I think the sort of the the amount of money they'd pay for every unit you put back into the gird has although it's gone down a lot the price for solar panels has really come down and I think their efficiency has improved so
B	I don't know
A	you know it's still maybe worth looking into solar panels
B	yeah no but it's just gonna look a bit ugly isn't it?
A	what?
B	well I don't know because they're going to have to be mounted up on our
A	I don't yeah I don't know
[ANNOTATION]	Person A is pretty sure they are going to do some sport	Contradiction
B	I know it's not like they can go flat on the roof they've got to be mounted up so
A	on this roof here yeah but you wouldn't be able to see it from anywhere apart form the back
[ANNOTATION]	Person A is not sure that Person B can put it in their roof	Neutral
B	oh you want to put them on that roof well
A	or where else?
B	I don't know I didn't really
A	it's not really I don't think you put them on the top of the house
B	you you could if they were poked up
A	yeah but it might be a bit windy
A	that's very true yeah I
[ANNOTATION]	Person A agree if they could poke them up ,it is possiple to put them on top of the house	Entailment
B	I don't think there's a great market in robbing them but they are worth a fair bit of money and you know and if it's a easy place to get them from somebody might want to go for it I don't know
A	what we
B	I did ask someone and they said oh you know they're not actually stolen that much cos they're you know there was a reason but I don't know where something's got a value there's risk of robbing isn't there?
