E	either come and sit at the table or it's bedtime
D	hey
E	would you like me to help you?
B	no
D	what do you wanna do?
B	I don't know
D	okay well stop throwing cushions around
E	when you're ready come to the table
C	come on
E	there's more on there
B	I hate the meat
E	leave the meat then and eat the rest
C	the cats have come to visit
E	mm
C	you've got a new cat now that one appeared out of nowhere
E	I think
B	I don't like that that or that
E	okay just see what you think
B	or that
E	just eat the potato and a yorkshire and see what the rest tastes tastes like
C	this microphone's quite sensitive I think I was eating out here and you could hear all the lip slapping and everything
D	no
C	so yeah I'm quite sure we have
A	I'm
E	you would be amazed at the the erm meat
B	no I don't really want it
C	yeah it's really soft it's very tender
E	mm
B	it's rubbish
E	mm sounds gone really quiet
C	have you ever wondered what
A	I heard like meow
C	it's just a cat
A	yeah
C	I've downloaded a piece of editing software so hopefully I can just cut out stuff
D	if you need to
B	I don't want okay I really
A	wow
E	hold on hold on I'll just take that bit off
B	oh okay
E	there you go
C	why don't you like the meat
D	the potato's lovely
E	it's the gravy on it
C	he doesn't like gravy?
E	yeah gravy's all wrong eat that
C	is that your fault?
D	what?
C	that he doesn't like the gravy?
C	yeah
E	he does like gravy
C	I'm very confused
E	normally
C	I thought you said he doesn't like gravy
E	no he just tonight particularly it's bits isn't it
C	if you're going to be superstar sportsman
B	when?
E	when we come back from holiday
C	kind of a good idea
E	and then maybe he could come to football with us when we go and see Luton again
D	what?
C	the cat
D	yeah
E	I wonder if they can analyse the cat's voice?
C	yeah it's a Persian cat yeah
E	yeah
D	it must be hungry
B	in the
E	what have you tried
C	oh that's noisy
E	don't worry about the cat
D	yeah
A	yeah you could probably have a conversation with Fred cos it's like if you talk to him he talks back
C	mum was talking to him earlier
A	yeah
C	he wasn't really
E	can you sit round properly please?
A	he's got a very limited vocabulary
D	he's very chatty at the moment though isn't he?
E	mm
D	Fred
E	ever since we've come back from Devon isn't it?
C	I think it's two for yes and one for no
D	maybe
C	just not priming him got to
A	how are you Fred?
E	I'm okay
A	I'm okay
B	he's always he's
E	I worry about him
C	I think that says said he can only do yes or no and I think he actually said yes and no
C	two for yes one for no
A	well the thing is I've just said his name so him saying yes no
E	yeah
A	that's not so unusual
C	you said how are you doing Fred
E	is he tickling you?
C	maybe he's hungry
E	daddy got a birdie today
C	oh
D	I did
C	well I watched him in the garden earlier he really is good at
E	mm
C	whacking it and everything pretty straight isn't he?
B	oh
D	was he hitting the golf the golf ball?
E	Pickles
C	mm
E	you're tired aren't you?
C	that and every other goal in the
D	oh
E	did you get the bucket out
C	but mainly the golf ball
E	to hit the erm did you see
E	oh yeah
C	is what I saw he
E	uhu
C	that might be why
E	mm
C	yeah
A	you'll listen through this recording and there'll just be like
C	yeah I know it will be quite noisy I think
A	rumbling stomachs and everything
E	once
A	very
E	the rest of the stuff crockery and stuff that I've kept and just either offer it to
D	yeah just offload as much as we can really
E	mm
D	got lots of glasses up in the loft somewhere
C	mm we found another box
E	there's a box in the garage as well so he's got plenty that was before we even found the Belgian ones
D	oh really?
E	mm
B	I don't want any more
E	eat your yorkshire
C	which amp is it you don't want?
D	there's two Marshall ones there's
C	uhu
D	you can have that
C	and then there's a smaller Marshall one
D	there's a smaller Marshall one which is
C	mm
D	and then we've got another what
C	and it's the other one?
D	it's the other one yeah
C	cool
D	you can have that one
E	was that the one you hoped for or the other one?
D	just get another the big one
C	no
D	that's quite a nice amp I think
C	the other one just had built in distortion I think but I have pedals I'm going to have to play it with my headphones anyway
E	for the neighbours
B	I don't like it any more
E	let me help you
E	who's this one going to be for?
B	yeah okay
C	no I'm not
E	do you mind if I use this a sec have you still got some in your mouth? well leave it then
C	have you tried any meat
E	you should put a challenge to to
A	when I got back from Thailand which was I hadn't done any
C	mm
B	how many bits can we eat in one go?
E	well more than that you've got to have more than that this is yours
A	we were on scooter
C	yeah
A	yeah
A	I find it fast when I come back to England okay what's the challenge?
B	you have to eat five meats in one go
A	five? but you're only having one that's not fair I'll do two
E	you eat yours then all of yours first
C	half doesn't count
A	I'm waiting
E	hurry up
A	and chew
A	okay so
E	what did you think
A	it was yummy
E	it's full of iron
B	now three you have to do three
A	you have to do two
B	mm
E	you have to eat two carrots
A	that's not very fair
C	does this happen often?
C	do you ever fail the challenge?
A	no never
B	now you have to do three
A	oh
B	chickens
A	this whole baked potato in your mouth oh go on then
E	we do have those challenges
B	this
E	I think that's a bit big for your mouth
C	wow
C	goes like that
A	goes like that
E	cor I'm getting full now
A	yeah yeah I think that's too big
C	what about that?
A	oh yeah
A	big brother will come and show me how
A	go on then
E	don't even go there
C	I could squish it on my face
C	I think that would be about the best I can do
A	it kind of ruins the enjoyment
C	yeah I'd rather just enjoy my potato
A	mm
E	oh my god I think I've eaten it so quickly I'm like stuffed
A	it's a lovely dinner
C	mm I think it good it is yeah just need the energy to kick in
E	mm
C	I really enjoyed waking up at six this morning
E	you can't help it can you your body's
B	you have to eat you have to eat some beef you have to eat some beef and a bit of potato I did
A	that's a big bit
B	no it isn't that's it
C	I was in the orphanage I've been waking up at six
E	mm
C	I have to
B	like this
E	just eat put a bit in your mouth put it in your mouth please
D	been the last year on a different time zone I mean it's weird isn't it?
C	yeah it's weird
C	it does take a day or two to kind of adjust
D	yeah
C	so I'd never
D	I I
E	yeah
C	yeah the whole day yeah it didn't stop we just kept chasing the sun I think and that's it's a bit weird so it was like seven in the morning but it was still light
B	just to have it
D	and how long was the trip like fifteen hours or something?
C	yeah and we didn't fly until one thirty in the afternoon
E	on
D	that's just bizarre and then you're landing pretty much
A	when it's still light
D	when it's still light
A	yeah yeah it was just getting dark
E	one thirty when? on the Friday?
C	no one thirty
E	on the Saturday
C	don't forget that Korea's ahead in time
E	mm
C	and it was like eight or nine hours ahead
D	I was thinking just chasing the sun setting
