A	well she can't help
B	no but that's just her mum
A	well does she ever get mad with her? does she ever fight back?
B	mm no she just she just text us and said
A	it sounds to me as if she needs a bit of a
B	I know well I guess that's how she's been brought up
B	erm
A	oh but surely the clue's in the word secret if it says secret then
B	I know
A	she doesn't know anything about it so
B	she probably thinks
A	oh so what? get over it love she's twenty-four years old
B	I know
A	they just ask around
B	yeah
A	I just think it's so cruel to bring someone up
B	opposite to what
A	mm
B	they are living in
A	mm
B	I agree
A	yeah
B	must be annoying for them on Christmas day cos everything's shut and they can't do anything
A	yeah
B	I why don't you bring the chocolate digestives?
A	oh ordinary digestives are yum
B	no
A	who erm
B	I want the McVitie's
A	sort of corner shops run by Asians and things do they open on Christmas day? might not be worth their while is it?
B	I don't know if they'd be allowed aren't there laws and stuff?
A	not for
B	oh
A	great bit square footage isn't it?
B	erm I've got no idea cos I have never been in an Asian area on Christmas day and had to go to a corner shop
A	well there's an Asian around a corner shop up in
A	why have you written friend?
B	I'm making notes
A	I'm not your friend I'm your mother
B	no this is
A	oh
A	I'm
B	I've been here
A	Peruvian jaunts cos I feel you've let your followers down
A	I hope you took notes cos you'll have forgotten
B	oh I'll I I'll remember it okay I've got photos as well to remind me
A	pardon?
B	I've got photos as well to remind me
A	mm
B	mm I love cups of tea in the afternoon
A	oh I've got to take those horrible Christmas decorations but I hate taking Christmas
B	I know
A	decoration down
B	me too
A	especially the tree
B	well what are you gonna do with the tree? burn it?
A	erm
B	the
A	well somewhere that does good things with used Christmas trees I don't know
B	well
A	where was that county that was collecting Christmas trees to
B	that's a good idea
A	and they helped them not only filter the river they filter mm the
B	mm
A	or helped filter it they also
B	yeah that's good don't know where don't think
A	I don't think
B	yeah it's a good idea there's a lot you can do with Christmas trees
A	mm
B	maybe you could plant them I no it hasn't had roots does it?
B	yeah I bet they say that
A	mm
B	yeah
A	yeah
B	anyway doesn't he?
A	yeah he doesn't make a profit
B	oh sorry
A	I'm sure he takes out erm
B	cost
A	cost
B	yeah
A	because he's he retired at forty apparently apparently he's absolutely loaded
B	oh right
A	and he moved from the
B	okay
A	that's where it was we went there and it is a beautiful setting and erm and he retired and one of his daughters I don't know how many kids he's got but
B	oh
A	which she had
B	yeah
A	and it was successful for a few years and then it failed and she had to have another one
B	mm
A	but the other one was from a
B	oh that's nice
A	so
B	so where does the money go?
A	so a a a big chunk of it goes to kidney
B	uhu
A	some of it goes to the local church of the person who's buying
B	the local church of the person
A	as in like
B	oh okay
A	and some of it goes to a charity of our
B	why the church? what's the church got to do with it?
A	I don't know I don't know maybe they're religious and wanted to so and
B	oh right so
A	well I guess I I'm not quite
B	that's a bit embarrassing isn't it?
A	no yeah
B	how much did you pay?
A	I paid er thirty-five
B	oh that's nice I would have just set a price though know what I mean?
A	and the daughter who had the kidney thing was the one who showed us all round and we went and
B	ah
A	marked the tree that we chose
B	why don't you start something up like that when you're retired?
A	cos I'm because I'm not loaded
A	like that I can't afford to
B	what was his job then?
A	oh dunno something in the city
B	I might go into stock exchange
A	yeah
B	work there for ten years and come back and retire
A	why don't you?
A	yeah I think
B	why do you think that cos he's rich?
A	oh I didn't tell you I bumped into him when grandma was over in the summer she and I went up to
B	yeah
A	and there was
A	so I said oh you know
A	oh that's nice
A	I know
B	you needed to get someone like
B	up in the hills he said way up in the hills
B	why doesn't he own a goldmine?
A	the thing is though he was standing there with his collar of his shirt all frayed and his jumper
B	yeah
A	all kind of and he really wasn't boasting it was just
B	no
A	you know I
B	not like
A	no no he was just sort of I mentioned Peru so oh yes yes oh Peru I had a goldmine there once
A	and he looks as though he didn't have two pennies to rub together
B	does it it's a test or like a big crazy
A	yes yes like a like I just think he's great I really like him
A	does he?
B	he moves these covers and goes actually underneath
A	oh that's really
B	yeah they have a very hairy pet
A	I don't like him on my bed really
B	I don't mind I just wipe the hairs off at the end of the day
A	mm he does go on my bed I know dad allows him in there when I'm at work
B	yeah he does
A	he does
B	he was cold
A	I did when the dogs were here I let him sleep up there
B	he was on there last night
A	yeah I know
B	well you
A	mm it certainly does
B	nice cup of tea I need to find my nail file sorry oh do you have a nail file I can borrow?
A	erm
B	somewhere
A	emery boards
B	somewhere if they're used
A	that's quite be gentle with that cos that's quite rough
B	oh is it the foot one?
B	just need to get it's like gone all
A	mm
B	serrated and weird
A	actually I want to paint my nails I want to do it with that stuff that my new nails set that
B	mum you've got so
A	I know I love nail varnish never a girl can never have too much nail varnish
B	oh yes she can
A	er
B	oh my goodness I feel like if you never got nail stuff again you'd be alright for about ten years
A	yeah but nail varnish does anyway I like a variety of colours
B	and then you bit them
A	and then I bit them so now I've gone back to filing and I've got to start painting them cos it's the only way I can make them grow
B	it looks quite cheap to be fair
A	mm it does a bit doesn't it?
B	I don't mind it in the right I like multi-coloured nail varnish like that
A	yes no
B	why did you say yes? why do you say yes and then no?
A	I don't know right using your nail clippers file cut the
B	oh here
A	oh I can put nail stickers on it
B	oh how exciting
A	oh
B	how do you use those and what do you paint before?
A	yes you paint before and then you stick them on
B	they they're horrible stickers
A	yeah but I can't use those
B	okay erm
A	should I use a glittery one?
