A	so are you going to be doing any more Bikeability things
C	yeah
B	I don't know
C	yes
A	yeah?
B	no really?
C	yeah you do Bikeability in year five and six
A	ah but that's that's sort of riding safely safely on the road I was just wondering if they were
C	well I think we are still probably going to do it
A	no but I was just wondering if
C	you can do like Friday
A	it was good what was your favourite bike to cycle on?
B	the lying down bike
A	the one where you lay down? I've never been on a bike like that what's it like to pedal?
C	neither have I
B	erm you've got well erm you've got these pedals in front of you and you've got erm two joysticks which you steer and er
A	you've got joysticks? cool
B	yeah and brakes
A	hang on a minute what?
C	that milk is best before the eleventh of January
A	it isn't cos it's been in the freezer
C	okay
A	carry on
B	and erm so
A	what's it like to steer?
B	er you it's quite cool I mean it's very light
A	do you get used to it quite easily?
B	you get used to it quite easily and it doesn't like have to go like this you've got something which pulls up up here and erm and if
A	did you go on the low down bike
B	what low down bike?
A	the one that
C	what the like when you lie down
A	when you're
C	and do
A	yeah
C	no
A	you didn't?
C	I only went on one bike
A	mm
B	I went on four
A	uhu
B	I only went on I went on three before we went to that place
A	uhu
B	so I went on the bouncer bike the family bike and the beanbag
A	and the what?
B	and and the and the one which was with this little seat in at the front of the carriage
A	was this in the afternoon before you did it after school as well?
B	yeah
A	so who
B	erm well there was quite a lot of children on it and they had a
A	is the family one where there are you're all peddling?
B	yeah
A	or the one where you're sitting in the front? no you're all peddling
B	we're all peddling yeah and then as we we both went on the thing which was where you pedal and where you sit in the front and the person's really funny cos we
A	mm
B	and he pretended to crashing
B	and
A	did you feel very stable on that bike?
B	yep
A	uhu
B	because I knew that we weren't gonna fall out
A	mm
B	even though there wasn't erm you know
A	no no there aren't on bikes and then what was the one that like that
B	that was the same one
A	oh I see that was the
B	that was the same bike
A	uhu
B	that was the family bike
A	no but the one with
B	yeah that's the bike
C	yeah that was the bike you sit in front
A	alright but what about the one where you're riding it like with Miss
B	that's
A	as the one you rode with
B	that's the family bike
A	well there are two different types of bikes aren't there
B	and then I went on the lying down bike
A	right
B	and it was quite funny cos I didn't
A	and what about the music one?
B	erm I went on that one and it was quite fun but
A	so you pedal and then you the music you make the music start?
B	yeah
A	and what kind of music was it?
C	random music
A	random? was it fun though?
B	yeah because you're supposed to
A	waving your scarf around?
B	yeah
A	mm
B	and erm they left me and I and when I went back into the class I had no idea where they went so I actually had to
A	oh
B	get
A	so you were in the office cos this horrible child pushed you
B	yeah er he slammed my face on the ground
A	oh dear you went to the office and then when you came back to class there was nobody there?
B	yeah
A	so did
B	no a person in year one erm one of the supervisors
A	oh so did you go back to the classroom on your own?
B	uhu
A	oh my goodness so yeah what did you do?
B	well I
A	when you thought where are they?
B	I told the supervisors then do you know where my class is and she said there's Bikeability and she said if you go to the big playground erm it's over there and I said thanks
A	and like and then
C	have just partied
C	like and do like you and muck around er with everything in the classroom
C	and then like when
C	and when someone walked in you could just run out into Bikeability and say
A	well you could have just sat there saying
C	hello
A	I didn't know where to go no you wanted to do the Bikeability
B	well I didn't know where to go and found the classroom all messed up
A	maybe if it had been PE
C	sorry I didn't know where you went we were at PE oh what a oh how sad that is and I was really looking forward to it
A	what are you doing in PE at the moment
C	eating
B	dancing and tap and we're erm doing the crouching down into a huddle
A	mm
B	then we're spreading out
A	uhu
B	and we're going into our spaces then we're and we're little tadpoles we haven't done the frog bit yet
A	cute
B	even though
A	so has it all been indoors PE?
B	yuk it's all er in term time we only do
A	outdoors PE?
B	yeah
A	why do you hate it?
B	are you joking?
A	no
B	imagine being running around in a hot boiling sun wearing trainers
A	oh
B	with socks
A	do your feet get hot?
B	a lot
C	they do
A	they do does it make you cross?
B	well there was one thing we did in year one which was when we on a summer's day and we were doing PE and it was piggy in the middle and I was the piggy in the middle and they and
A	threw what?
B	the beanbag of course
A	oh
B	threw it really high over me
A	that's very mean isn't it?
B	and then when we swapped over I couldn't get it and I had to be piggy in the middle
A	oh dear
B	playground
C	we have the little play
A	still the playground?
C	the little playground
A	mm boring
B	yeah
C	although
A	really? the summer?
C	mm it's
A	September
C	oh yeah September
A	you're gonna be in the same playground as
B	although you do like before you
A	oh my goodness
C	you never
A	you're gonna be in year five
B	hey mum and mum and mum mum mum mum
C	one year away from year six
A	but that means you're nearly
C	and just
A	done with primary school really
B	and mama mum mum mum
A	oh
C	which means I'm nearly done with my life
