A	how are you guys anyway?
C	yeah good thank you
A	have you been up to much?
C	not really just stressing about my hen do and stuff like that
A	oh
C	and dresses and all that stuff
A	it seems like it's going really though everybody's being like responsive enough
D	yeah it's been like some people have like have been like after we've said like oh
A	yeah
D	you need to let us know but we've got it all booked and that and obviously so
A	that's good so that's exciting
D	so cos I think we just wanted to get the accommodation out of the way and rest of it's like
A	yeah that's the only
D	that can be left a bit
A	time sensitive one really
D	yeah
A	when there's that many people
D	there's so
A	yeah
D	like as early as possible and then cos a lot of places are booked like are getting booked out so
A	yeah that doesn't really surprise me oh thank you
D	that's alright
A	yeah it looks lovely I'm looking forward to it
D	I think it's quite reasonable I know it's like still quite pricey but it's quite good for the amount of time
A	I think it's really reasonable yeah
D	yeah
A	for like four days is it? it's four days it it?
C	yeah three nights
A	I think that's great
C	yeah and it's a really nice place
A	yeah
C	anyway I think she'll really like it cos
A	yeah
D	and we
C	but like she was looking at really shitty places and like
C	and like they weren't even for the right amount of people and we're like no we're like they haven't got a hot tub
A	yeah
C	things like that so so I think we've been a bit snobby but I think we've got a really good deal for what we've got
A	I think you yeah I think you guys have found a right little gem there to be honest
C	but like originally they were like erm it said on the web one of the websites we looked at cos they were like through a bigger website if you know what I mean and
A	yeah
C	and then they had their own independent website so I emailed both basically and they're erm one of them said they don't take hen dos so I was sort of like I'll enquire blah blah blah and then like I enquired to the main website which is
A	yeah
C	just theirs and erm the people on the big website they're like oh they don't there's no exceptions so I was like oh shit er but I got that after I'd received emails from the other saying like we treat every
D	yeah case
C	er enquiry
A	yeah
C	differently so I was like
A	well yeah cos you can probably get a good feel for people like
C	yeah
A	what kind of hen do it's gonna be can't you?
C	yeah yeah exactly so I was just like erm trying to speak really properly
C	and I did my
A	nice
C	my professional
A	yeah
C	I was like fuck
C	but I got a confirmation after still
A	well
C	hopefully it's
A	that's exciting
C	the right
A	did everyone did you get money off everybody
C	yeah
A	that you needed to in the end? good
C	yeah got the money
A	yeah
C	but like some people were a bit funny I was like for god's sake
A	cheque that's old school
C	yeah
D	yeah it did didn't it?
