B	the curry sauce is good
A	yeah it is
B	mm mm
B	mm
A	yeah and I've had that belt since I was seventeen
B	oh my god
A	seventeen
B	mm
A	yeah clearly the answer
B	mm
A	my next step which obviously won't probably be this year but you know it's alright
B	mm
A	is my aim is to wear a bikini
B	mm
A	never
B	but you wear a trikini
A	well yeah there isn't much to that
B	yeah
A	but that is the most naked thing I've ever owned
B	right
A	swimwear wise
B	yeah I mean absolutely hate it but I don't know
A	mm
B	if I'm  if I'm  in beach wear it's because I'm on the beach and in which case I want to get a brown tummy
A	yeah
B	but only because I want to lie somewhere
A	mm
B	mm
A	army boot camp
B	mm
A	mm
B	ooh
A	naked holiday basically yeah
B	you're going to do an eighteen to thirties holiday?
A	yes
B	right
A	and it all sounds very good in my head and hilarious fun with loads of teenage boys
B	you're going to want to kill everybody
A	all the screaming girls
B	mm
A	but erm
B	mm
A	in Greece and he said well you can still do those types of holidays at those resorts but not with eighteen thirties
B	eighteen year olds
A	so there are places that are set up for that holiday but they don't specify themselves under the eighteen thirties bracket so they don't
B	mm
A	they get young people but most young people will go to the brochure club travel agent place and ask for eighteen thirties
B	mm
A	yep
B	but I think in reality you would probably kill everybody
A	yes and you'd be knackered
B	mm
A	absolutely whacked all the time
B	mm
A	all the time
B	it's like my friend became an air steward
A	oh
B	mm mm
A	no
B	it's really bad like going to the toilets to be sick on a plane and then having to serve food and drink to people
A	well no I couldn't be arsed with that
B	no no no
A	just the thought of being trapped in a plane for that long
B	mm mm
A	it makes me get snotty because I'm allergic to the air con
B	yeah
A	like no
B	I get a really bad
A	yeah
B	but I get a banging banging headache
A	sinus capsules sometimes help that
B	mm
A	but no I just couldn't imagine
[ANNOTATION]	person B is talking about headache	Entailment
B	but being up in the air
A	yeah
B	no
A	mm mm
B	the risk of death
A	I couldn't couldn't do that
B	no no no
[ANNOTATION]	they are not sure about risk of death	Neutral
A	ah
B	mm
A	not me
B	mm
A	erm something about making her a a cum bucket or a
B	what?
A	yeah I think I need to get Lazza
B	what?
[ANNOTATION]	person A is talking about Lazza	Entailment
A	yeah I have to read it to you it's shocking
B	ah cos it's got a little personality
A	yeah
B	ah
A	mm
[ANNOTATION]	they are talking about party	Contradiction
B	no
A	er
B	does it make you feel sick?
A	it is it's very gross
B	mm mm
B	huh
A	oh I'm just going to have to
[ANNOTATION]	they are not sure about feel sick	Entailment
B	nom nom nom
B	mm
B	oh gross
A	see mate
B	oh god
A	and then someone says  what's the  what's the wrongun? And he goes tradesman's entrance
B	as if you couldn't work that out
A	yeah
B	home wrecker? That's a bit weird
A	yeah
B	Jesus Christ
A	so we all have a high opinion of wrens then lol
B	erm why join the navy?
A	someone wrote they make me sick and then you are such a nob
B	he is such a nob
A	I mean he never wrote they make me sick
B	no but he wrote the spunk bucket
A	yeah he did
B	so this isn't the girl that's got all the kids is it?
A	no no no
B	if that was me I would go fucking ape shit
A	yeah
B	what the hell is the matter with him? Well that's probably what you're going to have to get used to
A	I know
B	Mate
A	yeah
B	yeah but it's not until it's confronted
A	yeah
B	no
