D	when you're signing
C	what is your signature? T E D R?
D	mm
C	you don't do
D	no
C	T E D R
B	I thought you put D L C
C	no
A	I used to
C	C C C? That's quite
A	C
C	why?
G	what's your maiden name?
A	no that was my my club
G	like
C	you you've only got one middle name haven't you
A	we used to fight the Larkyites
C	oh you have that in your signature
A	yeah
C	mm
G	what are Latkyites?  What are Larkyites?
A	they're all the people that used to come from the Larkman
G	oh
A	and it was the Costesseyites versus the Larkyites
G	huh
C	do have Neatherd
G	yeah
C	mm
B	you haven't switched that on yet have you?
A	yeah
F	yeah there's like a rivalry
D	yeah rivalry
F	yeah
G	is there?
F	yeah there is
C	rivalry
A	who? You? Do you?
C	no
A	do you fight with
A	do you like Northgates?
G	they're alright
B	oh
A	oh of course
F	no no that's
A	does the peanut come from
F	no
G	he goes to Neatherd
B	does someone else come from
F	no
A	oh
G	I spoke to her the other day
B	how's she doing?
G	Good
F	yeah I saw her performance the other week
A	did you? Was it good?
F	erm yeah
B	oh
A	did she have to get kissed?
F	no
A	I would  I would  have to be kissed
C	you're obsessed with kissing
G	we'll ask you questions
C	yes
F	oh yeah and you refused to kiss the girl didn't you
A	and I refused to kiss her
C	well you're no good as a Prince Charming
G	stop
A	no so so I got
C	did you get the boot?
A	I got
C	to what a dwarf?
C	Grumpy
A	Grumpy
C	were you really grumpy?
A	I was really grumpy
B	I haven't been in many plays
C	mm
A	oh
B	mm
A	oh that was horrible
B	yeah
C	oh yeah  did you  did you do the scene? Did you do a dying scene?
B	can't really remember
A	well you can't remember because you got knocked on the head
B	yeah
A	yeah
B	mm
C	hmm
B	that's really the only play I've done
G	at primary school we had loads of plays
A	yes we've got videos of you
G	oh
A	we've got
G	oh my friend brought one of me and her at pre school of doing a play
A	yeah
B	yeah We have yeah
G	huh
A	we've got one with you at pre school and you're with er
G	he's still like that
C	which
C	oh
A	is he?
G	yeah he gave me the Polo on the other day
A	you asked him for a Polo?
G	yeah because he had them out he was like
A	in class?
G	no in the bus room
A	oh right
F	he talks to me
G	he doesn't really talk at the bus stop either does he
B	doesn't he talk? No?
G	not really
A	no he doesn't talk to anyone
F	he talked to me in the bus room
A	he when he used to come biking past us
B	but he's different now
C	in the bathroom?
G	bus room
C	oh
C	I've been sitting here going cor they've changed schools quite a lot
C	oh I don't agree with the staff and together
A	all of them go in together
G	I would never go
C	no
A	that's not good is it
G	yeah but and you have to go
C	I was sitting there thinking
A	where where's this? City Academy?
G	no
C	I don't remember the bus room at
G	our bus room's my maths room
C	bus room
G	yeah
C	and it's your maths room?
G	yeah it's a classroom
C	oh it's very confusing
G	maths two
C	you're not allowed out of the school to wait for your own bus?
G	no
G	because they the teachers
C	yeah no we used to because the buses never used to be monitored so
G	the teacher have walkie talkies
A	teachers have walkie talkies?
F	yeah
G	yeah
A	oh right
G	you look out the window
C	how many bus rooms have they got?
A	well doesn't it say?  Doesn't it say  nine five eight on it?
A	yeah
G	erm loads
C	and everybody one the same bus goes to the same room or?
G	yeah
C	yeah
G	but sometimes we have like two buses in our bus room but the other one K C seven or K C twenty-five now only has like seven people on it so that's like we go with them
C	mm
A	have you got cycle sheds at your school then?
G	yeah
C	mm
D	not again
A	I wasn't going to say a thing about kissing behind the bike sheds
G	and people come in with scooters
A	do they?
C	do they?
B	do they?
G	oh it was funny
C	how old do you have to be to have a scooter? Fifteen?
G	you know like them ones
D	no the other ones
A	no
G	the pedal along ones
C	oh
F	and people do come in on motorbikes
G	yeah and people do come on motorbikes
A	what have you got to be
D	sixteen isn't it?
C	no fifteen I think isn't it?
D	is it fifteen?
G	they're in year eleven though
C	six fifteen or sixteen
D	mm
G	they're like
C	I remember
A	what? Fifty C C yeah
C	I remember
B	mm
C	had a little erm moped thing and it just went
B	yeah
D	mm
C	no I don't think so
A	no I don't think so
D	we should have got one
C	A little moped? We need one each
D	yeah
C	yeah
A	that had a  that had a  a think a an engine and the
G	have you seen the bikes what are
A	yeah
C	it's not a bad investment
G	what?
A	are you going to have one?
G	no
D	yeah it's pretty much the
A	would you?
G	well I don't really ride a bike
A	you've got a bike
G	I know I said I didn't really ride them
A	you don't like riding them?
G	I do but
F	I don't have a bike
B	you don't
A	you don't have a bike
C	I thought you did
F	no that's
C	oh
G	it's only cos you didn't use it I was like I'll have it
A	so you've got her bike?
G	yeah I have two bikes but one doesn't is really small
A	well put it on E-Bay
G	actually I don't have that anymore I think I gave it to
A	oh right
G	I gave that
F	it wasn't an old bike but it has no brakes
A	isn't it?
G	when you fell into the bush the hedge thing
F	Cos it had no brakes and it was like the only  the only  bit that works is that one of the front ones
G	I've done that before
A	I like your hair
C	over the handle bars?
G	well sort of
C	as soon you get back on you're alright
D	oh I've fallen off bikes hundreds of times
C	you've broken your elbow didn't you
F	I'm growing it long
