D	what's happened?
D	what's wrong with that?
E	she she keeps laughing at me cos I every
D	yeah
E	and whenever I
A	that's why I didn't write it on Facebook
E	no
E	but erm every every time I you know had had a message
D	mm
E	but it's like
B	it was when he was reading it he was going ah
E	ah
B	ah
E	yes
A	how was New Year's Eve?
B	it was good we were up till half four
[ANNOTATION]	Six people gathered for New Year's Eve.	Neutral
E	yeah
A	were you? who was here?
B	erm well
E	just
B	it was your
E	mum mum wanted
E	to see
A	oh right yeah
E	but it was quite funny cos
B	you know
E	mum and dad
[ANNOTATION]	Speaker E had some good time when the year changes.	Entailment
B	his brother
E	mum and dad weren't gonna come
A	oh
E	because dad was
B	when I asked him he went
E	and she was like brilliant
B	yeah
E	and so mum
A	mm
[ANNOTATION]	It was in schedule speaker's E parents to join the occasion.	Contradiction
B	around that I think
E	and they were just gonna stay for a couple of hours and then there basically we just tried to make them stay as long as
B	and
E	about what?
B	apparently
D	like what?
B	going to
[ANNOTATION]	Speaker E wanted his/her parents to stay longer.	Entailment
E	just her
B	going to get in a
D	oh
B	it smelt fishy
A	oh
E	she just
D	did that actually happen
[ANNOTATION]	Something smelled like roast beed.	Contradiction
B	yeah
A	and what did they say were they shocked?
B	no I don't I dunno what they were I wasn't looking at them
D	mm
E	yeah
D	maybe they don't want you as a daughter in law now
[ANNOTATION]	speaker a asked a question	Entailment
E	what else? oh they were just just try to be a bit embarrassing but it was just funny
E	so everyone just er filled up my mum's glass with wine so she I've got lots of wine and then she got really drunk
B	yeah and then they
D	oh
B	they ended up staying till midnight didn't they?
E	and then went about half an hour afterwards
B	yeah
D	did you watch Big Ben?
B	yeah
E	I think so yeah put it on the think
B	but I wanna do
E	on that part of the
B	er something like that for New Year not like a party but the same kind of thing just have a few people next year because I much prefer it when than going out
[ANNOTATION]	they are talking about how they celebrated new year's	Entailment
B	do you?
D	well invite me next year
B	well you were going out
E	yeah we would have invited you
D	would you?
E	yes
B	er what did you say?
E	what?
[ANNOTATION]	speaker d was invited to the party	Contradiction
B	what did you say before she came round there on the day?
E	oh yeah what's
D	oh okay
E	and
D	oh okay that's okay then
E	and I was thinking yeah fair enough
C	yeah and why didn't you invite mum?
[ANNOTATION]	they did not celebrate at all this year	Contradiction
B	I did invite mum and you
B	but she wouldn't go
A	why didn't you come?
C	oh I don't celebrate New Year
B	I invited you both ages ago
C	I don't think you did I think you
B	mum
C	deliberately so that
C	I couldn't come and your mum
B	mum?
[ANNOTATION]	speaker b invited speaker c's mother	Entailment
A	erm
B	I hundred percent
A	oh
B	I hundred percent invited you both
A	did you?
E	because
[ANNOTATION]	speaker a is not so sure about speaker b's statement	Entailment
A	oh you know
C	mm
B	I did didn't
A	well yeah erm yeah cos
E	I?
C	you did yeah
A	I was at work as I will do next year
B	and you said well I'm working but dad might be able to
A	I
B	dad and
A	I will be working next year as well
B	why don't you book it off?
A	I can't book it off because it's my night
B	yes so don't say I didn't invite any of you
A	well I might actually I might be able to I didn't I
C	I think you didn't did you?
A	I might be able to erm swap next year with
D	at least the year after you will be
A	no
