B	what now you're drinking this wine?
A	what do you mean?
B	we'll
A	I we're sharing both of them
D	I enquired with my French friend
C	what?
D	well his house got struck by lightning
D	and he thought he woke up and thought that he'd been attacked by giant rats
C	what?
D	cos everything had like fallen off the wall
D	and he
C	he was like ah it's something
D	and he lives by like erm
D	so it's like
B	pond rats
B	definitely pond rats
D	and then he found out there's a lightning strike and all like the his electrical stuff had popped out of the wall like all the sockets
C	that's crazy wow
A	yeah my my aunt got electrocuted by being on the phone when her house got struck by lightning
D	did she actually get electrocuted?
A	got electrocuted
B	what she died?
D	what's happened to her?
A	no she's erm
B	oh
D	cos I watched this documentary once about people who get struck by lightning and it's always
C	that's weird
D	so yeah he'd like sleep for like three days and not three months but then like stay awake for like a week-and-a-half and the I can't remember like but they did like all the crazy shit like rewired peoples brains and stuff
B	I met someone who'd been and he was well crazy
A	and your chances like as soon as you get hit by it once that's what lightning knows you or something the chances like go down like one thousand percent or something
D	probably like
A	they will they're like they're like likely it happens once it's likely to happen again basically
C	yeah cos my friend's mum was like
A	what?
C	cos
B	charged yeah
D	yeah
B	well yeah this guy was fucked
D	you also get people that try and get hit by it as well
B	really? like
D	there's gotta be like
D	go out with like wearing like tin foil and holding like a big metal pole
A	all you've gotta do is go out
A	all you've gotta do is go out in a boat in the ocean and
D	say what?
A	if you go on a boat in the ocean and you go to the top of er the boat there's nowhere else for lightning to go to so you'd definitely get hit
D	yeah true
C	but doesn't it just really hurt?
B	yeah I bet it really hurts
A	yeah but you get superpowers
B	yeah you couldn't get
D	yeah you do get superpowers
D	I'd go through a little pain for a superpower
B	be more angled
C	er I got literally sort of once sort of
A	I
B	I got electrocuted
A	when when I was in
C	yeah
A	we was like we always like we'd get out of the pool soaking wet and getting electrocuted by the thing and we'd all like fall off the wall and
A	but everybody was still sort of wasted and no one never really noticed
D	we used to do that all the time when we were growing up like
D	where you like grab it and grab onto someone and then they get electrocuted
C	what?
D	pass it
D	yeah
D	no but it's like but it's not an actual electric shock like you can hold
A	yeah
D	it just like bolts you
A	yeah
D	it's really weird
A	I was always I was
A	so I used to have I once was in a house where you could see the
D	you can't see me
A	to see what would happen I thought
D	yeah we used to do that all the time but like you make like lines of people and then one person grabs it and passes it all the way through just gets
B	does the first person get it more?
D	no you don't get it cos it passes through you the only the end person gets it
B	that's
B	uhu
C	oh
D	have you every been tasered?
C	no
D	I'd quite like to give it a go
B	I think if you were in the police you'd have to do it right? know what
D	how to get tasered?
B	I think
B	I think so anyway
B	yeah
D	massive
B	help yourself
A	Christmas
D	yeah how did you make those cool things by the way?
D	have you emoji'd yourself yet?
B	mm mm
A	I need to get my phone
C	is that what you sent to me today? is that you?
D	what is the website for doing it?
B	I suppose that's quite hard to do the
A	it's called
B	it was really time-consuming actually
A	but I've seen I saw that
C	it was really good
A	it was better ones for you though than what you chose
B	what a hair? no it's
C	that was definitely a
A	can we have another
B	huh?
A	this one's going about to go
D	candle's about to go
C	maybe in the drawer the candle drawer I'll have a look
B	maybe in the candle drawer
C	I
D	so what what's the emoji website called?
[ANNOTATION]	The candle's scent was not cotton and linen	Neutral
A	I think it's called Bitmoji
B	Bitmoji
D	I can't google it cos like random shit'll come up
A	yeah have a bit of it
B	okay
D	Bitmoji
B	Bitmoji
A	group ones
B	like if you could make
[ANNOTATION]	The emoji website was called emojiworld	Contradiction
D	yes looking
