D	it's a nice day today isn't it outside weather-wise
C	yes it's lovely I've er taken
A	oh well your dad's cleaning the car so everybody's doing something useful with their day
C	I'm having mine cleaned when he comes back that's exciting isn't it?
A	oh yes well if you arrive at the right time that's what happens
C	lucky me
A	mm
C	I'm just going to erm get some Cornflakes
A	alright okay go on then
D	okay
A	and
D	go and have some green milk
A	that would be nice if
D	uhu
A	have another picture of you
D	I dunno just a few
A	oh right
D	mm
A	how how is
D	he's fine thank you mm
A	good
D	whose cars did dad wash? just yours and his?
A	well they were the only ones here
D	I want my car washed then
A	to see if
D	a label
A	oh well don't leave it on the floor
D	I think it's stuck
A	mm
D	don't worry about it falling off then can you?
A	no
D	er? mm how long do you reckon
A	well
D	probably when
A	well she's not going till five so
D	oh
A	she's teaching five till six today
D	oh okay
A	I've just been going over my signing from last night trying to remember all the hobbies we've we covered
D	can you remember them?
A	yeah most of it I'm trying to construct a few sentences in my head for for the exam
D	when's the exam?
A	I babysit or look after my grandson and I'm not sure what three times three times a week I think I think I dunno when the exam is either they keep moving it because erm of our teacher being upstairs doing level two
D	mm do you see her or not?
A	yeah yeah we see her she was chatting well chatting to signing to us last night in the lunch in the erm tea break that we have
D	and you can understand her signing to you?
A	yeah we were talking about erm snow funnily enough the fact we haven't had a lot and that the young children haven't seen snow talking about her children and
D	mm
A	she she but she does rib them such a lot but she talks as well as signs so erm it they can't get away from listening to her whereas
C	I'm back
B	hello
B	I'm back
A	hello come and join us
B	hello
A	what did
B	he said erm not next week cos he he's gonna employ those other two blokes that are up there
A	the ones working for
A	yeah
B	erm
B	and then after that he said I can't ask them to do a third week
D	why?
B	so erm cos he doesn't want them up there the three weeks on the trot he said so er
A	right
B	so I said well
A	oh I see okay but he's not fussed really or he's not
B	well he he he he doesn't know it's their pipes are moving now and er
A	so he's he's paid
B	and it's been paid
A	he's been paid?
B	yeah yeah
A	oh by the customer?
A	oh gosh
B	what but it's it's enabled
A	well that's good news
B	it's enabled them to start moving
A	oh yes yes
B	they're moving twelve wagons a day
A	oh fantastic
B	four pipes that's forty-eight pipes a day
A	right oh that's good news then
B	yeah so so so it's moving it's yeah
A	oh well I'm glad he's been paid
B	yeah so that's something
A	yeah it would have caused him no end of problems otherwise
B	yeah
A	your daughters have both bought a car then to be washed
B	yes I see
D	mm I can't wash the cars any more
A	why?
D	cos I'm erm
B	hand up
D	in the lounge
A	oh because you're in the lounge right and the car is on the drive
B	er eating eating eating yoghurt
A	alright well you can
D	mm
A	mm
D	I think I'd rather clean the car
A	oh which you won't be able to do so therefore do nothing again
A	oh look you've just woken the baby
D	me?
A	and the first person he's looking at is pops oh he's changed his mind now
D	I'll go back to sleep
A	oh there he is
D	oh my gosh
A	hello
B	hello
