A	what's the Poppy Run?
B	er it's only five K
A	related to
B	related to poppies as in like remembrance
A	yeah
B	so I think the money goes to
A	yeah yeah
B	mm
A	Help for Heroes
B	erm
A	mm
B	to start running although saying that I did think right I should go tonight as well and I was like oh I just
A	I'm really bad
B	it's dark and it's cold and it's wet and I just think I did my time
A	I did my time
B	I did
A	no
B	even half and hour's now you'd think you'd be like oh yeah half an hour that's fine I can do that but no I just don't wanna do anymore
A	yeah
B	mm
A	it's horrible
B	mm
A	unhealthy or you've gotta have
B	yeah
A	an incentive
B	well that's what that's it that's why I thought if I sign up to this then that might give me a little bit of incentive
A	yeah
B	erm
A	yeah
B	but it think I wanna start doing different stuff really I still miss spinning I should just bite the bullet and
A	get the gym membership
B	yeah but
B	erm
A	but now you're supporting your man
A	I'd be I'd be definitely up for that
B	yeah
A	it's like you were saying the other day I think
B	I think there's a lot to be said about like cos I haven't really ran at all since I moved in with you and think it's I dunno I think it's just that I don't wanna go out on my own
A	yeah
B	in front of the telly
A	yeah
B	cos I when I was in
A	you'd go with
A	mm
B	I'd just be more likely to go for a run whereas cos you're always you're here when I get in
A	yeah
B	I just wanna sit and have a chat and have a cup of tea and then by the time I've done all that I've completely lost any motivation to go out or
A	yeah
B	go for a run and when you're settled down like settled in and it's nice and warm and you just don't wanna go out again do you?
A	no
B	I mean I really enjoyed it on Sunday so
A	I
B	as I'm running I'm like you should do this more often it would get easier and you would start to enjoy it again
A	it would it
B	yeah it does I just I can't seem to carry that forward
A	no er
B	mm I mean it
B	wasn't off putting it was a nice day
A	yeah
B	so hopefully we can do that soon that'll be fun
A	yeah
B	yeah
A	but
B	the only thing is you've gotta get in the
A	yeah
B	build it into your routine
A	I think I'll end up doing the inevitable like
B	that's good
A	it's such a cliché though isn't it like?
B	not really
A	yeah
B	enjoy it it won't last long
A	mm
B	mm
A	what just
B	I was moaning about him er and then pulled pork on a pizza
A	pulled pork on a pizza?
B	yeah
A	pulled pork
B	there pulled pork everywhere
A	everything pulled pork everything
A	tea
B	oh you reckon you can get like pulled pork teabags?
A	give it time
A	as I say the ones that make me laugh are like pulled pork crisps
B	yeah
A	it's like I mean do ever crisps ever taste like I dunno they just taste like
B	it's just barbeque isn't it?
A	it's yes yeah
B	barbeque
A	but
B	flavoured crisps
A	do you know there's like
B	yeah oh god I haven't had Lilt for ages do they still make that?
A	I I think so but the isn't that the the the thinking behind that is because
B	yeah
A	certain colours tell our brain certain things
B	if they're a certain yeah
A	so this is like years of studies have done this since like
B	yeah yeah
A	it's and it's kind of what they call a synaesthesia
B	yeah
A	a colour a colour can't taste refreshing but
B	yellows and
A	there's associations based on
B	yeah
A	maybe it's based on nature
B	yellows and greens
A	yellows and greens isn't it that kind of
B	yeah
A	whereas like
B	it's like they've made the
A	why is red hot?
B	Coke green now haven't they?
A	right and what's the
B	which is erm
A	what's the gimmick?
B	it's it's natural
A	oh piss
B	like
A	off
B	natural sugar or something
A	natural sugar?
B	yeah
A	isn't that bad for you as well?
B	well it's still sugar isn't it?
A	sugar is sugar
B	or natural sweetener maybe I was watching one of those
B	Horizony programmes though
A	get off
B	about it and their thing was yeah this is the you know they were saying at first this can't be much better for you than normal sugar and then they did loads of research into it and they found out that
A	uhu
B	actually are real things like it is a plant that grows that
A	well we
B	they can
A	we watched it with that woman
B	yeah
A	when she travelled to it was on
B	yeah
A	it was on Food Unwrapped
B	like Brazil
A	it was
B	yeah that's what it was
A	yeah
B	cos they were like well is it just refined fake chemically stuff that they're putting in? but it was actually it is actually natural
A	a natural sweetener
B	yeah
A	er oh
B	I've never seen anything
A	tobacco's natural you don't chew it do you?
B	well some people do
A	yeah exactly it's just
A	some people
A	erm what was I gonna say? yeah but
A	so I I always think like I just think if you put on a bag of crisps
B	mm
A	so like there'd be like a kind of a degree of like chicken rennet or whatever they put in it like
B	oh
A	whatever they put
B	yeah
A	whatever they make the chicken flavouring out of
B	oh
A	or beef
B	yeah I don't like to think
A	or
B	of it
A	prawn cocktail but I just think
B	prawn cocktail's
A	but I just think if
B	like paprika really
A	you
B	isn't it?
A	put a kind of meaty kind of taste on something
B	mm
A	colour the bag
B	yeah
A	oh prawn cocktail like ah yes it tastes like prawn
B	mm yes
A	is it chicken?
B	mm they do taste weird
A	it's not chicken though
B	I used to like chicken
A	yeah
B	haven't had them for a while
A	I mean I dunno the I think salt and vinegar's fair but you know the way it's like green? like why do
B	no it's green in Walkers but everywhere else it's blue
A	mm
B	although saying that the Aldi version are now green
A	what's barbeque?
B	black
A	black? like
B	chargrilled
A	chargrilled
A	yeah
B	yeah
A	oh it's brown oh this is this is bacon
B	what's it what's the purple one? Worcester sauce?
A	Worcester sauce in our in our set it's Worcester sauce
B	yeah
A	that just makes sense
B	why is that purple?
A	dunno it tastes like purple
A	when when
B	or does it taste like purple cos it's in a purple bag?
A	I dunno
A	blowing my mind man
[ANNOTATION]	The bag is red.	Entailment
A	why
A	when we were in erm the curry house the other week in
B	yeah
A	it doesn't but everyone everyone just agreed it should taste red it should be red
