B	put that between us
A	just sit down for a little while
B	yeah I will where's is that mine?
A	well don't walk round the
A	feet on the
B	I'm making tea be out here
A	oh I see you're making tea sorry
C	yeah she was going to make tea
A	oh yeah outside the wind has has really gotten my face
C	oh
A	and I I I
C	what was you doing outside?
A	what was I doing outside?
C	what for the burner?
A	yeah
C	what with the chainsaw?
A	electric chainsaw yeah
C	electric chainsaw
A	I've got the other chainsaw the Stihl but I find the electric one is a lot easier and safer I think so cos as soon as you
C	the it stops
A	it stops whereas the Stihl goes
C	could do with a log slit splitter are really good here
A	yeah
C	one of those mechanical ones
A	that's it yeah that would be nice
A	he's got one
A	yeah they cost too much
A	be handy to have but there you go
C	yeah you but you're gonna
A	that's right you only
B	alright? I'll give you that
C	thank you
B	would you like one?
A	no thank you
B	oh
A	I've got my water here
C	you've got your water
B	you looked at me as if
A	no I didn't
A	you want your glasses on
C	I don't know I don't know
A	so the kids were not very good then?
C	no I mean I had fifteen in yesterday
A	yeah?
C	that's two groups so if you take there's forty kids altogether and I had fifteen well that's
A	no
C	but er today I only had three in today
A	did you?
C	yeah
A	oh oh
C	only had three in and they you know it's like well want to get the practical out the way well er
A	yeah?
C	the other marks are made up of all the paperwork so
B	mm
C	do the paperwork and then you've got more chance of getting marks
A	I see okay
C	so
A	yeah
C	I've got some nice projects so that'll be
B	right
A	yeah
C	they've just got to pull it out in the exam paper now that's that's the erm
A	yeah?
C	finish off their kitchen
B	oh
C	cos the doors have come
A	oh I see
C	and er he'd asked if I'd got a thirty-two mil cutter and I went thirty-two mils a strange size cutter to have
A	is that to fit them bits in?
C	the hinges
A	the hinges in yeah
C	cos all the doors haven't got
B	yeah
C	holes in
A	no
C	for the hinges so
C	and I thought it can't be thirty-two
A	was it?
C	it's actually
B	right
C	thirty-five so there was twenty twenty doors in total
A	crikey
C	to do and I says you really could do with a bench drill
A	yeah
C	because we've got to pull it down and you've got to get the depth
A	you have yeah
C	you know and if you come through that face and everything I said so this was on Saturday and he went oh I'll ask I'll ask
A	yeah
