A	International Corpus you've decided to help them out
B	yeah erm
A	I'm
A	I've signed up for the erm
B	oh yeah that
A	just to add to my
B	that's the the the repeat
A	it's the repeat
B	of the one that I signed up for and never carried on with yeah
A	yeah I'm going to I'm going to maybe not do all of it but look at some of it
B	the first week or two is is quite straightforward cos you just watch a video and they they make sure it's all bite size and you and you click when something is done it gives you a great feeling you've you click through all these things but then it starts getting more demanding
A	after a bit yeah
B	the problem
A	so what other grievances oh yes oh I had you know the
B	yes
A	they were quite tricky
B	yes
A	do you remember?
B	I do er
A	er
B	their kind of tutor their course tutor?
A	yeah and she said I need to speak to you so I said okay so from the email I thought well it's going to be something negative
B	oh your transcriptions?
A	I had got them to do some work on the
B	well they agreed
A	they agreed and they all so they seemed happy enough anyway
B	oh
A	and erm
B	that's unexpected after the last session
B	they nearly
A	well they were not they weren't great were they? anyway
B	I thought that it was very French I mean that's what I I told told you when you told me about the riots and how the kids upturned the cars
A	mm
B	I thought this I liked this about France they they can say what they feel
A	yeah they're very
A	the opposite of what the experience I had here
B	mm
A	and the oh
B	so you went along
A	she said yes erm
B	yeah and why didn't they tell you anyway?
A	cos I got this CV idea from you the video CV
B	can't remember
A	you film yourself doing sort of presentation well it
B	somebody else but
A	anyway
B	a good idea yeah
A	I said oh well okay and er
B	mm
A	and then so I sent them that
B	mm
A	and the feedback that I got was absolutely lovely they said we really appreciated it
B	oh
A	cos it's not at all their style to sort of say that they like things when they don't
B	no cos they
A	they said
B	no no
A	we really like doing the workshops
B	mm
A	erm one guy said I don't usually like English but as you let you let us a lot of you let us have a lot of freedom and
B	it wouldn't work with them would it?
A	no
B	they'd just rebel
A	and I got really nice and the last after you left we went to the to the pub with some of them and I gave them all my second hand books that I don't want anymore and they were really touched by that
B	mm
A	and they said I'm reading er I'm reading some of the books you gave us and
B	you mean novels or what?
A	novels yeah
B	but did you make this woman read the feedback? did you
A	no cos she doesn't read English she doesn't speak English she's always going on about how
B	well I reckon it would be worth translating that feedback
A	thought so it made me feel pretty low
B	mm
A	end of term and then I got this criticism and I was thinking oh no and then I got the feedback from those students which was really nice which really cheered me up
B	yeah but it makes you wonder where did she where is she coming from? where does she get this
A	and also it was interesting you know when you give feedback you usually say one well the the sort of practice is to say one nice thing and then
B	one thing for improvement say
A	and she didn't say she went straight into you know
B	I think you've gotta be quite clever to manage that group because it's a it's quite a large group and they're not linguists they're IT so they don't perceive language to be necessarily the most useful thing for them
A	mm
B	and so if you can manage that
A	so I'm a bit I'm sort of erm a bit fed up with er
B	mm
B	yes
A	but I could imagine it's erm the same anywhere
B	within reason I think that's I think that's true but I
A	thank you
B	I once worked in erm
A	thanks
A	mm
B	and so he would delegate decisions
A	mm
B	so you felt involved I think
A	mm
B	you felt that it was a kind of more a flatter organisation
A	mm
A	yeah
B	mm
A	and erm I got a bill for two hundred and eighty a week
B	but that's erm you should be paying less not more if it's pull up shouldn't you? more like a studio
A	well I've got one bed and the pull up before it just had
B	well why don't you ask them to change to er the other room?
A	well I asked for a sort of family room for
B	oh that's why
A	for
B	that's why
A	but actually here I'm all on my own
B	is
A	he's gone off cycling
B	where?
A	but he'll be coming down then
B	oh
A	no he he
B	oh my gosh that's a lot
A	well three weeks
B	gosh
A	erm
B	why couldn't you okay why don't you negotiate with them and erm
A	next week
B	for one week or?
A	every other night
[ANNOTATION]	Person A want to ask something about other days in the week for nights	Neutral
B	oh I see you why every other night? that'll
A	because
A	my my brother
B	oh
A	yeah
B	so that's the deal
[ANNOTATION]	Person B confirm what Person A said	Neutral
A	look after him when
B	that's annoying because erm
A	well they are this week
B	then you could go into a smaller room
A	mm
B	save some money and then move back into the family room
A	mm
B	yeah
A	but it's got a slide it's you know it's those beds that fit underneath you know?
[ANNOTATION]	Person A think Person b is a great pianist	Contradiction
B	yeah but they obviously make a well ask them
