A	no no you don't you can have a copy though if you wanna copy
B	no I really don't want a copy
A	cool er I was thinking somewhere quiet a bench somewhere I kind of thought maybe in the block over there where we where we were before
B	yeah that's cool
A	cool so how are you?
B	I'm good thank you did you have a nice weekend?
A	bit busy
B	what did you do?
A	er
B	oh you went home didn't you?
A	yeah it was my dad's birthday
B	oh that's nice
A	yeah fifty-five
B	did you have fun?
A	erm
B	your dad's only fifty-five?
A	yeah how old's your dad?
B	like nearly sixty
B	oh wow
A	yeah he's got the same birthday as my dad as well so
B	oh that's cool
A	so they went to Belgium
B	mm
A	yeah it was good but it was busy erm
B	did you get the train to
A	yeah I did immediately after my class on Friday
B	yeah
A	and then because my parents are divorced I had to have like Friday with my dad Saturday with my mum and then Sunday with a friend so
A	I didn't really
B	oh well you'll be fine
A	what did you do?
B	erm I worked I worked all
A	where do you work again?
B	in erm
A	oh nice
B	the shop but I got promoted
A	oh that's cool
B	I know so I'm the supervisor now so I'm happy
A	is that a pay rise as well?
B	yep yep
A	yeah good stuff
B	all of that been put on the management training scheme so
A	good stuff something to add onto your CV
B	yeah
A	I was thinking like that unless you're cold that outside bit
B	no I'm fine
A	you know where we had like drinks or whatever
B	yeah oh yes yes
A	yeah
B	is there going to be more drink there?
A	thought it might be quiet
A	that'd be nice wouldn't it?
B	erm yeah no so that was fun but then I literally just worked like Friday and Saturday and Sunday so
A	yeah cool erm so do you like get good discounts then at?
B	yeah
A	what kind of discount do you get?
B	I get like loads of free stuff
A	oh nice
B	and then I get some
A	are you dressed head to toe in?
B	no I'm actually not wearing anything today I usually am
A	cool
B	what does
A	no bless her she did nothing all weekend
B	oh that sounds nice
A	her friend was meant to come up on Saturday yeah I think she got a bit bored though bless her
B	mm
A	her friend was meant to come and visit on Saturday but she pulled out so
B	really?
A	she was on her own all weekend
B	oh bless her
A	what did you do anyway? were you just working the whole weekend?
B	I well er it's er Friday evening
A	how do we get round here again? is it round this way?
A	shall we try this way?
B	okay erm well Friday evening I just saw my friends and we had like a really nice er we just had like cheese and wine kind of cheese and wine party
A	oh lovely what kind of cheese?
B	oh like all kinds of cheese
A	good stuff
B	and then we had a couple of like mystery cheeses
A	yeah?
B	so it was like what are they?
A	what? so like a taste test? close your eyes and yeah
A	think it's a Camembert
B	we played Disney trivia and thought we were all gonna fall out but it was fine
A	oh good stuff
B	yeah
A	this was at your place in
B	no I don't have a place in
A	you get along well with your mum I take it?
B	she's erm she's alright
B	she has her moments
A	do you look quite similar?
B	no
A	no?
B	no I don't look anything like her but then I don't really look like my dad either cos my dad's just so Asian so doesn't really
A	yeah your dad's Malaysian isn't he?
B	yeah
A	and your mum?
B	English
A	from
B	no from
A	oh okay yeah cool
B	yeah she was she was born in
A	good stuff
B	I can hear your flask
A	yeah
A	you alright just sitting on a bench around here?
