B	hmm?
D	mm
D	well if we well we'll just all do it
B	mm
D	and then we'll
B	me
D	well no
B	oh right
D	are you sure?
B	yeah
D	mm
B	after dinner?
D	yeah
B	yeah
B	A
A	really?
D	mm
A	that's exciting
D	how sarcastic was that?
A	no it wasn't
D	oh right
A	it is quite exciting
A	only taken three years
B	oh nice
A	I haven't listened to the Stereophonics for quite some time
D	neither have I actually
A	I don't have this album in its entirety
B	oh it's it's good
A	I like Word Gets Around
B	I
A	right
B	overall
D	yeah
A	oh Peter
D	yep
D	well cos I was mixing it between the two glasses
B	oh
D	I couldn't be bothered
B	wow
A	that is quite impressive
B	I guess we'll just leave all all the stuff for tomorrow in in a bag
B	yeah yeah
A	so who's gonna listen to this recording?
B	um
A	we are  we are  allowed to talk about the recording while it's recording aren't we?
B	yeah
A	yeah
B	um
D	we shouldn't do really
D	so the the they don't seem to understand the basic experimental concept
B	the only people who will listen to them are the transcribers
A	transcribers?
B	um
A	oh so people are writing down
B	what you're saying
A	conversations?
B	yeah
A	okay
B	and then um
A	and then it gets fed through some process doesn't it?
B	yeah
A	yeah
B	um then put into yeah this sort of online um software thing
A	yeah
B	um
D	er that's
B	yeah
D	yeah
D	that bad boy
B	is it any good?
D	that's for tomorrow
B	huh?
D	your feminine products somewhere else?
A	that's gonna sound really dodgy on the recording isn't it
B	right
A	can I clarify for the sake of the recording that
A	it's just shampoo
A	that's all it is
B	it's fairly feminine shampoo
A	where is the recorder by the way? Oh it's there
D	oh actually
B	move it over here
A	does it pick up everything?
B	um it's yeah it's pretty good
A	it's gonna pick up quite a lot of music isn't it as well
B	yeah
A	how much of a direct range you're using? That's cool
D	cool
A	you just maxed it out then by
A	cupboard
B	yeah
B	it doesn't like that
D	ooh that's a  that's a  good looking bottle
A	yeah
B	oh my God
A	we're gonna try some of that later
D	naturally
A	as long as you're okay with that
D	yeah
A	I dunno don't know what you're like with whisky
D	ooh
A	you might be
B	oh
D	wow
B	that's cool
A	I thought you might be just one of those people who buys it puts it on a shelf and looks at it for a while
A	like sort of admires it
A	caresses it
D	no
A	that's good
D	um
A	has your bin got two compartments?
D	mm
B	it's a recycly one so
D	both's recycling
A	oh right
D	no
A	it's split the other way?
D	well incidentally
D	notice how this bin could almost have been custom made
A	I like the the well damped response of the er
D	yeah
A	yeah
A	there's only so much you can  there's only so much you can  do with a bin
A	but that's quite impressive
D	that is a hundred pounds worth of bin
A	oh that's quite expensive
A	I think ours was like five pound from Tesco
B	oh  oh it's a  it's a horrendously expensive bin
D	yes please
B	okay
D	um
A	do you want me to do something cooking wise?
B	um
A	chop something or? I like chopping things
D	there's not really anything to chop
B	I don't think there's actually anything to chop
A	I can chop garlic
B	do you wanna dice some garlic?
A	yep
B	um
D	can you not
A	yeah
B	behind the piccalilli
D	poke my face
B	sorry
D	ouch
A	behind
B	behind the piccalilli
D	Dan
A	no
D	oh
B	spice rack?
D	sorry spice this
A	right
D	er
B	terrifying
D	this is one of my
A	that's pretty cool
[ANNOTATION]	person A is talking about food	Contradiction
D	I'm not sure
A	Sugar vanilla? What's that?
D	exactly
A	mix for moussaka and
B	Greece didn't it?
D	yeah
A	did you
[ANNOTATION]	they are not sure about sugar vanilla	Neutral
D	um
A	when you came over
D	can't remember it
B	er
B	I think I was putting drinks on it
A	at the end of the kitchen on the right
D	yep
A	where we have a shelf that's about the length of your windowsill
[ANNOTATION]	person A is talking about car	Contradiction
B	nice
A	but er it's just loads and loads of spices
A	is that a word?
D	mm
A	is a word
B	yeah yeah
A	isn't it? So yeah
B	um
A	or just?
D	that's a lot of garlic
A	I you don't mess about with garlic
[ANNOTATION]	is load of spices or not	Neutral
B	I'd I'd only just put
A	okay
B	one or two cloves in
A	okay
B	so
A	two then
B	yeah
[ANNOTATION]	two colvs is okej	Entailment
A	three? Two? Three?
B	er
A	let's go three
B	how much should we?
D	push the boat out
B	yeah
D	go three
B	push the boat out
[ANNOTATION]	they are talking about school	Contradiction
B	could put Tabasco in it
D	er
A	um
A	Cos we all put loads of garlic in everything
D	right
B	so basically the order doesn't really matter
A	yeah
D	um
A	oh we've actually secretly got four
A	that double one was masquerading as a single one
D	er three lemons
B	um I think
D	okay
B	I'm just subsisting on surviving on beer until um
D	it's a good way to survive
A	yeah
B	yeah it's good yeah
A	didn't monks used to drink it?
D	who?
A	or mead
B	mm
A	monks in the Middle Ages used to
D	we've got mead
B	we've got mead
A	have you?
D	yeah
A	really?
A	weird stuff isn't it
B	yeah
A	it's just made from honey
B	I quite like sweet
A	mm
B	drinks so
D	mm
A	so
A	could I
B	close to complex
A	could I feasibly
B	yeah yeah
A	to your department?
B	if you've got a recorder yeah
A	really?
B	you you do you want me to send the info to you?
A	yeah
B	yeah yeah
A	Cos I've got quite a good MP3 player with a microphone built in
B	ah
A	so
B	I'll send you the info
D	yes
A	no I garlic presses are pretty inefficient though
B	true
A	I I just like chopping it
B	fair enough
D	you can cut finer than that man honestly
A	sorry? Yeah you can get it finer than that
D	you call that chopping?
B	er basically now is just
D	I'll just open all the tins
B	put everything in a frying pan
A	okay
B	oh yeah get some tins of tomatoes out
A	yeah
D	oh no those two need a
A	get your act together
D	ah
B	are you snaffling?
D	yes
A	it'd be quite an interesting job
D	we want four tins of anchovies
A	doing the transcribing I reckon for these
B	yeah
A	Cos you must have some very strange conversations going on
B	well I
D	well our conversations are fecking weird
A	and I bet a lot of the conversations are just about the the the the thing itself
B	yeah
D	A lot of the conversations are very sort of artificial
A	yeah
D	literally
A	yeah
D	on the entire time
A	yeah
D	and that's yeah but it's very natural
A	it's high quality
D	we we we just forget it's there
B	mm
A	yeah
D	yeah
A	so do you get paid per recording? Or per hour? Or?
B	per hour of recording
A	and how how much is it per hour?
B	eighteen
A	eighteen pounds? That's really good
B	yeah
D	and tax
A	I'd
B	yeah
A	taxed? They tax it do they?
D	unfortunately
A	and how who taxes it? How is it taxed?
A	oh right
D	um well actually you wouldn't
A	I'd just
B	you you declare it on your um
A	oh er so I have to do like I have to fill in a an extra tax return for it then?
D	in theory
B	hang on you don't need four
D	we normally have two for
A	for two
D	so I was just gonna put four in
A	is
D	no
B	he said he's having a Co-op sandwich
A	A what?
B	co-op sandwich
D	although there'll probably be
A	right
D	some cheese and
A	got
D	no for cheese
A	oh cheese biscuits
D	actually we
B	there are some biscuits there
D	not many
B	there's some oat cakes and there's some of those
A	oh we've got quite a lot
D	there's virtually none of those
A	not particularly
D	oh fuck it
D	oh well
A	so what what er what exactly are you  are you  making?
B	um this is um
A	it's obviously got anchovies and garlic and tomato in it
B	anchovies
A	lemons
B	lemons
A	that sounds really good
D	it is
B	it's it's
A	it's an unusual combination as well
B	it's dead easy
D	er two er how many tomatoes
B	um three
A	it's quite
D	three
D	we've only got
D	we buy these things in bulk
B	well you say we buy them
A	why do you go to Sainsbury's? Can't you buy a similar from Morrisons?
D	um
B	we bought them when we moved in
D	we just basically stocked up
B	yeah
D	filled the entire cupboard up
A	yeah
B	which
D	er
B	means we yeah I mean we uh damn it
D	hob Brite
D	sorry
A	yeah
B	hob Brite
A	hob?
B	you cleans the hob really well
A	hob Brite
B	hob Brite
A	oh right yeah
D	tell you what
D	if you're worried
A	Cos we've got quick a similar hob in our house
B	oh
A	that's gonna go in
B	yeah
A	take ages to respond
D	no it doesn't
B	to cool it down it's quite hard
D	yeah yeah to once you've finished cooking to cool it's a pain but er
A	that's what I mean
B	yeah
D	oh no but it is actually fairly responsive to that
B	you reckon?
D	yeah
A	well it'll depend if you've got something sitting on it or not
A	I guess
D	well sort of um using sort of heat transfer the er rate of heat transfer is proportional to the temperature difference
B	oh
A	oh it'll be alright
B	never mind
B	it'll fry
A	none of us are fat
D	what the fuck's happened to that?
B	have you destroyed it?
D	huh?
B	have you ruined it?
A	just not working is it
D	ruining your mum
B	that means nothing
D	no er it does actually
B	oh yeah
D	um
B	fair enough
A	explain it for the sake of the recording device
B	yeah
B	yeah
D	it means I'm having very violent sex
B	oh
D	with her such to the point
B	oh
D	where it becomes
B	God
D	painful
B	thanks for that
A	that's the point where I'd abandon all attempts and just leave it
B	wow you really have chewed a bit in the side of that
A	sorry?
B	there's a bit gone out of the side
B	of the tin
D	I think this is going a bit
A	do you want me to er let me have a go with this one
D	okay
B	um
D	adding things
B	cooking pasta to to get ready
D	do we have er tuna?
B	er tuna yeah
D	er I'm pretty ah God actually that was quite dangerous
B	what did?
D	that sharp bit of
D	as in that was about
A	what that one?
D	that was about five mil from the vein on my wrist
B	nasty
A	nice
A	it didn't cut  it didn't cut  the skin though did it? So
D	no
A	mm
D	this
A	see that's that's good cheap cheap tuna
B	well yes
A	right
B	but no one actually looks at the price per hundred grams
A	yeah
B	that's the  that's the  key thing you see
A	I spend so long in the supermarkets looking at like
B	yeah
A	price per unit
B	yeah
A	price per gram or whatever
B	I'm really sad but you know it
A	Cos some of the  some of the  big brands are actually not as bad as you think
B	mm
A	they just  they just
B	that's true
A	sell more more or less than the most
B	mm
B	exactly
A	so as long as you can accept that
D	so um something quite funny happened at work with that
B	should I put these in?
[ANNOTATION]	Speaker D works in an office.	Neutral
D	with our laser driller
A	yeah
D	and um we got a quote which was about two quid a unit for fifty
D	and I pointed this out to them
D	Cos the quote was still valid and they were obliged to honour it
A	yeah
D	um
[ANNOTATION]	A thinks not all big brands are bad or evil.	Entailment
A	that's weird
B	that's
D	it was like how
A	they're not I don't know if you are obliged to honour a quote
D	no
A	Cos like if if a supermarket advertises something for a price and the price turns out to be completely wrong
D	no they are
A	then they then no they're not
B	well no like Tesco's advertised their iPads
A	Cos there was a  there was a  thing about um iPads
B	yeah
A	and they  and they  er just decided not to sell it for that price
D	no if actually if you pushed it you could've done that
A	no
B	I I think it's because they
[ANNOTATION]	Tesco has sold iPads in the past.	Entailment
A	no they no no
B	yeah
D	no it's er no no
B	yeah
D	no no it's a
[ANNOTATION]	Speaker D bought an iPad for their niece at Tesco.	Neutral
A	no they they can sell
D	but there's a
A	they can sell things for as whatever they want up to the point that you actually give them the money
B	yeah
A	there's no
D	not no that's not
B	okay
[ANNOTATION]	Tablets are not sold in supermarkets.	Contradiction
D	exactly how it works
B	what love?
D	well it was an interesting example
D	one of the example questions they set us was so what happens if someone puts a poster advertising a reward for a
B	decides they didn't don't care about the dog anymore
D	well no say um for example they take some of the posters down and miss one
[ANNOTATION]	A thinks that all big brands are bastards.	Contradiction
A	no
D	legally you are
A	no you're not
D	you are
A	no cos it happens all the time online
B	yeah
A	and they say oh they have to  they have to  honour the price now
D	no
A	no
D	mm
A	well I dunno
D	possibly I'm gonna go with the Oxford law professor on this one
A	right
D	um that's why a lot of so that's why you have to be very careful in the T and Cs you put with the quote
A	but you haven't  you haven't  agreed to anything
B	yeah
A	for a price
D	no
B	can I put some capers on the top?
D	I'll give you an example so it's also the reason that all quotes have um a er valid until
B	how many capers do you want?
D	um
B	lots?
D	Short answer
D	I'm gonna drain some of this
B	just fish them out
A	I
B	Don't drain it all out because
A	there was only three cloves
D	these are un-stoned aren't they?
B	they don't have stones in
D	is the expression pitted?
B	yeah but
D	yeah it is
B	um some if you  if you  say it's stoned though it's hard to know what you mean
B	like it could mean with stones or without stones
A	or it could mean
B	or it could mean yeah
A	been smoking some weed
D	oh yeah
A	oh are they  are they  er drug are they er stoners?
D	are they that way inclined? Yes
A	right
B	did you drain it all out?
D	yes
B	that's how you store them to stop them going off
D	sorry
A	oh
B	I did say to you don't drain all the water out
A	just put some olive oil
D	well it was already in the fridge
D	mm
A	Tesco sell filleted chicken chicken thighs
D	right
A	for cheaper than chicken breasts
B	yeah
A	and it's
B	which is
A	and it's by by mass it is cheaper than chicken breast
B	wow
A	it's crazy
B	yeah
A	Cos it's like
B	yeah
A	much better meat
D	mm
B	is that enough olives and capers?
D	mm
B	you think?
D	er okay
A	can I do anything else?
B	enough capers? No that's pretty much it to be honest
D	no we need some tomato purée
B	tomato purée?
D	mm
B	right
D	um
B	yeah
D	er we'll put the tomato in in a minute
B	yeah
A	so how's work going
D	um
D	well um little bit quiet at the moment
A	yeah
A	oh right
D	so that was quite
A	that's quite
D	well no I disagree with
A	yeah
D	I might be working with a project leader but it's my it's er almost how much work I choose to do on my project
A	yeah
D	um
A	yeah
D	but it's small enough such that
B	oh er pasta's done
D	we'll be doing some
B	do you wanna get the garlic breads out?
D	ooh yeah
B	oh yeah and er and there's
D	Dan would like
A	you what?
B	um there's some garlic breads in the oven
D	oh I thought we'd microwave them
A	yeah
D	whatever
A	yeah
D	so I thought okay well let's
B	there's a plate there if you want er
A	right
D	so
D	let's er let's think about ways we can make this better for people
A	right
D	so I did some came in Monday took my iPad in
A	yeah
