B	how was erm
A	yeah fine yeah they were
B	yeah
A	they went a bit loopy when erm
B	yeah was
A	well poor guy he's sort of in-between worlds isn't he?
B	yeah yeah too too young for the too old for the young ones and young for the yeah
A	he was more he was more of an adult I think when basically like we did them we we sort of got them out in the garden a little bit and gave them a erm a
B	oh lovely they like that yeah
A	yeah it's a a nice and easy one
B	yeah yeah yeah
A	without any erm just literally like we went and hid the
B	yeah
A	and erm you know and in fact it was good that they they liked it they enjoyed it and stuff but erm er
B	ah
A	and it was like he had to come and like ah I can't join in in anything so it's it
B	ah that's rubbish isn't it? yeah no that is rubbish
A	it is tough though because at the same time
B	no you know when there's that many to
A	he's not really the older one he's like he is an adult really I mean it terms of
B	no he's not oh come on
A	no I mean in terms of compared to them
[ANNOTATION]	They had a bad time outside in the garden	Contradiction
B	yeah I know but even so you know
A	he's in the kitchen talking to us
B	he's still allowed I think he's still allowed to find something
A	it's quite sweet he arrived er early cos his mum dropped him off
B	oh right oh really
A	yeah so I cos I saw somebody walking down the drive and I thought oh right it's them but then didn't see a car so I thought oh okay and then I saw his mum and
B	no well I don't know yeah
A	you know but
[ANNOTATION]	His mom has two cars	Neutral
[ANNOTATION]	His mom has two cars	Neutral
A	yeah it did actually yeah it was good they seemed to like the sort of things
B	well that's er
A	yeah I fed them twice
B	really? oh that's really good no that's lovely that's good
A	well yeah I think you know we both figured that
B	absolutely yeah yeah yeah
A	they're going to eat well they didn't have anything to do at home
B	yeah no that's lovely I'm really I'm really pleased
B	no but it's it's really nice to have you know erm yeah hang out and cook together that's good excellent you did you erm work much over the weekend?
A	erm well I did probably about
B	right okay well bless you yeah
A	you know I I really didn't want to be doing it
B	no of course not I know I know who does?
A	cos you sort of you know tired and all the rest of it but I so I ended up having quite a late night cos I didn't want to do it so after work you know I haven't really eaten and so I I had some food and then er and the sort of watched a film you know
B	was that the only thing you watched just that Batman?
A	no I watched erm Serenity
B	oh no I told you I wanted to watch that again
A	really? oh right
B	yes you do
A	well I was I
B	you were taking liberties you were
A	I'm not
B	you are
A	I was looking through erm what was available on Amazon
B	yeah
A	and erm you know it was just really I've either seen or the good stuff or haven't seen all the other stuff cos it wasn't any good I didn't really find many things that I hadn't seen that I'd wanted to see or things that
B	yeah no that's fair enough that's fair enough so erm I've had an answer about erm er tiles erm he says have we got concrete floors so you're using any non-combustible tile but I think I think actually now I remember you sort of said you can put more or less anything down because you know it's already on the tile so I think I think
A	okay so well it's essentially double tile they'll be a bit that isn't double tiled
B	yeah yeah yeah yeah no I I think we'll erm I think we'll just go and get you some things
A	no no let's check though
B	well well the thing is everything I buy from those places I can take back anyway so I can just buy for
A	no no I know but but not all of it us some of it will be on carpet
B	yeah but I mean we're talking a fraction we're talking and inch so
A	okay but if but technically that might be
B	we'll see er er well I do when when he was looking at it he didn't seem to think it was a problem erm so you know
A	yeah I know I saw it
B	how big is it?
A	he said it's like really well but I mean they are they're grimy now it's probably one of those things
B	how did you know about it what have you been doing?
A	no I just I just looked at it erm
B	well that's Bush for you Bush yeah
A	house and like okay can I see the house?
B	yeah Bush are like that though aren't they don't bother doing those things
A	I know and it's really hard to fathom out the pictures so if a
B	oh no I think that's the fence
A	what?
B	that fence look like here
A	yeah yeah but like yeah but okay
B	and then a picture of the
A	and it's like okay where's that?
B	yeah yeah yeah mm
A	if you're going to go on about how great the house is inside
B	yeah where's the plan? oh it's a teeny bedroom that's not a bedroom
