A	Thursday night was like a complete disaster I picked
B	uhu
A	in the park and ride and she left her phone on the bus
A	yeah so we had to wait for the next bus to come back and then it wasn't the right bus and it drove straight past and didn't stop and then she made me drive all the way to
B	oh good god
A	so we chased the bus it wasn't the right bus and this one actually stopped and we managed to speak to the bus driver
A	and it wasn't it they didn't have the phone so then I had to drive to Tesco's and she had to get a sim card and she had to borrow my old phone so that was a complete we didn't get back here till like half ten
B	and she didn't get her phone at all then did she?
A	no I don't think so like she had to ring her parents and get them all to like cancel the bloody
B	oh god
A	thing
A	yeah and then once that had been sorted we got to finally got to Naples
B	yeah
A	and that was all fine but
B	oh
A	well the whole of the afternoon of the first like the day we arrived Friday Saturday we walked round Naples which yes she was really nice and went to the castles and the palaces
B	and you got did you get to
A	we did get to Pompeii but really on the Saturday night like we'd wandered round Naples all day and it was a long day don't get me wrong er I was absolutely shattered cos I didn't sleep very well the night before cos
[ANNOTATION]	speaker b is italian	Neutral
A	really badly snores
B	oh no
A	so I didn't sleep very well anyway and it got to about half past ten and I was like yeah I need to go to sleep now like I'm dying cos we need to get up early she went in the bathroom and cried because she was really tired yeah exactly was banging around until like half eleven
A	I had to I was like
B	don't mess with grumpy
A	do not
A	and like put your fucking phone away
A	and she was like okay I'm sorry I'm like good put it down cos you don't moan about
B	no
[ANNOTATION]	speaker a slept like a baby	Contradiction
A	and then
B	then don't do anything it
A	yeah don't and then well cos I was like we have to get up early to go to Pompeii and if you're if if you're not up I'm gonna go on my own like
A	and she was fine and then in the morning she was fine and she got up and we got to Pompeii and that was really really nice
B	mm
A	a really good day and the weather was perfect erm although the Italians don't really understand signposting so
B	oh
A	we were wandering round Pompeii and it was like there were no signs anywhere so you
B	oh
[ANNOTATION]	speaker a went to Pompeii	Entailment
A	house or a bakery the only one we knew was was the brothel because there were graphic roman paintings of people having sex all over it
B	okay
A	like the wall art
B	I guess
A	the wall art was very erm
B	fitting
A	fitting for the brothel
[ANNOTATION]	there were many signs explaining everything in Pompeii	Contradiction
A	erm so that was so it was really good but then we got back and had a really nice evening and had dinner
B	oh god
A	that erm
A	to quote I can't believe you've been disloyal and gone on holiday with somebody who upset me
B	oh good
A	because back in July I I said to him I hear you're a bit shy
B	yes I remember
[ANNOTATION]	someone blamed speaker a of disloyalty	Entailment
A	yeah
B	good
A	and he's like
B	good move
A	erm
A	yeah he's like I can't believe you know like you're being so unloyal I can't believe you're on holiday with a bitch who doesn't like me and who upset me and won't even apologise you know you obviously don't care about me if you're choosing her I can't believe you've got to a
B	why telling her this now?
A	yeah exactly and you've gone
B	oh god
A	erm if you dare
A	yeah if you dare tell
B	nice guy
A	and I was like this has actually really upset me like your boyfriend has made this like every holiday we've been on
A	he
B	what a weirdo
A	Berlin last year Bratislava this weekend like what is his problem? and she's like oh it'll all be okay it'll be fine I was like
B	will it though?
A	like
B	not ideal is it?
A	no I was like his behaviour is completely unacceptable
B	yeah
A	and she like oh yeah no but oh I'm too tired to deal with it now I'll I'll deal with it when I get home it'll be okay I was like
B	she needs to
A	I was like
B	but he's still saying it
A	yeah I was so you you
B	you're not gonna say something to him about saying stuff like that?
A	yeah I she was like well you know like I can see it from his point of view I was like how can you see it from his point of view?
A	like
B	oh god
A	and she's like well no I see how it got misconstrued I was like
B	I don't think anything got
A	no no normal person
B	there's nothing misconstruing you
B	there's nothing to be misconstrued
A	no normal person would react the way he's reacted being called shy
B	mm
A	if they were normal
B	mm
A	she was like yeah yeah I know but I've explained to him that you were just trying to be nice but you know he just you then didn't talk to him when he arrived I was like
A	cos obviously you had a shit morning cos you were threatening your girlfriend
B	yeah
A	like
B	sounds very controlling doesn't he?
A	so
B	yeah
A	he's like he's had a negative effect on and I'm tired of it like if he does it again I will talk to him because I am tired and she's oh no don't talk to him cos he'll get really angry
B	it isn't that's not a normal relationship
A	yeah
B	oh dear poor girl
A	but she just lets him do it
B	yeah
A	like even
B	she's obviously very insecure
A	if my boyfriend ever spoke to me the way he spoke to her last night or the night before I would
B	mm
A	like cos like to threaten to break up with someone if they don't do what you want I'm
[ANNOTATION]	They had been fighting before but not like this.	Neutral
B	no it's not
A	and like I said
A	I said that to her like I I I didn't say it in those words but I was like it's not his behaviour wasn't acceptable
A	massively low opinion
B	it's quite sad really
A	to let someone do that
B	very sad I think
A	mm
B	yeah
A	like
B	probably
A	cos yeah cos cos the thing is like because she didn't have a phone I gave her my old one to borrow
B	yeah
A	and you knew that the only reason she didn't she want she needed a phone like she was really panicking about it is because she wanted to like message him
[ANNOTATION]	She borrowed speaker A's phone in spite of having her own.	Contradiction
B	yeah but then you wonder what he might have might have done if
A	yeah well that's what she he said he's like you you've been you've been weird with me this for the last two days and she went I didn't I don't even have a phone like
B	yeah
A	like she doesn't normally she has like like a day or two abroad or something but
B	yeah
A	the sim card only had data like five hundred megabyte like a really pathetic amount that cost loads of money so she didn't take the phone out during the day and stuff and she was like well normally I'd send you know like in pictures the things I saw or but I obviously couldn't cos I didn't have a phone I was like yeah he should understand that
B	sounds like a nutter
A	because
B	mm
