C	can I ask you to repeat from that sentence? mm hm
B	sorry? We were
C	mm hm
B	then we came back to Birmingham and the blitz had started
C	oh right
B	that's the termination of my actual
C	were you sixteen?
B	from
C	how old were you?
B	twelve
C	twelve? Oh gosh and was that quite normal for everyone to?
B	no
C	no during the war I mean
B	because it was during the war
C	hmm
B	um what was happening the school closed
C	mm hm
B	I was of an age to help in the shop and on the markets in Wolverhampton and various other places
C	mm hm
B	education ended and the only other
C	okay
B	to learn bookkeeping typing office routine et cetera
C	mm hm
B	and that lasted eighteen months
C	oh that's college isn't it?
B	well
C	college or not
B	sort of
C	yeah
B	new Era College
B	it was called the New Era College
C	ah
B	in Corporation Street
C	ah okay mm
B	I was the only male at the college
B	oh very much
C	is that where you met?
B	no
B	no we met at
B	no
B	at a  Jewish charity thing
C	uh-huh
B	that we belonged to
C	okay
B	I don't remember
B	well this is nineteen it would be nineteen fifty-two um
C	yeah
B	early twenties
C	and is that around here? In this area?
B	yes in
C	okay
B	it was the um what was formed was what was called it was the
C	mm hm
C	mm hm
B	which is what we called it and uh for the first how many years? Five or six years I was chairman
A	oh yes you were weren't you? Cos you were the one who turned up with the briefcase
B	that's right
B	that's when I came back from Australia
A	didn't have to have much qualification
A	A
C	of being a person who can be an authoritative carrying a briefcase?
A	yes
C	I'll I'll take those into my next job interviews
B	well I I was
B	oh yeah definitely take a briefcase
B	I I was a member of the senior of the Jewish Blind Sight Society
C	mm hm
C	mm hm
B	uh this would have been in nineteen fifty-five fifty-six
C	so you were
B	or thereabouts
C	so you recruited a group and a wife to boot
B	no
A	oh no we didn't go out together
B	it didn't start
A	no
B	uh nineteen sixty-one sixty-two
C	oh really?
B	so that was a few years later
C	was
A	no I don't know
B	no
A	I had other boyfriends though
B	pardon?
A	I had other boyfriends
B	many
A	many
B	many
A	many
B	and I had other fish to fry because I was in business in engineering
C	mm hm
B	and um I was working in
C	did you start your own engineering business?
B	yes
C	oh okay
B	yes I was with another firm to start off with which was run by my brother-in-law
C	mm hm
B	and uh
C	and what kind of  what kind of  engineering was it?
B	that was um machining
C	ah okay
B	Machining and then we bought a factory in Lye which was press working
C	mm hm
B	um making metal handles and other press items metal items in steel and brass
C	was that when you went into antiques?
B	oh no no no no no no
C	you were still in engineering?
B	no
C	mm hm
B	drop forgings and drop stampings in the black country cos it was in the black country
C	mm hm
B	I was working mainly and acquired that in nineteen sixty-three and in nineteen sixty-four we got married
C	ah
B	my accent?
C	yeah
B	well I can um
C	what would you say it is
A	um
B	I could do a bit of ee-bye-gumming if you like
A	this isn't  This isn't  an audition
B	born in Manchester
A	I don't know I suppose it's an ordinary Midland accent really
C	hmm
A	black black country
C	Midlands
A	Midlands
B	Midlands
A	yes I think so
C	I agree
A	less than they than there were I think
C	really?
A	yes
C	but it's diversified they're so many different types of engineers now
B	well the I think the term was um I don't know when but it was known
C	crates
B	pardon?
C	crates?
B	trades
C	oh trades
B	trades yes
C	mm hm
B	um and mostly um based on engineering and production um covering
A	what about the jewellery trade? Jewellery
B	very very wide a very very wide aspect
C	mm hm
B	and of course jewellery and silversmithing
C	mm hm
C	mm hm
B	were made
C	yup
B	um in the eighteenth century and the
C	mm hm
B	was opened in the late latter part of the nineteenth
C	mm hm
B	and is still going today
C	uh huh
B	so this was very very much in the production and manufacturing of jewellery
C	mm hm
B	and silver silver items silver plated items et cetera
C	yeah
B	yes the um
C	beautiful and he was very
B	A lot of  a lot of  people
C	mm hm
C	mm hm
B	and particularly in the jewellery and silversmithing to this present day
C	mm hm
B	to this present day because there is a school of jewellery in the jewellery quarter
C	yup
B	and
C	yeah a lot of the the students that I taught last summer were going on to do a masters in
B	yeah in
C	in silversmithing or jewellery
B	oh yes
C	yeah that's right
B	in the
C	mm hm
B	because at one time the
C	mm hm
B	um was always known as the silversmithing and jewellery quarter
C	ah is that the area known now as the jewellery quarter?
B	yeah
C	oh I didn't know that
A	yeah
C	I'm rediscovering
B	are you? Rediscovering?
C	I'm rediscovering it yeah
A	oh yeah it's quite  it's quite  big actually the jewellery quarter isn't it?
B	yes
C	mm hm
B	that there were over two thousand manufacturing jewellers
C	mm hm
B	not selling jewellery to the public but manufacturing jewellers
C	mm hm
B	in the
C	gosh
B	because it wasn't the sort of factories that were large employing hundreds of people
C	mm hm
B	invariably they were one man
C	hmm
B	companies or two people partners working there or three working together
C	mm hm
B	these sort of people
C	hmm
B	because they would share a workshop
C	is it still successful?
B	pardon?
C	is are the businesses in the jewellery quarter still successful nowadays?
B	oh yes
C	yeah?
