I	yeah but they can just say no it wasn't you
B	in the garage
B	head towards the fridge and freezer but you'll see it before then
A	right mum mum do you wanna do yours?
unknown_female	yeah speak speak up
G	good point
B	which would you choose? two years of compulsory service in the reserves or six months of front line armed service?
unknown_female	oh
unknown_female	two years
C	reserves
G	six months
A	be more exciting for the six months though wouldn't it?
I	you might be get killed on the front line
unknown_female	reserves
C	two years cos you're not always called up
unknown_female	yeah but
unknown_female	oh
F	because they
unknown_female	yes
F	yes you'd get the headline
unknown_female	yes
F	it's actually safer there
F	is it? which one is it?
C	it's brilliant this one
F	strange strange figure but that's apparently what they're told when they go out there
I	yeah yeah yeah
F	not to fret about the the danger
I	yeah
F	that there's some
A	alright dad do yours then
F	no
B	sorry
A	oh sorry sorry oh okay
H	alright
C	two hot dates well hottish which would you choose? the one with the great sense of humour good fashion sense nice body but frankly a face like a chewed dog toy
C	the one with limited conversation great looks a big wallet but in brackets you can't have it all really bad breath
A	first one
B	oh no
I	first one
A	the first one without even question
F	oh yeah exactly
I	yes
C	face like a chewed dog toy?
A	without question yeah
I	yeah
A	I'd rather have that and have a good time
I	just put a bag on his head
C	oh I'd've gone on holiday with the cash myself but anyway
G	shallow
A	you're such a shallow person
I	no I think they're a good laugh
F	so so how can we change
C	yeah must've must've picked the wrong one that day
F	exactly yeah
G	oh I get it yeah
D	can you put pass dishes down for me?
A	yeah
D	please? oh I'll come up that end it'd be
A	which ones which ones do you want? these ones?
C	certainly got the big wallet haven't you?
D	yeah oh I haven't got the plates yet
I	oh sorry
D	that's fine
A	erm
D	I'll come back with the other one
B	alright those there stacking up
A	yeah
B	right
F	what about me?
H	you are you are armed with a cricket bat and all the protective gear who would you choose to take on? Britney Spears with a chainsaw
G	what?
[ANNOTATION]	speaker d has no money	Contradiction
H	or three members of Take That with sharpened microphone stands?
A	Britney Spears with a chainsaw cos she's stupid and she'll probably end up chainsawing her head off
H	yeah
A	and there's only one of her
C	a stupid question
D	could you pass that over your shoulder for me?
[ANNOTATION]	speaker a insulted Britney Spears	Entailment
H	this one?
D	please
A	I had a worse one
A	more just I had a more stupid one erm your neighbourhood has a substantial fine for fouling and Feedo has let rip on the pavement
B	Fido
G	Fido
C	er yeah think
unknown_female	with no bags available which would you choose? to scoop by hand or to pay the fine? of course you'd pay the fine
unknown_female	er yeah
C	yeah oh yeah
[ANNOTATION]	if they pollute, they will have to pay a fine	Entailment
B	how much fine?
C	or do you scoop by hand?
A	it doesn't say it just says to pay the fine
C	oh
B	a heavy fine? is it a heavy fine?
[ANNOTATION]	they know exactly how much the fine is	Contradiction
G	well it depends that depends
A	oh a substantial fine
G	oh he's he's got what? he's
unknown_female	say Fido's got a?
D	erm just put this somewhere
A	two
C	yeah but no bags available
F	yeah what kind of poo?
[ANNOTATION]	the fine is very little	Contradiction
F	if it's a firm one I'd pick it up
I	you can wash your hand can't you?
G	yeah
A	well it doesn't say it doesn't specify so
G	oh er
I	I'd say pick it up
B	it's this one we're talking about
C	I'm sorry no I'd pay the fine
A	oh I thought everyone was gonna say pay the fine
G	yeah
B	this one's for you two
F	thank you my love
B	which would you choose? a cat that cleans the house while you're out or a dog that cooks you gourmet dinners?
C	oh
G	oh a dog
A	oh
A	it's difficult
C	no the the cat
I	yeah I think the cat
C	I'd prefer to do the cooking than the cleaning
G	oh evil cat
A	oh that's a good point
C	can you have one of each?
I	yeah you can have both can't you?
I	right you can temporarily take the form of an animal would you briefly be an otter or a squirrel?
H	oh my goodness otter
A	oh I don't know
F	squirrel
H	otter all the way
I	otter
G	yeah
F	I'd have a
C	squirrel squirrel
I	yeah yeah no I think an otter cos I just love water
B	squirrels are stupid
F	pick pick nuts off the trees and hurl them at people
I	at people
G	squirrel definitely
F	go on then
G	exactly
I	that's alright
G	erm you're dead not a promising start you're given the chance to come back and watch over your loved ones which would you choose? to be an ectoplasmic entity a ghost so you can haunt them if they're disrespectful or be the family cat who can pee in the
G	ghost or a cat?
A	er
C	a cat
A	a cat
G	cat?
C	yeah
A	cos then you actually do things anyway like you're not just a ghost you
G	yeah catch mice and stuff and
A	yeah
C	mm
A	ghost just goes through things you can't really eat or anything can you?
H	I don't know what that means that
D	cupboard at the bottom
unknown_female	do you want anything else?
F	which would you choose? to always wear purple from head to toe or to wear any colour but only in leather?
A	so the second one the second one
C	say it say it again sorry? say that again
I	oh that's a really bad one
A	I'd do the second one
I	you get so er
F	you only wear purple from head to toe
A	oh yeah yeah
F	or to wear any colour but only in leather
A	actually yeah the first one
I	I think I'd have to be purple
A	yeah purple
B	purple I love purple
A	I changed my mind
H	yeah but
F	bless you
C	alright in a colour that you don't like or head to toe in purple?
A	thank you
D	er I'd
C	no you see you're stuck now aren't you?
A	alright has everyone read theirs now?
G	yeah I think I've done yeah
A	alright
H	oh yeah
I	oh wait a minute could I read grandpa's?
A	yeah go on
H	I never read one
I	we all like to be taken seriously but which would you choose?
unknown_female	whose is this?
I	to talk rubbish all the time via your mouth or to talk perfect sense all the time but out of your backside?
