B	they were right by the till as well
C	they were right by the till
A	I'm my er
B	you what?
B	oh
C	oh sorry
B	she's in the shower
C	uh
C	are you touching up your knob?
A	yep
C	uh
A	that's alright
C	I was thinking of doing it when I came in
A	huh
C	High
A	wow
C	not only one
A	two
C	two
C	charming
A	hm?
C	he really pisses me off
A	yeah
C	it is weird isn't it
A	yeah
C	love story time
A	gonna eat all the garlic bread in the world
C	are you gonna eat it all?
A	yeah
C	Good work
A	in you go
A	ha
C	what colour is broccoli supposed to be? Probably not purple yeah? Unless it is actually purple broccoli
A	yeah
C	why is it purple?
A	do you think it is purple broccoli?
C	should I just well it's not should I just tell him it is?
A	yes
C	um
C	is that not a week ago? Yeah
A	no I don't think broccoli surely can't kill you
C	just taste weird
A	does it smell off? Just smells of broccoli
C	maybe
A	yep
C	it turned out
A	yep
C	yeah
A	absolute bargain
C	oh huh
A	ham
C	ham? You reckon?
A	yes
C	the lady likes ham
A	never knew they did a ham one
C	yeah
A	yeah
C	yeah
A	how has he ever held a girlfriend down? Like if you were
C	huh
A	if you were wanting him as a potential boyfriend
C	yeah
A	like
C	he'd fuck you off man
A	yeah
C	because I think you know yeah you I said come at seven and you said oh the guy's coming to pay me at half six
A	oh yeah
C	it's half eight now
A	it's a bit extreme
B	garlic bread?
A	garlic bread
B	garlic bread
C	garlic
A	very excited by it
C	mm
A	mm
B	should've had some of my chilli then
A	garlic
A	yeah
C	oo
A	I do feel the need to cook something
A	just not feeling it yet
C	Cook some food?
A	yeah
C	overrated
A	yeah
B	I agree
C	probably
C	oo
B	uh-huh
C	did you breathe it in?
A	inhale the beer?
B	yeah
C	see that's where you've gone wrong
C	breathe air
A	have I told you about the hot guy at the sunbed shop?
C	er
A	no
C	mm
A	A few weeks ago
C	right
A	and he was just talking to someone that owned it
B	mm
C	oh right
A	and the the way that they talk to each other I've never really listened to the conversation but it's like an
C	yeah
A	anyway
C	mm
A	and his face could've been airbrushed
C	wow
A	big blue eyes
C	mm
A	like shaved head
C	wow
A	he really should be in a magazine
C	Christ
A	certainly the most beautiful in real life
A	um
C	mm
A	um
C	mm
A	that type
C	to me
A	I was
A	you know so he couldn't see that I was  I was  watching him
A	so then he disappears
C	mm
A	um
C	show off
A	yeah
C	oh
A	so dim  so dim
C	oh it's
A	it's
C	David
A	so dim
C	he was perfect
A	I had had twenty minutes of holy crap look how amazing you are
C	yeah
A	since I heard him talk and there was really nothing up going on upstairs at all
C	oh such a let-down
A	it took away all the beautiful dream attraction
C	why can't you have both? I just don't understand where these men are
A	I know
C	mm
A	gorgeous face no brains
C	yeah
A	that's it
C	or brains but you wouldn't wanna kiss them
A	or brains but you wouldn't wanna kiss them
C	tut
A	it seemed to be that you got one or the other
C	yeah
C	I think it's because anyone that you would actually date is already in a relationship
C	you know
A	yeah
C	happy days
A	happy days
C	anyone you'd actually think about considering
A	so it was huh
C	isn't available
A	it was really gutting
C	mm
A	very disappointed
C	so the I've
[ANNOTATION]	A is not in a relationship at the moment.	Entailment
A	to the point where I er I was actually considering how much of a stalker it would be for me to ask him to take a photograph
A	yeah
C	he might actually have you arrested
A	well yeah of course I wouldn't have actually gone through with it
C	mm
A	photograph him
C	mm
A	like it would be
C	yeah
A	pretty plausible
C	yeah
A	he was gorgeous
C	it er
A	like he could've easily made a living out of it
[ANNOTATION]	He was quite unattractive.	Contradiction
C	that might well be
A	he was like stunning
C	mm
A	you think?
C	yeah
[ANNOTATION]	You can't get arrested because of a picture.	Contradiction
A	yeah
C	I mean I like to think he didn't
A	yeah
C	who can say
A	yeah
C	person
A	mm
C	oh every time I look in my cupboard I see this little remnant of Mini Eggs wrapper and I think huh
A	uh
C	no
[ANNOTATION]	She bought the Mini Eggs at Cosco.	Neutral
A	something really sweet today
C	oh God
A	he um he was saying that
C	aw
A	she was just so grateful that he wasn't hurt
C	yeah
[ANNOTATION]	The people they might date are already in relationships.	Entailment
A	how nice is that?
C	yeah
A	how nice is that? She values him so much
C	mm
A	that it wasn't oh my God are you alright? What happened? The story
C	thank God you're okay
A	I'll never ask you to pick your dirty socks up ever again
C	mm
A	how sweet
C	in the moment
A	well yeah
C	give it a few days
A	in real life
C	yeah
A	yeah
C	you stay there
A	yeah
C	Cos I've already said er when I got out of the shower I said well I
A	it's so hard to make that much of an allowance with someone isn't it
C	well it's I know it cos it's the  it's the  second time in a week where he's been like yeah I'll come over
A	now I've fucked it up
C	well I
A	yeah
C	like even if no matter how
C	you class it it's rude
A	and can you  can you  class it as rude if it's because he's ill?
C	huh
A	that's what I'm thinking
C	that's the problem
A	I would just smash his face against a wall
C	yeah
A	yeah
C	you
A	write it down  write it down  You know you're going write it on a piece of paper all over the flat
C	I don't know if it's just he's sat down and having a beer
A	but you can still tell someone
C	that's the thing
A	yeah
C	and he's like oh I just didn't think
A	yeah
C	a lack of consideration
A	yeah it is
C	yeah
A	at the risk of sounding perverse with my penis
C	oh thanks love
A	have you tried them on?
C	I haven't tried it on yet
A	Small ones
C	yeah
A	that is wise
C	mm
A	it wouldn't be as feminine
C	yeah
A	Cos the boy blazer makes it
C	Good
A	it came into my head
C	oh God
A	yeah
C	so I need to make an effort
A	yeah
C	okay
C	um to have my nails done
A	oo
C	tomorrow
A	yeah
A	yeah
