B	all the biscuits
A	yes
B	fine
A	and yeah and er I saw a black one a navy one
B	yeah
A	and I  and I  couldn't see this one
B	yeah
A	there was one
B	ah
A	and now it's mine
B	huh
A	yeah
B	that's fine though
A	wedding time I'll be an inch smaller
B	that looks really good
A	just
B	you don't need to worry about not buttoning it
A	yeah
B	breathing in and out
A	after all the dinner
B	well
A	yeah
B	but um after all the dinner and all the dancing
A	mm
B	oh mate
A	it's shoe time tomorrow
A	shoe time  shoe time  So how did the meeting go?
B	er actually it was really good
A	nip it in the bud now
B	but is was a er a big learning curve for everybody
A	oh that's good
B	so it was really useful
A	sounded like everyone wanted the meeting
B	everyone wanted the meeting
A	mm
B	I think even though no one had actually responded to me so I didn't know if anyone actually would come with anything to say
A	ah
B	I'm just  I'm just  knackered
A	I'm very knackered
B	really tired
A	very knackered in the world
B	in the worm
A	um and I found a really nice bra
B	in Tesco's?
A	er no in in Jasper Conran today
B	yeah
A	tut
B	oh
A	then I went all the way to Marks and Spencers after finding a this colour orange one online
B	mm
A	turns out they only go up to a double D
B	tut
A	yep
B	what's with that shit?
A	I've no idea
B	has that always been the case?
A	well the only bra that I have from Marks and Spencers is the one I've got on
B	yeah
A	but it's too  it's too  big round the back
B	right
A	but I mean it looks very nice
B	yeah
A	which is fine under my work dress
B	yeah
A	um
A	I mean you can't see it too bad but er I just I can just see like you see the bumps?
B	yeah
A	I just don't want the bumps
B	well you're gonna have to get a T-shirt bra then
A	no they're not
B	so if you're gonna go for pretty that's what's gonna happen
A	yeah
B	it's gonna have detail in it
A	huh
B	so these are
A	so
B	but those are your choices I think
A	it's either this as it is now
B	mm
A	or if I find another one
B	or or you don't have the straps
A	tut
B	you know
A	tried this
B	mm
A	but then because they go on your hips and kind of stick forward a bit don't they
B	mm
A	then you can see a line around the bottom of the dress
B	tut
A	Cos they're not none of them are you know like my
B	mm
B	yeah
A	the they've all got bones in
B	right
A	which you can see
B	what about the zip up one? Is that not an option?
A	no
B	mm
A	like doesn't hold
B	mm
A	doesn't stay down
B	tut
A	so as I move it
B	tut
A	tut
A	um
B	mm
A	or there is a nice black and cream one at Jasper Conran
B	yes
A	and huh this is all kind of starting to rack up now
B	yes
A	yeah
B	and bargainous dress and jacket
A	yeah
B	that's pretty nice
A	yeah
B	bang on fifty quid
A	yeah
B	like it's pretty nice
A	so
A	and shoes
B	and shoes
A	Will be sixty-four
B	nice
A	but then I've still got jewels to buy and bag to buy
B	yeah
A	in the grand scheme of things
B	so
A	pretty awesome
B	yeah
A	but
B	what's gone before
A	yeah
B	mm
A	just a plain clutch
B	mm
A	plain black clutch
B	yeah
