D	so are we going for the one that we get?
B	meal Deal one right?
D	meal Deal three
B	dunno
A	I thought it was the one with like the two pizzas the garlic bread and the chips on
B	oh yeah yeah that one
D	yeah
A	yeah not the chips and the
D	oh wait what?
A	onions
D	yeah
A	the number one
D	so are you going for the nine inch pizzas?
A	yeah well we'll get two of them
D	oh wait yeah wait wait wait wait wait
B	yeah cos we get two and a garlic bread
A	it is January this should be good
D	and you want chips and drink?
B	yeah
A	yeah
D	okay that's fine then
A	well we might as well
B	it's cheaper to do it like as the meal deal than get it separately without it
D	well yeah have you seen prices of twelve inch pizzas? but
A	is that normally what you get? oh the amount the amount of pizzas
D	where you get the nine inch pizzas
A	right okay let me it might be cheaper then
B	it's the one with twelve inch pizzas though
B	how much is that?
D	er
A	eighteen fifty
D	eighteen
B	that isn't cheaper is it?
A	what's what's the price of two nine inch pizzas?
D	no
A	one nine inch one
D	so two nine inch pizzas it would be er four ninety and five sixty
A	oh that's not typing four ninety
D	er and then
B	one eighty
D	chips
B	and chips
A	and garlic bread
D	one eighty for the chips er but you get a free nine inch garlic bread they don't tell you how much that is
A	it's that's twelve thirty
D	okay and then the drink
A	well I've got
B	I've got a can of coke
D	yeah I can deal without the drink if we want
A	okay let's do that then
D	er drinks are two pound
B	yeah but we don't need a
A	yeah
B	drink then
A	that's like a pound cheaper
D	shall we do that?
A	yeah
D	okay we want a bigger pizza
A	okay
D	it's alright no it's fine
B	well we can get one twelve inch and one nine inch pizza
A	mm yeah
D	yeah I suppose so how wait how much did it come to you before?
A	er sixteen something
D	what was that for?
A	two twelve inch pizzas one
D	chips
A	garlic bread one chips I think
B	did we put the garlic bread in there?
[ANNOTATION]	they are talking about food	Entailment
A	I can't remember
B	wait how much are twelve inch pizzas?
D	oh god six ninety and seven sixty
B	so that's what? six ninety and seven
A	that's like
D	that's like more expensive than the
A	yeah
B	that's like what?
[ANNOTATION]	person B is not sure about size of pizza	Entailment
D	shall we just do the nine inch
B	fifteen fifty or something?
A	well we could get one twelve and one nine
D	yeah if you want
A	I can't believe it's this complicated
B	I don't mind what I don't even know what we were talking about between if I'm being honest
B	I don't know what the options are
[ANNOTATION]	person B is not sure about options are	Neutral
B	are we getting are we just gonna get the free garlic bread
A	yeah
B	with it? whatever pizzas we get
D	is that what we want to do?
A	yeah I think so
D	cos we don't get cheese with that one
B	it's it's not cheesy garlic bread
A	mm do you want
B	well we could get
[ANNOTATION]	they are not sure about cheesy garlic	Neutral
D	shall shall we just go for the meal deal one?
B	okay
D	which is thirteen fifty
A	yeah alright okay
B	I think
A	yeah
B	that's like three pizzas then with the garlic bread it's like
[ANNOTATION]	they are not sure about price of food	Neutral
D	yeah so
B	two pizzas
A	yeah
D	yeah yeah
B	and a garlic bread and chips
D	yeah yeah
B	so I think that'll be alright
A	thirteen fifty
D	do that can we put cheese on the chips?
B	yeah
A	I've got cheese
D	I've got cheese as well do you want?
