B	uh yeah so your favourite film is it uh uh
A	I like a bit of Doris
B	ye ha
A	um
B	yeah you've definitely got that from from that
A	she likes
B	you mean like uh culturally speaking
A	like E
B	you've picked up the meme of watching films
A	well I mean I I don't I'm not a big film lover I don't go to the cinema
B	I don't know if you I don't know if it's genetic I don't know if you've inherited the film loving gene or if it's a culture
A	no but I mean I I don't go to the cinema very often for example and and I don't own any films
B	well I've got a few mainly just cos I I got I don't spending loads of money on it so I'd rather have sort of like recordings and yeah
A	yeah
B	yeah
A	but I do quite like them and I uh watch them if they're on the telly and stuff
B	I really love Back To The Future it's one my favourites yeah
A	my nana used to have like a little cabinet and she would like
B	oh Land Before Time
A	um
B	that was
A	uh ET
B	oh well that's a Spielberg that is isn't it?
A	little Shop Of Horrors like
B	oh yeah that that's a lot uh
A	um Ghostbusters Ghostbusters Two my personal favourite
B	A lot of eighties eighties things
A	Ghostbusters Two
B	um
A	and Ghostbusters obviously
A	bit of Igon Spengler
B	oh yeah yeah yeah that's a  that's a  good one like
A	captain Hook
B	they did  they did  them sort of bad jokes about that  about that  fat kid didn't they who used to get into like roll
A	yeah
A	and like um
B	he may oh I just like I was thinking because of his sort of size like
A	yeah but he was only a bairn then though
B	that wasn't  that wasn't  sustainable
A	um Captain Hook
B	I know it was uh that made  that made  like the truffle shuffle even like worse to sort of laugh at like
A	I know
B	you can't laugh at child
A	obesity
B	obesity can you?
A	well it's not his fault really is it it's his parents
B	that's what I'm gonna say
A	yeah and Captain Hook
B	oh that was really uh
A	yeah you know what I mean
B	that's
A	so
B	well we've got something similar I mean I've got all my videos
A	but it had like a door and she used it like much like you have
B	oh yeah like I've got I mean double play like eight hours  eight hours  like so you can get four films on one tape
A	yeah my nana did yeah yeah
B	two hours each
A	um and I used to like you know really used to like sort of The Neverending Story and
B	oh yeah I never watched that actually the um
A	land Before Time
B	never watched it but
A	watership Down and
B	there was a trip at school like to the cinema
A	yeah
B	um and I I was excited cos my parents didn't take me to the cinema and I'd never been to the cinema before
A	oh really? No mine didn't really
B	uh so I'd never been to the cinema before like not not ever and I don't think and
A	I remember
B	think that was my first ever trip uh that the school took
A	yeah
B	like got to see like like a PG rated film
A	yeah
B	um and the younger um including me went to see a U rated film which happened to be Land Before Time
A	oh that's a good one
B	I think but but I think actually that was the better of the two like the the PG one was called Mac And Me
A	oh right
B	uh this would've been like nineteen eighty-nine or nineteen ninety
A	yeah yeah
B	nineteen eighty or ninety-two or something but uh yeah I think we  I think we  did better to get
A	land Before Time was a good one
B	wait wait a minute no it was it would be younger than oh I can't remember
A	well
B	I've really really bad memory of my uh childhood to be honest uh
A	well it was a long time ago way
B	it's just black it's just blacked out like
A	no
B	uh
A	I remember my nana and granddad my nana and granddad took us to the pictures once and like me and my nana wanted to see one film and my granddad and our Tom wanted to see another film so we went to see different ones and I remember thinking that was really like really good because like usually it would just be like with my dad or with my mam so you couldn't split it up and like I'd have to sit through like
A	transformer
B	Steven Steven Seagal oh yeah yeah
A	but like me and my nana went to see Little Women and my nana was like it's amazing and I was like
B	what is that?
A	little Women? Come on
B	what is that?
A	it's a book like you've read the have you maybe you haven't it's more of a girls' book
B	it sounds to me like I think of uh big men is more up my street than little women
A	yeah
B	I think uh if if something was called Little Women I would would suspect that it might be like a romantic comedy or something
A	yeah it is a bit floppy
B	um no but I I don't romantic comedies
A	it's one of those classics though
B	I think we were talking about them a couple of days ago actually
A	yeah Bridget Jones
B	you're you you
A	no
B	is that what Little Women is? What's it about?
A	well it's a story about some
B	alright
A	uh I don't know
B	oh I think I'm gonna find myself uh slipping slipping into
A	it's like a  it's like a  Jane
A	but anyway it's um
B	I went uh I went for a bit like I got
A	I went on a like a date once to the cinema
B	ha ha
[ANNOTATION]	Person B want to go to swim	Contradiction
A	and I remember thinking it was the stupidest place to go because like
B	well
A	it's so bad and stupid
B	yeah yeah that's a  that's a  sort of typical
A	was quite a good film actually
B	yeah
A	but it's just like
B	but it is a bit silly actually isn't it cos you basically just sit next to each other
A	you should never go to the cinema with anyone that you like because there's no point
B	people do though don't they they always go looking for like
A	like when we watch films I'm always like hey
[ANNOTATION]	Person A think it is not good to go to the cinema with someone you fell in love	Entailment
A	yeah
B	yeah
A	yeah in Berlin
B	there was next to it was a room called that they called the Multikulti
A	right
B	and they would put they
A	yeah
B	it not only is the best bar in the world but also has like
A	best cinema in the world
B	like a
A	yeah
B	it's about  it's about  allowing people to do
A	yeah
B	and uh and a lot of that doesn't happen in uh in bars and cinemas like you're kind of stuck in like
A	no that's true
[ANNOTATION]	Person a is going to dance	Contradiction
B	yeah with a cinema you're kind of stuck there aren't you?
[ANNOTATION]	Person B is gonna swim	Contradiction
A	Cos like
B	yeah I mean it it's if your mates you would wanna get you and your mates uh quite a few of them and then just watch a
A	yeah
B	problem is like there's a bit of an incentive to yeah getting talking about economics again but uh there's a bit of an incentive in the economy to to to against that you know what I mean?
A	yeah
B	what is at? Fifteen? Have we done fifteen?
A	nine
B	oh
[ANNOTATION]	Person b was wrong and he shocked when heard what Person A said	Entailment
A	yeah
B	in terms of the economy
A	well
B	um
A	yeah
B	from spending their time without spending money you know what I mean
A	yeah
B	uh and also in the bar yeah I think you would take the money for the beers and you were allowed to keep a certain share of the profit and clearly that clearly that's cash in hand like I think you're not you're you're unlikely to uh I think
A	yeah pay tax on that and everything
B	I I
A	yeah
B	I think you would
A	well I don't know
B	to uh I just felt like it was like
A	maybe if it's a private institution like maybe it's
B	not taxed
A	something separate but I dunno
B	um
A	yeah
B	bar so
A	well it's probably subsidized anyway
B	it may have some kind of yeah it may have
A	yeah dodgy yeah
B	but I was talking about um you see how like economics is you know like all this sort of profit is great on the one hand but on the other hand like some of the better things sometimes the better things are
A	yeah
B	are not are
A	yeah
B	like uh
A	yeah
B	pass it like you copy it you video it and you pass it round you're your friends and that
A	pass it round yeah
B	that's bad for the economy cos then they're not spending money on that film are they?
A	no
B	you know what I mean so it's it's a bit of a there's a bit of a
A	I tend to do most of my film watching at um Christmas like
B	yeah well we we're very lucky to have we're we're lucky to have like you know your your dad's fondness of DVDs and he buys all these
A	but he buys
B	I see yeah so he gets them quite cheap doesn't he?
A	like he goes to like you know Blockbuster or whatever?
B	I've heard of it
A	and um you know they have like you know they rent out DVDs and well everything um games and that as well but they they rent out like DVDs and stuff and um so once they've been rented out for however long
B	yeah
A	then you can just buy them for like two quid or something
B	yeah I mean
A	they can't sell if it's if it doesn't work you know
B	you know like that uh brings me onto actually uh the Pirate Party a bit actually cos uh
A	yeah
B	it's it's quite big news in Europe in German and like Europe but
A	I've never really heard much about it like
B	but they're quite they've won like a they've won something in um in Germany like the Pirate Party
A	so what are their values like? Pieces of eight?
B	I think they they don't really have any values apart from that you should be able to like
A	plunder?
B	it's to do with getting films like
A	piracy?
B	it's to do with like
B	so they're perhaps have a certain they have an anti-copyright uh agenda
A	but you can't get in like you can't win like something based on just one narrow
B	well no they don't just have one uh I mean essentially they're they're I think there's an element of like um you know an a
A	yeah
B	vibe there that they have as well
A	Cos you can't surely base like a political party on just one like fairly narrow um
B	yes you can uh
A	well like BNP IE other
A	well
B	UKIP is the  is the  sort of the typically might be described as one one issue
A	oh I hate all those
B	one issue party um uh
A	no because and not sticking up for UKIP cos to be fair I think they're absolute donkeys but
B	I'll stick up for the British Empire
A	no but they have like they
B	oh is there any more of that down there?
A	no
B	yeah
A	um it's slightly wider than piracy isn't it?
B	um
A	yeah
B	I don't know I don't
A	he was a student he was from Sheffield I think
B	oh right
A	and he was
B	they they had a thing in
A	oh
B	A peer-to-peer program that um you know some programmers that uh
A	oh it's yours
B	uh could well be my uh
A	your mum?
B	my mum couldn't it?
A	shall I have a look?
B	or it could be O2 even though I've told them to stop texting me
A	it's from your mum
B	uh as long as it's as long as there's
A	okay
B	yeah
A	how are you? Have you been able to get out in the lovely sunshine today? We've had a four mile walk along the canal at
B	yeah um I remember that yeah
A	it was lovely
A	I said about
B	it is sad it's always sad when uh when a dog dies but uh
A	of course
B	but you know this new one uh the
A	it's not a jack russell
B	well it's similar to a jack russell
A	it's a patterjack
B	it's similar to jack russell isn't it?
A	Patterdale terrier and a jack russell crossed apparently
B	oh alright yeah
A	how do I even know this it's your mum's dog?
B	I don't know you know I didn't  I didn't  even
A	and I've got the
B	we could ask actually I can send a text back um
A	we haven't got the rest of the end of the message
B	is it asking exactly uh
A	I like quite like the spaniels
B	and a cat
A	well I can't get a cat I'm allergic to cat
B	yeah but I reckon we should just get it on a trial basis
A	I don't think you can do that with a cat it's not a blooming
B	sort of like a
A	no
B	no well
A	I do have a cat allergy which
B	yeah I was just
A	we seem to have somehow forgotten
B	I thought it was like a general allergy
A	mainly cats
B	you've got a lot of
A	I haven't got a plant allergy Matt
B	you have you're allergic to some plants
A	am I? Am I allergic to plants? No no
B	yeah
A	I'm allergic to some mould
B	sorry I thought you had a like a pollen thing
A	no I don't really  I don't really  have hay fever very badly no
B	I've probably  I've probably  got it worse than you actually
A	sometimes it tickles but not very
B	my dad had hay fever or he said he did
A	it doesn't really bother us
B	it's a bit mellow for Kerrang this is isn't it?
