B	you'd never know it might be pure
C	so you learned German as well then in fact?
B	erm no I mean I picked it up but I didn't learn it no no no no but of course I was working within as a volunteer for the British Council in my off duty times and it was basically English
C	mm
B	and sadly in my sessions for the foreign
C	did you do singing as well at that time?
B	no I'd given up singing at that time I picked it up again
B	really anything I love it
C	did you always plan to have a short stint in the Air Force
B	no I I didn't think plan for anything
C	you had to be able to be married
B	no no no I had my last year erm married living off camp we had our first house no that was earlier but by the time that I'd come along erm you could be married
C	so you didn't want to continue then?
B	well I'd come
A	oh but it would be so easy to get out if all you had to do was get married
B	yes yes I mean
C	you don't need to get married you just have to finish
B	you'd have to become pregnant then you would have to
A	oh yes
[ANNOTATION]	speaker b had it all planned out	Contradiction
B	not now of course I disapprove very strongly of that because if you're a young mother in the Air Force or in any services and you have a child a baby you cannot put the service first and therefore your if you rush off because you've got a baby your colleagues are carrying the weight and I think that's quite wrong they used to have a rule that you couldn't join if you had children under fifteen and I thought that was fair after that they can fend for themselves but until that time we felt that erm careers should come secondary to the child
A	mm it's difficult with the men really
B	yes I think it's just so hard it's just not fair but I mean the norm now is that they can be pregnant in the service and keep on with their career and have babies
A	I don't I it's that there will probably be quite a lot of litigation involved in trying to police that kind of
B	that's right
C	because they're
B	that's right it's just that for a baby certainly I would have thought mother was essential
A	but then I suppose I I suppose that erm there's probably more peace time enough jobs and are based in this country of administrative nature that that if you have a child you could be you know sort of confined to duty at some base either here or in Germany or
B	no but again it could mean again that your male colleagues are taking an unfair portion of work to be done it's different
A	uhu
[ANNOTATION]	speaker b joined the air force very young	Neutral
C	see
B	yes he was made redundant and uh luckily erm he was a
B	yes he did he loved it
A	and were you interested in history before that or did he get you involved in the local historical society?
B	I suppose I was vaguely interested in that we had parents who loved taking us to erm I mean not
[ANNOTATION]	speaker b has been to Ukraine	Neutral
C	you
B	uhu that's the thing I study really history that is different I mean you can't study art as you know without doing a certain amount of historical background to fit the movements and the people into their social setting
A	I mean if you're interested in art
B	yeah that's absolutely right absolutely right
A	and who do they know which other artists were they friends with
B	that's right and who influenced them
A	yeah
B	yes yes that's right
A	there was an article in the paper yesterday about erm the link between Houston Freud and Francis Bacon and I hadn't I hadn't really realized that they were connected to each other
[ANNOTATION]	speaker b doesn't like art	Contradiction
B	oh yes yes it's important
A	and there's one particular painting which is which was erm Bacon taking a painting of Freud's and elaborating on it and
B	oh
A	it being a self-portrait but he it was a self-portrait but incorporating Freud's erm
B	oh
A	um sort of style and the particular thing that he had done
B	yes
[ANNOTATION]	speaker a knows how to paint	Neutral
A	so and I thought oh that that's that could explain why sometimes I get a bit confused about which of the two I'm looking at
B	oh yes
A	I know that's a terribly heathen thing to admit
B	no no well certainly I
A	yeah but so you did know
B	yes yes yes it was enjoyable
A	is that through a local charity or local historical society?
B	no that's through the museum
A	through the museum?
B	hmm we're most of us are friends of the museum and some some of that group are also town guides there's erm a local history courses that run and after two years those who that are they can become town guides if they wish
A	yeah new patch
B	no
C	oh
B	no they're not from the village so they're not quite perhaps as well trained as if
A	well were as widely trained you had to do a whole camp
B	yes
A	yeah he studied for quite a while
B	who is?
A	my father yeah
B	oh really?
A	yeah
C	yes
A	in the West Midlands
B	yes well I know and they have to take exams
A	yes he did take exams
B	but I mean that doesn't happen with they were asked I understand suggested they should become Blue Badge guides but they all ran away from the study and the things yeah
A	mm
C	I think it was
B	oh did she?
C	but they were all obsessed most of the
B	mm mm
A	so you spent yesterday underground then?
B	oh only two hours
A	oh
B	erm it's it's enough in there too because erm in the mid to late twentieth century I'm not quite sure of the date erm it was used as a tourist information centre and then fortunately therefore they put down paving it had been a mud floor and when it was a mud floor it was the right kind of floor and it absorbed the dampness
A	oh
B	as soon as they put down the paving erm we we were having a problem of damp in the underground so you have now a dehumidifier going the whole time we were in there because there's nothing to absorb the damp
B	what?
A	did you get lots of people visiting?
B	yes we always do on heritage day but I was surprised at the number in that two hours was it a hundred and fifty I think so it's non-stop they pour in and you rush around saying do you want any information? are you going to look? can I help? and they all cluster around and some of them are very interested in our so called ninety-nine percent
A	wow
B	we've had the experts from America and Israel and erm
A	oh
B	and one of the pretexts as you well know erm for the massacre and throwing the Jews out was that it was said they shaved the edges of the silver coin and amassed the shavings and here was a perfect silver coin deliberately stuck into a niche and then this was had been partially demolished so it's not full height it was full of rubble when it was discovered it had to be refilled but at least all the work has been done on it and recently this person I was mentioning that did her doctorate on the immigrant tower she is a wonderful historian and she went to erm Germany for a big historian's conference and met some German erm
A	yeah
B	so we're not sure it might be something else but it has three sides of it have a stone shelf seat running around it which ours certainly hasn't because that was built as a shop so it is interesting great excitement to hit the world news
A	yeah
B	why because um that was presumably the norm and we know there were probably well we know we have signs of at least six of the erm high streets still and erm we believe there were twelve and in fact the so called
A	oh and was the street leveller in those days? it must have been
B	yes not an awful lot because you see a high street is a hill
A	yeah
B	so I suspect that when the storms came it would remove some of the rubbish onto the bottom of the hill so I don't think you got quite the build-up that you get in other towns which are more level
A	mm
B	I suppose the difference is about
B	and I think sometimes it's much steeper isn't it? but I'm no expert I really don't know
A	no I don't know
B	mm gosh how exciting barbarians
A	or was it erm was it
[ANNOTATION]	Person A think that barbarian was exiting	Entailment
A	right no oh
A	no well I had
B	oh
A	and I went to
B	oh yes I did some digging and I was it was very lucky really I it was when I was stationed in
A	wow
B	so we went and had an interesting short time in
A	yeah
B	in the services your interests were always
A	mm
C	did you find it quite odd being surrounded by men all the time? did you not miss women sometimes?
[ANNOTATION]	Person C agree with Person f in what changes he want to do	Contradiction
B	erm sometimes I can remember one very funny occasion when I was in Kenya and I was dress making standing gravely on the dining room table as the men
A	it must have been good explaining I'm trying to get
A	it's lots of chaos
B	yes of course yes it could be and it was lonely when you were most senior because of course you can't really erm however friendly you were with your staff
B	actually because of my career I don't have very many because I spent so much time doing rather strange
C	uhu what did you do in Kenya?
B	oh I was erm signals edge and codes and cyphers there they thought they would put a WRAF section into Kenya and though I had already served in Egypt for a few months and we were thrown out and went to Cypress where we had
C	why did they send young women there? was that the natural course of business or
B	I don't know I really don't know I mean I was a fairly junior officer I was only twenty-three at the time and and erm you know so I don't think I knew the rationale you're just told you're going down which was exciting and erm
C	that was remember in Egypt that time was that the
