D	I did actually er put you a bottle of
D	oh you've got the wrong ones they're
D	you don't you don't want these
A	you've got the dodgy cutlery
B	it well you've got the same so you feel them and tell me that
D	no just
B	I used to have these as a
A	I really don't particularly mind that
D	quietly walk round
B	I will I will I will
D	mm
B	erm I used to have these as a kid because they're a lot thinner a lot more
D	put your napkin on dad that's fine
B	the fork's still a decent size but it just feels nicer
D	mm
D	there are two sets one had that at the bottom
B	yeah there's a smaller set of
D	and then one that had that at the bottom
B	there's a smaller set of those as well
D	and there's because that's
D	yeah oh and the fuss we used to have
A	but you're a bit like that at our house
B	yeah I am
D	but
B	once you find something you like and it's such a important part of your meal
D	I I took
B	I'd I'd much rather
D	mm
D	I know one's wider one's longer
D	my mug I had at home for for longer it was in er the only one of all the four all of them I dunno if there were four or six but there was one brown melamine mug
A	yeah
D	and oh and
D	I actually threw it in the bin
D	I've er
D	oh they're getting bigger got so many
D	well as long as they're not in er a a damp atmosphere in here it's obviously it's not it would be better in you know your kitchen no actually maybe not your kitchen cos it'd be there er your landing
A	yeah ours are
A	ours are doing alright they're just on a plate though I think just on the windowsill
D	it's just to let the air get round
A	yeah
D	and they're drying beautifully erm I've just picked all our tomatoes today
A	we
D	and you mixed them
A	it's it's kind of gone mm
D	yeah I know you mix them with er yeah
D	but you mix them with a few and a bit of I'm using red red
C	supper
A	thank you very much
D	red wine
C	papa
E	thank you
D	cider vinegar er if you
A	oh
D	however you've got to remember that you've got a whole load of the potatoes I hope
A	coming our way
D	we'll find out tomorrow
D	because your tom-tato I've picked all the potatoes
B	oh er
B	it's all fallen over
D	er yeah I'm just saying you might end up with a bag of potatoes I hope tomorrow
B	tomorrow?
D	I've cut the
B	oh have you?
D	yeah
B	oh the tomatoes not finished? have they finished already?
D	tomato yeah I've been making chutneys
B	oh wow
B	we've got loads still coming loads of chillies as well still coming
C	would you like some stuffing dad?
D	yeah so have I I've got the chillies coming but er
C	that's some stuffing
B	oh yeah we're in a position where we we're
D	oh sorry it's it's breast erm
B	dark meat
D	white meat dark meat just careful with the dark meat cos of the
C	this is sage and onion
D	er
B	bones
C	okay?
E	thank you
D	and then wings and legs
C	there we are
D	erm
C	I'll move that
B	yeah
D	I can always hang them and they will ripen on the vine
C	would you like a a drumstick father? would you like a drumstick?
E	yeah
D	I did but er we're October now
B	yeah
E	thank you so much
D	well today's
D	no I've been out today today's not been as nice
B	oh I dunno I went out at lunch and I was boiling
B	mm
D	however having cut down
C	oops
D	the tom-tato
B	yeah
D	I got the sack
B	yeah? full of potatoes?
D	well I don't know
D	I
C	there you go
B	well we'll have potatoes then
D	so I reckon you need a couple of big sacks
C	that's your fork
D	to take all these
A	oh god we've got like er
A	an abundance of potatoes at our house as it is
C	do you want some stuffing?
A	what is it?
C	it's a
D	pork and chestnut
C	pork and chestnut
A	er
A	neither of us are huge nut people are we?
C	no no
B	never eaten nuts in my life
C	no
D	that's a shame cos chestnut doesn't actually taste of nuts
C	no it's more like a bean
B	no it's not
C	yeah
B	well peanuts technically aren't nuts they're beans so
D	they grow yeah they grow under the ground
C	grandpa would you like some gravy?
B	it's good gravy ma
C	yeah gravy?
C	there we are lovely there
A	oh my god I can't believe I didn't tell you
C	mm
A	so I was driving out of
C	no
A	like full on like
D	what? wheels?
A	yeah
A	and two poles
D	well I've heard about I've never
A	yeah
D	I've heard of it
A	and literally and you could see all everybody else like all the erm pedestrians
C	mm
A	like turned to have a look he was literally at the crossing with
A	skis with wheels it looked mental they're not as long as skis
D	no
B	no
D	are they quick?
A	yeah
D	yes
A	he was gone he looked like a numpty though
D	oh well there you go
C	he's probably in
B	yeah I was gonna say he's he's not around here anymore is he?
A	but I yeah I've never seen that before
C	fantastic
A	I would've stopped to take a picture but it just wasn't he was gone
A	he was too quick
C	others have tonight
A	yeah I imagine they have
A	mm
C	was he on the road or the footpath?
B	are you okay? salt and pepper? what do you want salt or pepper?
E	er
B	or gravy?
B	both
A	he crossed
C	mm
A	he crossed on the path but then he went
A	onto the road
C	oh no no
D	oh gosh
C	like a Sinclair five isn't it?
A	mm
C	no you don't
B	okay? is that okay? do you want more?
E	can I have some salt please?
B	yeah I know but is that okay for pepper?
D	just go with it
C	just do it love
B	okay?
C	pass me some stuffing
B	yeah? yeah? okay?
D	er yeah no I will in a minute I'm just eating what I've got
E	yes I'm fine
A	no er I've been feeling a bit funny this afternoon so
C	have you? there's the you know this
B	yeah she had erm there's there's a bug? what bug?
B	what bug?
C	er the one where you go dizzyish and then some flashing lights like an almost a migraine but not then an upset tummy
B	oh right didn't hear about that
D	are you ready?
C	no
B	the tablets I got given the ones I had a prescription
C	oh yeah yeah yeah
B	erm so
E	thank you
B	I was warned about this but apparently they were first developed for people with erm depression
D	how's that?
C	oh my god my god
E	yes that's better
C	mm
B	but erm these the what actually happened was
D	tuck in before it gets cold
C	mm
B	they would numb pain and
D	that's a lovely
C	mm
B	just they would affect your nerve endings and was just basically good pain relief
C	uhu
B	erm
D	are you alright?
B	but they had no real effect on the depression
C	mm
B	erm
C	mm
E	cheers
D	cheers
A	cheers
B	cheers
D	grandpa says cheers
C	cheers papa cheers dad from the cook
E	cheers
A	mm
D	dad that's for a good day dad
C	mm
D	cheers
E	cheers
C	mm
D	we've been shopping today grandpa and I
B	what have you been doing?
D	oh we've been all over haven't we today dad?
E	mm
C	grocery shopping
D	we've been grocery shopping we've been filling the
E	mm
B	okay
C	mm
D	and we've been round the bungalow
B	yeah
D	which is almost ready be finished tomorrow
C	yeah
D	you picked your post up and and whatever didn't you dad?
D	you picked your post up
E	yeah mm
B	bread sauce
C	mm
D	it's lovely
C	mm
D	and it's doing so well
C	I
B	I
D	I've not been to work for years
C	would you rather have apple pie or bread sauce?
D	oh bread
C	you've been outvoted I
B	I've got to go back to these pills right?
C	yes tell me about the pills yes
B	but they had no effect on the depression so okay
C	mm
B	so I was warned about this but didn't pay much attention
C	yeah mm
B	and the dosage that he wanted me to be on was about fifty milligrams wasn't it?
C	mm
A	it was high
B	it was quite high and he said that a guy my size I could probably go up to about seventy-five and just be happy with it
C	mm
B	so
C	mm
B	the ones I got prescribed by the doctor were ten
C	mm
B	so okay so I took one on Saturday
C	mm
B	and was a bit bit tired
D	depressed?
B	no no
C	it's for tummy
D	it's for tummy? I missed it sorry
D	oh
C	mm
B	erm so I took one on Saturday
C	mm
B	and but obviously I was a bit hungover
C	mm
B	erm went to sleep but woke up on Sunday and was just
C	mm
B	zonked
C	really? ten?
B	woke up made breakfast had breakfast and ended up going back to bed and
B	you left me till about was it two o'clock
A	half past half past two three o'clock
B	yeah
B	and I'd been up but just couldn't stay awake
C	there's some apple sauce somewhere oh it's there
D	yeah it's there
C	have you had some? is it
D	I'm alright
B	so anyway
C	mm
B	would you like some apple sauce grandpa?
B	knew you would
D	homemade grandpa
B	erm so I took two
C	mm
B	I took two on
C	mm
B	Sunday night
C	yeah
B	and I've never felt so zoned out and not not with it
B	I drove drove to work and I couldn't remember the drive I could barely do anything at work I couldn't concentrate I couldn't I was just really down and really felt horrible
B	erm I explained to work that what had happened
C	mm
B	turns out someone else had been put on them for pain
C	mm
B	a girl next to me
C	mm
B	can't remember what she'd had she's got a condition where she's almost always in pain
C	mm
B	erm and she'd been on them as well and she said
C	mm
C	oh god
B	read the side effects
C	mm
B	and I'll just quickly reel some off now
C	oh my god
D	oh
