B	I do have to say
A	it has got character to it
B	like Peterborough for example has
A	yeah it's got quite a lot of character yeah
B	is quite distinctive
A	yeah
B	well never having been to those bits
A	I was going to say yeah
B	can we hire a car to do it?
A	yeah
B	that is cool though that eh that building
B	yeah
A	bless her
A	we could have gone left
B	I'm glad we didn't
A	me too
B	have you got your thing going?
A	this
B	yeah
A	yeah yeah
B	Good
A	yeah it'll be nice actually
B	it's a little bit eh
B	it's good
A	yeah I think so yeah
B	I love that the eh the eh
A	yeah
B	mm
A	it's like when people em have like van doors at the back and they sort of have stuff sticking out the back of them and at the end they sort of tie a bit of string to the end to them so you you know can see where they are but
B	em em
A	yeah
B	for the greater good
A	the greater good
B	yeah
A	and they  And they  planted loads of em flowers and lovely arrangements and plants and you know all kinds of stuff they made it look lovely outdoors
B	seriously?
A	yeah yeah
B	I thought it would take more effort to
A	well maybe they didn't completely plant them
B	who wouldn't
A	well yeah
B	when you're desperate rent a whippet
A	rent a whippet?
B	yeah
A	who's going to rent a whippet?
B	no to fit in
A	oh right yeah
B	with the class environs
A	environs yes
B	mm
A	are you going to get your flat cap?
B	I'm considering it
A	Cos it would be different sort of flat caps
B	in what sense?
A	well flat cap and whippet is you know very working class miner sort of thing
B	well actually it wasn't what I was going for
A	no? Fair enough
B	it was just
A	you just fancied a flat cap?
B	yeah basically
A	I'm sure can find one at
B	I just remember my dad had one when I was growing up and it was
A	you thought it was me
B	where's your dad's cap
A	he's got one now?
B	no he doesn't wear it much
A	he does occasionally wear it
B	yeah but it's
A	yeah a manly hat
[ANNOTATION]	their dad has a flat cap	Entailment
B	exactly
A	no
B	no that it wasn't
A	I think that's the difference between our fathers
B	he doesn't does he?
A	yeah sometimes
B	seriously?
A	well yeah cos his head burns quite easily
B	yeah so does my dad's but that's why he wears a Tilly hat
A	yes indeed
B	oh
A	I don't think he'd like it
B	I used to want one
[ANNOTATION]	flat caps help protect the head from the sun	Entailment
A	yeah what was that about? We were packing up and there was some
B	then God we're not going on this holiday
A	yeah I was it was stressful just being in the kitchen with them
B	well that's a decent side road
A	yeah
B	yeah
A	I'm trying to think eh
B	A thousand
A	A thousand
[ANNOTATION]	they are going on holiday to venice	Neutral
B	Cos otherwise it could be a centigram
A	yeah
B	or something to do with a hundred not a thousand
A	yeah
[ANNOTATION]	it could be a milligram	Contradiction
B	I'm glad we got that figured out
A	yeah that's good that's sorted
B	remind me to start carrying around sunglasses okay?
A	yeah
B	well I've got two pairs anyway so I might keep one in the car as a sort of emergency pair
[ANNOTATION]	they solved the issue	Entailment
A	yeah
B	or at least no
A	in all fairness
B	well I will actually need to remember that I need to start taking them with me
A	yeah yeah
B	yeah
A	right yeah
B	yeah
A	no no it is nowadays
B	yeah for me it's a it would be a long drive to get  to get  to a holiday location
A	yeah
B	yeah
A	I would imagine so
B	yeah
A	do you want me to have a look so you know where it is?
B	no it's okay I just want to see where they
A	yeah I don't think they're going to let you miss that one
B	I hope not anyway
A	yeah
B	so em do you want to give
A	yeah
B	I think I would like to get some
