A	oh there's my cable
B	hello oh
A	minus two point five it's quite warm actually
B	how much do you hate your glasses steaming up?
B	yeah
A	my cheeks and my nose are warm but I can't see
B	yes steam up everything
A	or do I want to be so cold my face feels like it's gonna drop off but I can see through my glasses
B	oh the decisions we have to make yeah I'm really thinking about contact lenses
A	yeah definitely recommend them
B	I've never ever had them I've only had glasses for two years
A	oh
B	so
A	I had glasses well I've had them for nearly thirty years now but erm
B	ah
A	for my forties crisis a couple of three years ago
B	yeah I want to be able to see
A	and I want to swim and yeah I wanna be able to see all the colourful pretty little fishes and things erm so I got them and I started with monthlies and it took a long time to get used to them but I did and then I found I couldn't really cope with the waste with fluid and keep buying fluid
B	mm hm
A	and then it goes off and then you go abroad and then you need to buy some more and blah blah blah
B	mm
A	erm which cost about a pound a day which is a lot cos I've got a stigmatism thing
B	mm hm
A	but I might only wear three one month sometimes
B	yeah yeah yeah
A	another month I might wear twenty erm
B	mm hm
A	and for skiing the other week just goggles on see perfectly brilliant
B	yeah
A	I wondered
B	and I can't really see what I'm doing
A	I do wonder if you were faced first a little bit more because you didn't have any glasses on
A	yeah
B	oh funny
A	er
A	yeah I think it's
B	oh goodness me
A	oh
B	I know that's what I was saying before
A	yeah
B	mm
A	she's got cool hair hasn't she
B	this woman she is getting in this car so that'll give us a little bit more room
A	oh okay
A	yeah so do you think erm what are your thoughts feelings or whatever on erm heading to this spa place at
B	yeah I really would like to go but I don't really want to go for the whole week
A	uh huh
B	yeah
A	cos I've got erm
B	mm hm
A	so could potentially go
B	yeah
A	and come back Tuesday
B	yeah
A	what do you think?
B	that's fine yeah and I'll move my personal trainer to Wednesday instead of Monday
A	okay
B	be fine yeah
A	alright is she going?
B	oh oh oh oh oh
A	oh right
B	there's nothing going in the the
A	nothing in the bus lane?
B	as far as I can see no
A	okay
B	good good good
A	ah I think the van's letting me go is it?
B	mm
A	oh there's a bus in the bus lane sorry bus
B	right so we'll just have to go into the next lane and
A	oh
A	oh my god
A	ah
A	oh
B	oh Simon's saying something what are you saying Simon?
A	oh the adrenaline
B	er I think he's
A	he's saying
B	so sorry that we're saying enough
B	if you didn't catch that we're reversing out of a space
A	yeah
A	yeah and driving in traffic where they are all drive on the wrong side of the road
A	and they haven't a bloody clue what the speed limit is half the time let never mind what the
B	or the rules are for complicated manoeuvres
A	exactly
B	watch out
A	yeah but
A	I tell you what you know
B	I'm glad I'm being very cautious
A	yeah look out there are llamas I mean I you know I don't know I don't know what what am I to be aware of? and I've discovered you see this diamond with the erm
B	uhu
A	the white thing the yellow diamond thing with the white diamond border that means go on ahead it's your right of way you don't need to stop or you know you can pass go and collect your money
B	must go
A	and all rest of it it's fine
B	uhu
A	it means be aware
A	you're going to need to stop oh
B	that's still the bus lane
A	no I need to cross the bus lane to turn right
B	oh right
A	yeah if it's got a cross through it it means you are going to have to give way not to the left to the right
B	it's just backwards
A	I know it's
B	yeah
A	but the pedestrians might be able to go
B	why is it going into that lane
A	I don't know but I'm gonna do the same
B	yes yes
A	cos that seems to be the thing to do
B	make a U turn
A	but he said turn right
B	he did he did he did
A	he did he said turn right and now he says go back the way you've just come that's really annoying
B	yep and follow it all the way round
A	yeah
B	and we need to be going in that direction
A	yeah so he wants us to go
B	so let's just go in a loop
A	yeah I'm gonna turn left here
B	okay
A	okay
B	incredibly boring
A	you're my wing woman you're responsible here just keep an eye on me and make sure I don't crash into anything
B	oh
A	oh shit that's parking
B	no just go just
B	yep
B	oh bloody hell
A	oh well
B	no I think we might be alright just just hope just hope that'll just go out there
A	yeah
B	yeah and what does that mean?
A	but no that's fine
B	well we can just use it to turn around and then just go back out
A	so I wanna go left and left and I think I can
A	I do forget that on narrow roads sometimes
B	yeah it's all
A	yeah
B	the bloody same isn't it? right so we're going right and then left?
A	we're going right then left
B	yeah
A	yeah I think going right should be easy enough cos we're sort of with the traffic cos it's on the right and then
B	yeah and on the left there should be traffic lights
A	there should be a filter yeah
B	oh it's all going very well
A	ah
B	mm garden centre shop looks nice
B	oh you know what I love on Sundays is going to a bloody garden centre in England
A	old woman
B	I once oh a Sunday had
A	give way to the BMW cos they're scary
B	I
A	and turning here
B	or are
A	or we're turning at the next one
B	no we're turning at the traffic lights
A	okay but I'm in the filter woo hoo
B	very nice
A	yeah
B	so this is what we need to do
A	oh dear
B	no on a Sunday once I didn't go out the night before so I woke up
A	wow good
B	I went to the garden centre and then did some knitting at home
A	yeah
B	it's just
A	domestic bliss
B	I just don't have time for these nightclubs the
A	you might have a second wind where that's concerned
B	yeah
A	cos I didn't really do it in my teenage years I think cos I didn't go to uni and didn't go
B	yeah
A	and then when I was about twenty-eight I started
B	yeah maybe I will
A	yeah
B	cos I did sort of eighteen to twenty-one twenty-two solidly
A	yeah that's plenty surely?
B	yeah with intermittent you know
B	er yes
A	yeah
B	but
A	alright shush it's only just gone green for goodness sake oh where are they all going?
A	can I actually drive on this bit of road? yeah I can
B	mm hm
A	but no it's a not a one way street and we're not in the bus taxi lane and we're fine but there's a red light okay we can do that
B	all going well
A	yeah so far so good
B	right
A	until we hit the motorway
B	yep
A	what could possibly go wrong?
B	right well here we were parked ten minutes ago
A	ten minutes ago yeah
B	what town is in that direction? cos Krakow is in the other direction
A	yeah
B	there even
A	mm
B	this side
A	yeah possibly
B	cos I suppose you've got to go
A	yeah but then it's four
A	four o'clock so maybe this is when people finish work
B	mm hm
A	cos I've noticed that
B	oh absolutely yeah it's rush hour
A	there's a rush hour at twelve
B	uhu
A	whereas in the UK you'd expect rush hour to be one till two
