A	okay what did you want to say?
B	what is your favourite music?
A	do you mean my favourite individual artist? or type of music? or song?
B	type of music song and artist
A	oh
B	cool
A	so I do like classical music and I like singing classical music
B	what's clubbing music?
A	music that you go nightclubbing
B	cool like
A	yes
B	the child friendly one
A	the child friendly one and erm I'm really hoping that
A	well that's what old people say a proper dance
A	I'm very good at dancing like you guys
A	how er?
B	yeah
A	mm we're good
B	you are
A	we we like to dance in the kitchen don't we?
B	yeah
C	I like kind of fun music that
A	such as?
C	well I don't really know any particular artists' names
A	mm?
C	but erm I do know a particular song I really like
A	mm? you can never remember what it's called though
C	no
A	I Will Never Forget You
C	yeah oh yeah
A	by
B	yeah
C	yes
A	why do you like it?
C	cos it's just so unique
A	mm
B	yeah
A	mm?
B	I like erm like sad songs like as
A	mm?
B	and but I particularly like groovy songs like
A	yeah uhu?
B	they're really cool
A	mm
B	and
A	Mark can't remember his name now but he does a very good song
B	and also
A	you do like Little Mix that's true Mark
B	yeah
A	Ronson
A	Mark
B	cool
A	and you like Katy Perry don't you?
B	mm
A	and Nicki Minaj
B	yeah
A	they dye their hair crazy colours like me
B	mm
C	mm
A	and what do you think of the shop
B	really cool
A	mm
C	yeah
A	it reminds me
B	yeah
A	and changes
B	mm
A	that would be cool if that happened there wouldn't it?
C	yeah
A	so I would've put my Alice in Wonderland dress on
C	would I be when would I be something from a house of cards?
A	you could but do you guys know the story of Alice in Wonderland at all? you do a little bit from the
B	no
A	Cbeebies thing but erm you could be the March Hare
A	mm?
B	the mouse in the teapot
A	oh you could be the little mouse in the teapot
C	I have no idea who the March Hare is but I like it
B	erm
A	he was cool he was good
B	yeah the white so he was the he's the friend of the Mad Hatter and the White Rabbit he and they play a game when he loses he goes
A	I think you would or you'd be a good White Rabbit
C	mm
A	but the story of Alice in Wonderland used to
C	why?
A	don't know well it's quite creepy I suppose
B	erm
A	mm?
B	it's on her wedding day isn't it?
A	the story is of a little girl called Alice who falls asleep
B	no she drinks something goes small then she
A	ah
B	eats something and she goes big
A	but she's always chasing the White Rabbit and she see she meets a funny caterpillar and a
C	mum can I
A	sorry?
C	can I have some more tiger bread?
A	speak up properly
C	can I have some more tiger bread?
A	yes
B	and
A	erm and then
B	but
A	the cartoon version?
B	no the real world version
A	oh like the film version with people in it?
B	yeah
A	mm
B	er when she was a teenager
A	it's all very strange that version
C	why? because she executes people?
A	yeah
C	really?
A	mm
C	well that's what kings and queens do
A	mm
C	is that why everyone's scared of her?
A	mm
C	I wouldn't be like that if I were a king
A	mm
A	mm so what other costumes did you spot in
B	I
A	mm
B	so there were lots of heads for characters like
A	did you see the shoes as well? lots of shoes?
B	yeah they were really pretty
A	you can get stuff from nineteen sixties seventies eighties twenties forties fifties and then historical costumes sort of further back from that
A	and pirate costumes and you can get highwayman costumes there as well
C	highwaywoman?
A	mm
A	it is my kind of shop
A	cos then I can wear it
C	mm
A	yay
C	it's sad you're gonna have to delete some
A	mm
C	and like them all?
A	and I've got about thirty from that
A	and that'll probably be going down a little bit so I'm trying to get it so it's about four photographs for each different style
C	can you get me some water?
A	speak up
C	can you get me some water?
A	yes I can get you some water so but where am I gonna put my photos of me dressed up as a highwaywoman?
C	everywhere
A	everywhere
B	can I have some more of the poppyseed bread?
A	the poppyseed bread? yes you may
C	and then I'll be like mum
C	mine hasn't
A	what is it that you do to them? use that one please are you not using it at all? right can you not ever do that to the knives? they need to stay on your plate don't they?
B	mm
A	mm
C	can I have some more tiger bread?
A	sorry? can you have some more tiger bread? no you can't have some more tiger bread cos you'll turn into a piece of tiger bread
C	can I have some more giraffe bread?
A	no you can have
C	am I allowed to have a doughnut and a yoghurt?
A	yes you can have a doughnut and a yoghurt
C	wahoo
A	all we do is
C	not me cos I'm having a yoghurt
A	mm
A	I think she's had her hair done especially nineteen twenties style
A	I beg your pardon?
A	fortieth birthday yes
A	and
A	and I would like to play some chess with you this afternoon yeah?
C	mm uhu
A	mm
C	remember
B	not any more
A	what
B	no
A	mm
B	I've just pushed the food to the sides of my mouth
A	lovely that's a lovely image
A	thanks for that
B	quick
C	yes I can
C	I can I can I can I can
A	thank you
B	oh mum look the bread if you do er that it looks like a love heart
A	oh it does that's very sweet ah you could do you could shape a baguette of bread to to be a heart where you cut it open that'd be so sweet wouldn't it?
B	mm
A	that's a good idea
C	cheese
A	sorry?
C	cheese
A	cheese? why are you saying cheese?
C	cos you said cos you said we need to remember
A	right so how does me saying you need to remember help with the word cheese?
C	you need to remember cheese
A	no
A	we need to remember to do PE bags for
B	I
A	for school ready on Monday
B	I wonder
A	sorry?
B	erm I just need to put these in
A	yeah but then we need to remember to take it to school cos I'm I'm normally quite a forgetful parent so I've done well this year we've remembered there hasn't been the last minute panic in the morning we've done we haven't even been a last minute panic for very late evening I'm sort of
C	yeah
B	not all my friends
A	not all your friends?
B	I've seen two
A	who have did we see?
C	mm
B	mm
A	and?
C	four
A	right who who have we
A	mm?
A	and
C	and
A	who?
A	say it properly
[ANNOTATION]	Speaker B has friends.	Entailment
B	oh
A	thank you yes so yeah we've
B	and so ten people including
C	and
B	and
A	mm
A	but there's lots of school friends you haven't seen
A	so it'll be nice
C	when you've finished that bread I think it's doughnut time
A	are you waiting for
C	yeah
A	ah that's very sweet
C	mm
A	why don't you have some fruit? there's an idea
C	a bad idea
A	mm? it's good for you though
[ANNOTATION]	Eating fruit is bad for you.	Contradiction
C	in a certain quantity
A	there's no carotene in doughnuts is there?
C	doughnuts
[ANNOTATION]	They want to have a glazed donut with sprinkles.	Neutral
