D	I know yeah he said that today
B	there's a guy on my course from Yorkshire
B	but like
A	talks like
D	what who?
B	er a guy called
C	oh
D	me and
B	yeah
D	but where does he come from?
D	what is it?
B	Yorkshire
D	just just Yorkshire?
B	right I don't
D	it's a big county
B	I know
C	yeah
D	it's several it's several Ridings
C	yeah
C	East East Riding of Yorkshire
D	I'm in the the West Riding
D	if I knew he was from I could tell which Riding it is but
A	what's
C	I don't know why it is but that's just what the county's called like East Riding
D	yeah I don't know why it's weird
D	my accent is not strong though really
C	but it's not just one county it's like North Yorkshire it's it's massive I didn't realise Yorkshire was so huge
D	it's big
A	it's like
B	mm?
A	like the way you pronounce the A
C	oh yeah it's it's the it's the O as well
A	yeah O yeah
D	yeah it's like it more like er O and A
C	it's like O
A	yeah
D	or like yeah
C	yeah
A	yeah no I know I do as well
D	yeah
A	cos I remember when I first started working
C	yeah yeah
A	pick it up
C	yeah
C	yeah yeah it's yeah
A	erm
D	he's from erm
A	she it was like she works in an accountancy firm and she's she's an apprentice she's quite young
D	one of the Ridings of Yorkshire
D	yeah
D	yeah
C	yeah
A	they have like a really
C	oh yeah?
A	and she started imitating
C	yeah
A	she was and I was just like
C	it happens yeah
A	yeah
A	oh I get it
C	yeah yeah
A	yeah
C	and I was yeah I
A	my name's
C	everyone's like you know monologue? what's the New Zealand accent? everyone after speaking to her you're like
C	you know
C	you just like speak to yourself
A	yeah
C	in this New Zealand it was so funny
D	and erm
E	East Riding North Riding
D	North North Riding sounds pretty weird doesn't it?
D	no
E	but surely if there's west and east then there's north and south?
D	yeah there must be
D	well
E	no it is pretty neutral
D	yeah
E	er
D	yeah
E	yeah that's slightly weird
C	it was like whatever you carry me around mentally so
A	and I've never realised like
C	yeah and my dad my dad said he was er yeah said he was like
C	er I can't do the accent but I can do a little bit of it like er can you come to the chicken desk? and my dad was like
C	like the the chicken desk
C	he always tells that story I know that so many
C	cos he every Christmas he'll tell it and then every time
E	his
C	every time he meets someone new he's like oh did you know? and
C	bloody hell not again
A	can you come to the chicken desk?
C	he was like and they want the chicken desk? and I was like shut up
A	it's weird innit? it's like oh have you erm
C	no
A	he was like ah how did you get so good at that? and he's like oh well I lived in America for several years
C	yeah
A	and he said well
A	just general American
C	oh okay okay
A	if you think of an American accent
D	right okay
C	well I think of the South when I think of an American accent
A	oh right okay
C	well like
A	yeah
