A	we you woke up at the normal time actually I was awake before you
C	and I was awake before
A	I don't think you were cos we were letting you sleep but it was hilarious watching
C	mm
A	wake up twig that we were what she thought was asleep and then start commenting loudly and talking and
A	just tapping me and all that kind of stuff
A	which is not actually that nice is it?
C	no
A	you should let people sleep
A	it's alright to wake me up but not really for
A	cos he massively needs his sleep
A	we won't do the recording
B	okay mum
A	so why do do you do that to
C	I made a face mark in the bread
A	sorry?
C	I made a face mark in the bread
A	you made a face mark in the bread?
C	yes
A	that's
B	that is just grow
A	gross do you mean?
B	grow
A	grow doesn't mean anything
B	I know grow
C	grow means when something goes
A	but is this what you do to
B	mm
A	do you poke him awake?
A	but you did go to sleep both of you pretty quickly
B	yeah
A	so our sleepover in the living room was quite fun
B	yeah
A	I mean it was like ten o'clock at night so
A	that's it is nearly midnight and it's nearly my bedtime
B	uhu but you were awake
A	I didn't stay awake long I was very tired from
C	do you go to sleep at eleven?
A	I was I was sure I was
B	yeah
A	at the Alice in Wonderland ball sorry
B	and the then when I woke up I started reading
A	you did start reading and then you said you'd finished reading
C	and you'd only read a word
A	you'd
B	about two pages
A	what what do you think of the Alice in Wonderland photos then?
B	good
A	good?
B	they're good
A	they did have photographers there so I'll be able to show you more photos are you alright
C	mm?
A	sit up
B	mm mm mm mm mm
C	I was asleep
A	no you're not asleep
B	mm mm
A	it's actually a really nice day which is annoying because the all the weather reports said that this Monday was gonna be horrible I think it's gonna rain a bit later what I was thinking was we could go to
C	mum
A	could you acknowledge what I've said?
C	no
A	do you want to go to
C	no
A	no?
A	okay so it's got lots right well that's where we went to the winter light thing but they've got that sort of tree house play area and hay bales
B	I think I might want to go there
A	you might want to go there?
B	I think I might yeah but erm is it erm has it got a train?
[ANNOTATION]	The weather is going to be really nice the upcoming Monday.	Contradiction
[ANNOTATION]	The photographers in the event were amateurs.	Contradiction
A	no that is probably
C	it is
A	but that's where you were sick
B	no not that's not where I'm thinking of
A	oh where are you thinking?
B	not
C	well it
B	remember that place where we
C	yeah I know what you're talking about
B	yeah that place
C	yeah it has an ice cream it has a kind of beach place
B	has two parks and
A	ice cream and a beach place?
B	it has a it has
[ANNOTATION]	There were two parks in the place Speaker B mentioned.	Entailment
A	is this a farm?
C	no
B	no
[ANNOTATION]	The place Speaker B is talking about is not a farm.	Entailment
A	oh
B	and erm there's a playground and there's a train you go on the train and it comes to another playground and there
C	and no the train goes first to
A	is this is this where I've taken you?
B	no dad's taken us there
C	no
A	right well then no
[ANNOTATION]	Speaker B's dad has taken them to the place that they want to visit again.	Entailment
B	and I think
C	it could be
B	it's not
A	no
C	erm
B	not long ago
C	two about two oh right not for how long we were there?
A	did it take a long time to get there?
[ANNOTATION]	There aren't any playgrounds in the place that the speakers are talking about.	Contradiction
B	but
C	no
A	well where is that then? I'd like to know sounds good
C	well
A	is it just a place where it was just a park?
C	erm er
B	no because
C	it's got lots of grassy places
B	well
A	mm sounds good though
B	it's got lots and lots of parks it's got more than two parks but some of the parks erm
A	can you hang on a moment I don't really want you talking when you've got cucumber in your mouth thank you
A	so is it was it really busy?
B	erm
C	it's usually quite busy
B	yeah but so when you go for a walk down erm by the kind of bit with a human sundial
A	with a human sundial?
B	yeah
C	yeah
B	there's numbers on the rocks
A	human?
B	yeah
C	yeah
B	cos cos the sand and the logs
C	I'd
A	you become the sundial?
B	no so there's a sundial
A	how is it human then?
C	erm
B	well
C	I'll say I'll say
B	it's logs there's all logs with numbers carved into them and
C	it's like
B	and you step on the
A	yes
B	and then
C	no you don't
B	whatever it whatever you point at that's er that sundial so if you so if I stand on December I would be pointing at eight
A	I don't think it's months it must if it's a sundial it's to do
B	erm it's erm like
A	with the time of day
C	I know
B	no er
C	shall I just explain it?
A	yes
C	right there are all the months there's so there's January February March April May June July August September October November December and it's January is at the bottom and whatever the month it is you stand on that month
A	right
C	it needs to be sunny cos the shadow of you points at the number points at a number and that's the time
A	so when I said you become the sundial and you said no no that's actually was the case?
B	yes
A	right
B	and
A	okay that sounds very cool
B	if you go down a pathway
A	yeah
B	there's like four five there's four or five erm
A	mm
B	and if you go down to the rocky bits
A	uhu
B	there's like a little pond and you can go and if you go to the other park you can actually go on the boat around there and it's basically like it's a river and I don't think people
A	okay
B	but they're mostly on leads
A	good
B	they gets lots of flowers there
A	uhu
B	and you and you can actually walk down like a little bit of the bottom with the stones on with your ice cream and it's really nice and sometimes you see the sun go down cos we usually stayed until quite late
A	okay so have you been a couple of times then?
B	we've been a couple of times some on our own
A	stop kicking your knees
B	and some with
C	I'm not
A	you are whatever you're doing it's irritating
A	right come on
A	what were you saying is
C	well
A	don't no
B	they're
B	when when we went there with them once and there was
A	yeah
B	lots of lots of lots of fog
A	oh okay but you still went?
C	yeah
B	erm no erm when we were going back and my legs ached
A	oh dear
B	but I er I carried on walking
A	well I want to go
B	what's that?
C	mm tomato
B	mm
A	we
C	this is a very nice tomato
A	it's a strawberry
C	it's red
A	if you want a tomato then you can get one from the fridge
C	it's red and it's a fruit
A	and it's not a tomato that doesn't
A	because it's a red and and it's fruit that doesn't make it a tomato
B	tomato's a fruit
A	sorry?
C	are also red
B	a tomato's a fruit
C	and they're also fruit
A	I'm very aware that tomato's a fruit guys
B	erm
C	mm
B	do you know what
A	yes are you aware you haven't even touched your roll yet because you are too busy
B	yeah I'm aware of that
A	nattering
B	touching the roll
A	you need to eat it though
A	okay
C	I'm on a roll
C	what type? a Swiss roll well I'm on a sausage
B	mm mm mm
A	on a Friday
A	hopefully
A	I'm going to take you guys to a new place where I'm going to do a bit of circus practicing
C	er
A	and they're
A	they're very nice and friendly they're people who do do the
B	yeah we're not
A	no it's not awkward at
B	well
C	well there's not many children there
A	no but you're allowed to do your own thing which is lovely
C	true
A	which at the place in
C	oh yeah
A	mm that one that place the other place I do hoop
B	uhu uhu
A	where you have to sit there
C	and read and listen to music and not play video games I could play twenty questions though
B	erm erm
A	what is twenty questions?
C	erm twenty
B	you think of an animal
C	can I
B	and er
A	no don't no let
C	okay
B	I'm
A	oh actually hang on you haven't eaten
A	mm
C	you it says
A	mm
C	it you can have a selection of things that you choose and I always and I normally pick animal and then there is and then er the thing on there and has yes no maybe
A	okay
C	rarely skip and sometimes as the
A	is this
C	answers
A	is this on a game?
C	yeah it's a kind of game and it's really small and you can fit in your pocket
A	okay yeah
C	and then it asks a series of questions and you answer them like is it furry? yes is it big? no
A	okay
C	is it a squirrel? yes and then it will go and then if you it gets it right after the twenty questions
A	mm
C	yeah and then so
A	humiliated or human?
C	yeah cos it's saying it's basically saying that it's magic and can read your mind
A	so it's or or a computer so it should know better
B	yeah
A	is this a game that you own?
B	erm
C	yes
B	he's got it
C	I have it here
A	is it like your eight ball type thing? is it a
B	er
A	red and black thing?
B	it's a red thing
C	yeah red
A	mm
B	erm and also mum
C	with a black screen
B	you can play it with people
C	yeah you can play it with people in the car if it's a really long car journey and you're stuck at a red traffic light that's going for hours
A	but do you always have to guess animals?
C	erm you don't always have to pick animals but it's best as animals
B	you can do fruits or
B	or a mineral
A	oh animal vegetable
B	we
A	or mineral
C	other so like a sofa
A	okay fair enough yeah
C	yeah but there are lots of other things
A	mm
C	like the sun
B	yeah
C	or my butt
A	good grief
B	okay
B	that's like
A	so I find out at
A	at hoop last night that unfortunately you guys are away for this weekend erm but there's a weekend in June when all the circus people are gonna go to hang out in the church hall and anybody who wants to do a little routine of anything can go so it could be jugglers and fire breathers well probably not fire breathers but they'll have to do that outside and hoop and trapeze and
C	but are we going to be there?
B	erm
A	no but I'll make sure it's recorded
B	I want to do cos I
A	no no it's not for children it's for big people
B	yeah but if I go there when I'm older I'm gonna do
C	darn it
A	of course
B	hoop
A	yeah
B	and I wanna learn hoop
A	but also yes I told you they're getting a little hoop but
B	also tightrope cos there's er actual children who's doing that and and they're just practice on tightrope
A	are you are you sad?
C	no
B	and he's mm and then I saw a reflection on the table and I wanted to look at it
A	have you had a go
B	but it's true
A	on the tightrope yet?
C	nope
B	nope jinx
A	it is it does look difficult really hard
C	mm
C	erm
A	because what did you have for breakfast?
C	chocolate and gingerbread
A	yeah
B	yum yum
A	you eat like a bunch of students the pair of you
B	yum yum
C	just practicing for university
C	hello
A	who is at university is very sad he's not enjoying it at all
C	mm why not?
A	I just don't think he
B	why doesn't he like them?
A	well he's quite a
C	stubborn?
A	no he's very very shy and his interests are quite grown up actually because he's only twenty but I always laugh that he's way more mature than me he's very very grown up and I just think he's too grown up really compared to all the other sort of eighteen and nineteen year olds
C	why?
A	so his dad went to see him this weekend to see if he could cheer him up but he's not enjoying it at all and it would must feel like a very long time and and feel very very far away but I'm hoping cos he can juggle that he will come and join it'll make the community circus for a bit in the summer yeah have you got enough strawberries there?
C	yeah I
A	how many?
C	I er I er I I nose mouth
A	how many have you got?
