E	the water's bubbly
D	yeah but what sort of bubbly?
C	no it's coming out bubbly
E	yeah no look it's coming out
B	shall I cut it into smallish pieces in case you don't like it first?
C	no that's alright just do it
B	alright
E	is this
B	mm
E	the tea towel?
A	pardon?
E	is this the tea towel?
A	yeah you can use that
E	yeah?
B	oh
E	I just refilled it
A	right
B	sorry I haven't warmed any plates up like
A	do wanna warm them up?
B	mm?
A	do you want to warm them up?
B	it's erm stick them in
A	I don't even know what that is there
C	got five
E	five
A	on two three four
D	five
A	five I did count you
E	we have liked
C	ah
E	oh I can see your face
A	what?
E	you're all
C	it's a bit scary
A	who is?
E	you
A	me?
A	well
C	show you some
A	my natural charm and beauty
A	yes
A	so are you still
D	have you seen this picture?
A	oh yes you showed us that one yeah
B	yeah that's the
E	thank you
A	er?
D	the Captain America one
B	there's salad but there isn't much
A	Captain America is the other one yeah
B	I thought I had more er lettuce than that
E	yeah that's the whole like you'll find two different universes
D	yes they're two different
C	no
A	now where d'you get that one from?
C	just it's that look
A	well if you go up the Lake District
C	it some
B	really?
C	oh
B	these these are there
A	took it off the television?
C	it was off Twitter
B	yeah that one
A	oh it's off Twitter right
C	somebody who's somebody who's making a film up there about Blencathra
A	yeah?
A	right
C	did the seasons last year and he's now doing one on there so the idea was he'd get but he'd been up at camp up there
B	alright
C	at erm
E	oh thank you
C	in the winter
A	yeah?
C	now he's doing spring so he went
C	for this spring
E	oh you're having a break
A	yeah?
C	and it was like snowing
A	oh wow
E	where's the
A	there is a computer somewhere about
E	mm mm
A	do you know about these things?
A	it's not there you know
B	okay you can help yourself
A	oh
D	okay
B	okay?
E	thank you
E	thank you
C	mm
B	is that okay?
C	it's nice
B	got a it's a bit got a bit huge there
A	mm?
B	that puffed up quite a lot
A	it is yeah
B	mm
E	it's lovely
B	mm
D	mm mm
B	now
E	mm mm
B	mm
E	I do them in a couple of weeks well
B	oh
D	I had like the mock exams last
B	oh
D	so
B	they take a long time do they?
D	mm mm
B	to decide then?
D	yeah
B	if you have a lot of it you're doing so be a bit
D	they hate it
B	yeah
A	yeah some some teachers are really
E	yeah
A	art teachers this is they're really so different aren't they?
E	yeah
A	you get two teachers totally different
D	and two teachers and one will love everything you do one will hate everything you do and one will like things you do but hate other things you do so it's like
B	right
D	and they all give you different suggestions or like I don't like it or I like it and you
B	but you can't just do it to please them can you?
D	no
E	no
B	yeah
D	I like to do what I wanna do
B	you yourself
D	yeah
