A	hey guys how are you?
C	I'm good how are you?
A	I'm I'm I'm I'm I'm fine
B	I'm good too
A	do you want me to open this bottle?
C	yes please
A	right it's a bit quiet
B	how are you gonna open the bottle?
A	er
B	are you gonna do the thing with the tree?
A	I don't need a running commentary of everything I do
A	okay I'm gonna stand up now
B	is this like a play where you have stage directions as well?
A	no it's a natural conversation
B	natural so okay how's the plantain chips?
C	they're buff
C	they're nice
B	what is plantain? like just pure plantain what is it? is it like a potato?
C	uhu where's where's this guy going?
B	don't hit the bottle too hard don't break it
A	alright no worries
C	so you didn't manage to open you failed to me
A	no no I stopped because
B	oh no
A	er cos er
B	so is it just gonna be an exhibition just full of those things?
C	erm
C	I'm still here
B	thank you
B	thank you I did know
C	yeah
B	we could all go and meet
C	well yeah shall we go? shall we shall I bring
A	where? is it today?
C	no I dunno when it is
B	no
C	it's the twenty-sixth of the second
B	what's the date today?
C	today is the twentieth
B	the twentieth oh
C	the series starts next week
B	I have no concept of time when it's the holidays
C	that only happens to me in summer when it's long enough it's not long enough yet
B	I'm just like what
C	you lose all ability
B	yeah I'm just like is it two thousand and fifteen?
B	I have no idea
A	I fucked this up
B	oh
C	do you guys want some? tasty
A	yeah I'll try it in a minute one sec
C	no it's a buff thing it's not illegal
A	yeah I'll try it
A	I'll try it I'll try it
B	what does it taste different?
C	yes
A	and so we're just drinking Fanta just thought I'd make that clear
C	I don't think it's the
B	I don't like Fanta anyway
C	alright nah screw you
A	we need
B	it has no fizz
B	it's not fizzy at all
C	it's cos it's not cold things are more fizzy when they're cold
B	wow or is that because
A	probably
A	well
C	I'm not gonna get offended
A	it's like a
A	yeah it's really good it tastes of something like er
C	yeah
A	red Fanta
C	but this is meant to be the orange flavour oh if only they had the pineapple flavour
B	the pineapple?
A	Fanta is orange already
C	this is just this is just the life in Kenya you don't understand like we stock up we get crates of twenty
B	of Fanta?
A	you just drink that all the time
C	no there's Fanta Coke and Sprite but we always get the ones with just in Fanta because
A	oh
C	or sometimes Sprite cos we don't really like Coke
A	do you know erm I dunno if they have that in Malaysia do you know er Limca?
B	Limca?
A	yeah
B	no
A	oh it's this like really weird drink in India it's like it's like lemonade mixed with Sprite mixed with like
B	in erm in Pakistan they mix Coke and milk
A	yeah
B	and they have
B	it tastes disgusting it's revolting
B	cos they think it tastes nice
A	no
B	and they get like
A	oh
B	really fresh milk from a cow
A	yeah
B	and it's tastes
A	one time in like yeah
A	he was just
A	and like I'd take it to his house and then I I put it in his recycling bin and he was like no you can't do that like
B	none
A	good good
C	I put together a to-do list
A	a to-do list?
C	I turned on my laptop
B	that's good
C	once
A	yeah
B	oh wait my internet's not working I need to buy like a dongle or something
A	is it still not working?
B	yeah no
A	oh
B	the the thing is it
A	yeah doesn't it?
B	but it works for the Mac
A	okay
B	it's it's just
A	it it doesn't like Windows
B	no it's just specifically the erm that computer there's something wrong with it
A	oh I see
B	I don't know what it is
A	damn
B	oh well
A	so you can't do any work?
B	well I can but I I'd
B	have to do it on the Mac which can't support any of the Word files that I use
A	oh right yeah
C	use
B	or
C	your Ipad
B	er Ipad?
A	yeah you can do you can do it you access Word from online
C	er
A	oh yeah yeah what you were saying about like accessing it online
B	the the school thing?
A	yeah
B	yeah
A	you can do that
B	I don't know if it worked
B	cos I tried to do it with erm another computer that has an old er I tried to do it with my other with the laptop that we have
A	yeah
B	and because the laptop that we have
A	yeah
B	so it
A	oh damn
B	cos like our version of it was old so it was not
A	it sucks oh
B	you've what?
A	listening to Miss
B	what's she done?
A	and it's like she's done everything apparently cos she
B	working on what?
A	dunno staff shit she said er she's erm she's like not designing but like working on the new GCSE and A level syllabus
B	oh yeah
A	it's like going back to what it used to be or something like that
B	have you seen the new A level syllabuses?
A	no oh what for
B	yeah the the ones that they
A	I've I've er er like my teachers have talked about it in history but that's it
B	I think
A	really?
B	and maybe biology Miss
A	yeah
B	mm
A	do you like our course now?
B	it's okay
A	uhu
B	I dunno I haven't I haven't I haven't done much revision
A	yeah
B	I don't know what we're going to study all I know that Miss
A	twenty-seven?
B	yeah
A	shit
B	we only need to know like three but she's
A	you only need to know three?
B	yeah
A	but she's teaching you an extra twenty-four?
A	that seems like a pretty big proportion that she's er
B	I I dunno I think she's very reasonable she's not like Miss
A	yeah
A	but I like that though it's like
B	no but Miss
A	in a focused way like Miss
B	yeah kind of
A	at least will get us to the point
B	yeah yeah she gets us to a point
A	she will just go on it
B	Miss
A	yeah
B	which of everything that she's taught us we actually need to know
A	oh I see yeah yeah yeah
C	I swear some exams they just put in some random stuff that they think students should know but it's not on the syllabus
B	erm
B	for biology?
B	chemistry is is like so yeah chemistry is like that cos like chemistry's better cos they they teach you and then you have to apply the principles to other stuff that you haven't ever heard of before
A	yeah I know
B	but it's so difficult
A	I'm so glad I didn't take chemistry
B	chemistry is
A	all I ever hear is just complaints about it
B	it's so it's it's I dunno I find it really difficult
A	yeah
B	mm
A	about erm yeah look er that's my EPQ stuff er
C	what was your EPQ on?
A	so the how humanity should respond to the poverty in the Balkans so Balkans six main countries from Montenegro and Kosovo Bosnia-Herzegovina er Macedonia and er just because of wars in the nineteen nineties and circumstances they're really poor countries and they've got lots high levels of poverty erm so they're involved in you know the migrant
B	uhu
A	and the European Union is obviously reluctant to accept them cos oh we've got enough problems you know? look at Greece look at erm Yugoslavia look at erm Bulgaria look at all those problems and erm you know
B	uhu
A	and er yeah I wanted like do
B	what's a biometric passport?
A	no idea
B	it says
A	er
B	Albanians will be allowed to go around the Schengen Area if they have a biometric passport
A	erm
C	Albanian boys are buff
C	I just had to say that
A	er
B	I've never met anyone
C	I know like I know like two that are buff
B	I don't know anyone from Albania
B	out of all the Albanian people you know
C	er no those are the only two Albanian boys
C	I know and they both go well one of them goes to
B	oh wow
A	and are they both buff?
B	so a hundred percent of Albanian people you know
A	hundred percent
A	erm it's probably to do with because people are trying to move so
B	why are why does Macedonia
A	I think it's to do with fingerprints and stuff but yeah
B	why does Macedonia why does why do Greece and Macedonia don't get on?
A	so erm the the long story is that erm Macedonia recognises itself as Macedonia
B	yeah
A	and so do ninety percent of countries in the world
B	uhu
A	but then Greece doesn't recognise it it recognises it as a you know the republic of Yugoslavia
B	Former Yugoslavia Republic
A	yeah
B	of Macedonia
A	exactly erm and they don't accept it as that and so every time that any procedure to get them into the EU is you know brought up
B	yeah
A	they bring up the issue of their name
B	yeah
A	and because Greece
C	that sounds so childish
A	it is
C	if you think about it
A	it really is
A	it's so ridiculous and like I was looking on Wikipedia it's been going on for like twenty years and every single time they just bring up the issue of its name and because Greece is in the EU it gets an automatic
B	so it's just because of its name?
A	but the long story er the short story is that they don't want they don't want Macedonia in because as many EU countries they wanna protect their own interests
B	uhu
A	if they bring in Macedonia look at all the the aid that is going into Greece they don't want they don't want the European Union to look at oh look there's lots of countries around here we need to distribute aid between all of them
B	yeah
A	you know it's just them being selfish is er that's that's an opinion but
B	oh
A	basically they're being selfish and they don't want to er
B	Macedonia why don't they just make naming Greek different?
A	because they want to stop them getting into the EU erm it's just some long
B	that's weird
A	political statement about it's really every other country in the world accepts it as erm well not every other country but
B	accept what?
A	most countries in the world accept it as Macedonia but it's just Greece but
B	and Kosovo isn't recognised by five countries
A	yeah
B	by five member states
A	as as an independent state
B	so and it seems Serbia doesn't recognise it
A	lots of these I mean this is the stuff we're doing er in history but it's just a geopolitically sensitive area
B	mm
A	erm the Prussian Empire
B	uhu
A	and then there was an Austro-Hungarian Empire Austria and Hungary
B	uhu
A	and so they started ended up through a series of wars er dividing up this area so Montenegro was formed purely to stop Serbia from getting access to this sea I dunno er there's either it's the Mediterranean or the Black Sea or the I dunno the this is the Adriatic Sea sorry
B	yeah
A	erm so they simply didn't wanna give Serbia access to this body of water
B	okay
