A	do you like brown sauce in it?
B	I like brown sauce on my bacon sandwich
C	no no not
B	but no I don't I don't have any
A	so
B	I don't have any bacon at home so there's no need for it
A	what's in brown sauce what's it made of?
C	apples apples and
B	I think the erm
A	it's got apples in it then
D	mm
C	plums and grapes
A	apples and plums and grapes like a fruit sauce
D	it's mainly spices I think
C	yeah it's all spices
A	has it got like ketchup in it?
C	yeah you've got ketchup in everything
D	what do you mean ketchup?
C	yeah
B	oh it always includes a drink does it not?
C	yeah
B	oh
C	with mine
B	I didn't know that
D	does it?
B	it doesn't with lasagne
C	that is mine innit?
D	I didn't realise
B	does that too?
C	does mine?
B	I don't know
A	one pasta salad
B	oh yeah
A	take this money
D	oh
C	does mine come with that?
B	yeah yeah well you pay a pound more I think for the drink don't oh no it says yeah yeah yeah oh yeah it's
C	saved your money there see darling
A	oh so my Kronenbourg came with her her meal and a half Kronenbourg we just paid for
B	oh oh yeah
C	yeah they've got to party there
A	in our Wetherspoon's yeah
B	mine was six ninety-nine
D	mm
B	cos yours is the only one that didn't have a drink attached to it
A	yeah
B	what did you order bangers and mash?
A	of course I did
B	that should come with a beer shouldn't it?
A	of course I did bangers and mash
B	well I don't think it works out
A	that should be an ale you chew in
C	yeah
B	be a what?
A	be an ale you chew on
B	an ale you chew on?
A	yeah your dad was saying you had got little bits in the bottom
B	yeah back in the day you used to get actual hops in your beer
C	yeah
B	do you remember that mum?
D	no
B	oh you're not that
A	I don't suppose ladies drank so much when they were younger in the back in the olden days
D	well not beer we used to drink more spirits you didn't see women drinking pints
B	pints no yeah
[ANNOTATION]	a while back, women didn't drink so much beer	Entailment
A	no
C	no you used to like a erm
B	I
A	you shouldn't today really should you?
A	it's a bit big for a lady
B	I remember your dad saying that
A	you wanna stick your little finger out
C	a rum and black wasn't it?
B	when
C	a rum and black you used to like weren't it?
D	well I drunk it briefly for well a couple of times since I was really ill that time
D	and never touched it again
B	rum and blackcurrant?
[ANNOTATION]	speaker d has never drunk rum and black	Contradiction
D	yeah
B	oh
B	yeah yeah
D	it was
B	you couldn't have been very old then
D	I was seventeen
B	oh
C	get her a
A	is that the first time you were drunk?
B	that's that's when you wooed dad mum
D	no the first time I got drunk was the first night I went out with
[ANNOTATION]	speaker d and speaker a went to college together	Neutral
D	I'd not been drunk before
B	surprise surprise you were corrupted mother
A	how old were you then?
D	seventeen
[ANNOTATION]	speaker d has never drunk alcohol	Contradiction
C	yeah we didn't wear it well
B	no wonder you were drunk after that
D	mm I was drinking vodka and lime then wasn't I
C	no it was rum and black wasn't it?
D	no I was drinking vodka and lime then
C	oh was it?
D	when we first when I first met you
[ANNOTATION]	speakers c and d met while drunk	Neutral
C	oh yeah that's right yeah
B	oh
A	I don't think I've ever seen a picture of the two of you back in that day
A	have you got a good one from when you were like seventeen eighteen?
D	no
B	no
C	well no
B	there's your wedding photos
D	yeah
C	yeah
D	well I was nineteen when I got married
B	there aren't many pictures and there aren't any before that
D	no
B	people didn't have cameras so much I suppose
D	and they used to take photos
A	didn't you say your dad had long hair or something?
D	yeah
B	he used to
A	how long?
B	have it down to his shoulders when he was really young
A	yeah
C	yeah
B	there's an old photo of him somewhere and it
A	was it white then as well
B	no
C	blonde
A	you had blonde hair?
D	white blonde hair yeah
