A	is the counter moving?
B	yep the counter is moving
A	hooray
A	now Simon doesn't say turn here but I'm gonna turn here anyway cos you know
B	yeah I think if we just go back to
B	she looks thrilled with the joys of
B	right
B	here we go and if we turn right we're all good back on track
A	okay
B	so it's
B	mm
A	yeah
B	yeah turn right
A	okay
B	motorway's down there somewhere erm
A	oh hold on my door isn't closed properly I wondered what that noise was
A	oops
B	oh oh
A	right don't drive into the bus okay and relax
A	right so we're there groovy so we're going
A	this way this road is the seventy-three isn't it? I know exactly where I am
B	okay
A	that's cool
B	I'm gonna tell you about Saturday night
A	oh lovely
A	okay cos it's
B	today yes
A	okay so how was the party?
B	really nice
A	oh good
B	really Polish
A	good
B	you know
A	this is true mm
B	erm you know and it was just really nice erm
A	what do you mean by nice?
B	well you know lots of people all together
B	chatting and drinking it was just really nice and his friends were really nice and there was music and and
A	Polish music? or?
B	no
A	okay
B	erm cos I went to the flat and I thought it was just
A	ah
B	erm and I was like cos I know that
A	mm
B	erm
B	as mums do and I didn't realise that they lived with her
A	ah right
B	yeah still er and I suppose you know they're saving for their own house
A	yeah
B	but I don't know if you agree with me that if I was married or if I was in a
B	er
A	or a garage or a shed
B	than live with my parents
A	yeah
B	with my
A	I agree
B	you know with my partner I think you know it's awful blowing all that money when you're trying to save for a house but
A	yeah
B	I
A	it seems a little bit different here and in Germany in that people tend to build their own house
B	mm
A	erm or buy a house you know pretty much outright they don't bother with mortgages
B	mm
A	and in the meantime they rent or more likely in Poland yeah they live with their parents
B	yeah
A	I've got German friends that erm actually I haven't got any German friends who live with their parents now they all rent but then rents are fairly cheap and the market is makes it very easy for
B	uhu
A	for people to rent and there are
B	mm
A	a lot of folks live at home er you know even single folks in Poland seem to live at home in their
B	yeah
A	thirties forties
B	yeah
A	mm
A	yeah how old's he? he's gotta be
B	thirty-two
A	is that? oh is he really that young?
B	yeah
A	god yeah okay
B	er and then he does have his own place but it's in
A	yeah
B	so he can
A	yeah I suppose it's just a you know a cultural difference
B	cultural difference yeah
A	yeah
B	if you live on your own I think it's okay but I mean if you're single I think it's okay but if you're married I just
A	yeah I know
B	I remember saying to a student last year a little boy in conversation club how many people live in your house? and he was like nine people
A	oh my goodness
B	and it's you know him and his brother and his mum and dad and their mum and dad and his cousins and his auntie and uncle
A	wow
B	you know and er I imagine it's a very big house but
A	mm that's a bit like Ireland maybe a couple of generations ago
B	mm
A	and Scotland actually I don't know about England probably not
B	mm I don't think the houses are big enough
A	no but even in I'm thinking about erm my father-in-law who's eighty-three grew up in Scotland and
B	yeah yeah
A	erm and likewise with my mother-in-law who's eighty-eight something like that eighty-seven eighty-eight erm she lived in
B	mm
A	I suppose that's not so applicable these days
B	no
A	mm
B	you know they're very family oriented more than in England
A	yeah that's true
B	I always feel weird saying that like you know in England people don't care about their family
B	but it's just a different relationship isn't it?
A	yes
B	a stronger relationship
A	I never hugged my family I didn't realise that's what people did
B	mm
A	and then
B	yeah
A	and then I started hugging them which I think they were a bit shocked by
B	ah
A	they seem to have warmed up to it so now they just sort of expect a hug and they get one yeah
B	how embarrassing
A	I know I let him overtake cos it takes me a while to get up to speed
B	yeah that's true
A	speak up a bit for our recording
B	isn't it strange building a motorway but with only two lanes?
A	yeah
B	mm
A	right through to erm going up to
B	yeah
A	a major yeah huge and it was two lanes and I remember my dad telling me cos I was a kid when it was built but my dad told me that there were all of these studies at the time about erm the volume of traffic and what was anticipated in the coming decades and they didn't really have a clue so
B	mm yeah they must've just
A	yeah they do more works on it now but er
A	put three lanes in at some of the peak places
B	yeah
A	wow
B	to cos it gets really really congested erm
A	yeah
A	yeah
B	and there's loads of speed cameras
A	oh god yeah
B	so you've really gotta take your time
B	I was yeah
A	ah
B	his girlfriend is Romanian and they met on the CELTA course
A	ah lovely
B	erm nice yeah and they both live in
A	I can understand that
B	er and he kind of likes it
A	ah
B	erm but they're talking about moving
A	wow
B	and she wants to go back to Portugal
A	god what a difference Portugal or
B	I know Portugal to Poland
A	yeah
B	it's like
A	yeah definitely
B	erm so that was nice they were nice
A	which is nice
B	which is nice
A	yes talk words
B	er and then my student
A	mm
B	did I tell you this story? I shall tell you again for the benefit of our listeners cos it's funny er you've met
B	no here
A	oh yes
B	big guy
A	yeah
B	quiet speaks English with like a posh accent
A	okay
B	that he's got from I don't know where
A	yeah
B	erm
A	mm
B	erm and
A	oh wow
B	er and
A	I'm ah right
B	and he thought
A	ah
B	after twelve years in prison
A	oh that's funny
