C	so is it like an automatic transcription programme or something?
A	probably I don't know
C	so if I say phenomenological complexity
B	oh my god I had this thought about consciousness today
C	oh scary
B	on my run
C	oh
B	and it it's relation to existence
C	oh
B	well it was started off thinking about erm Descartes'
C	no I am having a conscious experience therefore I am
B	okay
C	that's my translation
B	so you can't if if and if you think of it as some sort of deduction right? okay let's just think of it as a deduction the existence claim has to be contained in the I think claim
C	correct
B	so there has to be sort of this affirmation of existence or
C	correct
B	I don't know I thought that was sort of I've never
C	but no this is this is old old news because there's been a huge debate about whether it is a whether it's a syllogism or a deduction
B	yeah yeah I know that I that's why I was saying take it as a syllogism but then that made me think of Brentano cos the way he explicates the aware
C	damn
B	I know I had a good sort of the way the way he explicates the awareness of awareness claim part of it is he thinks involves a judgement but judgement is either to affirm or deny the existence of something so contained in consciousness is an affirmation of existence
C	oh well I think that's like I think that's like
B	and I thought wow he probably got that from Descartes
C	well Descartes had a sort of struggle about whether it was a syllogism or not but
B	yeah
C	that
B	yeah I mean that's the hard
C	how who where did that come up?
B	anyway that was a good part of my run
C	anyway
B	but it made me think about you know how you have this
C	me?
B	self-sprung
C	oh yeah
B	stuff and I thought oh well maybe there's something I don't know something about that existence somehow
C	my latest paper is
B	I don't know
C	yeah
B	I just wanted to cos I totally forgot I was thinking of telling you about this and then I forgot when I got home cos you were having the crisis about the skip
C	that's our new crisis today skips
A	where's the skip?
B	it's the thing that you
A	yeah but where where do you got it? where do you put it?
C	it's got to be out there but you have to buy parking suspension and then that costs
A	everybody else in your neighbourhood uses it
B	yeah I mean they already use our garbage we're already the neighbourhood recycling centre
C	yeah they in our in our echo recycle bin they keep dropping we usually find some old fish and chips
B	well you know what though? I've noticed lately that they've only been putting recyclable items in there
C	no a little bit of
B	because I've taken them out the things that aren't recyclable and put them on the corner there
C	you have? oh
B	yes
C	vigilante? yeah although we have we have at least
B	because otherwise the recycle people have to do that right?
C	yeah they do so some
B	oh my god we saw a really bad one
C	oh yeah
A	yeah but that's the same you know cos
C	yeah
B	oh
A	couples coming down there to go and have have their
B	oh off the main road
C	yeah that's right I think they feel it's the kind of stage set out there and there aren't many people around so they have them there
B	yeah we saw a really terrible one
C	oh I think has
B	they had a fight they were screaming and the husband was running out the door and then running back to the door and screaming at her and they he came out around the corner and then this Muslim no
C	Somali kind of guy
B	Somali guy was coming round the corner
C	coming back with his shopping
B	and the husband just started punching him and I was watching out the window cos I'm nosy but I don't know what to do
C	yeah he was just letting out his anger at his but his domestic was like
B	but the
C	that was bad that's not a domestic that was just a piece of
B	a domestic gone bad
C	the guy was
B	he lost it
C	wow it was horrid
A	April about the twelfth?
C	oh after after Easter?
A	yeah
C	yeah so we're meant to be coming back on on Easter Sunday there's the you know there's the usual erm
A	I don't know
C	well weirdly
A	yeah where is that? is that in America or something?
C	might have been yeah so are you staying in
B	er I'm wondering if did you guys get invited to
A	I don't think so
A	I don't think so
C	she's not so big now
B	they're all skinny actually they're all skinny
C	they are it's the new cousins
B	the new cousins
C	no they're not though
B	oh that's true
A	can I get another beer?
B	yeah there's one
C	hey oh what you? you want the loo? or beer yeah
B	it's on the
C	great cos
B	on the
C	yeah
B	we just thought oh we don't need to go in there and that's where the beer is
A	after all can you sell that?
C	yeah but I think it's some years old I think I don't know whether they're kind of decaying or not
A	I think you could set up a fairly good business of selling things that people like that are valuable but that people can't be bothered to sell
B	yeah
C	so what would be the?
A	so you like sell that and you take
C	people can be bothered to sell though because they can they can all do Ebay and
B	okay
C	I have no idea it's kind of impressive but yeah okay you want me to swizzle them?
A	bottle opener
B	oh
C	ah oh it's all happening it's all looking good how long have they been in?
B	erm I don't know thirty minutes or
C	they look mostly done
B	where is the bottle opener?
C	I put erm it's probably still on the table
B	no I don't I feel like I oh here it is
C	there's the cork
A	I already did it I already did it what happened to this knife? stabbed someone
C	no
B	oh yeah your dad broke it
C	I was trying to prize something I'm really really upset I love those knives that's
A	still it's still pretty functionable
C	yeah yeah it's just erm it is so can you do you ever cook in
A	I don't really like to I don't really like using the shared kitchen you know? I do I eat it in my room and it's kind of just like I I I like just sort of make things I don't really need to use the cooking stuff for
B	you can do you have a hot plate?
A	yeah it's a whole fully functioning kitchen like down the hallway
B	oh yeah
C	I had I was a veggie all my time at
B	did you eat vegetables?
C	probably not much I don't know
