A	so your dad rang a couple of hours ago
B	got there alright then?
A	yes he texted me last night probably about half eleven to say they were there
B	mm
A	well your dad said it's horrendous it's going to take forever he says they haven't got end caps for a start they've been nicked or they've fallen off or they didn't come with them which is a problem that we always used to have erm there's a big box of like rubber end caps but they can't make them fit so your dad had gone out to get more calor gas from a local shop because they are using like a a Canusa type torch to melt down the rubber to try and get it to stick onto the pipe so
B	oh
A	almost like welding it on
B	it was lovely up there yesterday
A	well yeah once they do get on to site that's when they need somebody else there to record the delivery notes correctly
B	oh
A	you know a pipe is a pipe they've gotta they've gotta flush it through before they use it anyway you have to you know bung water through at high pressure which cleans out all the rubbish tests all the joints I mean that's standard procedure and I am assuming it's a drinking water pipe if it's sewerage well there's even less need to
B	mm
A	well he's probably thinking it is not necessarily not necessary but it is just him and
B	yeah
A	so
B	who's that?
A	he's the guy that used to supply goods to FTD and then has joined us now and he's very much upstairs with the upstairs mentality of the them and us he's in the upstairs team
B	oh right
A	oh
B	lunch
A	oh fair enough
B	half past two
A	oh did he oh so he might wake up soon?
B	mm in the car
A	it's taken you that long to get here?
B	yeah
A	roadworks
B	it was the roadworks
A	where are they?
B	erm so if you come from
A	yeah
B	just before you come to the where it straightens out before you get to
A	near the that
B	is there a school there?
A	Balti there's a Balti restaurant you've gone past the the school yeah?
B	yeah you've had gone past that
A	oh right what are they doing? just go roadworks on one side of the road or something?
B	mm
A	mm
B	yeah for ages
A	the roadworks are still in
B	yeah I thought they was still there
A	mm yeah but they are only erm you know two way now not four way so it doesn't take as long
B	no
A	so I was practising my signing the alphabet in under ten seconds last night with
B	oh gosh
A	well you can sort of in in your head alright
B	okay
A	okay so A B C D
B	mm
A	yeah
B	mm
A	I can do that for T
B	no we are doing that
A	oh that yeah yeah you are right it should be down there that's erm that's L actually I was doing L
B	yeah that's what I mean L
A	yeah no you are right T I get stuck on O P Q R S T U V W X Y Z
B	you get stuck on going to
A	do I? O P Q
B	mm
A	mm
B	I reckon I could do it in ten ten seconds with practise
A	oh yeah right oh with practise yeah
