B	oh I guess at the moment like like I'd be so scared if I was the prime minister right now like
A	mm
B	I wouldn't know what to do
A	yeah
B	like what can you do in this situation?
A	yeah right
B	but what can you do in this situation? like
A	I've no idea
B	something like this?
A	I bet he doesn't even do half of it
B	cos do you think he was expecting all this to happen?
A	who knows?
B	it was a massacre then basically
A	yeah
B	it's just crazy
[ANNOTATION]	Most citizens trust the current prime minister.	Neutral
A	hundred and twenty-nine dead three hundred and fifty-two wounded
B	do you think we could get to the point where like our whole country is run by Isis?
A	erm no
B	I don't think so right?
A	no I don't think so
B	police and stuff yeah
A	defend themselves against that sort of attack
B	like what do you think the er cos they can't just come here and like
A	well yeah they could do that
B	well they could
B	but we'd know if they were coming cos we'd see them sort of thing like we'd just be like yeah
A	well it could be one of those things that we don't know it's them in the plane
[ANNOTATION]	A bad incident led many people to death.	Entailment
B	yeah
A	kind of like nine eleven like
B	yeah
A	who knew that was? oh look a little worm how lovely
B	oh
B	that's disgusting
A	it came out of my raspberry pack
[ANNOTATION]	Speaker B adores worms.	Contradiction
B	oh
A	don't touch it if you think it's gross
B	oh
A	erm
B	look at it little shimmying along
A	oh he's cute leave him alone come on fella
B	that was in your raspberry
A	come on darling
B	it's probably laid eggs
A	oh thanks I'm gonna die then
[ANNOTATION]	One cannot die by eating worm eggs.	Neutral
B	no you're just gonna have babies inside of you
B	wormy babies
A	come on wormy
B	what are we gonna do with him?
A	erm I don't know leave him to die
B	oh no
[ANNOTATION]	Speaker B is being serious and not ironic when it comes to worm babies.	Contradiction
A	now you're compassionate about it you've changed your tune
B	well because I didn't I didn't want to kill him look he's look he's crawling away like
A	where? oh yeah
B	he can have fun in there with his raspberries
A	yeah he'll be fine
B	right now?
A	mm
B	what's he doing in Turkey?
A	a G20 conference
B	okay
A	I don't get all the letters
B	no
A	I
B	I don't understand what they're talking about
A	did you hear that erm some parts of America aren't accepting Syrian refugees?
B	because of what's happened?
A	because of what's happened fucking racists
B	it's not
A	all of them
B	the Syrian refugees
A	it's just horrendous over there
B	yeah me too
B	as a country
A	because they're just fucking thick as shit most of the time
B	as a country
A	like
B	I don't like Americans no
A	oh god it's just too big to control like mm
B	like it seems like all Americans are just oh
A	mm mm
B	but like oh
A	spelling error
B	intercepted
A	no belt
B	er
A	have you seen the Alan Sugar thing?
B	no what
B	what's the Alan Sugar thing?
A	the video the video on Youtube
B	oh the remix?
A	yeah
B	yes
A	oh I love it so much
B	you're
B	what is it? I can't remember bloody
A	let's watch it
B	bloody let's
A	let's just watch it
A	cos we're having a
A	oh how what's it called again? Cassette Boy that's it
B	Cassette Boy
B	you just swallowed a crumb?
A	yeah
B	oh dear
A	oh that guy's just had
B	it's so hilarious
B	god it's amazing
A	he did one about David Cameron it's fucking hilarious
B	oh god
A	he's he's very satirical and that's why I like it like
B	yes
A	the David Cameron one's like really like the
B	oh the news scares me too much to even
A	oh
B	look at it like I do look at it but
A	I know cos I just like up until now I haven't really even been paying attention and I feel like this may be a time to get on board with it cos I dunno
B	I didn't think
A	cos people are gonna be talking about it a lot and I feel like I wanna actually
B	like if this if this is a
A	not just be spouting bullshit about it you know
B	yeah
A	like
B	mm
A	what? what were you saying?
B	I can't remember
B	I was leading on from what you were just saying like I was just tagging
A	oh
A	good
B	I I agree with you
B	a lot
A	I dunno
B	or is it unexplicit like we are at war?
A	yeah probably
B	directly affected
A	you know doing it
B	yeah
A	but I mean some of England's er are over there like
B	oh we've had bombings
A	fighting
B	and yeah
A	erm but I mean it would have to be like a direct thing I reckon like we would literally have to get bombed or there would have to be like a terror attack in London or somewhere to make it seem like
B	can you imagine that? just
A	oh my god we're actually at war with these people like
B	that would be horrendous
A	it would be I'm just really lucky I don't have any relatives who live in
B	I do
A	do you? oh
B	well I've got one but I think he's not there at the moment I think he's
A	yeah
B	cos he went to erm the Philippines
A	mm
B	he's got a flat there still but he's still he spends most of his time in the Philippines but still it must be so scary to live in
A	yeah
B	like
A	yeah I remember my aunty lived in
B	yeah
A	stuff happened
B	mm
A	I was like really scared all the time for her
B	because how when they've
A	don't really know
B	a thing? but no like yeah
A	mm
B	erm
A	mm so maybe twenty-fourteen I suppose
B	really? it's that recent?
A	mm
B	yeah
A	started to like gained erm
B	some sort of yeah
A	yeah them
B	it's just monstrous it's
A	mm
B	horrible like it's
A	it really is
B	it's unspeakable really
A	so what are Jihadists then? I'm really confused
B	I don't even understand
B	I I'd assume Jihadists are like
B	so basically they're people that murder
A	that use erm
