A	when you got home last night then did you did you notice the leak straight away?
B	no not really
A	mm
B	and then I went back into the lounge to see the baby and I went to turn the light on and then I noticed and I shouted to you didn't I?
C	yes
B	yes
B	as I said oh my god
B	what is this?
A	I thought it was by the front door I'd got it wrong I thought it was
B	no
A	on
B	no no no no no
A	had it gone had she been affected? but it was on the
B	no no
A	at the bottom of the stairs
C	it was underneath the toilet
B	yeah
A	oh
B	it was underneath the toilet
A	so do you think had you left the shower on?
B	I don't know what we'd done
A	was it dripping a bit or something?
B	I don't know it's it's dripped before and it's got the side wet but whether we left the taps on a little bit or from that morning maybe we hadn't pulled the shower up
A	oh
B	like cos you know when you pull the
A	mm
B	lever well the thing up then it changes from a tap to the shower?
A	yeah
B	maybe we hadn't pulled that up enough when we had our showers in the morning
B	so it was dripping out of the taps
A	oh
B	after we were having a shower and it was leaking I don't know but anyway
C	yeah
B	it was soaking wasn't it?
C	the showerhead was on top of the taps and it was running down
B	yeah as we went out
A	oh so it could have been it's you only need a little bit of water sometimes to
B	yeah
A	find its way and make a right mess
B	anyway it's stained the ceiling
A	oh has it?
B	and it's yeah and all the wallpaper's come off so we'll have to
A	mind you when you think how bad that was
B	yeah yeah definitely
A	that that stain there was massive cos your father was that pouring out for
B	yeah
A	oh that dog
A	he's gonna wake the baby now
B	mm she is
B	I know yeah I know what it is
A	she's not gonna settle
B	she should cry in the garden for a bit and just watch like she doesn't eat the bread which she's already tried to
B	steal from the birds
A	we threw that out for the
A	at least it's wet and soft
B	yeah
A	go on you're not coming back in that way because your feet'll be wet
B	shove her out for a minute
A	oh relief
B	there we go
A	sit and cry out there now
B	yeah she's
A	so are we gonna go into
B	yes are you gonna come and meet us for lunch?
C	what time are you going for lunch?
A	well what time's your lunch?
B	yes
A	let's fit it around something else
A	oh oh well she's gonna eat it if she's out there there's not much left
[ANNOTATION]	There is not chance that she's gonna eat although she's out there.	Contradiction
A	there's only a little she's gonna eat the lot
B	for Pete's sake
A	such a scavenger that dog
A	mm
B	mind you there was a dog programme on yesterday we'll come up to
A	yeah
B	but there was a dog programme on yesterday wasn't there? It's Me or the Dog where you've got this woman who trains the
A	yeah
B	and there was one it was a Dalmatian wasn't it? and he was awful I mean you think that she's bad this Dalmatian was on the work surfaces
[ANNOTATION]	The Dalmatian weighs 50 kilos.	Neutral
B	they couldn't physically cook a meal they had to have about how many people were in there?
A	you wanted you wanted a Dalmatian didn't you?
C	yeah that's right
B	I know
A	that's what you wanted to get I don't
[ANNOTATION]	They wanted to have a Dalmatian dog.	Entailment
B	how many people were in there?
C	there were four people in there and they kept and she kept jumping up
C	any gap that there was on straight onto the work surface onto the hob while it was on
A	really?
B	yeah it was awful and they were trying to cook burgers and it was spitting like all the fat
A	oh no
B	and this dog was like this and then she had the raw burgers didn't they when he
A	oh
B	turned their back for a second
A	crikey
B	you can't
A	well I've never known anybody be a thief like that like
[ANNOTATION]	There were around 5 people in the room.	Contradiction
B	oh no though this Dalmatian
A	if there's anything at her level she's got into
B	this Dalmatian well anything at his level or higher because then there was a they did like a test and there was a plate of biscuits on the table and they were just trying to eat them and chat
A	yeah
B	and this dog was constantly he was on the chairs and he was going for it erm the minute you turned he was there he had one he was so quick
[ANNOTATION]	That dog was always sleeping on the couch.	Contradiction
A	oh
B	whereas she makes a bit more of a
B	look at her
A	that's part of a low fat there
C	mm
B	was that from the bread and butter pudding?
C	oh
A	oh nice
B	oh nice
A	mm who's gonna clean that up for us?
B	your daddy
C	oh
A	oh dear all
B	it's a lovely view
A	over
B	all that milk
A	oh dear
B	this morning
A	nice
B	have to don't run over it now
A	so your lunch break is what time
C	er between twelve and half past one
A	okay
C	so an hour any hour in that time
A	and
B	well then I need to fit it in with feeding him his food so it's probably gonna be depending on what time he naps tomorrow it's probably gonna be about one that I feed him
A	so we need to be so we
B	sat down and
A	meet somewhere for one or do you need to meet somewhere before then did you say?
C	I need to be back at work for half one
A	so
C	after
B	we could meet somewhere
A	well
B	at half past twelve then
A	yeah yeah well let's
B	yeah that's fine
A	let's do that then
B	okay
C	yeah
A	meet at half twelve erm and where do you wanna go? we'll check with
B	not in
A	no
B	she's very upset
A	who is?
A	oh the food I thought it was her
B	how are we getting no how are we getting in? the
A	I was gonna suggest train
B	yeah
A	is that what you wanted?
B	yeah well then I'll try and leave to coincide with his morning nap
A	yeah
B	so probably hopefully he'll sleep until
A	okay
B	I mean I'll aim to go out then if it means that I need to walk down to
A	oh I'll I'll
B	I can do that
A	I'll come to you
B	okay
A	are you walking to the station?
B	no no I wasn't going to if you were
A	okay well I'll come to you
B	what's the weather like tomorrow?
C	better than today
A	I think it's dry mm
B	is it?
A	yeah
B	I know
A	erm
B	yeah okay uhu
A	cos you
B	yeah I was gonna say where's she gonna get it from?
A	I'll see if she wants me to pick her up or see if she wants to be on the
B	okay
A	and then we'll have to get on a particular one
B	uhu
A	and then we can either meet
B	uhu yeah okay
A	and then we can sit out
B	no I don't know
A	but we were gonna
B	oh thanks
A	mm do you want a cup of coffee?
B	erm
A	thank you
B	no I don't think no thank you
A	that's nice
B	uhu so the what what what are they doing with the chicken are they
A	oh when it goes in the oven? can do doesn't foil or
B	yeah foil to cover the chicken
A	if you want to
B	yeah they can do that can't they?
A	yeah that's probably a good idea
B	excellent
B	yeah a big glass dish
A	okay
B	and cover it over
A	right yeah
B	excellent
A	oh remembered what I normally do with that I normally do erm
B	oh okay
A	those little lemony potatoes you know I
B	ah yes uhu yeah okay
A	I chop the potatoes up and put it with erm onion and butter
B	yes
A	fry it
B	yeah
A	with lemon juice
B	uhu
A	that's nice isn't it?
B	yeah that is nice
A	I've forgotten what I normally do with like I say we're having sweet sweet sweet potato
B	excellent
C	mm
A	potato sweetened with
C	nice
A	with maple sauce and everything else
B	maple syrup?
A	mm
B	we had syrup this morning didn't we?
C	we did
A	did you? what did you have for breakfast?
C	pancakes
A	oh pancakes
B	I had a few pancakes just the little shop bought ones they're quite nice though I bought them to snack on if I'm dieting cos they're not that bad
A	oh okay
B	a pancake when I want something cake like
A	without all the syrup?
B	yeah obviously without the syrup put on
A	but was it you who was doing?
B	mind you syrup and apple
A	if you're doing like the the Rosemary Conley
B	the low fat one it's yeah
A	that you did before then you can have sugar on that
B	you can have that yeah uhu
A	so we're gonna
B	yeah we'll
A	gonna meet about half twelve
B	meet you half past twelve or something
A	text you and let you know when we've spoken to
C	okay
B	you normally eat just at the sandwich shop don't you? cos so you can't
A	sorry?
B	recommend anywhere to go
B	I said he normally eats somewhere
C	it's quite a walk from our office so I don't wanna walk that far
B	no
A	no
B	but you shall tomorrow
C	yes yes
A	mm
B	I don't know what time I should yeah you know it all depends what time he sleeps in till tomorrow morning
A	see how he likes his train ride
B	yes
A	it's first time on a train
B	well hopefully he'll be asleep
A	what's he having for lunch today? have you brought food?
B	yeah carrot again today
A	carrot that was popular
C	definitely
B	that was on the erm
A	how many ice cubes of carrot?
B	well I've bought three again
A	uhu
B	I dunno which oh he was meant to be having pear with baby rice tomorrow but that isn't going to be possible when we go out
A	well I suppose it is actually
B	I could take a piece of pear
A	uhu
B	in the thing
A	yeah
B	and I could just tip some baby rice in with it leave it to
A	is that what they do? they just
B	yeah
A	you don't put any milk in and you don't make the baby rice up?
B	yeah you put I think
A	you make the baby rice up with milk do you?
B	well yeah I don't know how to do that though
A	I never used it
B	and if we're going out
A	well why
B	yeah thought it could do that
A	yeah
B	I'll do that tomorrow then just give him pear
A	if you
B	I think it's alright yeah
A	as long as it's tastes fine to you it'll be fine
C	you can put in some milk
B	yeah I'll probably just tip a little bit of milk in when we go tomorrow
A	uhu yeah he'll be fine with that
B	I'll try to not warm his carrot up at all today
A	oh okay
B	and then I'll see cos obviously tomorrow
A	he'll have cold
B	yeah
A	mind you pear pear and apple is
B	yeah yeah you'd think so
A	I'd have
B	no
A	it won't
B	yeah
C	mm
B	custard
A	mm
C	some crumble
A	yeah
B	uhu
A	custard and puree or banana and custard
B	nice
A	he was good yesterday wasn't he?
B	he was very good yesterday
A	happy?
B	yes very happy and he's getting happier in the day
A	have you bought his door bouncer today?
B	yeah
A	yeah
B	he is getting happier in the days I think it's cos he doesn't he actually doesn't need to sleep as much
A	mm
B	in the day cos he is getting a full
A	really? that was
B	that was another
A	ten hours
B	yeah
A	it's brilliant
B	ten and a half
A	mm
C	you go to bed later
B	well
B	yeah about
B	he was having his milk by half seven though wasn't he?
C	yes
B	so he wasn't in bed
B	later than quarter to eight
A	so he didn't er the hour didn't bother him too much?
B	no it hasn't affected him too much
A	I've adjusted quite well you'll be pleased to hear
B	oh excellent
C	he went to bed an hour early yesterday
A	than he would have done
C	the night before
C	than the night before
A	mm
C	and so he woke up at the normal time
A	mm he's doing well
B	yeah doing very well at night
A	you were ready for your tea were you
C	yes
B	yes
A	the leak hadn't bothered you? chilling out on the sofa were you?
B	of course
A	ignoring the water dripping down the walls
B	yes
B	not phased
A	yeah you'll be able to
B	I'm sure you can but I reckon the
A	base coast undercoat that will cover it? cos otherwise when you paint it does come back through
B	I reckon
A	it must be
B	what you'll just need to paint the whole ceiling
B	of that lounge
A	oh probably once you start oh
C	it's only little
A	there's a job you didn't wanna do
B	I know
C	it's basically gonna take me the whole weekend to get the wallpaper off
B	yeah well yeah it's
A	oh are you gonna take all the wallpaper down?
B	well it's
A	off the wall?
B	it's come off
C	it's crumbled off
A	oh what a shame
C	yeah
B	mm
A	so you're now decorating the lounge
B	do that
A	which was
C	yeah
B	I know
A	was an
B	I'm really not good with
A	especially when you've got no money
B	I know
B	yeah
C	shh
B	oh well that'll be the next bank holiday probably
A	so are are you gonna write a letter to your company asking about a a payment plan on those exam fees or?
C	erm
A	or are you gonna speak to somebody or are you not gonna bother?
B	email him or
C	no I'll speak to him
B	cos you've got the email address of
A	are you gonna speak to them?
C	yeah
A	mm
C	and I'll mention it to the recruitment consultant who might then pass it on to
A	oh that's a good way to do it yes yes yeah cos I I I think they'd pick it up
C	yeah
A	I'm pretty sure they would you know
B	probably
A	I'd certainly try it cos it's a you know it's a lot of money for you
B	it is yeah
A	but it's not for them
C	no
A	and they're gonna get the benefit now
C	so they may do I mean they said the well the money that I've gotta pay back is for my exams and a couple of the courses that I went on
A	right
C	and they've always said they're gonna send me on those courses for the next exams anyway so they're gonna pay for them
A	oh
C	yeah
A	send you on
[ANNOTATION]	Person A didnt get that where they will send the stuff	Entailment
B	mm
A	those courses?
B	yeah
A	yeah
C	that won't be a problem will it?
A	oh well if that's the case I'd yeah yeah a good idea going through the recruitment consultants I'd forgotten that's
C	I'll just mention it to her and say that they're being a bit rubbish about me leaving
B	what are you gonna do first then?
A	yeah
B	are you gonna speak to
[ANNOTATION]	Person B asks that is he gonna do dance	Contradiction
[ANNOTATION]	Person B asks that is he gonna do speak at first or something else	Contradiction
C	I'll do both
A	yeah
B	yeah
A	do them both yeah
B	okay fair enough
C	and then come up with a plan after that
A	hopefully you'll be yeah I think you'll be successful
B	yeah yeah I
C	unless they take it out of my pay packet rather than making us pay it back cos then I'll have to pay tax on it
B	oh is that how it would work?
[ANNOTATION]	Person B is thinking that they pay it first and then pay it back is weird	Entailment
C	yeah
A	if they're taking it oh yeah
C	if they're taking it straight out of my pay packet
A	oh before tax?
C	yeah
A	mm
B	oh okay alright
A	yes cos otherwise if it's er from you paying it back it'll you're right you'll have to pay tax it
[ANNOTATION]	Person A said it is your right to paying the tax	Entailment
C	I've lost about a grand in tax if I er
B	mm yeah yeah I suppose
C	for nothing
A	I reckon
B	yeah
A	I
B	well you'd think
[ANNOTATION]	Person B think that Person A think tax is something that we shouldnt pay	Entailment
A	they're being difficult aren't they?
B	oh they're just being horrible
